,CUMV_14591_Ct_hele,CUMV_14596_Ct_hele,CUMV_14601_Ct_hele,CUMV_14602_Ct_hele,CUMV_14604_Ct_hele,CUMV_14606_Ct_hele,CUMV_14611_Ct_hele,CUMV_14612_Ct_hele,CUMV_14656_Ct_hele,NA_ABTC31797_Ct_saxa,NA_ABTC60781_Ct_hele,SAMR_29707_Ct_brac,SAMR_36252_Ct_brac,SAMR_36349_Ct_brac,SAMR_44367_Ct_hele,SAMR_45480_Ct_saxa,SAMR_46119_Ct_hele,SAMR_46880_Ct_saxa,SAMR_48710_Ct_hele,SAMR_50208_Ct_saxa,UMMZ_242614_Ct_hele,UMMZ_242616_Ct_hele,UMMZ_242623_Ct_hele,UMMZ_244288_ct_inor,WAMR_094929_Ct_hele,WAMR_102423_Ct_saxa,WAMR_102771_Ct_hele,WAMR_129923_Ct_hele,WAMR_131009_Ct_hele,WAMR_131018_Ct_fall,WAMR_131371_Ct_hele,WAMR_135396_Ct_hele,WAMR_140720_Ct_hele,WAMR_145567_Ct_hele,WAMR_152991_Ct_seve,WAMR_166390_Ct_hele,WAMR_166391_Ct_hele
CUMV_14591_Ct_hele,NA,0,0,0,0,537.781554164886,537.781554164886,24.4335834457412,537.781554164886,281.526197715239,1058.85693084571,1009.90742149961,1706.28368098625,218.295671051902,246.669819799667,358.501046023579,208.949754725867,144.107598689313,396.205754627567,133.037588673277,3101.33664731838,3101.33664731838,1662.83071898495,3437.14692732214,1006.30711018059,909.190299112348,122.731414071541,831.588840713967,2095.25630890352,2300.18347094313,1359.07983577125,1234.03363001176,725.894620451206,2597.87259117917,102.513413756445,186.951865462744,158.009493385682
CUMV_14596_Ct_hele,0,NA,0,0,0,537.781554164886,537.781554164886,24.4335834457412,537.781554164886,281.526197715239,1058.85693084571,1009.90742149961,1706.28368098625,218.295671051902,246.669819799667,358.501046023579,208.949754725867,144.107598689313,396.205754627567,133.037588673277,3101.33664731838,3101.33664731838,1662.83071898495,3437.14692732214,1006.30711018059,909.190299112348,122.731414071541,831.588840713967,2095.25630890352,2300.18347094313,1359.07983577125,1234.03363001176,725.894620451206,2597.87259117917,102.513413756445,186.951865462744,158.009493385682
CUMV_14601_Ct_hele,0,0,NA,0,0,537.781554164886,537.781554164886,24.4335834457412,537.781554164886,281.526197715239,1058.85693084571,1009.90742149961,1706.28368098625,218.295671051902,246.669819799667,358.501046023579,208.949754725867,144.107598689313,396.205754627567,133.037588673277,3101.33664731838,3101.33664731838,1662.83071898495,3437.14692732214,1006.30711018059,909.190299112348,122.731414071541,831.588840713967,2095.25630890352,2300.18347094313,1359.07983577125,1234.03363001176,725.894620451206,2597.87259117917,102.513413756445,186.951865462744,158.009493385682
CUMV_14602_Ct_hele,0,0,0,NA,0,537.781554164886,537.781554164886,24.4335834457412,537.781554164886,281.526197715239,1058.85693084571,1009.90742149961,1706.28368098625,218.295671051902,246.669819799667,358.501046023579,208.949754725867,144.107598689313,396.205754627567,133.037588673277,3101.33664731838,3101.33664731838,1662.83071898495,3437.14692732214,1006.30711018059,909.190299112348,122.731414071541,831.588840713967,2095.25630890352,2300.18347094313,1359.07983577125,1234.03363001176,725.894620451206,2597.87259117917,102.513413756445,186.951865462744,158.009493385682
CUMV_14604_Ct_hele,0,0,0,0,NA,537.781554164886,537.781554164886,24.4335834457412,537.781554164886,281.526197715239,1058.85693084571,1009.90742149961,1706.28368098625,218.295671051902,246.669819799667,358.501046023579,208.949754725867,144.107598689313,396.205754627567,133.037588673277,3101.33664731838,3101.33664731838,1662.83071898495,3437.14692732214,1006.30711018059,909.190299112348,122.731414071541,831.588840713967,2095.25630890352,2300.18347094313,1359.07983577125,1234.03363001176,725.894620451206,2597.87259117917,102.513413756445,186.951865462744,158.009493385682
CUMV_14606_Ct_hele,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,NA,0,525.206626005423,0,303.726850969749,541.395419263961,473.864959666781,1170.5148439896,744.23517788398,359.309059167731,196.173392691262,365.878395098699,671.677005710334,164.091437924104,432.131924300901,2572.46068968993,2572.46068968993,1138.31234729313,2900.30308760998,485.535786528655,383.298839027723,416.974819383617,331.108743466554,1560.55695186046,1763.45484773498,825.705153187262,712.192389737492,214.018690772558,2062.55448412884,436.34390106887,374.563746243547,494.758526960375
CUMV_14611_Ct_hele,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,NA,525.206626005423,0,303.726850969749,541.395419263961,473.864959666781,1170.5148439896,744.23517788398,359.309059167731,196.173392691262,365.878395098699,671.677005710334,164.091437924104,432.131924300901,2572.46068968993,2572.46068968993,1138.31234729313,2900.30308760998,485.535786528655,383.298839027723,416.974819383617,331.108743466554,1560.55695186046,1763.45484773498,825.705153187262,712.192389737492,214.018690772558,2062.55448412884,436.34390106887,374.563746243547,494.758526960375
CUMV_14612_Ct_hele,24.4335834457412,24.4335834457412,24.4335834457412,24.4335834457412,24.4335834457412,525.206626005423,525.206626005423,NA,525.206626005423,270.040737667486,1048.23327556418,996.707579985223,1693.53742208432,228.871142785629,234.761581183975,344.972462669124,195.956627854227,153.863575936607,382.397698737845,118.61703081767,3090.2054947851,3090.2054947851,1651.86228239524,3425.24218121872,995.670126095988,898.37853936968,115.212846505934,820.502894571372,2083.92466274575,2288.3035200777,1347.84754330748,1222.92354626117,715.297141053982,2586.43325836953,89.4986033410578,174.005747031528,155.003225772885
CUMV_14656_Ct_hele,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,0,0,525.206626005423,NA,303.726850969749,541.395419263961,473.864959666781,1170.5148439896,744.23517788398,359.309059167731,196.173392691262,365.878395098699,671.677005710334,164.091437924104,432.131924300901,2572.46068968993,2572.46068968993,1138.31234729313,2900.30308760998,485.535786528655,383.298839027723,416.974819383617,331.108743466554,1560.55695186046,1763.45484773498,825.705153187262,712.192389737492,214.018690772558,2062.55448412884,436.34390106887,374.563746243547,494.758526960375
NA_ABTC31797_Ct_saxa,281.526197715239,281.526197715239,281.526197715239,281.526197715239,281.526197715239,303.726850969749,303.726850969749,270.040737667486,303.726850969749,NA,791.53963893162,754.751614771376,1445.23804267671,498.375360546647,58.1291665173345,111.579568022107,77.4273853361974,423.391072177957,144.367586389743,155.884572681199,2833.04500493727,2833.04500493727,1394.32815362812,3180.55058126734,742.113872663758,650.109221592803,180.682041166243,560.040177130177,1836.62026559657,2044.25658859156,1101.28606637876,965.45429720935,465.448171121125,2339.36380240441,189.573204857649,96.7160793250016,194.756257922563
