,NA_ABTC86833_Ct_regi,SAMAR_31877_Ct_regi,SAMAR_32289_Ct_regi,SAMAR_40597_Ct_regi,SAMAR_40888_Ct_regi,SAMAR_48098_Ct_regi,SAMAR_51242_Ct_regi,SAMAR_51421_Ct_regi,SAMAR_53967_Ct_regi,SAMAR_54164_Ct_regi,SAMAR_57181_Ct_regi,SAMAR_57722_Ct_regi,SAMR_36241_Ct_hele,SAMR_47236_Ct_regi,SAMR_48330_Ct_regi,SAMR_55163_Ct_regi
NA_ABTC86833_Ct_regi,NA,235.274307989632,505.198970703623,547.257708945246,743.230112414722,1051.31964692,1001.51734882627,1355.78538124587,1161.68670475305,1359.91911524179,255.127419145806,1058.15972329323,1178.50498514007,1080.16063620186,507.688881107318,231.933180032526
SAMAR_31877_Ct_regi,235.274307989632,NA,276.806791824189,735.851207785922,543.149150786411,1251.03756937991,1204.43887350085,1557.74388138744,1368.05043766668,1559.42104641434,449.392923842822,853.087334333361,1384.71874400544,1274.81802622963,704.089482949433,41.3400532171888
SAMAR_32289_Ct_regi,505.198970703623,276.806791824189,NA,1008.20682401975,295.700862359243,1524.29426292957,1478.7105869642,1831.18049356146,1642.94430824663,1832.05403850432,725.266847443064,588.851424384793,1659.55234927977,1546.43169910604,978.405846262174,273.347763846716
SAMAR_40597_Ct_regi,547.257708945246,735.851207785922,1008.20682401975,NA,1276.5790222309,516.199573808425,472.129219599889,823.519884398671,638.01018800643,824.061284128796,293.221759083462,1588.61354646119,654.080270303271,539.093683880641,51.3711981561653,751.604949424896
SAMAR_40888_Ct_regi,743.230112414722,543.149150786411,295.700862359243,1276.5790222309,NA,1789.54128200497,1741.25816581,2095.35319218503,1902.99264318074,2098.29001808616,986.06541365165,315.241177513345,1919.85754679872,1815.16445535935,1242.38118144151,525.061901112621
SAMAR_48098_Ct_regi,1051.31964692,1251.03756937991,1524.29426292957,516.199573808425,1789.54128200497,NA,57.913728942281,308.157427299749,135.642913563518,309.132657608348,803.673441143852,2102.76793774301,147.908755656993,53.103672189407,547.617567285784,1265.15690726487
SAMAR_51242_Ct_regi,1001.51734882627,1204.43887350085,1478.7105869642,472.129219599889,1741.25816581,57.913728942281,NA,354.721017138821,166.970057195894,358.919210965365,756.041665518508,2054.97907531926,182.348567309974,105.820602908885,501.01596780941,1217.57545967386
SAMAR_51421_Ct_regi,1355.78538124587,1557.74388138744,1831.18049356146,823.519884398671,2095.35319218503,308.157427299749,354.721017138821,NA,198.811468482077,34.2052627529741,1110.03333283285,2408.80883425813,182.263545449988,290.61830637453,854.773654250059,1571.53332767714
SAMAR_53967_Ct_regi,1161.68670475305,1368.05043766668,1642.94430824663,638.01018800643,1902.99264318074,135.642913563518,166.970057195894,198.811468482077,NA,211.149236323506,919.150694935276,2217.086827348,19.2353840616713,147.800541270998,665.633532809158,1380.33727762457
SAMAR_54164_Ct_regi,1359.91911524179,1559.42104641434,1832.05403850432,824.061284128796,2098.29001808616,309.132657608348,358.919210965365,34.2052627529741,211.149236323506,NA,1112.52595475342,2411.37097933935,194.4170774392,286.916364120278,856.586247846649,1573.91327588276
SAMAR_57181_Ct_regi,255.127419145806,449.392923842822,725.266847443064,293.221759083462,986.06541365165,803.673441143852,756.041665518508,1110.03333283285,919.150694935276,1112.52595475342,NA,1299.31751315835,935.763859101216,829.884931782714,256.674891643106,461.715280232309
SAMAR_57722_Ct_regi,1058.15972329323,853.087334333361,588.851424384793,1588.61354646119,315.241177513345,2102.76793774301,2054.97907531926,2408.80883425813,2217.086827348,2411.37097933935,1299.31751315835,NA,2233.97135165158,2127.48936542583,1555.48384755355,837.716539170619
SAMR_36241_Ct_hele,1178.50498514007,1384.71874400544,1659.55234927977,654.080270303271,1919.85754679872,147.908755656993,182.348567309974,182.263545449988,19.2353840616713,194.4170774392,935.763859101216,2233.97135165158,NA,156.342572577018,681.854823257854,1397.05869597523
SAMR_47236_Ct_regi,1080.16063620186,1274.81802622963,1546.43169910604,539.093683880641,1815.16445535935,53.103672189407,105.820602908885,290.61830637453,147.800541270998,286.916364120278,829.884931782714,2127.48936542583,156.342572577018,NA,573.894589624262,1290.35111500707
SAMR_48330_Ct_regi,507.688881107318,704.089482949433,978.405846262174,51.3711981561653,1242.38118144151,547.617567285784,501.01596780941,854.773654250059,665.633532809158,856.586247846649,256.674891643106,1555.48384755355,681.854823257854,573.894589624262,NA,717.777820777432
SAMR_55163_Ct_regi,231.933180032526,41.3400532171888,273.347763846716,751.604949424896,525.061901112621,1265.15690726487,1217.57545967386,1571.53332767714,1380.33727762457,1573.91327588276,461.715280232309,837.716539170619,1397.05869597523,1290.35111500707,717.777820777432,NA
