,NA_ABTC113898_Ct_stra,SAMAR_34780_Ct_stra,SAMAR_37916_Ct_stra,SAMAR_41349_Ct_stra,SAMAR_42343_Ct_stra,SAMAR_42800_Ct_stra,SAMAR_42955_Ct_stra,SAMAR_48386_Ct_stra,SAMAR_50902_Ct_stra,SAMR_42487_Ct_stra,SAMR_44903_Ct_stra,SAMR_44955_Ct_stra,SAMR_45029_Ct_stra,SAMR_46857_Ct_stra
NA_ABTC113898_Ct_stra,NA,729.065154838715,133.768456670472,1405.0017793583,270.493992539576,426.364867220553,84.9646985518103,204.780370153001,343.845895714926,173.476223154644,180.784401982029,110.873802135581,214.298856739834,176.022725805505
SAMAR_34780_Ct_stra,729.065154838715,NA,712.144648228153,686.887181420646,462.729942839233,318.036161465957,760.165113643082,549.988181691207,1047.50274462648,858.746761274824,856.15127168042,706.578374987517,901.60967164289,831.158228016784
SAMAR_37916_Ct_stra,133.768456670472,712.144648228153,NA,1398.19598054064,258.435678651381,435.048273183563,80.7774721070176,163.856644662339,336.86495810636,149.819891870205,145.206749154438,25.9807621135332,191.117764742056,119.088202606304
SAMAR_41349_Ct_stra,1405.0017793583,686.887181420646,1398.19598054064,NA,1144.93536935497,982.79143260409,1442.78238137288,1235.16193270356,1732.13221204387,1543.5627619245,1541.39060591402,1391.59872089622,1586.65875348167,1517.18093845131
SAMAR_42343_Ct_stra,270.493992539576,462.729942839233,258.435678651381,1144.93536935497,NA,186.016128333002,300.109979840724,98.2751240141675,587.869883562681,399.435852171535,398.065321272778,248.342505423457,443.313658711301,375.572895720658
SAMAR_42800_Ct_stra,426.364867220553,318.036161465957,435.048273183563,982.79143260409,186.016128333002,NA,466.173787336869,275.793400936281,757.231140405623,571.747321812704,570.990367694587,424.454944605432,614.021986577028,550.780355495728
SAMAR_42955_Ct_stra,84.9646985518103,760.165113643082,80.7774721070176,1442.78238137288,300.109979840724,466.173787336869,NA,213.813002410985,291.082462542833,108.825548470936,110.154437041819,70.5124102552168,149.221312150778,100.891030324801
SAMAR_48386_Ct_stra,204.780370153001,549.988181691207,163.856644662339,1235.16193270356,98.2751240141675,275.793400936281,213.813002410985,NA,497.784089741727,309.546442395967,306.356002062959,157.111425427943,352.032668938552,282.50132743051
SAMAR_50902_Ct_stra,343.845895714926,1047.50274462648,336.86495810636,1732.13221204387,587.869883562681,757.231140405623,291.082462542833,497.784089741727,NA,189.245871817591,191.997395815672,341.249175823181,146.253205093085,219.276081686991
SAMR_42487_Ct_stra,173.476223154644,858.746761274824,149.819891870205,1543.5627619245,399.435852171535,571.747321812704,108.825548470936,309.546442395967,189.245871817591,NA,20.6155281280883,152.725243493013,46.8828326789242,42.9185274677499
SAMR_44903_Ct_stra,180.784401982029,856.15127168042,145.206749154438,1541.39060591402,398.065321272778,570.990367694587,110.154437041819,306.356002062959,191.997395815672,20.6155281280883,NA,150.086641644085,47.6130234284697,33.2716095192282
SAMR_44955_Ct_stra,110.873802135581,706.578374987517,25.9807621135332,1391.59872089622,248.342505423457,424.454944605432,70.5124102552168,157.111425427943,341.249175823181,152.725243493013,150.086641644085,NA,196.022957839127,127.581346598944
SAMR_45029_Ct_stra,214.298856739834,901.60967164289,191.117764742056,1586.65875348167,443.313658711301,614.021986577028,149.221312150778,352.032668938552,146.253205093085,46.8828326789242,47.6130234284697,196.022957839127,NA,76.2364742101837
SAMR_46857_Ct_stra,176.022725805505,831.158228016784,119.088202606304,1517.18093845131,375.572895720658,550.780355495728,100.891030324801,282.50132743051,219.276081686991,42.9185274677499,33.2716095192282,127.581346598944,76.2364742101837,NA
