,CUMV_14700_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_45530_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,1884.51611826485,3212.06382252906,1346.99146248222,2185.97438228356,2269.23467274762,2848.12341726969,500.619616075918,947.710398803348,2355.61096108844,1612.2906065595
SAMAR_25378_Ct_scho,1884.51611826485,NA,1328.68017220097,538.498839367366,305.743356428231,391.237779361861,965.280270180635,1385.5536799417,947.243368939577,479.330783488814,458.833303063324
SAMAR_26265_Ct_scho,3212.06382252906,1328.68017220097,NA,1867.14595037453,1026.26994499498,946.671009379711,364.034339039602,2712.34179262128,2269.31421358965,858.604099687394,1657.81030277894
SAMAR_32255_Ct_scho,1346.99146248222,538.498839367366,1867.14595037453,NA,842.502225516348,926.362779908606,1503.63725678769,849.125432430333,423.31666633857,1014.31799747416,429.703386069973
SAMAR_45530_Ct_scho,2185.97438228356,305.743356428231,1026.26994499498,842.502225516348,NA,111.47196957083,662.414522787657,1686.27637118,1244.43280252491,175.661606505235,673.954746255266
UMMZ_242648_Ct_scho,2269.23467274762,391.237779361861,946.671009379711,926.362779908606,111.47196957083,NA,585.176041888251,1770.94268681965,1326.70984016853,144.62019222778,769.562862929339
WAMR_077870_Ct_scho,2848.12341726969,965.280270180635,364.034339039602,1503.63725678769,662.414522787657,585.176041888251,NA,2348.34260703161,1905.54506637865,495.104029472595,1300.21767408384
WAMR_100527_Ct_scho,500.619616075918,1385.5536799417,2712.34179262128,849.125432430333,1686.27637118,1770.94268681965,2348.34260703161,NA,452.743856943416,1855.38594367857,1119.86383100804
WAMR_102261_Ct_scho,947.710398803348,947.243368939577,2269.31421358965,423.31666633857,1244.43280252491,1326.70984016853,1905.54506637865,452.743856943416,NA,1413.24661683657,693.430602151362
WAMR_151241_Ct_scho,2355.61096108844,479.330783488814,858.604099687394,1014.31799747416,175.661606505235,144.62019222778,495.104029472595,1855.38594367857,1413.24661683657,NA,813.888198710363
WAMR_151655_Ct_scho,1612.2906065595,458.833303063324,1657.81030277894,429.703386069973,673.954746255266,769.562862929339,1300.21767408384,1119.86383100804,693.430602151362,813.888198710363,NA
