,CUMV_14408_Ct_broo,CUMV_14409_Ct_broo,CUMV_14411_Ct_broo,CUMV_14412_Ct_broo,NA_ABTC10487_Ct_broo,NA_ABTC12607_Ct_broo,NA_DLR0549_Ct_broo,SAMAR_26237_Ct_broo,SAMAR_29939_Ct_broo,SAMAR_32029_Ct_broo,SAMAR_45963_Ct_broo,SAMAR_56458_Ct_broo,SAMAR_58943_Ct_broo,SAMAR_65908_Ct_broo
CUMV_14408_Ct_broo,NA,0,0,0,709.663300446064,532.72413123492,0,71.7286553617172,536.509086595931,1132.89628828062,333.707956153281,157.892368403289,615.464864959812,504.51759136823
CUMV_14409_Ct_broo,0,NA,0,0,709.663300446064,532.72413123492,0,71.7286553617172,536.509086595931,1132.89628828062,333.707956153281,157.892368403289,615.464864959812,504.51759136823
CUMV_14411_Ct_broo,0,0,NA,0,709.663300446064,532.72413123492,0,71.7286553617172,536.509086595931,1132.89628828062,333.707956153281,157.892368403289,615.464864959812,504.51759136823
CUMV_14412_Ct_broo,0,0,0,NA,709.663300446064,532.72413123492,0,71.7286553617172,536.509086595931,1132.89628828062,333.707956153281,157.892368403289,615.464864959812,504.51759136823
NA_ABTC10487_Ct_broo,709.663300446064,709.663300446064,709.663300446064,709.663300446064,NA,1239.92136847463,709.663300446064,724.165036438518,1243.60604694574,423.38398647091,1037.39818777555,854.129966691252,95.9635347410671,1213.62020418251
NA_ABTC12607_Ct_broo,532.72413123492,532.72413123492,532.72413123492,532.72413123492,1239.92136847463,NA,532.72413123492,532.933391710446,11.5325625946708,1663.23510063971,203.970586114763,387.162756473295,1145.07554335948,50.60632371552
NA_DLR0549_Ct_broo,0,0,0,0,709.663300446064,532.72413123492,NA,71.7286553617172,536.509086595931,1132.89628828062,333.707956153281,157.892368403289,615.464864959812,504.51759136823
SAMAR_26237_Ct_broo,71.7286553617172,71.7286553617172,71.7286553617172,71.7286553617172,724.165036438518,532.933391710446,71.7286553617172,NA,536.125918045379,1145.50032736791,342.090631266043,182.567795626721,630.417322097038,499.64087102638
SAMAR_29939_Ct_broo,536.509086595931,536.509086595931,536.509086595931,536.509086595931,1243.60604694574,11.5325625946708,536.509086595931,536.125918045379,NA,1666.9103155239,207.362002305148,390.479192787529,1148.67967684642,52.9716905525961
SAMAR_32029_Ct_broo,1132.89628828062,1132.89628828062,1132.89628828062,1132.89628828062,423.38398647091,1663.23510063971,1132.89628828062,1145.50032736791,1666.9103155239,NA,1460.54407670566,1277.17579056291,518.383062994925,1636.95265661533
SAMAR_45963_Ct_broo,333.707956153281,333.707956153281,333.707956153281,333.707956153281,1037.39818777555,203.970586114763,333.707956153281,342.090631266043,207.362002305148,1460.54407670566,NA,183.621894119411,942.476524906589,186.566342087741
SAMAR_56458_Ct_broo,157.892368403289,157.892368403289,157.892368403289,157.892368403289,854.129966691252,387.162756473295,157.892368403289,182.567795626721,390.479192787529,1277.17579056291,183.621894119411,NA,759.104077185731,365.026026469346
SAMAR_58943_Ct_broo,615.464864959812,615.464864959812,615.464864959812,615.464864959812,95.9635347410671,1145.07554335948,615.464864959812,630.417322097038,1148.67967684642,518.383062994925,942.476524906589,759.104077185731,NA,1118.90348109209
SAMAR_65908_Ct_broo,504.51759136823,504.51759136823,504.51759136823,504.51759136823,1213.62020418251,50.60632371552,504.51759136823,499.64087102638,52.9716905525961,1636.95265661533,186.566342087741,365.026026469346,1118.90348109209,NA
