,NA_ABTC113741_Ct_saxa,NA_CCM0090_Ct_late,SAMAR_34261_Ct_late,SAMAR_42687_Ct_late,SAMAR_42768_Ct_late,SAMAR_54433_Ct_late,SAMAR_54463_Ct_late,SAMAR_55259_Ct_late,SAMAR_55799_Ct_late,SAMR_42758_Ct_late,SAMR_54340_Ct_late,SAMR_54434_Ct_late,SAMR_65407_Ct_late,SAMR_65416_Ct_late
NA_ABTC113741_Ct_saxa,NA,2435.56441097336,928.096438954487,789.574568992695,258.120127072648,1684.81601369408,1803.22599803796,200.367162978368,2638.44992372416,354.460152908617,735.8389769508,1684.81601369408,90.2551937563706,77.4338427304238
NA_CCM0090_Ct_late,2435.56441097336,NA,1517.33615260429,1648.58181477293,2181.34316419953,758.226219541371,646.277030382482,2240.41223885248,226.362541070735,2081.68345336173,1712.03650662011,758.226219541371,2514.289959412,2492.79642169191
SAMAR_34261_Ct_late,928.096438954487,1517.33615260429,NA,145.413204352287,670.570652504268,760.802208198688,877.675908294172,729.1570475556,1715.086295205,574.850415325587,194.99230754058,760.802208198688,1011.63185003241,991.41363718682
SAMAR_42687_Ct_late,789.574568992695,1648.58181477293,145.413204352287,NA,533.413535636283,895.613197758943,1013.89348552991,592.338585607927,1849.50209515967,435.217187160618,85.9360227145753,895.613197758943,871.562963875818,850.971209853776
SAMAR_42768_Ct_late,258.120127072648,2181.34316419953,670.570652504268,533.413535636283,NA,1428.72215633411,1546.74173668392,60.0416522091123,2382.62166530904,102.127371453494,477.877599391309,1428.72215633411,343.88951714177,325.032306086641
SAMAR_54433_Ct_late,1684.81601369408,758.226219541371,760.802208198688,895.613197758943,1428.72215633411,NA,120.087468122198,1487.64310236024,955.426082959849,1330.42812658182,955.724855803175,0,1765.82473649001,1744.83208361149
SAMAR_54463_Ct_late,1803.22599803796,646.277030382482,877.675908294172,1013.89348552991,1546.74173668392,120.087468122198,NA,1605.62604612656,838.721646316583,1448.86369269162,1072.4733096912,120.087468122198,1884.62675349789,1863.71135104125
SAMAR_55259_Ct_late,200.367162978368,2240.41223885248,729.1570475556,592.338585607927,60.0416522091123,1487.64310236024,1605.62604612656,NA,2441.7524444546,160.471181213326,536.113793890812,1487.64310236024,287.789853886477,269.949995369513
SAMAR_55799_Ct_late,2638.44992372416,226.362541070735,1715.086295205,1849.50209515967,2382.62166530904,955.426082959849,838.721646316583,2441.7524444546,NA,2284.04509587705,1909.65468082583,955.426082959849,2718.56910892477,2697.31384899867
SAMR_42758_Ct_late,354.460152908617,2081.68345336173,574.850415325587,435.217187160618,102.127371453494,1330.42812658182,1448.86369269162,160.471181213326,2284.04509587705,NA,384.898687968665,1330.42812658182,436.840932148076,416.660533288191
SAMR_54340_Ct_late,735.8389769508,1712.03650662011,194.99230754058,85.9360227145753,477.877599391309,955.724855803175,1072.4733096912,536.113793890812,1909.65468082583,384.898687968665,NA,955.724855803175,820.654007484275,800.925090130157
SAMR_54434_Ct_late,1684.81601369408,758.226219541371,760.802208198688,895.613197758943,1428.72215633411,0,120.087468122198,1487.64310236024,955.426082959849,1330.42812658182,955.724855803175,NA,1765.82473649001,1744.83208361149
SAMR_65407_Ct_late,90.2551937563706,2514.289959412,1011.63185003241,871.562963875818,343.88951714177,1765.82473649001,1884.62675349789,287.789853886477,2718.56910892477,436.840932148076,820.654007484275,1765.82473649001,NA,23.1948270094864
SAMR_65416_Ct_late,77.4338427304238,2492.79642169191,991.41363718682,850.971209853776,325.032306086641,1744.83208361149,1863.71135104125,269.949995369513,2697.31384899867,416.660533288191,800.925090130157,1744.83208361149,23.1948270094864,NA
