,NA_CCM0956_Ct_robu,NA_CCM1388_Ct_robu,NA_CCM1389_Ct_robu,NA_CCM1409_Ct_robu,NA_CCM1412_Ct_robu,NA_CCM1415_Ct_robu,NA_CCM2866_Ct_robu,NTMR_13838_Ct_bore,NTMR_17739_Ct_bore,NTMR_18323_Ct_robu,NTMR_20378_Ct_robu,NTMR_22166_Ct_robu,NTMR_22620_Ct_robu,NTMR_23004_Ct_bore,NTMR_23960_Ct_robu,WAMR_137950_Ct_robu
NA_CCM0956_Ct_robu,NA,461.369699915372,429.568388036178,429.568388036178,461.369699915372,463.998922412542,1496.31213321285,356.550136726941,712.511052545854,898.715750390523,460.662566310743,311.393641553581,872.938142138376,784.378097603445,410.245048720883,725.712064113585
NA_CCM1388_Ct_robu,461.369699915372,NA,45.902069670114,45.902069670114,0,12.369316876853,1035.30575193998,702.491281084684,1152.2473692745,440.724403681031,917.726538790287,760.580041810196,413.154934618964,1237.725736987,869.794803387558,269.432737431812
NA_CCM1389_Ct_robu,429.568388036178,45.902069670114,NA,0,45.902069670114,56.5331761004103,1068.96725861927,658.88162821557,1112.90475782971,469.543395225617,882.331570329431,723.830781329449,443.844567388179,1200.72228262825,839.408124811763,309.24585688413
NA_CCM1409_Ct_robu,429.568388036178,45.902069670114,0,NA,45.902069670114,56.5331761004103,1068.96725861927,658.88162821557,1112.90475782971,469.543395225617,882.331570329431,723.830781329449,443.844567388179,1200.72228262825,839.408124811763,309.24585688413
NA_CCM1412_Ct_robu,461.369699915372,0,45.902069670114,45.902069670114,NA,12.369316876853,1035.30575193998,702.491281084684,1152.2473692745,440.724403681031,917.726538790287,760.580041810196,413.154934618964,1237.725736987,869.794803387558,269.432737431812
NA_CCM1415_Ct_robu,463.998922412542,12.369316876853,56.5331761004103,56.5331761004103,12.369316876853,NA,1032.83541767312,710.202083916965,1157.57116411908,440.428200731969,921.41792906368,764.869269875578,412.220814612751,1242.00241545659,871.64327565811,264.731939893924
NA_CCM2866_Ct_robu,1496.31213321285,1035.30575193998,1068.96725861927,1068.96725861927,1035.30575193998,1032.83541767312,NA,1693.13023716429,2172.19013900717,605.509702647282,1950.416365805,1791.02317126273,626.799010847975,2266.93295004506,1903.67985753908,774.577304082685
NTMR_13838_Ct_bore,356.550136726941,702.491281084684,658.88162821557,658.88162821557,702.491281084684,710.202083916965,1693.13023716429,NA,493.680058337381,1089.68160487364,365.335462280901,239.987499674462,1072.43880944322,611.556211643705,437.89610639968,963.969916543042
NTMR_17739_Ct_bore,712.511052545854,1152.2473692745,1112.90475782971,1112.90475782971,1152.2473692745,1157.57116411908,2172.19013900717,493.680058337381,NA,1566.92118499942,277.095651355268,401.469799611378,1546.60693131772,139.071923837991,409.415436934173,1419.9922535
NTMR_18323_Ct_robu,898.715750390523,440.724403681031,469.543395225617,469.543395225617,440.724403681031,440.428200731969,605.509702647282,1089.68160487364,1566.92118499942,NA,1347.99035604859,1187.54452548104,35.8747822293042,1662.49541352751,1308.54919662961,215.471575851665
NTMR_20378_Ct_robu,460.662566310743,917.726538790287,882.331570329431,882.331570329431,917.726538790287,921.41792906368,1950.416365805,365.335462280901,277.095651355268,1347.99035604859,NA,162.640708311296,1324.46328752442,324.953842876184,145.585026702611,1184.03124958761
NTMR_22166_Ct_robu,311.393641553581,760.580041810196,723.830781329449,723.830781329449,760.580041810196,764.869269875578,1791.02317126273,239.987499674462,401.469799611378,1187.54452548104,162.640708311296,NA,1164.61710445966,477.352071326814,198.416229174934,1027.93871412648
NTMR_22620_Ct_robu,872.938142138376,413.154934618964,443.844567388179,443.844567388179,413.154934618964,412.220814612751,626.799010847975,1072.43880944322,1546.60693131772,35.8747822293042,1324.46328752442,1164.61710445966,NA,1640.3719090499,1282.31431404317,181.033146136281
NTMR_23004_Ct_bore,784.378097603445,1237.725736987,1200.72228262825,1200.72228262825,1237.725736987,1242.00241545659,2266.93295004506,611.556211643705,139.071923837991,1662.49541352751,324.953842876184,477.352071326814,1640.3719090499,NA,425.005882312233,1505.17939130191
NTMR_23960_Ct_robu,410.245048720883,869.794803387558,839.408124811763,839.408124811763,869.794803387558,871.64327565811,1903.67985753908,437.89610639968,409.415436934173,1308.54919662961,145.585026702611,198.416229174934,1282.31431404317,425.005882312233,NA,1130.27563010091
WAMR_137950_Ct_robu,725.712064113585,269.432737431812,309.24585688413,309.24585688413,269.432737431812,264.731939893924,774.577304082685,963.969916543042,1419.9922535,215.471575851665,1184.03124958761,1027.93871412648,181.033146136281,1505.17939130191,1130.27563010091,NA
