,NA_CCM0535_Ct_inor,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,NTMR_25983_Ct_spal,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,442.147034367528,985.254789381914,1193.23342226071,1144.80478685233,190.475720237515,450.868051651478,1929.85880312524,2671.64724467883,491.450913113405,1720.06598710631,1720.06598710631,725.872578349671,677.202333132425,1233.7171474856,660.089387886217,1671.64769015484,1634.0116278656,1136.13071431064,1070.24623335006,615.470551691955
NA_CCM2292_Ct_inor,442.147034367528,NA,553,762.977063875448,708.94992770999,628.387619228769,889.783119642084,2358.81177714543,3095.08335913591,932.50737262501,2149.74998546343,2149.74998546343,1167.47805118555,1110.90818702537,1675.66524103116,1070.80810605822,2108.43401604129,2070.62454346509,1578.15303440446,1512.16566552742,970.922241994692
NA_CCM2518_Ct_vert,985.254789381914,553,NA,210.259363644048,344.747733857672,1174.93999846801,1420.15597734897,2855.86449258364,3577.79596958798,1466.26566487796,2649.51504996669,2649.51504996669,1700.97736610456,1629.22926563452,2210.58024057033,1623.66037089041,2623.00457491023,2584.99110249919,2113.44505488077,2046.36604741185,1516.68091568398
NA_CCM2565_Ct_vert,1193.23342226071,762.977063875448,210.259363644048,NA,371.362356735305,1383.27835232104,1624.17178894352,3047.21167627062,3763.29921744206,1671.075701457,2842.13141849563,2842.13141849563,1905.28134405394,1829.68549209967,2414.55544562555,1833.70390194273,2820.25176181135,2782.22680599551,2317.64729844729,2250.33130894097,1725.83718814957
NA_CCM3869_Ct_inor,1144.80478685233,708.94992770999,344.747733857672,371.362356735305,NA,1323.40961157156,1595.33444769428,3067.7172294721,3803.09755331098,1635.80866851842,2858.6481070604,2858.6481070604,1869.568666832,1818.98735564599,2374.46330778136,1725.53180208306,2815.7894097393,2778.07055345972,2277.04172118123,2212.19280353228,1581.37598312356
NTMR_25983_Ct_spal,190.475720237515,628.387619228769,1174.93999846801,1383.27835232104,1323.40961157156,NA,287.055743715398,1767.08856597512,2512.62014638106,319.156701323973,1557.2083996691,1557.2083996691,547.93065254647,518.370523853353,1051.17410546493,477.044023125749,1500.06633186669,1462.77852048764,953.669754160212,888.829567464989,467.417372377194
SAMAR_34180_Ct_bore,450.868051651478,889.783119642084,1420.15597734897,1624.17178894352,1595.33444769428,287.055743715398,NA,1482.54544618369,2226.99057025395,59.7159945073345,1272.72660064917,1272.72660064917,282.317197492466,232.023705685432,790.749012013294,406.147756364602,1221.13963165561,1183.51679329023,693.731215961917,626.585189738794,525.450283090608
SAMR_38776_Ct_saxa,1929.85880312524,2358.81177714543,2855.86449258364,3047.21167627062,3067.7172294721,1767.08856597512,1482.54544618369,NA,748.391608718323,1449.39125152596,210.276009092811,210.276009092811,1229.03295317904,1253.0450909684,797.90663614235,1518.54897846596,310.816666219815,338.822962622075,878.082000726584,925.403695691778,1735.84129458888
SAMR_53975_Ct_saxa,2671.64724467883,3095.08335913591,3577.79596958798,3763.29921744206,3803.09755331098,2512.62014638106,2226.99057025395,748.391608718323,NA,2195.52704378698,957.401692081229,957.401692081229,1977.15452102257,1996.48791631705,1534.66771647807,2261.07341764924,1042.67588444348,1076.07016499855,1620.05740639028,1670.58971623795,2476.51630319689
UMMZ_242624_Ct_inor,491.450913113405,932.50737262501,1466.26566487796,1671.075701457,1635.80866851842,319.156701323973,59.7159945073345,1449.39125152596,2195.52704378698,NA,1239.4188154131,1239.4188154131,235.633189512853,207.506626400219,745.848510087672,368.800759218307,1183.17116259652,1145.73208037481,648.222955471341,581.514402229214,504.899990097049
