,NA_CCM0956_Ct_robu,NA_CCM1388_Ct_robu,NA_CCM1389_Ct_robu,NA_CCM1409_Ct_robu,NA_CCM1412_Ct_robu,NA_CCM1415_Ct_robu,NA_CCM2866_Ct_robu,NTMR_13838_Ct_bore,NTMR_17739_Ct_bore,NTMR_18323_Ct_robu,NTMR_20378_Ct_robu,NTMR_22166_Ct_robu,NTMR_22620_Ct_robu,NTMR_23004_Ct_bore,NTMR_23960_Ct_robu,WAMR_137950_Ct_robu
NA_CCM0956_Ct_robu,NA,1.83333333333333,0.9375,1.61538461538462,2,2.25,2,1,1.16666666666667,1.18181818181818,4.44444444444444,5.42857142857143,2.1,2.5,1.46153846153846,2.66666666666667
NA_CCM1388_Ct_robu,1.83333333333333,NA,0,-0.0526315789473684,0.0625,-0.285714285714286,0.5625,0.0952380952380952,0.125,0.4,4.16666666666667,5.6,0.5625,0.764705882352941,0.764705882352941,0.466666666666667
NA_CCM1389_Ct_robu,0.9375,0,NA,0.0454545454545454,0,-0.0588235294117647,0.388888888888889,0.181818181818182,0.125,0.333333333333333,3,4.16666666666667,0.277777777777778,0.5,0.55,0.6875
NA_CCM1409_Ct_robu,1.61538461538462,-0.0526315789473684,0.0454545454545454,NA,0.125,-0.142857142857143,0.4375,0.45,0.133333333333333,0.142857142857143,3.84615384615384,4.36363636363637,0.352941176470588,0.875,0.777777777777778,0.4375
NA_CCM1412_Ct_robu,2,0.0625,0,0.125,NA,0.0833333333333333,1.08333333333333,0.222222222222222,0.333333333333333,0.363636363636364,4.36363636363637,5.55555555555555,0.230769230769231,0.769230769230769,0.866666666666667,1.2
NA_CCM1415_Ct_robu,2.25,-0.285714285714286,-0.0588235294117647,-0.142857142857143,0.0833333333333333,NA,0.5,0.117647058823529,0.25,0.5,5.55555555555555,6.75,0.583333333333333,0.846153846153846,0.785714285714286,0.727272727272727
NA_CCM2866_Ct_robu,2,0.5625,0.388888888888889,0.4375,1.08333333333333,0.5,NA,0.625,0.846153846153846,1.3,6.22222222222222,5.75,1.28571428571429,1.15384615384615,1.26666666666667,0.615384615384615
NTMR_13838_Ct_bore,1,0.0952380952380952,0.181818181818182,0.45,0.222222222222222,0.117647058823529,0.625,NA,0.277777777777778,0.166666666666667,4.36363636363637,3.61538461538462,0.166666666666667,0.315789473684211,0.0952380952380952,0.533333333333333
NTMR_17739_Ct_bore,1.16666666666667,0.125,0.125,0.133333333333333,0.333333333333333,0.25,0.846153846153846,0.277777777777778,NA,0.0666666666666667,3.81818181818182,5.11111111111111,0.538461538461538,0.285714285714286,0.333333333333333,0.818181818181818
NTMR_18323_Ct_robu,1.18181818181818,0.4,0.333333333333333,0.142857142857143,0.363636363636364,0.5,1.3,0.166666666666667,0.0666666666666667,NA,4.75,4.33333333333333,0.25,0.5,0.833333333333333,0.3
NTMR_20378_Ct_robu,4.44444444444444,4.16666666666667,3,3.84615384615384,4.36363636363637,5.55555555555555,6.22222222222222,4.36363636363637,3.81818181818182,4.75,NA,0.428571428571429,3.66666666666667,5,4.72727272727273,6.44444444444444
NTMR_22166_Ct_robu,5.42857142857143,5.6,4.16666666666667,4.36363636363637,5.55555555555555,6.75,5.75,3.61538461538462,5.11111111111111,4.33333333333333,0.428571428571429,NA,5.5,5.1,4.36363636363637,7.14285714285714
NTMR_22620_Ct_robu,2.1,0.5625,0.277777777777778,0.352941176470588,0.230769230769231,0.583333333333333,1.28571428571429,0.166666666666667,0.538461538461538,0.25,3.66666666666667,5.5,NA,1,0.666666666666667,0.642857142857143
NTMR_23004_Ct_bore,2.5,0.764705882352941,0.5,0.875,0.769230769230769,0.846153846153846,1.15384615384615,0.315789473684211,0.285714285714286,0.5,5,5.1,1,NA,1.06666666666667,1.36363636363636
NTMR_23960_Ct_robu,1.46153846153846,0.764705882352941,0.55,0.777777777777778,0.866666666666667,0.785714285714286,1.26666666666667,0.0952380952380952,0.333333333333333,0.833333333333333,4.72727272727273,4.36363636363637,0.666666666666667,1.06666666666667,NA,1.5
WAMR_137950_Ct_robu,2.66666666666667,0.466666666666667,0.6875,0.4375,1.2,0.727272727272727,0.615384615384615,0.533333333333333,0.818181818181818,0.3,6.44444444444444,7.14285714285714,0.642857142857143,1.36363636363636,1.5,NA
