,NA_CCM0535_Ct_inor,NTMR_25983_Ct_spal,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,0.315789473684211,0.476190476190476,0.391304347826087,0.333333333333333,0.676470588235294,0.574468085106383,0.870967741935484,1.09375,0.684210526315789,1.23529411764706,1.73333333333333,0.682926829268293,1.28125
NTMR_25983_Ct_spal,0.315789473684211,NA,0.697674418604651,0.48936170212766,0.7,1.02702702702703,0.647058823529412,1.10526315789474,1.07317073170732,0.878048780487805,1,1.17948717948718,0.914893617021277,1.30952380952381
UMMZ_242624_Ct_inor,0.476190476190476,0.697674418604651,NA,0.5,0.52,0.72972972972973,1.04,0.857142857142857,1.17647058823529,0.763157894736842,0.6,1.1025641025641,0.456521739130435,0.9
UMMZ_242629_Ct_inor,0.391304347826087,0.48936170212766,0.5,NA,0.15,0.395833333333333,0.410714285714286,0.581395348837209,0.8,0.52,0.529411764705882,0.826086956521739,0.555555555555556,0.895833333333333
UMMZ_242630_Ct_inor,0.333333333333333,0.7,0.52,0.15,NA,0.411764705882353,0.354838709677419,0.622222222222222,0.953488372093023,0.538461538461538,0.729166666666667,0.897959183673469,0.517857142857143,0.74
WAMR_108698_Ct_saxa,0.676470588235294,1.02702702702703,0.72972972972973,0.395833333333333,0.411764705882353,NA,0.483333333333333,0.522727272727273,0.65,0.627450980392157,0.446808510638298,0.720930232558139,0.74,0.608695652173913
WAMR_108745_Ct_saxa,0.574468085106383,0.647058823529412,1.04,0.410714285714286,0.354838709677419,0.483333333333333,NA,0.719298245614035,0.709090909090909,0.716666666666667,0.540983606557377,0.888888888888889,0.833333333333333,0.770491803278688
WAMR_108816_Ct_saxa,0.870967741935484,1.10526315789474,0.857142857142857,0.581395348837209,0.622222222222222,0.522727272727273,0.719298245614035,NA,0,0.224489795918367,0.239130434782609,0.476190476190476,0.69047619047619,-0.0666666666666667
WAMR_132522_Ct_saxa,1.09375,1.07317073170732,1.17647058823529,0.8,0.953488372093023,0.65,0.709090909090909,0,NA,0.195121951219512,0.191489361702128,0.268292682926829,0.780487804878049,0.0869565217391304
WAMR_132682_Ct_saxa,0.684210526315789,0.878048780487805,0.763157894736842,0.52,0.538461538461538,0.627450980392157,0.716666666666667,0.224489795918367,0.195121951219512,NA,0.28,0.173913043478261,0.425531914893617,0.354166666666667
WAMR_132686_Ct_saxa,1.23529411764706,1,0.6,0.529411764705882,0.729166666666667,0.446808510638298,0.540983606557377,0.239130434782609,0.191489361702128,0.28,NA,0.195652173913043,0.333333333333333,0.235294117647059
WAMR_132723_Ct_saxa,1.73333333333333,1.17948717948718,1.1025641025641,0.826086956521739,0.897959183673469,0.720930232558139,0.888888888888889,0.476190476190476,0.268292682926829,0.173913043478261,0.195652173913043,NA,0.608695652173913,0.5
WAMR_139005_Ct_saxa,0.682926829268293,0.914893617021277,0.456521739130435,0.555555555555556,0.517857142857143,0.74,0.833333333333333,0.69047619047619,0.780487804878049,0.425531914893617,0.333333333333333,0.608695652173913,NA,0.666666666666667
WAMR_153812_Ct_saxa,1.28125,1.30952380952381,0.9,0.895833333333333,0.74,0.608695652173913,0.770491803278688,-0.0666666666666667,0.0869565217391304,0.354166666666667,0.235294117647059,0.5,0.666666666666667,NA
