,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_55725_Ct_spal
NA_CCM2497_Ct_spal,NA,0.2,0.466666666666667,1.25,0.857142857142857,0.666666666666667,0.357142857142857,0.909090909090909,0.461538461538462,0.25,1.27272727272727,0.857142857142857,0.571428571428572
NA_CCM5477_Ct_vert,0.2,NA,0.277777777777778,0,0.157894736842105,-0.0526315789473684,-0.0526315789473684,0.0526315789473684,0.0476190476190476,-0.133333333333333,0.75,0.4,0.157894736842105
NTMR_21670_Ct_spal,0.466666666666667,0.277777777777778,NA,0.142857142857143,-0.1,0,0.0526315789473684,-0.117647058823529,0.105263157894737,0.125,0.8125,0.705882352941176,0.529411764705882
NTMR_22298_Ct_spal,1.25,0,0.142857142857143,NA,0.0714285714285714,-0.0769230769230769,0.0714285714285714,0.166666666666667,0.357142857142857,-0.153846153846154,1.54545454545455,0.615384615384615,0.538461538461538
NTMR_22299_Ct_spal,0.857142857142857,0.157894736842105,-0.1,0.0714285714285714,NA,0.0526315789473684,-0.0526315789473684,0,0.05,0.117647058823529,1,0.352941176470588,0.25
NTMR_22325_Ct_spal,0.666666666666667,-0.0526315789473684,0,-0.0769230769230769,0.0526315789473684,NA,-0.111111111111111,0.1875,0,-0.133333333333333,1.30769230769231,0.533333333333333,0.4
NTMR_22621_Ct_spal,0.357142857142857,-0.0526315789473684,0.0526315789473684,0.0714285714285714,-0.0526315789473684,-0.111111111111111,NA,-0.176470588235294,-0.210526315789474,-0.117647058823529,0.9375,0.388888888888889,0.428571428571429
NTMR_22622_Ct_spal,0.909090909090909,0.0526315789473684,-0.117647058823529,0.166666666666667,0,0.1875,-0.176470588235294,NA,0.0555555555555556,0,1.5,0.733333333333333,0.3125
SAMAR_34202_Ct_spal,0.461538461538462,0.0476190476190476,0.105263157894737,0.357142857142857,0.05,0,-0.210526315789474,0.0555555555555556,NA,-0.111111111111111,0.866666666666667,0.647058823529412,0.294117647058824
SAMAR_51093_Ct_spal,0.25,-0.133333333333333,0.125,-0.153846153846154,0.117647058823529,-0.133333333333333,-0.117647058823529,0,-0.111111111111111,NA,0.8,0.4375,0.117647058823529
SAMAR_54485_Ct_spal,1.27272727272727,0.75,0.8125,1.54545454545455,1,1.30769230769231,0.9375,1.5,0.866666666666667,0.8,NA,0.285714285714286,0.384615384615385
SAMAR_55675_Ct_spal,0.857142857142857,0.4,0.705882352941176,0.615384615384615,0.352941176470588,0.533333333333333,0.388888888888889,0.733333333333333,0.647058823529412,0.4375,0.285714285714286,NA,0.166666666666667
SAMR_55725_Ct_spal,0.571428571428572,0.157894736842105,0.529411764705882,0.538461538461538,0.25,0.4,0.428571428571429,0.3125,0.294117647058824,0.117647058823529,0.384615384615385,0.166666666666667,NA
