,CUMV_14408_Ct_broo,CUMV_14409_Ct_broo,CUMV_14411_Ct_broo,CUMV_14412_Ct_broo,NA_ABTC10487_Ct_broo,NA_ABTC12607_Ct_broo,NA_DLR0549_Ct_broo,SAMAR_26237_Ct_broo,SAMAR_29939_Ct_broo,SAMAR_32029_Ct_broo,SAMAR_45963_Ct_broo,SAMAR_56458_Ct_broo,SAMAR_58943_Ct_broo,SAMAR_65908_Ct_broo
CUMV_14408_Ct_broo,NA,1.53658536585366,1.81818181818182,2.09090909090909,1.45454545454545,1.46666666666667,0.176470588235294,1.97142857142857,1.975,1.13636363636364,1.25,2.13793103448276,1.28205128205128,3.5
CUMV_14409_Ct_broo,1.53658536585366,NA,0.0714285714285714,0.0952380952380952,0.0384615384615385,0.40625,1.46153846153846,0.976744186046512,0.42,0.705882352941176,0.26530612244898,0.657894736842105,0.7,0.838709677419355
CUMV_14411_Ct_broo,1.81818181818182,0.0714285714285714,NA,0.166666666666667,0.0909090909090909,0.535714285714286,1.66666666666667,1.19444444444444,0.736842105263158,0.837209302325581,0.162790697674419,0.714285714285714,0.512820512820513,1.34782608695652
CUMV_14412_Ct_broo,2.09090909090909,0.0952380952380952,0.166666666666667,NA,0.130434782608696,0.814814814814815,1.72727272727273,1.10204081632653,0.825,1,0.558139534883721,0.804878048780488,0.868421052631579,1.51612903225806
NA_ABTC10487_Ct_broo,1.45454545454545,0.0384615384615385,0.0909090909090909,0.130434782608696,NA,0.285714285714286,1.34883720930233,0.765957446808511,0.52,0.571428571428572,0.215686274509804,0.476190476190476,0.340425531914894,0.878787878787879
NA_ABTC12607_Ct_broo,1.46666666666667,0.40625,0.535714285714286,0.814814814814815,0.285714285714286,NA,1.6,0.823529411764706,0.138888888888889,0.536585365853658,0.235294117647059,0.423076923076923,0.515151515151515,0.19047619047619
NA_DLR0549_Ct_broo,0.176470588235294,1.46153846153846,1.66666666666667,1.72727272727273,1.34883720930233,1.6,NA,1.81578947368421,1.875,1.2093023255814,1.175,2.53846153846154,1.31578947368421,3.80952380952381
SAMAR_26237_Ct_broo,1.97142857142857,0.976744186046512,1.19444444444444,1.10204081632653,0.765957446808511,0.823529411764706,1.81578947368421,NA,0.866666666666667,0.347826086956522,0.785714285714286,1.02222222222222,0.232558139534884,1.48484848484848
SAMAR_29939_Ct_broo,1.975,0.42,0.736842105263158,0.825,0.52,0.138888888888889,1.875,0.866666666666667,NA,0.647058823529412,0.431818181818182,0.578947368421053,0.522727272727273,0.67741935483871
SAMAR_32029_Ct_broo,1.13636363636364,0.705882352941176,0.837209302325581,1,0.571428571428572,0.536585365853658,1.2093023255814,0.347826086956522,0.647058823529412,NA,0.392156862745098,0.761904761904762,0.125,1.18181818181818
SAMAR_45963_Ct_broo,1.25,0.26530612244898,0.162790697674419,0.558139534883721,0.215686274509804,0.235294117647059,1.175,0.785714285714286,0.431818181818182,0.392156862745098,NA,0.0975609756097561,0.418604651162791,0.483870967741935
SAMAR_56458_Ct_broo,2.13793103448276,0.657894736842105,0.714285714285714,0.804878048780488,0.476190476190476,0.423076923076923,2.53846153846154,1.02222222222222,0.578947368421053,0.761904761904762,0.0975609756097561,NA,0.828571428571429,0.875
SAMAR_58943_Ct_broo,1.28205128205128,0.7,0.512820512820513,0.868421052631579,0.340425531914894,0.515151515151515,1.31578947368421,0.232558139534884,0.522727272727273,0.125,0.418604651162791,0.828571428571429,NA,0.966666666666667
SAMAR_65908_Ct_broo,3.5,0.838709677419355,1.34782608695652,1.51612903225806,0.878787878787879,0.19047619047619,3.80952380952381,1.48484848484848,0.67741935483871,1.18181818181818,0.483870967741935,0.875,0.966666666666667,NA
