,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,0.319444444444444,0.223880597014925,1.41739130434783,2.43564356435644,3.48314606741573,2.93684210526316,4.45070422535211,2.46728971962617,2.58715596330275,1.05813953488372,0.264150943396226,1.05208333333333,0.119402985074627,0.672131147540984,0.266666666666667,1.04918032786885
CUMV_14742_Ct_leon,0.319444444444444,NA,0.679245283018868,1.83333333333333,2.9,4.0126582278481,3.94805194805195,5.4,2.92783505154639,3.37362637362637,1.35064935064935,0.4375,1.4,0.2,1.18367346938775,0.323529411764706,1.50943396226415
CUMV_14744_Ct_leon,0.223880597014925,0.679245283018868,NA,1.87234042553192,3.04761904761905,4.68115942028986,3.98684210526316,5.83636363636364,3.02247191011236,3.49411764705882,1.24,0.465116279069767,1.26315789473684,0.269230769230769,1.04444444444444,0.322033898305085,1.25490196078431
NA_CCM1955_Ct_leon,1.41739130434783,1.83333333333333,1.87234042553192,NA,1.25409836065574,1.40287769784173,1.30232558139535,1.83653846153846,1.00714285714286,1.16083916083916,1.05263157894737,1.67532467532468,0.836879432624113,1.64772727272727,1.61904761904762,1.53636363636364,1.08045977011494
NTMR_25649_Ct_leon,2.43564356435644,2.9,3.04761904761905,1.25409836065574,NA,0.296296296296296,0.216216216216216,0.520408163265306,0.604651162790698,0.184615384615385,2.06122448979592,2.97142857142857,1.98181818181818,2.73076923076923,3.07317073170732,2.82022471910112,1.97260273972603
SAMR_22246_Ct_leon,3.48314606741573,4.0126582278481,4.68115942028986,1.40287769784173,0.296296296296296,NA,0.327586206896552,0.886363636363636,0.947368421052632,0.393700787401575,2.45161290322581,4.22950819672131,2.66666666666667,3.98550724637681,4.30263157894737,3.51190476190476,2.96825396825397
SAMR_46944_Ct_leon,2.93684210526316,3.94805194805195,3.98684210526316,1.30232558139535,0.216216216216216,0.327586206896552,NA,0.516483516483516,0.698275862068966,0.260162601626016,2.23404255319149,4.28571428571429,2.25225225225225,3.46575342465753,3.525,3.03370786516854,2.46969696969697
SAMR_49090_Ct_leon,4.45070422535211,5.4,5.83636363636364,1.83653846153846,0.520408163265306,0.886363636363636,0.516483516483516,NA,1.00952380952381,0.669811320754717,2.78313253012048,5.59574468085106,3.37804878048781,5.11320754716981,6.28,4.63636363636364,3.38983050847458
SAMR_51082_Ct_leon,2.46728971962617,2.92783505154639,3.02247191011236,1.00714285714286,0.604651162790698,0.947368421052632,0.698275862068966,1.00952380952381,NA,0.748148148148148,1.83636363636364,3.02816901408451,1.8,2.49438202247191,3.16470588235294,2.39805825242718,1.84705882352941
SAMR_51580_Ct_leon,2.58715596330275,3.37362637362637,3.49411764705882,1.16083916083916,0.184615384615385,0.393700787401575,0.260162601626016,0.669811320754717,0.748148148148148,NA,1.89090909090909,3.25352112676056,2.06611570247934,3.09876543209876,3.14606741573034,3.09574468085106,2.26315789473684
SAMR_62131_Ct_leon,1.05813953488372,1.35064935064935,1.24,1.05263157894737,2.06122448979592,2.45161290322581,2.23404255319149,2.78313253012048,1.83636363636364,1.89090909090909,NA,1.26229508196721,0.465346534653465,1.22058823529412,1.5,1.02439024390244,0.263157894736842
WAMR_117303_Ct_leon,0.264150943396226,0.4375,0.465116279069767,1.67532467532468,2.97142857142857,4.22950819672131,4.28571428571429,5.59574468085106,3.02816901408451,3.25352112676056,1.26229508196721,NA,1.38095238095238,0.285714285714286,1.2,0.454545454545455,1.425
WAMR_119774_Ct_leon,1.05208333333333,1.4,1.26315789473684,0.836879432624113,1.98181818181818,2.66666666666667,2.25225225225225,3.37804878048781,1.8,2.06611570247934,0.465346534653465,1.38095238095238,NA,1.15384615384615,1.29268292682927,1.20689655172414,0.611111111111111
WAMR_129973_Ct_leon,0.119402985074627,0.2,0.269230769230769,1.64772727272727,2.73076923076923,3.98550724637681,3.46575342465753,5.11320754716981,2.49438202247191,3.09876543209876,1.22058823529412,0.285714285714286,1.15384615384615,NA,0.875,0.0645161290322581,1.19230769230769
WAMR_131785_Ct_leon,0.672131147540984,1.18367346938775,1.04444444444444,1.61904761904762,3.07317073170732,4.30263157894737,3.525,6.28,3.16470588235294,3.14606741573034,1.5,1.2,1.29268292682927,0.875,NA,1.07843137254902,1.5625
WAMR_144639_Ct_leon,0.266666666666667,0.323529411764706,0.322033898305085,1.53636363636364,2.82022471910112,3.51190476190476,3.03370786516854,4.63636363636364,2.39805825242718,3.09574468085106,1.02439024390244,0.454545454545455,1.20689655172414,0.0645161290322581,1.07843137254902,NA,1.09259259259259
WAMR_166448_Ct_leon,1.04918032786885,1.50943396226415,1.25490196078431,1.08045977011494,1.97260273972603,2.96825396825397,2.46969696969697,3.38983050847458,1.84705882352941,2.26315789473684,0.263157894736842,1.425,0.611111111111111,1.19230769230769,1.5625,1.09259259259259,NA
