,CUMV_14700_Ct_scho,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_45530_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,5.76,3.92207792207792,5.81967213114754,0.955882352941177,0.852941176470588,0.964285714285714,6.1063829787234,7.84090909090909,8.175,4.43835616438356,1.02985074626866,3.9367088607595,6.50943396226415,7.58695652173913,5.29850746268657,5.03125,4.92307692307693,6.68,3.8,4.48611111111111,3.98214285714286,7.36363636363637,0.4375,1.125,0.8,0.292307692307692,0.711111111111111,0.639344262295082
NA_ABTC113798_Ct_scho,5.76,NA,1.30508474576271,0.428571428571429,5.68627450980392,6.68085106382979,6.92682926829268,0.606060606060606,4.17241379310345,3.42424242424242,1.45762711864407,6.16666666666667,1.02985074626866,0.511111111111111,0.5,0.245283018867925,2.06122448979592,0.39622641509434,2.94736842105263,1.2,1.88,1.13725490196078,0.25,7.175,6.45714285714286,6.09302325581395,8,5.52631578947368,8.63636363636364
NA_ABTC12623_Ct_scho,3.92207792207792,1.30508474576271,NA,1.33333333333333,4.7,4.67123287671233,4.86206896551724,1.63636363636364,1.52,1.47058823529412,0.397727272727273,4.43835616438356,0.206185567010309,1.89830508474576,1.32835820895522,1.15384615384615,0.626666666666667,1.26315789473684,0.818181818181818,0.333333333333333,0.285714285714286,0.126760563380282,1.63934426229508,4.75757575757576,4.69387755102041,4.35294117647059,4.47692307692308,3.96491228070175,5.20338983050848
SAMAR_24578_Ct_scho,5.81967213114754,0.428571428571429,1.33333333333333,NA,6.08474576271186,6.29310344827586,6.16326530612245,0.384615384615385,4.12820512820513,4.02325581395349,1.525,6.16393442622951,1.40243902439024,0.680851063829787,0.433333333333333,0.21875,2.13636363636364,0.194444444444444,2.87755102040816,1.39759036144578,1.98360655737705,1.35185185185185,0.75,6.80769230769231,6.97222222222222,5.9811320754717,6.95918367346939,5.28888888888889,7.51111111111111
SAMAR_25378_Ct_scho,0.955882352941177,5.68627450980392,4.7,6.08474576271186,NA,0.292307692307692,0.181818181818182,6.86363636363636,9.63157894736842,9.38888888888888,4.69444444444444,0.304347826086957,4.43055555555556,7,8.06818181818182,5.61904761904762,5.71186440677966,5.30645161290323,7.90909090909091,4.52777777777778,5.3125,4.36363636363637,8.47368421052632,1.125,0.475,0.448275862068966,1.31666666666667,0.261904761904762,0.946428571428571
SAMAR_26265_Ct_scho,0.852941176470588,6.68085106382979,4.67123287671233,6.29310344827586,0.292307692307692,NA,0.26,8.91666666666667,9.19512195121951,9.15384615384615,4.92857142857143,0.119402985074627,4.75,7.91489361702128,8.67441860465117,5.95238095238095,5.8,5.96610169491525,7.57446808510638,4.77777777777778,5.52307692307692,5.1,8.0952380952381,0.932203389830508,0.195121951219512,0.241935483870968,1.22950819672131,0.0204081632653061,0.873015873015873
SAMAR_32255_Ct_scho,0.964285714285714,6.92682926829268,4.86206896551724,6.16326530612245,0.181818181818182,0.26,NA,8.4375,10.4137931034483,10.1379310344828,5.08928571428572,0.320754716981132,4.94642857142857,7.825,8.72222222222222,6.01960784313725,6.56818181818182,6.14583333333334,9.53125000000001,5.17857142857143,6,4.91304347826087,9,1.3125,0.27027027027027,0.416666666666667,1.75,0.195121951219512,1.3695652173913
SAMAR_35050_Ct_scho,6.1063829787234,0.606060606060606,1.63636363636364,0.384615384615385,6.86363636363636,8.91666666666667,8.4375,NA,5.6,5.78260869565217,1.83333333333333,6.97727272727272,1.43859649122807,0.454545454545455,0.277777777777778,0.227272727272727,2.36585365853659,0.2,3.96296296296296,1.40677966101695,1.8936170212766,1.28260869565217,1.02777777777778,7.86486486486487,8.42857142857143,6.775,7.26315789473684,6.30555555555556,9.3125
SAMAR_37073_Ct_scho,7.84090909090909,4.17241379310345,1.52,4.12820512820513,9.63157894736842,9.19512195121951,10.4137931034483,5.6,NA,-0.19047619047619,1.48,9.48717948717948,1.06896551724138,5.78571428571428,5.78571428571428,3.36363636363636,1.325,3.68292682926829,2.12,1.11864406779661,1.5,1.7027027027027,5.17857142857143,9.54054054054054,11.4285714285714,9.32352941176471,10.0882352941177,9.4074074074074,12.25
SAMAR_41321_Ct_scho,8.175,3.42424242424242,1.47058823529412,4.02325581395349,9.38888888888888,9.15384615384615,10.1379310344828,5.78260869565217,-0.19047619047619,NA,1.76363636363636,9.09756097560976,1.38983050847458,5.35714285714285,4.91428571428572,3.27272727272727,1.53658536585366,4.14634146341463,2.14285714285714,1.24590163934426,1.4468085106383,1.46153846153846,4.76666666666667,9.94117647058823,9.16666666666667,9.125,9.58823529411765,8.24137931034482,12.4230769230769
