,SAMR_45385_Ct_pian,SAMR_48807_Ct_pian,UMMZ_242644_Ct_pian,WAMR_099165_Ct_duri,WAMR_119955_Ct_pian,WAMR_139394_Ct_duri,WAMR_157067_Ct_duri,WAMR_160095_Ct_duri,WAMR_161462_Ct_duri,WAMR_162334_Ct_duri,WAMR_166456_Ct_pian,WAMR_170467_Ct_duri,WAMR_170880_Ct_duri
SAMR_45385_Ct_pian,NA,111.103084620507,936.99984236718,1390.00996125341,1153.91596074003,1272.09282219466,1291.39640889863,1209.22932285629,1348.42253204444,1293.72845417086,370.843514252364,1178.74452234711,1370.9282855203
SAMR_48807_Ct_pian,111.103084620507,NA,935.026506431224,1309.70124780793,1082.81279565464,1198.29480953914,1205.3107260026,1138.87262908689,1274.90961053289,1212.96237550483,337.410761061545,1090.92659705342,1294.07326800061
UMMZ_242644_Ct_pian,936.99984236718,935.026506431224,NA,955.658016588741,700.712820332598,801.034659015472,958.366181329971,724.731515342726,849.594229147954,894.376318957539,607.326980360771,909.393745148787,902.297440927375
WAMR_099165_Ct_duri,1390.00996125341,1309.70124780793,955.658016588741,NA,269.799463907166,155.078292114853,143.353941931124,232.866664925197,118.349255755579,96.8603868783913,1055.07097736891,249.955273143726,61.0506863431356
WAMR_119955_Ct_pian,1153.91596074003,1082.81279565464,700.712820332598,269.799463907166,NA,122.734986602275,259.954187959151,56.6029287328939,196.452148742997,194.815831663815,803.911591510225,243.170960865574,230.209689813376
WAMR_139394_Ct_duri,1272.09282219466,1198.29480953914,801.034659015472,155.078292114853,122.734986602275,NA,197.535528523899,78.202909537183,76.6362216366922,109.492356364938,925.294536694101,239.451100939,108.407990979619
WAMR_157067_Ct_duri,1291.39640889863,1205.3107260026,958.366181329971,143.353941931124,259.954187959151,197.535528523899,NA,252.192715659691,216.831717019179,90.2695305839578,973.259232738665,117.36633766595,177.965571969967
WAMR_160095_Ct_duri,1209.22932285629,1138.87262908689,724.731515342726,232.866664925197,56.6029287328939,78.202909537183,252.192715659691,NA,145.161842272,173.498664470207,857.359794934882,261.421338135261,185.888081506616
WAMR_161462_Ct_duri,1348.42253204444,1274.90961053289,849.594229147954,118.349255755579,196.452148742997,76.6362216366922,216.831717019179,145.161842272,NA,129.479155229525,1000.31678625066,288.647566369523,57.525938319503
WAMR_162334_Ct_duri,1293.72845417086,1212.96237550483,894.376318957539,96.8603868783913,194.815831663815,109.492356364938,90.2695305839578,173.498664470207,129.479155229525,NA,961.207454777291,165.618411649082,101.877613064103
WAMR_166456_Ct_pian,370.843514252364,337.410761061545,607.326980360771,1055.07097736891,803.911591510225,925.294536694101,973.259232738665,857.359794934882,1000.31678625066,961.207454777291,NA,868.645436821738,1028.80365876991
WAMR_170467_Ct_duri,1178.74452234711,1090.92659705342,909.393745148787,249.955273143726,243.170960865574,239.451100939,117.36633766595,261.421338135261,288.647566369523,165.618411649082,868.645436821738,NA,267.482150145385
WAMR_170880_Ct_duri,1370.9282855203,1294.07326800061,902.297440927375,61.0506863431356,230.209689813376,108.407990979619,177.965571969967,185.888081506616,57.525938319503,101.877613064103,1028.80365876991,267.482150145385,NA
