,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_55725_Ct_spal
NA_CCM2497_Ct_spal,NA,46.9060253134198,207.852284052217,356.988187305397,359.61890531599,413.272149476199,340.209788814538,340.209788814538,722.931125501646,436.163904009152,1542.723591504,1546.09145235455,1465.71431087716
NA_CCM5477_Ct_vert,46.9060253134198,NA,191.696473377875,370.944719866975,372.955783294037,423.021958731053,355.893036520811,355.893036520811,734.637122536461,414.467126205573,1554.50043556151,1557.52248791154,1477.60633188861
NTMR_21670_Ct_spal,207.852284052217,191.696473377875,NA,238.981342354326,238.449323919611,271.237472412955,232.729150348998,232.729150348998,576.41899376967,229.259842695355,1389.97953748532,1392.20948222607,1313.61732170505
NTMR_22298_Ct_spal,356.988187305397,370.944719866975,238.981342354326,NA,5.54871145832505,65.2025523268312,21.0882935012778,21.0882935012778,366.069326205859,306.316679467326,1185.73549718949,1189.11894865638,1108.7264230341
NTMR_22299_Ct_spal,359.61890531599,372.955783294037,238.449323919611,5.54871145832505,NA,60.4209729244389,26.1940913292368,26.1940913292368,363.322293668932,301.847736104841,1183.14417803502,1186.47935574286,1106.14716666378
NTMR_22325_Ct_spal,413.272149476199,423.021958731053,271.237472412955,65.2025523268312,60.4209729244389,NA,86.2630223208555,86.2630223208555,311.799523880551,285.248999160682,1131.48369917493,1134.50378995093,1054.60120687044
NTMR_22621_Ct_spal,340.209788814538,355.893036520811,232.729150348998,21.0882935012778,26.1940913292368,86.2630223208555,NA,0,383.71223165588,316.801184421156,1202.81623653137,1206.31962806876,1125.7832541859
NTMR_22622_Ct_spal,340.209788814538,355.893036520811,232.729150348998,21.0882935012778,26.1940913292368,86.2630223208555,0,NA,383.71223165588,316.801184421156,1202.81623653137,1206.31962806876,1125.7832541859
SAMAR_34202_Ct_spal,722.931125501646,734.637122536461,576.41899376967,366.069326205859,363.322293668932,311.799523880551,383.71223165588,383.71223165588,NA,501.136873973274,820.018639310529,823.237553414176,743.068309090704
SAMAR_51093_Ct_spal,436.163904009152,414.467126205573,229.259842695355,306.316679467326,301.847736104841,285.248999160682,316.801184421156,316.801184421156,501.136873973274,NA,1265.26470784406,1265.74276811025,1191.32381841297
SAMAR_54485_Ct_spal,1542.723591504,1554.50043556151,1389.97953748532,1185.73549718949,1183.14417803502,1131.48369917493,1202.81623653137,1202.81623653137,820.018639310529,1265.26470784406,NA,12.1085259740072,77.0540686333414
SAMAR_55675_Ct_spal,1546.09145235455,1557.52248791154,1392.20948222607,1189.11894865638,1186.47935574286,1134.50378995093,1206.31962806876,1206.31962806876,823.237553414176,1265.74276811025,12.1085259740072,NA,81.5824662291312
SAMR_55725_Ct_spal,1465.71431087716,1477.60633188861,1313.61732170505,1108.7264230341,1106.14716666378,1054.60120687044,1125.7832541859,1125.7832541859,743.068309090704,1191.32381841297,77.0540686333414,81.5824662291312,NA
