,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,311.744197747037,252.362088252116,1357.64991234104,689.220546900453,536.533789258836,501.735263083932,121.2087584663,601.57335014031,399.896205756652,738.421268097275
CUMV_14742_Ct_leon,311.744197747037,NA,431.637004311823,1249.10410624017,515.823683274435,704.17925924629,348.971200622397,295.553867132381,839.994103452643,328.664806348421,606.037154810892
CUMV_14744_Ct_leon,252.362088252116,431.637004311823,NA,1600.35939861971,905.425376935813,291.397426799246,719.065933079044,156.480922847878,409.236631235569,288.798206474779,969.518743154425
NA_CCM1955_Ct_leon,1357.64991234104,1249.10410624017,1600.35939861971,NA,738.84730380061,1891.11982094622,902.117036057489,1445.12256791286,1945.75953739759,1577.71683366485,643.466718429481
SAMR_62131_Ct_leon,689.220546900453,515.823683274435,905.425376935813,738.84730380061,NA,1194.71124346309,187.848573322066,749.710059434496,1289.89804506837,842.708244341146,119.071065124742
WAMR_117303_Ct_leon,536.533789258836,704.17925924629,291.397426799246,1891.11982094622,1194.71124346309,NA,1009.23047268636,447.759876695088,223.672121277531,456.143966666598,1260.8098890024
WAMR_119774_Ct_leon,501.735263083932,348.971200622397,719.065933079044,902.117036057489,187.848573322066,1009.23047268636,NA,562.9533562789,1102.0856238969,677.211531308039,258.774345507304
WAMR_129973_Ct_leon,121.2087584663,295.553867132381,156.480922847878,1445.12256791286,749.710059434496,447.759876695088,562.9533562789,NA,551.130845902757,286.862816008943,813.066256269502
WAMR_131785_Ct_leon,601.57335014031,839.994103452643,409.236631235569,1945.75953739759,1289.89804506837,223.672121277531,1102.0856238969,551.130845902757,NA,647.959570285772,1338.98540705942
WAMR_144639_Ct_leon,399.896205756652,328.664806348421,288.798206474779,1577.71683366485,842.708244341146,456.143966666598,677.211531308039,286.862816008943,647.959570285772,NA,934.697893619898
WAMR_166448_Ct_leon,738.421268097275,606.037154810892,969.518743154425,643.466718429481,119.071065124742,1260.8098890024,258.774345507304,813.066256269502,1338.98540705942,934.697893619898,NA
