,CUMV_1450314572_Ct_pant,CUMV_14516_Ct_pant,CUMV_14517_Ct_pant,CUMV_14525_Ct_pant,CUMV_14526_Ct_pant,CUMV_14527_Ct_pant,CUMV_14559_Ct_pant,CUMV_14567_Ct_pant,CUMV_14570_Ct_pant,CUMV_1457314504_Ct_pant,NA_CCM1889_Ct_pant,NA_CCM2756_Ct_pant,QM_62378_Ct_pant,SAMR_42153_Ct_pant,SAMR_44378_Ct_pant,SAMR_44860_Ct_pant,SAMR_45310_Ct_pant,SAMR_45528_Ct_pant,UMMZ_242633_Ct_pant,UMMZ_242634_Ct_pant,UMMZ_242638_Ct_pant,UMMZ_242639_Ct_pant,WAMR_108704_Ct_pant,WAMR_119962_Ct_pant,WAMR_129885_Ct_pant,WAMR_131057_Ct_pant,WAMR_139092_Ct_pant,WAMR_140704_Ct_pant
CUMV_1450314572_Ct_pant,NA,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,0,0,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,1102.76938764865,507.087520795678,520.115915628174,732.257510562598,713.457126561121,450.633235521622
CUMV_14516_Ct_pant,311.744197747037,NA,0,0,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,1143.19542432974,755.119889267549,445.995799959329,708.140079845454,956.850228558226,753.890758818676
CUMV_14517_Ct_pant,311.744197747037,0,NA,0,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,1143.19542432974,755.119889267549,445.995799959329,708.140079845454,956.850228558226,753.890758818676
CUMV_14525_Ct_pant,311.744197747037,0,0,NA,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,1143.19542432974,755.119889267549,445.995799959329,708.140079845454,956.850228558226,753.890758818676
CUMV_14526_Ct_pant,311.744197747037,0,0,0,NA,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,1143.19542432974,755.119889267549,445.995799959329,708.140079845454,956.850228558226,753.890758818676
CUMV_14527_Ct_pant,311.744197747037,0,0,0,0,NA,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1169.64046156101,1579.11183037451,1498.53256473812,1682.00674157247,654.240494840911,811.536460204179,1174.86771700331,1002.10321734602,1114.81209978535,1114.81209978535,1068.02709195593,1068.02709195593,1143.19542432974,755.119889267549,445.995799959329,708.140079845454,956.850228558226,753.890758818676
CUMV_14559_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,NA,0,0,0,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,1102.76938764865,507.087520795678,520.115915628174,732.257510562598,713.457126561121,450.633235521622
CUMV_14567_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,NA,0,0,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,1102.76938764865,507.087520795678,520.115915628174,732.257510562598,713.457126561121,450.633235521622
CUMV_14570_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,NA,0,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,1102.76938764865,507.087520795678,520.115915628174,732.257510562598,713.457126561121,450.633235521622
CUMV_1457314504_Ct_pant,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,0,0,0,NA,1328.62468874459,1690.06495155177,1685.39934359517,1905.25820112802,857.11216481354,1022.00501935526,1476.16931515497,1303.12871350832,925.243105440421,925.243105440421,1008.27652366995,1008.27652366995,1102.76938764865,507.087520795678,520.115915628174,732.257510562598,713.457126561121,450.633235521622
