,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho
NA_ABTC113798_Ct_scho,NA,1154.50737644611,406.448549331298,520.646681339278,1193.49575045001,1036.58343646773,1090.24936183224,1410.2840457002,866.388607139633,912.115590224777,743.95079833989,1177.09510641656,686.775736578799,1159.38133833342,1523.70275178222,1147.12910679092,1500.8749279725,1.0517930574462
NA_ABTC12623_Ct_scho,1154.50737644611,NA,921.537258700457,1001.00187367505,1326.70170049059,1293.34369647798,317.820867259484,309.180728573592,704.179598645233,1221.003744146,1122.42490402147,1104.72396967005,546.76498391286,1176.88036703174,628.443050219855,631.195197869377,378.45902405608,1153.68044261842
SAMAR_24578_Ct_scho,406.448549331298,921.537258700457,NA,158.500302160324,833.443715187487,694.560243759911,767.02781730384,1120.55659937558,468.686216416532,571.165680374273,399.577682491853,780.894923234815,379.101676288438,774.103414129952,1164.25989445847,759.980377124407,1215.40267430943,406.348930725272
SAMAR_35050_Ct_scho,520.646681339278,1001.00187367505,158.500302160324,NA,684.103970395876,539.383748671373,801.518046903402,1165.11447718747,433.252939058717,415.00475929773,242.482016826065,657.944561525829,456.593768098658,638.993565372714,1156.43103234078,729.675073611513,1260.2930519991,520.79820845388
SAMAR_37073_Ct_scho,1193.49575045001,1326.70170049059,833.443715187487,684.103970395876,NA,169.392121562917,1019.92116328243,1332.42456774455,639.393899977413,284.95351201974,449.570290262909,252.408622118734,924.773986643693,160.137191039044,1114.98621719832,742.049393818654,1413.00192539868,1193.80790334807
SAMAR_41321_Ct_scho,1036.58343646773,1293.34369647798,694.560243759911,539.383748671373,169.392121562917,NA,1001.96209591439,1338.67649595046,589.602900364226,125.242557790125,297.7429202889,329.322925120398,841.017273300136,242.087387701511,1165.83821925973,757.897656377147,1424.91232460998,1036.95301886496
SAMAR_41903_Ct_scho,1090.24936183224,317.820867259484,767.02781730384,801.518046903402,1019.92116328243,1001.96209591439,NA,365.034144656398,426.213922822149,943.286803526626,870.187644218521,790.735259185362,404.992392878651,866.501632771191,455.260918993998,314.27681031373,459.801581986513,1089.63413682884
SAMAR_46104_Ct_scho,1410.2840457002,309.180728573592,1120.55659937558,1165.11447718747,1332.42456774455,1338.67649595046,365.034144656398,NA,784.291105927117,1292.5122492224,1231.35840403743,1087.1178895969,745.410661133692,1173.2785126257,381.637421916146,590.411144002422,95.2444789414416,1409.55372438195
SAMAR_46452_Ct_scho,866.388607139633,704.179598645233,468.686216416532,433.252939058717,639.393899977413,589.602900364226,426.213922822149,784.291105927117,NA,519.593326640839,447.546588932675,457.276993003729,313.945025246328,505.335790742809,724.784761436487,297.151807137622,876.76109977721,866.130640579434
SAMAR_48325_Ct_scho,912.115590224777,1221.003744146,571.165680374273,415.00475929773,284.95351201974,125.242557790125,943.286803526626,1292.5122492224,519.593326640839,NA,172.799358553616,374.657748945011,742.517575340709,306.538482359125,1154.23792317138,728.865350453608,1381.92962636293,912.471061940427
