,CUMV_14357_Ct_dux,CUMV_14361_Ct_dux,CUMV_14362_Ct_dux,CUMV_14366_Ct_dux,CUMV_14367_Ct_dux,CUMV_14370_Ct_dux,CUMV_14373_Ct_dux,CUMV_14374_Ct_dux,QMJ_62380_Ct_dux,SAMAR_29946_Ct_dux,SAMAR_48573_Ct_dux,SAMAR_57212_Ct_dux,SAMR_36098_Ct_dux,SAMR_42034_Ct_dux,SAMR_45608_Ct_dux,SAMR_46165_Ct_dux,SAMR_56476_Ct_dux,SAMR_62379_Ct_dux,WAMR_166441_Ct_dux
CUMV_14357_Ct_dux,NA,0,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1685.38810101096,1029.69842204117,869.37258604015,960.815345052725,953.990433379127,880.515132848256,971.975244010182,762.34872763223,821.985829940661,868.142461091369,743.193339524681
CUMV_14361_Ct_dux,0,NA,0,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1685.38810101096,1029.69842204117,869.37258604015,960.815345052725,953.990433379127,880.515132848256,971.975244010182,762.34872763223,821.985829940661,868.142461091369,743.193339524681
CUMV_14362_Ct_dux,0,0,NA,311.744197747037,311.744197747037,311.744197747037,311.744197747037,311.744197747037,1685.38810101096,1029.69842204117,869.37258604015,960.815345052725,953.990433379127,880.515132848256,971.975244010182,762.34872763223,821.985829940661,868.142461091369,743.193339524681
CUMV_14366_Ct_dux,311.744197747037,311.744197747037,311.744197747037,NA,0,0,0,0,1498.51591258956,841.505818288955,632.239459472166,692.540784455725,780.15294103478,677.579037923295,741.95577474014,556.929968179773,593.794749577016,597.890909583052,619.53680422432
CUMV_14367_Ct_dux,311.744197747037,311.744197747037,311.744197747037,0,NA,0,0,0,1498.51591258956,841.505818288955,632.239459472166,692.540784455725,780.15294103478,677.579037923295,741.95577474014,556.929968179773,593.794749577016,597.890909583052,619.53680422432
CUMV_14370_Ct_dux,311.744197747037,311.744197747037,311.744197747037,0,0,NA,0,0,1498.51591258956,841.505818288955,632.239459472166,692.540784455725,780.15294103478,677.579037923295,741.95577474014,556.929968179773,593.794749577016,597.890909583052,619.53680422432
CUMV_14373_Ct_dux,311.744197747037,311.744197747037,311.744197747037,0,0,0,NA,0,1498.51591258956,841.505818288955,632.239459472166,692.540784455725,780.15294103478,677.579037923295,741.95577474014,556.929968179773,593.794749577016,597.890909583052,619.53680422432
CUMV_14374_Ct_dux,311.744197747037,311.744197747037,311.744197747037,0,0,0,0,NA,1498.51591258956,841.505818288955,632.239459472166,692.540784455725,780.15294103478,677.579037923295,741.95577474014,556.929968179773,593.794749577016,597.890909583052,619.53680422432
QMJ_62380_Ct_dux,1685.38810101096,1685.38810101096,1685.38810101096,1498.51591258956,1498.51591258956,1498.51591258956,1498.51591258956,1498.51591258956,NA,659.891116667265,878.962445581856,887.327932022794,731.680084238836,821.13118245684,769.595626209269,942.243179642352,908.956820471535,964.41259142172,949.772320922179
SAMAR_29946_Ct_dux,1029.69842204117,1029.69842204117,1029.69842204117,841.505818288955,841.505818288955,841.505818288955,841.505818288955,841.505818288955,659.891116667265,NA,258.445950814632,352.814825732259,85.7110430398866,166.32283799516,179.385039768216,284.798861858103,268.89603103271,384.252402749293,320.315270806647
SAMAR_48573_Ct_dux,869.37258604015,869.37258604015,869.37258604015,632.239459472166,632.239459472166,632.239459472166,632.239459472166,632.239459472166,878.962445581856,258.445950814632,NA,153.611016263061,246.819006754939,120.699873635232,110.493354541399,136.420036503129,53.2867581389091,135.633176170569,327.982567159171
SAMAR_57212_Ct_dux,960.815345052725,960.815345052725,960.815345052725,692.540784455725,692.540784455725,692.540784455725,692.540784455725,692.540784455725,887.327932022794,352.814825732259,153.611016263061,NA,371.396255151821,262.525936465526,173.77884421196,284.744771794664,201.166767308573,94.6499236908755,481.5909487079
SAMR_36098_Ct_dux,953.990433379127,953.990433379127,953.990433379127,780.15294103478,780.15294103478,780.15294103478,780.15294103478,780.15294103478,731.680084238836,85.7110430398866,246.819006754939,371.396255151821,NA,130.573875689966,203.205036489066,231.03675291691,239.763820491724,381.672520049704,234.97261175464
SAMR_42034_Ct_dux,880.515132848256,880.515132848256,880.515132848256,677.579037923295,677.579037923295,677.579037923295,677.579037923295,677.579037923295,821.13118245684,166.32283799516,120.699873635232,262.525936465526,130.573875689966,NA,125.426740898094,121.324934258186,109.379175949948,256.207209414123,238.293652113963
