,AMSR_111496_Ct_essi,NA_CCM3982_Ct_essi,NA_CCM4853_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_CCM6122_Ct_essi,NA_CCM6150_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NA_NEB008_Ct_essi,NTMR_13717_Ct_essi,NTMR_22188_Ct_essi,NTMR_22191_Ct_essi
AMSR_111496_Ct_essi,NA,163.062126532159,229.853585466511,109.585333105981,121.224098931859,230.041694896736,226.735591635211,45.3554636075418,50.9761030301704,299.569427024676,109.874351061193,225.638620403468,225.652238774733
NA_CCM3982_Ct_essi,163.062126532159,NA,272.566333227405,170.982794891085,175.871687347017,270.441068668066,266.499174541682,157.216097567071,149.983523493118,221.701612602764,156.127358463158,286.381646469924,286.416299772512
NA_CCM4853_Ct_essi,229.853585466511,272.566333227405,NA,124.239743442071,113.460847292649,3.80451283851143,6.70502982849565,185.626839842419,182.717312816905,190.591459835899,131.583866339196,29.8414170393988,29.8815149656345
NA_CCM5043_Ct_essi,109.585333105981,170.982794891085,124.239743442071,NA,11.6387724559802,123.796339447823,120.191790470773,64.2304412625133,59.6599919741283,209.553347996812,15.8987882766345,126.81007543759,126.834597042966
NA_CCM5044_Ct_essi,121.224098931859,175.871687347017,113.460847292649,11.6387724559802,NA,112.883192848917,109.225476778027,75.8692012327769,71.2211341363805,201.145658468902,20.217668401011,117.4322352978,117.458742991694
NA_CCM6122_Ct_essi,230.041694896736,270.441068668066,3.80451283851143,123.796339447823,112.883192848917,NA,3.95162269773323,185.637317505619,182.553164873938,186.789237942862,130.722909399259,33.6000174388208,33.6404188484606
NA_CCM6150_Ct_essi,226.735591635211,266.499174541682,6.70502982849565,120.191790470773,109.225476778027,3.95162269773323,NA,182.239235750388,179.065750381044,184.74670906172,126.956897358584,35.224805343496,35.2666543759694
NA_K021_Ct_essi,45.3554636075418,157.216097567071,185.626839842419,64.2304412625133,75.8692012327769,185.637317505619,182.239235750388,NA,8.96756009396266,260.40729438622,65.2825619083694,183.32692142737,183.343807816897
NA_K073_Ct_essi,50.9761030301704,149.983523493118,182.717312816905,59.6599919741283,71.2211341363805,182.553164873938,179.065750381044,8.96756009396266,NA,252.1614801545,58.8991243733817,181.82990176075,181.848706402725
NA_NEB008_Ct_essi,299.569427024676,221.701612602764,190.591459835899,209.553347996812,201.145658468902,186.789237942862,184.74670906172,260.40729438622,252.1614801545,NA,199.826687960023,219.920751768341,219.963122398387
NTMR_13717_Ct_essi,109.874351061193,156.127358463158,131.583866339196,15.8987882766345,20.217668401011,130.722909399259,126.956897358584,65.2825619083694,58.8991243733817,199.826687960023,NA,137.153335323623,137.181033555956
NTMR_22188_Ct_essi,225.638620403468,286.381646469924,29.8414170393988,126.81007543759,117.4322352978,33.6000174388208,35.224805343496,183.32692142737,181.82990176075,219.920751768341,137.153335323623,NA,0.0434435132119949
NTMR_22191_Ct_essi,225.652238774733,286.416299772512,29.8815149656345,126.834597042966,117.458742991694,33.6404188484606,35.2666543759694,183.343807816897,181.848706402725,219.963122398387,137.181033555956,0.0434435132119949,NA
