,NA_ABTC113897_Ct_hebe,SAMAR_42776_Ct_hebe,SAMAR_42788_Ct_hebe,SAMAR_42880_Ct_hebe,SAMAR_55677_Ct_hebe,SAMR_55678_Ct_hebe,SAMR_65346_Ct_hebe,SAMR_65347_Ct_hebe,SAMR_65379_Ct_hebe,SAMR_65380_Ct_hebe
NA_ABTC113897_Ct_hebe,NA,423.928721870456,363.115186953102,307.671178467913,679.259141062078,679.226602233142,551.137201770697,551.137201770697,306.279667764119,306.279667764119
SAMAR_42776_Ct_hebe,423.928721870456,NA,200.333712574709,138.335964636235,300.939392648241,300.917049655998,308.555014242358,308.555014242358,126.826898951739,126.826898951739
SAMAR_42788_Ct_hebe,363.115186953102,200.333712574709,NA,235.689169747623,495.775097767386,495.756469853019,193.144000493661,193.144000493661,212.20285743886,212.20285743886
SAMAR_42880_Ct_hebe,307.671178467913,138.335964636235,235.689169747623,NA,373.863188869339,373.832043752392,402.118856367231,402.118856367231,23.4974620153606,23.4974620153606
SAMAR_55677_Ct_hebe,679.259141062078,300.939392648241,495.775097767386,373.863188869339,NA,0.0369876024591476,540.884524771596,540.884524771596,380.616112347132,380.616112347132
SAMR_55678_Ct_hebe,679.226602233142,300.917049655998,495.756469853019,373.832043752392,0.0369876024591476,NA,540.878532923587,540.878532923587,380.586213294525,380.586213294525
SAMR_65346_Ct_hebe,551.137201770697,308.555014242358,193.144000493661,402.118856367231,540.884524771596,540.878532923587,NA,0,379.666287981817,379.666287981817
SAMR_65347_Ct_hebe,551.137201770697,308.555014242358,193.144000493661,402.118856367231,540.884524771596,540.878532923587,0,NA,379.666287981817,379.666287981817
SAMR_65379_Ct_hebe,306.279667764119,126.826898951739,212.20285743886,23.4974620153606,380.616112347132,380.586213294525,379.666287981817,379.666287981817,NA,0
SAMR_65380_Ct_hebe,306.279667764119,126.826898951739,212.20285743886,23.4974620153606,380.616112347132,380.586213294525,379.666287981817,379.666287981817,0,NA
