,NA_CCM0535_Ct_inor,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,NTMR_25983_Ct_spal,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
NA_CCM0535_Ct_inor,NA,267.120343229692,290.639271907773,350.457245989813,462.978900352753,58.9155877574992,385.686141997906,524.420234715631,717.724014537009,849.284863056092,536.860353300189,537.018542730891,699.55211050864,363.932450821128,1624.76220448675,1613.07329172945,1273.41191490585,1267.69193375699,1342.73814498997,1121.76450840937,1930.69540737634
NA_CCM2292_Ct_inor,267.120343229692,NA,80.536196140494,105.177436292242,196.796099442506,325.304947118847,334.06854572738,610.241138336259,847.162130169478,1099.05109393315,803.153398495162,803.316806433106,956.315886434476,627.315708965493,1878.17153491403,1864.20068252086,1531.67798416649,1525.86864929207,1597.52215576842,1378.08216118272,2183.63998830122
NA_CCM2518_Ct_vert,290.639271907773,80.536196140494,NA,63.5458178683983,190.649033114232,349.293736297343,414.55880186717,685.450682687595,918.843193198573,1088.92871412705,824.404595689218,824.55190801503,952.979088750679,634.647394273591,1868.24560938409,1852.36415872205,1527.27609581447,1521.38652512511,1589.48627641662,1372.16826074143,2172.77742395431
NA_CCM2565_Ct_vert,350.457245989813,105.177436292242,63.5458178683983,NA,128.747369605911,409.340078151935,424.56636939575,712.415472347904,951.241437370244,1151.86636745164,885.94013636205,886.090685846071,1016.44375853979,697.894325571739,1931.04963848234,1914.92419436355,1590.61922826861,1584.72521243393,1652.5323937913,1435.42638078071,2235.42903075277
NA_CCM3869_Ct_inor,462.978900352753,196.796099442506,190.649033114232,128.747369605911,NA,521.521218754511,437.946483603502,748.724624444731,995.138840322558,1279.41881469145,999.622936990905,999.784291898643,1142.19172795246,819.214729834025,2058.81030589359,2043.00850804725,1716.98708778686,1711.11383055229,1779.84131750438,1562.14895214031,2363.40300779801
NTMR_25983_Ct_spal,58.9155877574992,325.304947118847,349.293736297343,409.340078151935,521.521218754511,NA,411.195576830251,511.989051680831,690.119438026299,800.941180925986,478.145244369788,478.305018878402,648.517541625075,310.36700101747,1573.91209163943,1563.09515321643,1220.82875195903,1215.15205560974,1291.55626001111,1070.16380922336,1879.85498219592
SAMAR_34180_Ct_bore,385.686141997906,334.06854572738,414.55880186717,424.56636939575,437.946483603502,411.195576830251,NA,317.936340890965,566.72447526076,1187.26262269529,787.262229151531,787.477190674832,1026.86209508852,690.980536000697,1941.51055063155,1935.45613945559,1580.91688546755,1575.59684835969,1659.51662615353,1438.1961395703,2245.72960127167
SAMR_38776_Ct_saxa,524.420234715631,610.241138336259,685.450682687595,712.415472347904,748.724624444731,511.989051680831,317.936340890965,NA,248.788585248533,1129.42408697632,675.529366687892,675.758024694169,966.194554316612,674.835868056005,1826.25763401241,1827.65749327506,1464.57083109972,1459.91469366398,1551.87786744575,1338.31086273977,2122.36241983103
SAMR_53975_Ct_saxa,717.724014537009,847.162130169478,918.843193198573,951.241437370244,995.138840322558,690.119438026299,566.72447526076,248.788585248533,NA,1145.29123920078,685.395660409009,685.604131969563,989.974846946137,761.2307986421,1770.6101336192,1778.34331982338,1417.09917848354,1413.16857788816,1509.33873649141,1309.47349903332,2054.64816960991
UMMZ_242624_Ct_inor,849.284863056092,1099.05109393315,1088.92871412705,1151.86636745164,1279.41881469145,800.941180925986,1187.26262269529,1129.42408697632,1145.29123920078,NA,462.040960085833,461.822322953189,163.856632552369,497.121201587642,779.535351043831,765.20010586379,445.229071667642,439.20412135526,500.914638989581,288.479884755132,1084.68138823958
