"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
265,4579,409,99,"Acanthophis hawkei"
270,2941,877,110,"Acanthophis hawkei"
254,5685,302,86,"Acanthophis hawkei"
262,4108,478,109,"Acanthophis hawkei"
259,5029,355,94,"Acanthophis hawkei"
263,4051,497,110,"Acanthophis hawkei"
269,3092,779,118,"Acanthophis hawkei"
241,4994,416,95,"Acanthophis hawkei"
269,3117,797,114,"Acanthophis hawkei"
263,2523,871,107,"Acanthophis hawkei"
253,4828,415,94,"Acanthophis hawkei"
258,4967,342,95,"Acanthophis hawkei"
265,4085,506,108,"Acanthophis hawkei"
261,4730,372,96,"Acanthophis hawkei"
263,4338,494,111,"Acanthophis hawkei"
262,3183,845,112,"Acanthophis hawkei"
260,4260,465,106,"Acanthophis hawkei"
261,3109,780,116,"Acanthophis hawkei"
262,2580,876,108,"Acanthophis hawkei"
253,4691,422,104,"Acanthophis hawkei"
267,3053,751,117,"Acanthophis hawkei"
266,4074,553,110,"Acanthophis hawkei"
264,4392,500,110,"Acanthophis hawkei"
264,3442,656,115,"Acanthophis hawkei"
258,5259,337,91,"Acanthophis hawkei"
267,2791,983,107,"Acanthophis hawkei"
265,3606,706,111,"Acanthophis hawkei"
264,4085,503,110,"Acanthophis hawkei"
261,4090,471,107,"Acanthophis hawkei"
245,5028,416,95,"Acanthophis hawkei"
260,3294,768,114,"Acanthophis hawkei"
255,3310,726,112,"Acanthophis hawkei"
269,2927,791,119,"Acanthophis hawkei"
262,4288,444,106,"Acanthophis hawkei"
267,2667,990,118,"Acanthophis hawkei"
259,5038,361,99,"Acanthophis hawkei"
271,3110,732,122,"Acanthophis hawkei"
260,4003,538,112,"Acanthophis hawkei"
268,3245,678,117,"Acanthophis hawkei"
255,3971,596,111,"Acanthophis hawkei"
254,2083,1306,107,"Acanthophis hawkei"
269,3731,584,108,"Acanthophis hawkei"
262,3060,857,112,"Acanthophis hawkei"
255,4566,424,95,"Acanthophis hawkei"
252,5076,399,99,"Acanthophis hawkei"
259,4875,387,97,"Acanthophis hawkei"
261,3289,683,114,"Acanthophis hawkei"
264,3282,703,114,"Acanthophis hawkei"
265,4477,429,102,"Acanthophis hawkei"
262,3641,612,114,"Acanthophis hawkei"
265,3148,765,115,"Acanthophis hawkei"
266,3136,818,115,"Acanthophis hawkei"
268,3011,815,114,"Acanthophis hawkei"
265,2997,929,117,"Acanthophis hawkei"
267,2579,976,107,"Acanthophis hawkei"
264,3863,591,110,"Acanthophis hawkei"
268,3197,854,121,"Acanthophis hawkei"
261,2424,1211,108,"Acanthophis hawkei"
265,2867,926,111,"Acanthophis hawkei"
263,3843,526,112,"Acanthophis hawkei"
262,3360,622,112,"Acanthophis hawkei"
247,5523,350,85,"Acanthophis hawkei"
248,4993,445,97,"Acanthophis hawkei"
276,2127,1234,111,"Acanthophis hawkei"
263,3954,529,111,"Acanthophis hawkei"
259,4978,378,94,"Acanthophis hawkei"
270,2818,730,111,"Acanthophis hawkei"
265,2773,956,107,"Acanthophis hawkei"
267,3196,843,116,"Acanthophis hawkei"
249,5387,333,95,"Acanthophis hawkei"
269,2505,1075,115,"Acanthophis hawkei"
263,4049,490,117,"Acanthophis hawkei"
265,3262,722,114,"Acanthophis hawkei"
258,3449,593,113,"Acanthophis hawkei"
261,3735,526,112,"Acanthophis hawkei"
268,2516,899,110,"Acanthophis hawkei"
257,3870,547,110,"Acanthophis hawkei"
266,4012,569,111,"Acanthophis hawkei"
257,3951,556,109,"Acanthophis hawkei"
264,3948,534,113,"Acanthophis hawkei"
247,5309,339,89,"Acanthophis hawkei"
269,2368,1248,114,"Acanthophis hawkei"
269,3691,563,107,"Acanthophis hawkei"
259,4901,380,98,"Acanthophis hawkei"
257,5003,387,93,"Acanthophis hawkei"
261,3276,705,112,"Acanthophis hawkei"
263,3774,571,112,"Acanthophis hawkei"
269,3071,841,116,"Acanthophis hawkei"
266,2664,845,109,"Acanthophis hawkei"
262,4398,439,104,"Acanthophis hawkei"
267,3391,653,110,"Acanthophis hawkei"
262,3391,694,113,"Acanthophis hawkei"
259,4951,393,96,"Acanthophis hawkei"
263,3026,786,119,"Acanthophis hawkei"
269,3503,649,111,"Acanthophis hawkei"
264,2714,877,107,"Acanthophis hawkei"
275,2259,1231,112,"Acanthophis hawkei"
265,2815,897,113,"Acanthophis hawkei"
270,2750,956,111,"Acanthophis hawkei"
266,2732,961,117,"Acanthophis hawkei"
