"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
247,3120,786,118,"Acanthophis praelongus"
271,1634,1305,112,"Acanthophis praelongus"
265,2609,839,104,"Acanthophis praelongus"
269,2234,1168,123,"Acanthophis praelongus"
215,3700,782,94,"Acanthophis praelongus"
285,2608,788,116,"Acanthophis praelongus"
275,1922,1056,113,"Acanthophis praelongus"
276,1555,1316,118,"Acanthophis praelongus"
225,3280,854,111,"Acanthophis praelongus"
268,2417,900,104,"Acanthophis praelongus"
224,3106,996,88,"Acanthophis praelongus"
269,3040,781,123,"Acanthophis praelongus"
282,2161,980,116,"Acanthophis praelongus"
235,3298,744,111,"Acanthophis praelongus"
260,1413,1406,115,"Acanthophis praelongus"
269,2382,984,109,"Acanthophis praelongus"
270,1572,1641,123,"Acanthophis praelongus"
271,1752,1192,109,"Acanthophis praelongus"
270,2763,858,124,"Acanthophis praelongus"
272,1339,1602,104,"Acanthophis praelongus"
268,2822,744,109,"Acanthophis praelongus"
267,1798,1244,101,"Acanthophis praelongus"
245,2873,1924,90,"Acanthophis praelongus"
269,2582,990,127,"Acanthophis praelongus"
278,1719,1661,108,"Acanthophis praelongus"
243,2691,791,114,"Acanthophis praelongus"
277,1510,1724,104,"Acanthophis praelongus"
264,2894,750,120,"Acanthophis praelongus"
268,2353,908,115,"Acanthophis praelongus"
265,2727,835,122,"Acanthophis praelongus"
277,1912,1223,108,"Acanthophis praelongus"
246,2945,961,93,"Acanthophis praelongus"
262,1846,1136,114,"Acanthophis praelongus"
267,2712,835,123,"Acanthophis praelongus"
269,1894,1194,99,"Acanthophis praelongus"
185,1915,1902,99,"Acanthophis praelongus"
283,2613,865,113,"Acanthophis praelongus"
242,2223,3170,80,"Acanthophis praelongus"
209,3090,971,91,"Acanthophis praelongus"
262,3163,674,115,"Acanthophis praelongus"
264,2006,1345,110,"Acanthophis praelongus"
267,2088,1161,120,"Acanthophis praelongus"
268,2605,981,117,"Acanthophis praelongus"
274,2028,1340,105,"Acanthophis praelongus"
266,2242,1099,102,"Acanthophis praelongus"
285,2616,804,113,"Acanthophis praelongus"
244,2464,671,115,"Acanthophis praelongus"
276,1846,1326,102,"Acanthophis praelongus"
231,2848,865,109,"Acanthophis praelongus"
268,2871,913,109,"Acanthophis praelongus"
270,1595,1316,124,"Acanthophis praelongus"
269,2447,1001,117,"Acanthophis praelongus"
278,1730,1392,103,"Acanthophis praelongus"
270,2401,1091,128,"Acanthophis praelongus"
260,1888,1607,113,"Acanthophis praelongus"
270,1436,1828,124,"Acanthophis praelongus"
268,2966,799,113,"Acanthophis praelongus"
278,1500,1780,105,"Acanthophis praelongus"
259,2352,991,108,"Acanthophis praelongus"
220,2616,1001,111,"Acanthophis praelongus"
266,2099,1098,108,"Acanthophis praelongus"
229,3313,672,86,"Acanthophis praelongus"
269,3076,845,116,"Acanthophis praelongus"
280,2010,888,112,"Acanthophis praelongus"
223,3734,704,93,"Acanthophis praelongus"
210,3492,789,102,"Acanthophis praelongus"
259,2420,905,113,"Acanthophis praelongus"
261,1888,1137,115,"Acanthophis praelongus"
272,2622,952,112,"Acanthophis praelongus"
229,3359,698,106,"Acanthophis praelongus"
261,1444,1453,117,"Acanthophis praelongus"
269,3159,860,120,"Acanthophis praelongus"
272,2152,1360,110,"Acanthophis praelongus"
276,2806,735,109,"Acanthophis praelongus"
278,2713,936,108,"Acanthophis praelongus"
274,2195,1433,104,"Acanthophis praelongus"
267,2728,815,122,"Acanthophis praelongus"
256,2020,1126,104,"Acanthophis praelongus"
269,3029,809,114,"Acanthophis praelongus"
268,3107,866,116,"Acanthophis praelongus"
271,1931,991,110,"Acanthophis praelongus"
237,2870,1714,80,"Acanthophis praelongus"
248,2903,964,100,"Acanthophis praelongus"
219,2705,931,105,"Acanthophis praelongus"
261,2008,1091,116,"Acanthophis praelongus"
262,2751,845,111,"Acanthophis praelongus"
269,1596,1558,123,"Acanthophis praelongus"
269,2504,816,107,"Acanthophis praelongus"
269,1996,1051,125,"Acanthophis praelongus"
273,1257,1942,98,"Acanthophis praelongus"
255,1711,1193,119,"Acanthophis praelongus"
271,2803,877,113,"Acanthophis praelongus"
269,2648,931,116,"Acanthophis praelongus"
222,3276,730,84,"Acanthophis praelongus"
279,2777,667,114,"Acanthophis praelongus"
248,1322,1640,97,"Acanthophis praelongus"
266,2728,798,114,"Acanthophis praelongus"
269,2604,985,127,"Acanthophis praelongus"
235,2482,3957,70,"Acanthophis praelongus"
252,1674,1298,118,"Acanthophis praelongus"
273,1311,1258,98,"Acanthophis praelongus"
245,3261,831,118,"Acanthophis praelongus"
265,2472,905,107,"Acanthophis praelongus"
231,3729,648,85,"Acanthophis praelongus"
262,1913,1385,110,"Acanthophis praelongus"
271,2994,770,124,"Acanthophis praelongus"
269,2112,1239,124,"Acanthophis praelongus"
224,3680,653,94,"Acanthophis praelongus"
273,1612,1276,111,"Acanthophis praelongus"
269,2928,903,109,"Acanthophis praelongus"
218,3858,697,89,"Acanthophis praelongus"
269,2643,900,110,"Acanthophis praelongus"
262,1464,1432,119,"Acanthophis praelongus"
287,2716,736,112,"Acanthophis praelongus"
244,2203,1044,114,"Acanthophis praelongus"
260,2295,1159,109,"Acanthophis praelongus"
258,2115,1135,110,"Acanthophis praelongus"
265,2779,803,122,"Acanthophis praelongus"
228,3189,679,109,"Acanthophis praelongus"
278,2418,1011,111,"Acanthophis praelongus"
260,2185,1076,115,"Acanthophis praelongus"
276,2980,702,113,"Acanthophis praelongus"
269,3141,865,119,"Acanthophis praelongus"
267,3079,750,118,"Acanthophis praelongus"
280,2096,772,110,"Acanthophis praelongus"
260,1630,1167,108,"Acanthophis praelongus"
260,2675,949,110,"Acanthophis praelongus"
269,3146,838,118,"Acanthophis praelongus"
265,3118,842,115,"Acanthophis praelongus"
270,2061,1214,108,"Acanthophis praelongus"
269,1299,1755,116,"Acanthophis praelongus"
227,3460,711,95,"Acanthophis praelongus"
261,1867,1602,123,"Acanthophis praelongus"
268,2698,797,110,"Acanthophis praelongus"
270,2256,1176,126,"Acanthophis praelongus"
277,1705,1517,108,"Acanthophis praelongus"
269,2763,978,113,"Acanthophis praelongus"
269,2927,912,113,"Acanthophis praelongus"
279,2657,713,111,"Acanthophis praelongus"
269,2018,1231,123,"Acanthophis praelongus"
257,1830,1691,97,"Acanthophis praelongus"
269,1648,1203,96,"Acanthophis praelongus"
270,3173,837,116,"Acanthophis praelongus"
284,2854,706,111,"Acanthophis praelongus"
268,2761,817,107,"Acanthophis praelongus"
272,1746,1670,109,"Acanthophis praelongus"
278,1862,1254,101,"Acanthophis praelongus"
264,2047,1120,118,"Acanthophis praelongus"
267,1300,1739,116,"Acanthophis praelongus"
277,1871,1279,104,"Acanthophis praelongus"
263,1322,1566,115,"Acanthophis praelongus"
271,3107,783,112,"Acanthophis praelongus"
254,2267,1174,111,"Acanthophis praelongus"
268,2738,715,109,"Acanthophis praelongus"
264,2993,823,117,"Acanthophis praelongus"
269,2963,853,110,"Acanthophis praelongus"
272,1286,1874,100,"Acanthophis praelongus"
267,2937,883,112,"Acanthophis praelongus"
268,2065,1187,122,"Acanthophis praelongus"
279,1633,1415,102,"Acanthophis praelongus"
270,2590,946,125,"Acanthophis praelongus"
269,2826,822,124,"Acanthophis praelongus"
271,2609,956,112,"Acanthophis praelongus"
260,2907,770,118,"Acanthophis praelongus"
271,1860,1095,109,"Acanthophis praelongus"
260,2024,1072,115,"Acanthophis praelongus"
269,1438,1297,100,"Acanthophis praelongus"
271,2898,795,113,"Acanthophis praelongus"
259,2020,1112,114,"Acanthophis praelongus"
275,2010,1150,112,"Acanthophis praelongus"
270,2819,830,124,"Acanthophis praelongus"
261,2056,1318,110,"Acanthophis praelongus"
262,2604,1225,109,"Acanthophis praelongus"
278,1600,1562,104,"Acanthophis praelongus"
240,4014,618,79,"Acanthophis praelongus"
277,1615,1687,103,"Acanthophis praelongus"
279,2590,817,109,"Acanthophis praelongus"
241,3879,640,76,"Acanthophis praelongus"
278,2931,767,115,"Acanthophis praelongus"
274,1253,1849,96,"Acanthophis praelongus"
269,2711,893,125,"Acanthophis praelongus"
266,2506,886,118,"Acanthophis praelongus"
269,2725,898,125,"Acanthophis praelongus"
275,2444,1066,116,"Acanthophis praelongus"
260,1386,1393,115,"Acanthophis praelongus"
251,2382,1020,108,"Acanthophis praelongus"
216,3134,879,91,"Acanthophis praelongus"
237,3883,682,83,"Acanthophis praelongus"
263,1118,1627,114,"Acanthophis praelongus"
253,1559,1269,118,"Acanthophis praelongus"
256,2361,908,111,"Acanthophis praelongus"
261,2442,939,109,"Acanthophis praelongus"
265,3080,733,122,"Acanthophis praelongus"
264,2296,913,109,"Acanthophis praelongus"
269,3159,770,112,"Acanthophis praelongus"
247,1430,1477,115,"Acanthophis praelongus"
258,1359,1492,114,"Acanthophis praelongus"
273,2805,843,113,"Acanthophis praelongus"
256,2056,973,115,"Acanthophis praelongus"
263,2832,845,121,"Acanthophis praelongus"
265,2259,921,108,"Acanthophis praelongus"
263,1832,1322,107,"Acanthophis praelongus"
269,3083,837,112,"Acanthophis praelongus"
268,2631,786,106,"Acanthophis praelongus"
237,3196,1193,99,"Acanthophis praelongus"
261,2501,878,108,"Acanthophis praelongus"
265,2959,788,121,"Acanthophis praelongus"
285,2636,853,114,"Acanthophis praelongus"
268,3171,859,121,"Acanthophis praelongus"
263,2912,808,115,"Acanthophis praelongus"
260,3167,792,115,"Acanthophis praelongus"
261,1211,1543,115,"Acanthophis praelongus"
260,2554,879,117,"Acanthophis praelongus"
285,2690,757,111,"Acanthophis praelongus"
277,1792,1117,115,"Acanthophis praelongus"
278,1780,1453,103,"Acanthophis praelongus"
269,3106,878,118,"Acanthophis praelongus"
254,1737,1116,119,"Acanthophis praelongus"
269,1542,1307,101,"Acanthophis praelongus"
276,1973,1569,105,"Acanthophis praelongus"
233,3003,972,115,"Acanthophis praelongus"
262,1706,1352,113,"Acanthophis praelongus"
269,2290,1037,107,"Acanthophis praelongus"
276,1864,1587,105,"Acanthophis praelongus"
268,2928,877,112,"Acanthophis praelongus"
246,1808,1424,102,"Acanthophis praelongus"
246,2702,822,115,"Acanthophis praelongus"
246,2153,977,113,"Acanthophis praelongus"
262,2018,1130,116,"Acanthophis praelongus"
264,1573,1389,118,"Acanthophis praelongus"
265,3268,742,113,"Acanthophis praelongus"
269,2973,827,114,"Acanthophis praelongus"
269,1648,1363,110,"Acanthophis praelongus"
275,3166,767,116,"Acanthophis praelongus"
279,1741,1500,104,"Acanthophis praelongus"
255,2054,990,121,"Acanthophis praelongus"
278,1543,1617,104,"Acanthophis praelongus"
263,3106,796,116,"Acanthophis praelongus"
218,2717,2552,92,"Acanthophis praelongus"
261,1893,1164,121,"Acanthophis praelongus"
244,1836,1804,97,"Acanthophis praelongus"
270,1979,1172,98,"Acanthophis praelongus"
263,1153,1599,97,"Acanthophis praelongus"
272,2688,959,114,"Acanthophis praelongus"
246,3023,926,95,"Acanthophis praelongus"
277,2132,1262,103,"Acanthophis praelongus"
269,2416,995,116,"Acanthophis praelongus"
257,2207,1001,115,"Acanthophis praelongus"
268,2593,791,105,"Acanthophis praelongus"
258,2819,1020,120,"Acanthophis praelongus"
275,1350,1323,106,"Acanthophis praelongus"
245,3103,739,114,"Acanthophis praelongus"
252,2055,1216,114,"Acanthophis praelongus"
270,2203,1107,102,"Acanthophis praelongus"
246,3279,952,93,"Acanthophis praelongus"
254,1585,1262,115,"Acanthophis praelongus"
261,1946,1026,115,"Acanthophis praelongus"
267,1508,1261,95,"Acanthophis praelongus"
271,2996,818,110,"Acanthophis praelongus"
243,3164,834,92,"Acanthophis praelongus"
269,1926,1130,100,"Acanthophis praelongus"
261,2020,1435,110,"Acanthophis praelongus"
226,3405,688,103,"Acanthophis praelongus"
239,3998,626,80,"Acanthophis praelongus"
277,1548,1774,103,"Acanthophis praelongus"
267,1084,1588,113,"Acanthophis praelongus"
267,1317,1884,123,"Acanthophis praelongus"
278,1529,1751,104,"Acanthophis praelongus"
261,2466,974,115,"Acanthophis praelongus"
239,3851,645,79,"Acanthophis praelongus"
280,2746,744,112,"Acanthophis praelongus"
268,2878,837,119,"Acanthophis praelongus"
238,3471,746,82,"Acanthophis praelongus"
262,1577,1377,117,"Acanthophis praelongus"
264,2059,1050,116,"Acanthophis praelongus"
226,2263,2518,87,"Acanthophis praelongus"
258,2528,975,115,"Acanthophis praelongus"
270,2633,772,113,"Acanthophis praelongus"
269,2752,858,123,"Acanthophis praelongus"
257,2832,839,115,"Acanthophis praelongus"
263,2674,957,106,"Acanthophis praelongus"
268,2865,843,113,"Acanthophis praelongus"
270,2384,1056,120,"Acanthophis praelongus"
265,2765,953,117,"Acanthophis praelongus"
268,2037,1092,114,"Acanthophis praelongus"
266,1045,1642,108,"Acanthophis praelongus"
269,1837,1283,110,"Acanthophis praelongus"
272,2839,882,110,"Acanthophis praelongus"
267,3144,631,117,"Acanthophis praelongus"
269,1579,1444,112,"Acanthophis praelongus"
268,2809,865,106,"Acanthophis praelongus"
271,2958,798,111,"Acanthophis praelongus"
258,1680,1546,113,"Acanthophis praelongus"
262,1797,1129,114,"Acanthophis praelongus"
269,2338,1079,117,"Acanthophis praelongus"
268,2065,1158,108,"Acanthophis praelongus"
273,2640,993,110,"Acanthophis praelongus"
265,1098,1694,116,"Acanthophis praelongus"
268,2639,974,113,"Acanthophis praelongus"
219,2970,795,106,"Acanthophis praelongus"
253,2936,765,118,"Acanthophis praelongus"
