"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
278,1663,1561,105,"Acrochordus arafurae"
275,2254,1232,112,"Acrochordus arafurae"
269,2602,973,126,"Acrochordus arafurae"
269,2801,820,108,"Acrochordus arafurae"
267,2551,921,120,"Acrochordus arafurae"
269,2676,857,113,"Acrochordus arafurae"
271,3007,742,122,"Acrochordus arafurae"
270,2174,1187,123,"Acrochordus arafurae"
266,1900,1251,109,"Acrochordus arafurae"
257,2145,1029,118,"Acrochordus arafurae"
277,1798,1598,103,"Acrochordus arafurae"
258,3223,773,113,"Acrochordus arafurae"
270,2383,1054,119,"Acrochordus arafurae"
266,1432,1672,124,"Acrochordus arafurae"
255,744,2393,41,"Acrochordus arafurae"
270,2983,837,112,"Acrochordus arafurae"
252,3016,946,108,"Acrochordus arafurae"
256,770,3103,34,"Acrochordus arafurae"
257,556,3647,24,"Acrochordus arafurae"
268,2857,761,125,"Acrochordus arafurae"
258,765,2058,47,"Acrochordus arafurae"
268,1983,1110,100,"Acrochordus arafurae"
261,3632,649,111,"Acrochordus arafurae"
258,1708,1190,117,"Acrochordus arafurae"
278,1732,1488,102,"Acrochordus arafurae"
264,646,2091,62,"Acrochordus arafurae"
269,3108,791,123,"Acrochordus arafurae"
263,672,2056,65,"Acrochordus arafurae"
258,1893,1214,107,"Acrochordus arafurae"
261,3922,563,112,"Acrochordus arafurae"
262,616,2355,58,"Acrochordus arafurae"
263,1812,1280,124,"Acrochordus arafurae"
277,1571,1658,106,"Acrochordus arafurae"
266,3015,836,117,"Acrochordus arafurae"
278,1625,1456,101,"Acrochordus arafurae"
263,869,1840,60,"Acrochordus arafurae"
261,2664,942,106,"Acrochordus arafurae"
263,2028,1827,104,"Acrochordus arafurae"
254,2321,1194,110,"Acrochordus arafurae"
269,3443,650,110,"Acrochordus arafurae"
263,2489,902,108,"Acrochordus arafurae"
264,2066,1360,112,"Acrochordus arafurae"
269,2730,845,123,"Acrochordus arafurae"
262,817,2112,50,"Acrochordus arafurae"
270,2976,776,124,"Acrochordus arafurae"
276,1907,1266,106,"Acrochordus arafurae"
260,2340,1030,106,"Acrochordus arafurae"
266,1584,1579,108,"Acrochordus arafurae"
270,3112,756,123,"Acrochordus arafurae"
261,434,4397,19,"Acrochordus arafurae"
254,3361,691,106,"Acrochordus arafurae"
271,3669,580,110,"Acrochordus arafurae"
268,1740,1173,97,"Acrochordus arafurae"
267,2999,776,118,"Acrochordus arafurae"
263,669,4420,24,"Acrochordus arafurae"
264,1925,1228,112,"Acrochordus arafurae"
271,3208,708,122,"Acrochordus arafurae"
262,2347,916,113,"Acrochordus arafurae"
271,1511,1410,107,"Acrochordus arafurae"
267,2815,902,115,"Acrochordus arafurae"
259,2114,1095,110,"Acrochordus arafurae"
265,647,2176,63,"Acrochordus arafurae"
270,3787,575,109,"Acrochordus arafurae"
259,3973,515,109,"Acrochordus arafurae"
264,2110,1048,102,"Acrochordus arafurae"
267,2953,739,121,"Acrochordus arafurae"
268,1845,1262,96,"Acrochordus arafurae"
270,2047,1027,108,"Acrochordus arafurae"
234,2889,841,110,"Acrochordus arafurae"
257,2090,1089,107,"Acrochordus arafurae"
259,470,4684,11,"Acrochordus arafurae"
255,2256,1151,108,"Acrochordus arafurae"
267,1519,1338,95,"Acrochordus arafurae"
266,2418,963,116,"Acrochordus arafurae"
266,1072,1644,112,"Acrochordus arafurae"
269,2673,921,125,"Acrochordus arafurae"
256,786,2310,48,"Acrochordus arafurae"
216,2407,1019,114,"Acrochordus arafurae"
254,2052,1183,116,"Acrochordus arafurae"
269,2772,805,113,"Acrochordus arafurae"
255,2355,1067,107,"Acrochordus arafurae"
268,2077,1096,107,"Acrochordus arafurae"
264,1126,1638,95,"Acrochordus arafurae"
276,2534,945,113,"Acrochordus arafurae"
269,645,2694,60,"Acrochordus arafurae"
236,2119,1032,110,"Acrochordus arafurae"
259,491,4656,12,"Acrochordus arafurae"
252,2055,1293,106,"Acrochordus arafurae"
262,642,2045,59,"Acrochordus arafurae"
265,2015,1367,111,"Acrochordus arafurae"
268,2790,801,113,"Acrochordus arafurae"
267,2537,1090,103,"Acrochordus arafurae"
269,3522,591,108,"Acrochordus arafurae"
267,2566,799,108,"Acrochordus arafurae"
251,2733,764,116,"Acrochordus arafurae"
270,3065,764,119,"Acrochordus arafurae"
271,2949,753,108,"Acrochordus arafurae"
271,3732,553,108,"Acrochordus arafurae"
266,1777,1662,107,"Acrochordus arafurae"
255,656,2609,43,"Acrochordus arafurae"
254,2418,1176,110,"Acrochordus arafurae"
270,2630,908,123,"Acrochordus arafurae"
261,521,3171,47,"Acrochordus arafurae"
266,2635,840,108,"Acrochordus arafurae"
265,1367,1631,117,"Acrochordus arafurae"
269,2682,860,123,"Acrochordus arafurae"
263,1855,1207,123,"Acrochordus arafurae"
276,1410,1451,108,"Acrochordus arafurae"
257,1916,1314,109,"Acrochordus arafurae"
255,714,2521,40,"Acrochordus arafurae"
259,3120,784,111,"Acrochordus arafurae"
273,2600,929,108,"Acrochordus arafurae"
262,2212,938,108,"Acrochordus arafurae"
248,2782,964,117,"Acrochordus arafurae"
278,1949,1358,112,"Acrochordus arafurae"
267,1653,1362,109,"Acrochordus arafurae"
258,683,2205,48,"Acrochordus arafurae"
269,666,2275,65,"Acrochordus arafurae"
267,650,2366,66,"Acrochordus arafurae"
262,3222,639,114,"Acrochordus arafurae"
254,765,3649,26,"Acrochordus arafurae"
264,1800,1334,125,"Acrochordus arafurae"
258,566,2821,36,"Acrochordus arafurae"
268,3164,746,113,"Acrochordus arafurae"
259,772,1897,49,"Acrochordus arafurae"
259,3156,748,123,"Acrochordus arafurae"
269,2777,829,123,"Acrochordus arafurae"
278,1826,1346,103,"Acrochordus arafurae"
265,2767,928,108,"Acrochordus arafurae"
264,3115,719,116,"Acrochordus arafurae"
233,2999,810,112,"Acrochordus arafurae"
268,1683,1220,96,"Acrochordus arafurae"
268,3233,767,114,"Acrochordus arafurae"
277,1748,1444,107,"Acrochordus arafurae"
264,2823,1005,114,"Acrochordus arafurae"
260,1760,1180,121,"Acrochordus arafurae"
256,2927,872,111,"Acrochordus arafurae"
259,2829,769,116,"Acrochordus arafurae"
259,655,2266,50,"Acrochordus arafurae"
271,2950,759,121,"Acrochordus arafurae"
268,2922,766,125,"Acrochordus arafurae"
270,2332,1135,126,"Acrochordus arafurae"
265,2275,992,102,"Acrochordus arafurae"
277,1749,1608,104,"Acrochordus arafurae"
259,2006,1077,114,"Acrochordus arafurae"
264,3199,678,113,"Acrochordus arafurae"
275,1776,1573,111,"Acrochordus arafurae"
266,2744,861,107,"Acrochordus arafurae"
270,2153,1235,125,"Acrochordus arafurae"
264,2048,1582,105,"Acrochordus arafurae"
255,4151,614,108,"Acrochordus arafurae"
269,2608,791,109,"Acrochordus arafurae"
264,609,2465,60,"Acrochordus arafurae"
271,2246,1159,110,"Acrochordus arafurae"
267,2083,1193,99,"Acrochordus arafurae"
272,3395,665,119,"Acrochordus arafurae"
267,2849,834,107,"Acrochordus arafurae"
277,1722,1540,103,"Acrochordus arafurae"
260,3120,848,113,"Acrochordus arafurae"
262,1054,1877,99,"Acrochordus arafurae"
263,533,2980,51,"Acrochordus arafurae"
266,3183,758,113,"Acrochordus arafurae"
269,2622,964,126,"Acrochordus arafurae"
267,1278,2032,117,"Acrochordus arafurae"
269,2722,880,124,"Acrochordus arafurae"
272,3333,656,120,"Acrochordus arafurae"
270,2920,795,124,"Acrochordus arafurae"
268,2027,1228,123,"Acrochordus arafurae"
263,606,4064,24,"Acrochordus arafurae"
259,1982,1299,106,"Acrochordus arafurae"
261,2583,947,110,"Acrochordus arafurae"
278,1697,1574,107,"Acrochordus arafurae"
269,2254,1134,120,"Acrochordus arafurae"
270,2161,1133,101,"Acrochordus arafurae"
263,2650,755,106,"Acrochordus arafurae"
260,2213,1426,109,"Acrochordus arafurae"
258,701,2022,54,"Acrochordus arafurae"
269,705,2247,65,"Acrochordus arafurae"
264,2994,902,114,"Acrochordus arafurae"
276,2434,1035,112,"Acrochordus arafurae"
253,2664,909,116,"Acrochordus arafurae"
253,716,2678,32,"Acrochordus arafurae"
262,2778,1086,113,"Acrochordus arafurae"
259,1935,1063,113,"Acrochordus arafurae"
274,1314,1437,108,"Acrochordus arafurae"
260,3275,829,110,"Acrochordus arafurae"
263,601,2332,59,"Acrochordus arafurae"
276,1412,1425,108,"Acrochordus arafurae"
257,2940,1046,110,"Acrochordus arafurae"
268,2457,782,109,"Acrochordus arafurae"
261,1818,1202,123,"Acrochordus arafurae"
265,1545,1408,97,"Acrochordus arafurae"
261,592,2538,53,"Acrochordus arafurae"
277,1759,1570,107,"Acrochordus arafurae"
259,1069,1759,98,"Acrochordus arafurae"
269,1904,1178,99,"Acrochordus arafurae"
264,637,4195,26,"Acrochordus arafurae"
270,1717,1124,107,"Acrochordus arafurae"
274,2215,1066,111,"Acrochordus arafurae"
253,701,2713,31,"Acrochordus arafurae"
