"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
222,4435,745,52,"Amalosia jacovae"
197,3923,953,44,"Amalosia jacovae"
215,3642,1015,50,"Amalosia jacovae"
205,3797,955,51,"Amalosia jacovae"
227,4326,705,51,"Amalosia jacovae"
219,3240,1180,45,"Amalosia jacovae"
201,3932,754,42,"Amalosia jacovae"
200,5078,587,33,"Amalosia jacovae"
202,3857,870,44,"Amalosia jacovae"
214,3204,1374,54,"Amalosia jacovae"
214,3658,949,50,"Amalosia jacovae"
195,4684,707,44,"Amalosia jacovae"
197,4897,623,37,"Amalosia jacovae"
186,3992,1063,44,"Amalosia jacovae"
227,4166,703,57,"Amalosia jacovae"
211,3430,911,52,"Amalosia jacovae"
216,3261,1475,38,"Amalosia jacovae"
220,3367,971,49,"Amalosia jacovae"
190,4320,644,38,"Amalosia jacovae"
217,3406,1145,47,"Amalosia jacovae"
186,4351,666,42,"Amalosia jacovae"
181,4552,715,36,"Amalosia jacovae"
213,3416,1346,44,"Amalosia jacovae"
201,3795,752,40,"Amalosia jacovae"
202,3922,880,47,"Amalosia jacovae"
212,3412,1451,42,"Amalosia jacovae"
173,4139,934,42,"Amalosia jacovae"
220,3337,976,47,"Amalosia jacovae"
223,3296,1005,53,"Amalosia jacovae"
212,3617,984,45,"Amalosia jacovae"
188,4009,962,47,"Amalosia jacovae"
181,4505,679,32,"Amalosia jacovae"
220,3519,894,51,"Amalosia jacovae"
174,4138,786,44,"Amalosia jacovae"
182,4278,673,36,"Amalosia jacovae"
188,4719,614,35,"Amalosia jacovae"
214,3553,972,47,"Amalosia jacovae"
202,3826,853,45,"Amalosia jacovae"
196,3945,714,44,"Amalosia jacovae"
210,3678,876,46,"Amalosia jacovae"
184,4238,663,38,"Amalosia jacovae"
189,4087,921,39,"Amalosia jacovae"
195,3669,1253,48,"Amalosia jacovae"
193,3862,792,45,"Amalosia jacovae"
226,3047,1116,54,"Amalosia jacovae"
188,4025,769,50,"Amalosia jacovae"
225,4264,657,53,"Amalosia jacovae"
224,3075,1189,53,"Amalosia jacovae"
217,3477,825,59,"Amalosia jacovae"
198,3932,876,46,"Amalosia jacovae"
173,4485,751,34,"Amalosia jacovae"
207,4776,559,39,"Amalosia jacovae"
201,3672,1506,51,"Amalosia jacovae"
221,4371,722,52,"Amalosia jacovae"
196,4946,589,28,"Amalosia jacovae"
211,3834,688,46,"Amalosia jacovae"
213,3412,952,56,"Amalosia jacovae"
216,3546,1010,52,"Amalosia jacovae"
208,3715,621,47,"Amalosia jacovae"
160,4050,904,38,"Amalosia jacovae"
221,3288,1010,48,"Amalosia jacovae"
179,4475,722,35,"Amalosia jacovae"
213,3737,870,54,"Amalosia jacovae"
199,3866,927,45,"Amalosia jacovae"
223,4561,650,50,"Amalosia jacovae"
213,3358,1003,52,"Amalosia jacovae"
214,3840,605,54,"Amalosia jacovae"
176,4145,788,35,"Amalosia jacovae"
211,3894,665,49,"Amalosia jacovae"
224,3120,1003,47,"Amalosia jacovae"
222,4217,786,53,"Amalosia jacovae"
201,3629,1002,43,"Amalosia jacovae"
201,3969,760,42,"Amalosia jacovae"
192,3838,802,44,"Amalosia jacovae"
198,3699,1228,50,"Amalosia jacovae"
201,3752,1056,52,"Amalosia jacovae"
177,4150,688,36,"Amalosia jacovae"
201,3979,705,41,"Amalosia jacovae"
219,4079,585,47,"Amalosia jacovae"
224,3325,816,57,"Amalosia jacovae"
206,3860,846,50,"Amalosia jacovae"
216,3125,1686,41,"Amalosia jacovae"
198,4984,593,34,"Amalosia jacovae"
212,3466,1005,53,"Amalosia jacovae"
211,3852,729,49,"Amalosia jacovae"
211,3694,991,50,"Amalosia jacovae"
191,3999,934,47,"Amalosia jacovae"
210,3852,612,49,"Amalosia jacovae"
218,3478,911,54,"Amalosia jacovae"
173,4401,637,31,"Amalosia jacovae"
184,4222,633,35,"Amalosia jacovae"
225,4154,622,50,"Amalosia jacovae"
167,4491,874,34,"Amalosia jacovae"
213,3821,813,51,"Amalosia jacovae"
198,5014,587,33,"Amalosia jacovae"
222,3226,1002,53,"Amalosia jacovae"
204,3753,806,47,"Amalosia jacovae"
219,3869,584,48,"Amalosia jacovae"
223,4269,705,54,"Amalosia jacovae"
221,3235,1026,48,"Amalosia jacovae"
175,4439,741,34,"Amalosia jacovae"
192,4888,719,33,"Amalosia jacovae"
200,3940,938,42,"Amalosia jacovae"
186,4269,694,42,"Amalosia jacovae"
223,3134,1120,54,"Amalosia jacovae"
208,3323,1905,41,"Amalosia jacovae"
212,3453,1491,44,"Amalosia jacovae"
217,3613,902,51,"Amalosia jacovae"
224,4286,704,54,"Amalosia jacovae"
220,4154,824,55,"Amalosia jacovae"
192,3992,821,45,"Amalosia jacovae"
218,3403,1104,49,"Amalosia jacovae"
182,4337,621,33,"Amalosia jacovae"
198,3844,982,47,"Amalosia jacovae"
190,3855,1043,41,"Amalosia jacovae"
226,4177,763,54,"Amalosia jacovae"
214,3625,847,46,"Amalosia jacovae"
213,3580,1049,55,"Amalosia jacovae"
212,3614,1029,50,"Amalosia jacovae"
203,3613,1520,47,"Amalosia jacovae"
219,3341,1138,55,"Amalosia jacovae"
217,3373,1207,47,"Amalosia jacovae"
227,3206,984,58,"Amalosia jacovae"
208,3674,844,47,"Amalosia jacovae"
175,4172,844,39,"Amalosia jacovae"
219,3902,596,50,"Amalosia jacovae"
200,3853,722,39,"Amalosia jacovae"
184,4291,652,43,"Amalosia jacovae"
180,4125,678,44,"Amalosia jacovae"
195,3677,1101,46,"Amalosia jacovae"
187,4071,691,42,"Amalosia jacovae"
192,3903,858,43,"Amalosia jacovae"
196,4907,605,33,"Amalosia jacovae"
193,3760,998,51,"Amalosia jacovae"
223,3918,639,51,"Amalosia jacovae"
190,3769,1181,53,"Amalosia jacovae"
178,4324,698,39,"Amalosia jacovae"
216,3485,976,56,"Amalosia jacovae"
217,3474,1072,49,"Amalosia jacovae"
193,4083,736,42,"Amalosia jacovae"
198,3532,1860,49,"Amalosia jacovae"
190,3710,1190,51,"Amalosia jacovae"
182,4531,644,31,"Amalosia jacovae"
226,4446,647,51,"Amalosia jacovae"
195,3656,1517,52,"Amalosia jacovae"
200,3798,834,41,"Amalosia jacovae"
212,3404,1592,43,"Amalosia jacovae"
201,4028,818,44,"Amalosia jacovae"
226,4327,710,49,"Amalosia jacovae"
208,3728,839,46,"Amalosia jacovae"
223,3286,962,52,"Amalosia jacovae"
210,3807,608,48,"Amalosia jacovae"
206,3515,1399,47,"Amalosia jacovae"
199,3815,976,44,"Amalosia jacovae"
187,3818,810,38,"Amalosia jacovae"
200,3972,607,39,"Amalosia jacovae"
188,4408,638,38,"Amalosia jacovae"
210,3790,709,51,"Amalosia jacovae"
188,4337,657,40,"Amalosia jacovae"
184,4057,738,41,"Amalosia jacovae"
204,3886,759,49,"Amalosia jacovae"
217,3516,861,48,"Amalosia jacovae"
222,3420,862,60,"Amalosia jacovae"
195,3785,931,45,"Amalosia jacovae"
202,3964,819,45,"Amalosia jacovae"
219,3949,783,56,"Amalosia jacovae"
201,3783,1051,48,"Amalosia jacovae"
197,3977,929,50,"Amalosia jacovae"
171,4542,838,38,"Amalosia jacovae"
185,4362,681,39,"Amalosia jacovae"
184,4235,728,36,"Amalosia jacovae"
171,4118,1003,42,"Amalosia jacovae"
215,3173,1318,57,"Amalosia jacovae"
215,3798,605,52,"Amalosia jacovae"
189,4709,677,36,"Amalosia jacovae"
178,4138,717,32,"Amalosia jacovae"
210,3814,608,46,"Amalosia jacovae"
195,3640,1116,41,"Amalosia jacovae"
167,4028,729,35,"Amalosia jacovae"
206,4257,758,52,"Amalosia jacovae"
221,3320,1065,59,"Amalosia jacovae"
178,4065,892,41,"Amalosia jacovae"
202,3834,807,42,"Amalosia jacovae"
196,3719,1116,46,"Amalosia jacovae"
189,4033,930,48,"Amalosia jacovae"
197,3993,833,45,"Amalosia jacovae"
214,3542,1008,51,"Amalosia jacovae"
227,4021,636,53,"Amalosia jacovae"
190,4381,657,39,"Amalosia jacovae"
203,4647,691,53,"Amalosia jacovae"
194,3515,1090,55,"Amalosia jacovae"
216,3471,1092,46,"Amalosia jacovae"
226,3020,1164,54,"Amalosia jacovae"
205,3785,816,56,"Amalosia jacovae"
216,4502,810,52,"Amalosia jacovae"
211,3637,1064,50,"Amalosia jacovae"
209,3788,608,46,"Amalosia jacovae"
228,4147,797,52,"Amalosia jacovae"
221,3937,803,55,"Amalosia jacovae"
186,4304,693,40,"Amalosia jacovae"
224,4190,699,59,"Amalosia jacovae"
213,3376,1336,38,"Amalosia jacovae"
213,3171,1543,42,"Amalosia jacovae"
187,4244,620,38,"Amalosia jacovae"
208,3516,1074,55,"Amalosia jacovae"
205,3902,660,45,"Amalosia jacovae"
220,3342,1012,56,"Amalosia jacovae"
204,3030,1587,33,"Amalosia jacovae"
204,3740,1019,56,"Amalosia jacovae"
201,3869,786,42,"Amalosia jacovae"
212,3436,1535,44,"Amalosia jacovae"
215,3901,708,49,"Amalosia jacovae"
220,3952,623,51,"Amalosia jacovae"
182,4247,668,43,"Amalosia jacovae"
181,3644,1468,48,"Amalosia jacovae"
192,4796,650,32,"Amalosia jacovae"
183,3977,1014,44,"Amalosia jacovae"
196,4090,753,44,"Amalosia jacovae"
220,4149,800,55,"Amalosia jacovae"
185,4159,889,45,"Amalosia jacovae"
229,4159,702,51,"Amalosia jacovae"
195,4161,833,49,"Amalosia jacovae"
189,4018,963,47,"Amalosia jacovae"
199,3607,897,49,"Amalosia jacovae"
188,4290,665,40,"Amalosia jacovae"
188,4045,709,41,"Amalosia jacovae"
221,4012,620,48,"Amalosia jacovae"
210,3089,1253,30,"Amalosia jacovae"
187,3988,917,51,"Amalosia jacovae"
225,4192,633,59,"Amalosia jacovae"
204,3721,1048,49,"Amalosia jacovae"
221,3331,1016,48,"Amalosia jacovae"
199,3592,808,54,"Amalosia jacovae"
219,3419,935,60,"Amalosia jacovae"
198,3789,862,41,"Amalosia jacovae"
209,3593,1088,54,"Amalosia jacovae"
218,3471,971,55,"Amalosia jacovae"
202,3609,1430,43,"Amalosia jacovae"
187,4019,860,39,"Amalosia jacovae"
191,3733,1131,53,"Amalosia jacovae"
217,2936,1725,40,"Amalosia jacovae"
224,3147,1034,51,"Amalosia jacovae"
206,3624,1258,48,"Amalosia jacovae"
216,3758,682,51,"Amalosia jacovae"
209,3031,1552,36,"Amalosia jacovae"
190,4012,700,40,"Amalosia jacovae"
224,4151,614,50,"Amalosia jacovae"
201,3917,768,42,"Amalosia jacovae"
221,3322,999,48,"Amalosia jacovae"
222,4514,728,51,"Amalosia jacovae"
207,3940,761,50,"Amalosia jacovae"
174,4609,708,27,"Amalosia jacovae"
204,4594,791,42,"Amalosia jacovae"
170,4516,819,32,"Amalosia jacovae"
227,3041,1089,52,"Amalosia jacovae"
173,4029,947,41,"Amalosia jacovae"
196,3955,902,45,"Amalosia jacovae"
201,5150,593,34,"Amalosia jacovae"
217,4181,697,52,"Amalosia jacovae"
222,3184,1024,47,"Amalosia jacovae"
199,3725,1001,38,"Amalosia jacovae"
219,3354,966,49,"Amalosia jacovae"
218,3447,919,49,"Amalosia jacovae"
216,3466,1027,48,"Amalosia jacovae"
217,4022,813,53,"Amalosia jacovae"
211,3709,950,50,"Amalosia jacovae"
224,4212,657,50,"Amalosia jacovae"
203,3656,726,46,"Amalosia jacovae"
222,3937,737,53,"Amalosia jacovae"
189,4597,623,33,"Amalosia jacovae"
182,4310,641,38,"Amalosia jacovae"
186,4495,646,39,"Amalosia jacovae"
180,4293,675,30,"Amalosia jacovae"
180,4258,671,39,"Amalosia jacovae"
200,3901,849,52,"Amalosia jacovae"
199,5023,616,34,"Amalosia jacovae"
223,3180,973,47,"Amalosia jacovae"
198,4960,594,33,"Amalosia jacovae"
211,3819,719,47,"Amalosia jacovae"
196,3940,724,35,"Amalosia jacovae"
222,3442,808,54,"Amalosia jacovae"
225,3267,821,58,"Amalosia jacovae"
199,3954,936,44,"Amalosia jacovae"
197,4999,664,34,"Amalosia jacovae"
215,3835,733,51,"Amalosia jacovae"
185,4223,662,38,"Amalosia jacovae"
225,4431,679,53,"Amalosia jacovae"
213,3369,1207,53,"Amalosia jacovae"
218,3379,1127,47,"Amalosia jacovae"
201,3369,1272,36,"Amalosia jacovae"
188,4029,822,43,"Amalosia jacovae"
202,3890,827,47,"Amalosia jacovae"
208,3804,753,51,"Amalosia jacovae"
206,3788,839,47,"Amalosia jacovae"
220,3339,1004,53,"Amalosia jacovae"
219,3253,1256,45,"Amalosia jacovae"
190,4308,614,42,"Amalosia jacovae"
225,4278,681,53,"Amalosia jacovae"
227,4272,665,50,"Amalosia jacovae"
210,3698,964,50,"Amalosia jacovae"
193,4829,615,32,"Amalosia jacovae"
198,3718,1232,50,"Amalosia jacovae"
223,3155,1233,55,"Amalosia jacovae"
209,3759,914,50,"Amalosia jacovae"
226,4244,616,50,"Amalosia jacovae"
215,3567,880,58,"Amalosia jacovae"
195,3949,668,40,"Amalosia jacovae"
213,3381,1383,38,"Amalosia jacovae"
188,4655,695,37,"Amalosia jacovae"
