"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
268,2215,817,115,"Amalosia obscura"
274,1480,1421,126,"Amalosia obscura"
264,1835,1549,120,"Amalosia obscura"
268,1913,1213,124,"Amalosia obscura"
276,1757,1503,119,"Amalosia obscura"
260,2111,1103,122,"Amalosia obscura"
277,1631,1106,123,"Amalosia obscura"
265,2193,882,114,"Amalosia obscura"
260,1914,1421,119,"Amalosia obscura"
277,2273,750,113,"Amalosia obscura"
277,1727,1039,120,"Amalosia obscura"
266,2107,1037,120,"Amalosia obscura"
272,2334,968,119,"Amalosia obscura"
265,1976,1367,112,"Amalosia obscura"
270,1620,1325,124,"Amalosia obscura"
268,1571,1529,129,"Amalosia obscura"
267,1662,1351,127,"Amalosia obscura"
259,2159,1005,114,"Amalosia obscura"
274,1559,1539,124,"Amalosia obscura"
258,1907,1415,120,"Amalosia obscura"
268,1834,1360,122,"Amalosia obscura"
268,2098,996,120,"Amalosia obscura"
275,1675,1229,125,"Amalosia obscura"
258,2112,1175,119,"Amalosia obscura"
278,1664,1078,128,"Amalosia obscura"
270,2205,811,115,"Amalosia obscura"
268,2061,895,117,"Amalosia obscura"
269,1595,1449,124,"Amalosia obscura"
274,1699,1164,118,"Amalosia obscura"
277,1477,1346,130,"Amalosia obscura"
264,2147,943,115,"Amalosia obscura"
262,1871,1213,117,"Amalosia obscura"
257,2124,1238,120,"Amalosia obscura"
255,2112,1242,116,"Amalosia obscura"
274,1666,1486,124,"Amalosia obscura"
270,2296,1070,123,"Amalosia obscura"
263,2273,1130,121,"Amalosia obscura"
260,2085,1329,114,"Amalosia obscura"
277,1549,1254,130,"Amalosia obscura"
258,2148,1127,122,"Amalosia obscura"
266,1803,1344,123,"Amalosia obscura"
266,1864,1546,123,"Amalosia obscura"
258,1927,1284,115,"Amalosia obscura"
257,2216,1025,116,"Amalosia obscura"
270,1521,1341,124,"Amalosia obscura"
275,2236,748,114,"Amalosia obscura"
257,2251,1084,117,"Amalosia obscura"
273,1630,1403,119,"Amalosia obscura"
265,2080,1357,115,"Amalosia obscura"
270,1588,1639,122,"Amalosia obscura"
272,1931,1234,116,"Amalosia obscura"
257,2033,1165,116,"Amalosia obscura"
272,1762,1175,126,"Amalosia obscura"
272,1592,1336,130,"Amalosia obscura"
256,2148,1219,118,"Amalosia obscura"
276,1730,1090,123,"Amalosia obscura"
271,1958,1212,114,"Amalosia obscura"
277,1643,1199,126,"Amalosia obscura"
277,1501,1567,124,"Amalosia obscura"
263,1726,1657,117,"Amalosia obscura"
274,2026,1075,126,"Amalosia obscura"
260,2271,920,114,"Amalosia obscura"
257,2259,1082,114,"Amalosia obscura"
278,1757,1337,125,"Amalosia obscura"
275,1708,1190,124,"Amalosia obscura"
274,2074,1085,117,"Amalosia obscura"
267,2111,1071,123,"Amalosia obscura"
271,2037,1127,113,"Amalosia obscura"
274,1455,1439,125,"Amalosia obscura"
277,1561,1452,120,"Amalosia obscura"
263,1812,1552,122,"Amalosia obscura"
279,1593,1445,122,"Amalosia obscura"
267,1999,1009,119,"Amalosia obscura"
267,2085,1103,125,"Amalosia obscura"
259,2249,945,113,"Amalosia obscura"
276,1797,1521,118,"Amalosia obscura"
270,1815,1427,121,"Amalosia obscura"
271,2100,1253,119,"Amalosia obscura"
270,1745,1409,120,"Amalosia obscura"
273,1622,1283,128,"Amalosia obscura"
273,1841,1119,121,"Amalosia obscura"
276,1753,1104,127,"Amalosia obscura"
262,2313,1125,115,"Amalosia obscura"
264,1767,1484,120,"Amalosia obscura"
271,1591,1244,124,"Amalosia obscura"
276,1719,1239,121,"Amalosia obscura"
262,1886,1258,112,"Amalosia obscura"
251,2117,1324,113,"Amalosia obscura"
278,1737,1294,123,"Amalosia obscura"
275,1515,1372,130,"Amalosia obscura"
277,1875,1168,120,"Amalosia obscura"
260,2081,1434,118,"Amalosia obscura"
274,1533,1586,124,"Amalosia obscura"
272,1747,1600,125,"Amalosia obscura"
254,2108,1326,115,"Amalosia obscura"
275,1923,1359,113,"Amalosia obscura"
270,2066,923,120,"Amalosia obscura"
262,2047,1173,112,"Amalosia obscura"
276,1450,1411,129,"Amalosia obscura"
276,1612,1272,122,"Amalosia obscura"
265,1834,1305,124,"Amalosia obscura"
272,2244,843,118,"Amalosia obscura"
273,1729,1057,122,"Amalosia obscura"
265,1974,1346,111,"Amalosia obscura"
278,1524,1447,128,"Amalosia obscura"
262,2212,1067,123,"Amalosia obscura"
257,1940,1446,112,"Amalosia obscura"
269,2074,1005,122,"Amalosia obscura"
277,2047,1032,124,"Amalosia obscura"
255,2010,1618,112,"Amalosia obscura"
276,1492,1242,127,"Amalosia obscura"
259,2177,1138,110,"Amalosia obscura"
254,1985,1408,119,"Amalosia obscura"
274,1670,1243,127,"Amalosia obscura"
264,1670,1827,120,"Amalosia obscura"
270,1880,1220,124,"Amalosia obscura"
272,1639,1390,122,"Amalosia obscura"
269,2040,914,118,"Amalosia obscura"
264,1862,1301,126,"Amalosia obscura"
261,1958,1554,120,"Amalosia obscura"
275,1810,1249,125,"Amalosia obscura"
266,1726,1725,120,"Amalosia obscura"
272,1800,1234,120,"Amalosia obscura"
270,1529,1435,123,"Amalosia obscura"
261,1804,1494,113,"Amalosia obscura"
272,1769,1393,117,"Amalosia obscura"
277,1596,1431,127,"Amalosia obscura"
276,1647,1057,121,"Amalosia obscura"
260,1989,1205,121,"Amalosia obscura"
276,1574,1115,121,"Amalosia obscura"
274,1656,1133,125,"Amalosia obscura"
265,2077,1219,121,"Amalosia obscura"
276,1789,1265,125,"Amalosia obscura"
269,1511,1571,128,"Amalosia obscura"
265,1790,1619,118,"Amalosia obscura"
273,1702,1367,121,"Amalosia obscura"
255,2138,1354,114,"Amalosia obscura"
277,1813,1098,126,"Amalosia obscura"
273,1769,1114,125,"Amalosia obscura"
259,1974,1397,115,"Amalosia obscura"
257,2084,1360,115,"Amalosia obscura"
273,1643,1413,122,"Amalosia obscura"
276,1746,1139,122,"Amalosia obscura"
263,2016,1397,119,"Amalosia obscura"
278,1798,1342,125,"Amalosia obscura"
261,1854,1661,115,"Amalosia obscura"
257,2232,1106,115,"Amalosia obscura"
273,2017,1088,115,"Amalosia obscura"
262,2268,846,113,"Amalosia obscura"
277,1787,1224,124,"Amalosia obscura"
266,1765,1626,122,"Amalosia obscura"
278,1784,928,122,"Amalosia obscura"
258,1984,1237,112,"Amalosia obscura"
275,1507,1477,126,"Amalosia obscura"
266,2307,802,114,"Amalosia obscura"
256,2221,1012,113,"Amalosia obscura"
249,2206,1328,115,"Amalosia obscura"
257,2047,1325,120,"Amalosia obscura"
270,1910,1161,118,"Amalosia obscura"
262,1921,1538,114,"Amalosia obscura"
269,1766,1406,127,"Amalosia obscura"
262,1930,1078,121,"Amalosia obscura"
257,2077,1188,114,"Amalosia obscura"
261,1983,1378,117,"Amalosia obscura"
257,2008,1318,112,"Amalosia obscura"
275,1623,1524,125,"Amalosia obscura"
255,2083,1355,114,"Amalosia obscura"
250,2088,1478,118,"Amalosia obscura"
259,2123,1204,120,"Amalosia obscura"
274,1598,1127,121,"Amalosia obscura"
276,1553,1518,128,"Amalosia obscura"
268,2069,1046,121,"Amalosia obscura"
268,2161,893,117,"Amalosia obscura"
259,2068,1307,115,"Amalosia obscura"
277,1472,1559,126,"Amalosia obscura"
273,1568,1440,124,"Amalosia obscura"
259,2023,1414,114,"Amalosia obscura"
278,1697,1358,125,"Amalosia obscura"
255,2113,1306,121,"Amalosia obscura"
272,2266,882,119,"Amalosia obscura"
262,2230,867,111,"Amalosia obscura"
256,1883,1344,120,"Amalosia obscura"
275,1920,1032,123,"Amalosia obscura"
260,2036,1234,111,"Amalosia obscura"
247,2115,1379,117,"Amalosia obscura"
266,1987,964,118,"Amalosia obscura"
275,1703,1163,124,"Amalosia obscura"
256,2234,1038,112,"Amalosia obscura"
253,1954,1525,118,"Amalosia obscura"
258,1856,1442,115,"Amalosia obscura"
262,2215,1128,122,"Amalosia obscura"
263,2184,1078,121,"Amalosia obscura"
274,1826,1291,120,"Amalosia obscura"
271,1738,1113,120,"Amalosia obscura"
259,2052,1138,114,"Amalosia obscura"
274,1578,1502,126,"Amalosia obscura"
262,1860,1435,119,"Amalosia obscura"
259,2181,1172,122,"Amalosia obscura"
276,1817,1187,118,"Amalosia obscura"
271,1631,1236,123,"Amalosia obscura"
273,1835,1335,122,"Amalosia obscura"
258,2083,1339,113,"Amalosia obscura"
272,1665,1213,128,"Amalosia obscura"
273,1816,1234,127,"Amalosia obscura"
276,1639,1151,129,"Amalosia obscura"
264,1878,1581,123,"Amalosia obscura"
255,2221,1091,116,"Amalosia obscura"
277,1556,1398,129,"Amalosia obscura"
261,2255,1153,122,"Amalosia obscura"
249,2167,1263,113,"Amalosia obscura"
259,1941,1366,118,"Amalosia obscura"
280,2329,796,116,"Amalosia obscura"
270,2279,1027,119,"Amalosia obscura"
265,2003,1013,117,"Amalosia obscura"
271,2050,1105,126,"Amalosia obscura"
259,2170,963,116,"Amalosia obscura"
262,1860,1633,116,"Amalosia obscura"
273,2330,1086,122,"Amalosia obscura"
267,2079,1207,118,"Amalosia obscura"
254,2212,1189,113,"Amalosia obscura"
256,2118,1277,120,"Amalosia obscura"
258,1894,1610,120,"Amalosia obscura"
260,1846,1349,113,"Amalosia obscura"
267,1923,1039,116,"Amalosia obscura"
270,1596,1645,124,"Amalosia obscura"
273,1827,1329,122,"Amalosia obscura"
255,1951,1367,113,"Amalosia obscura"
272,1970,998,122,"Amalosia obscura"
265,2331,1112,122,"Amalosia obscura"
262,2106,1060,119,"Amalosia obscura"
258,2128,1120,119,"Amalosia obscura"
269,1996,1051,125,"Amalosia obscura"
256,2173,1198,120,"Amalosia obscura"
252,2176,1145,115,"Amalosia obscura"
273,1788,1377,122,"Amalosia obscura"
256,2048,1504,111,"Amalosia obscura"
258,2031,1201,118,"Amalosia obscura"
262,2239,1110,122,"Amalosia obscura"
263,2065,1226,121,"Amalosia obscura"
278,1742,1214,114,"Amalosia obscura"
260,1945,1150,118,"Amalosia obscura"
278,1677,1173,120,"Amalosia obscura"
260,1799,1688,123,"Amalosia obscura"
251,2191,1159,113,"Amalosia obscura"
262,1839,1370,125,"Amalosia obscura"
256,2158,962,114,"Amalosia obscura"
273,2113,963,125,"Amalosia obscura"
265,1937,1580,117,"Amalosia obscura"
263,2325,1130,117,"Amalosia obscura"
263,2088,1237,120,"Amalosia obscura"
274,1540,1629,127,"Amalosia obscura"
261,2013,1235,111,"Amalosia obscura"
263,1872,1436,124,"Amalosia obscura"
268,1659,1437,121,"Amalosia obscura"
270,1614,1225,123,"Amalosia obscura"
268,1942,1113,121,"Amalosia obscura"
270,1569,1476,124,"Amalosia obscura"
259,2264,944,111,"Amalosia obscura"
275,1526,1384,128,"Amalosia obscura"
273,1575,1162,124,"Amalosia obscura"
265,1939,1493,123,"Amalosia obscura"
257,2226,940,114,"Amalosia obscura"
265,1967,997,119,"Amalosia obscura"
272,1924,1169,126,"Amalosia obscura"
268,2325,885,117,"Amalosia obscura"
268,2006,991,122,"Amalosia obscura"
255,2216,990,111,"Amalosia obscura"
277,1766,1015,123,"Amalosia obscura"
268,2338,937,119,"Amalosia obscura"
248,2107,1448,116,"Amalosia obscura"
269,1971,1183,116,"Amalosia obscura"
259,2074,1187,116,"Amalosia obscura"
262,1798,1591,113,"Amalosia obscura"
273,2140,1069,116,"Amalosia obscura"
275,1857,1246,114,"Amalosia obscura"
269,1982,984,120,"Amalosia obscura"
259,2231,893,114,"Amalosia obscura"
272,1810,1240,120,"Amalosia obscura"
268,2187,1022,121,"Amalosia obscura"
264,1859,1297,112,"Amalosia obscura"
274,1823,1122,127,"Amalosia obscura"
256,1962,1392,121,"Amalosia obscura"
270,1931,1105,126,"Amalosia obscura"
268,1954,1167,124,"Amalosia obscura"
264,1971,1154,116,"Amalosia obscura"
277,1753,1513,120,"Amalosia obscura"
275,1841,1213,128,"Amalosia obscura"
256,2121,1161,116,"Amalosia obscura"
271,2277,994,121,"Amalosia obscura"
261,2159,1213,122,"Amalosia obscura"
277,2002,976,125,"Amalosia obscura"
277,1730,1133,123,"Amalosia obscura"
248,2138,1469,116,"Amalosia obscura"
277,1589,1278,127,"Amalosia obscura"
278,1684,1297,117,"Amalosia obscura"
266,2103,1034,120,"Amalosia obscura"
264,1695,1722,122,"Amalosia obscura"
277,1634,1502,122,"Amalosia obscura"
244,2124,1366,113,"Amalosia obscura"
269,1922,1118,124,"Amalosia obscura"
259,2202,1020,114,"Amalosia obscura"
257,1795,1668,116,"Amalosia obscura"
276,1622,1048,125,"Amalosia obscura"
278,2283,761,116,"Amalosia obscura"
268,1724,1484,124,"Amalosia obscura"
266,2031,1158,109,"Amalosia obscura"
267,1911,1195,121,"Amalosia obscura"
265,2149,1256,116,"Amalosia obscura"
275,1576,1426,130,"Amalosia obscura"
254,1893,1639,119,"Amalosia obscura"
267,2096,904,120,"Amalosia obscura"
266,2034,967,119,"Amalosia obscura"
267,1648,1711,122,"Amalosia obscura"
275,1880,1193,112,"Amalosia obscura"
268,1811,1487,114,"Amalosia obscura"
266,1991,1099,113,"Amalosia obscura"
276,1703,1165,129,"Amalosia obscura"
267,1980,1115,112,"Amalosia obscura"
256,2071,1215,116,"Amalosia obscura"
263,2178,1108,119,"Amalosia obscura"
267,1844,1437,125,"Amalosia obscura"
266,1944,1207,123,"Amalosia obscura"
259,1908,1463,117,"Amalosia obscura"
267,1898,1267,111,"Amalosia obscura"
271,1970,1006,123,"Amalosia obscura"
258,1981,1626,114,"Amalosia obscura"
276,2080,1044,125,"Amalosia obscura"
262,1961,1318,122,"Amalosia obscura"
261,1955,1197,120,"Amalosia obscura"
259,2125,1158,115,"Amalosia obscura"
258,2131,1323,117,"Amalosia obscura"
273,1822,1383,123,"Amalosia obscura"
269,1776,1710,120,"Amalosia obscura"
249,2144,1346,115,"Amalosia obscura"
274,1876,1079,122,"Amalosia obscura"
254,2096,1401,114,"Amalosia obscura"
275,1729,1407,124,"Amalosia obscura"
270,1772,1407,123,"Amalosia obscura"
255,2194,1009,113,"Amalosia obscura"
263,1887,1460,119,"Amalosia obscura"
263,2035,1079,119,"Amalosia obscura"
259,2006,1240,113,"Amalosia obscura"
277,1586,1231,123,"Amalosia obscura"
251,2174,1203,115,"Amalosia obscura"
273,1973,1122,122,"Amalosia obscura"
260,1923,1468,115,"Amalosia obscura"
251,2015,1520,113,"Amalosia obscura"
254,2158,1148,111,"Amalosia obscura"
260,2157,1178,122,"Amalosia obscura"
259,2053,1153,113,"Amalosia obscura"
251,2139,1271,113,"Amalosia obscura"
279,2315,834,120,"Amalosia obscura"
270,2066,914,119,"Amalosia obscura"
256,1983,1372,120,"Amalosia obscura"
261,1872,1606,122,"Amalosia obscura"
268,2172,1033,124,"Amalosia obscura"
275,1708,974,121,"Amalosia obscura"
277,1728,1017,127,"Amalosia obscura"
262,1931,1384,121,"Amalosia obscura"
279,1832,1280,115,"Amalosia obscura"
276,1570,1200,129,"Amalosia obscura"
273,1757,1381,126,"Amalosia obscura"
274,1868,1138,127,"Amalosia obscura"
272,1603,1427,128,"Amalosia obscura"
260,2026,1158,119,"Amalosia obscura"
278,1599,1324,121,"Amalosia obscura"
