"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,4251,464,102,"Amalosia rhombifer"
275,2108,1013,109,"Amalosia rhombifer"
255,2877,722,115,"Amalosia rhombifer"
240,4257,584,69,"Amalosia rhombifer"
285,2940,707,111,"Amalosia rhombifer"
237,3134,1673,86,"Amalosia rhombifer"
279,2801,778,122,"Amalosia rhombifer"
265,3748,569,106,"Amalosia rhombifer"
230,3395,603,108,"Amalosia rhombifer"
222,3670,655,95,"Amalosia rhombifer"
276,2305,717,121,"Amalosia rhombifer"
267,2540,1098,123,"Amalosia rhombifer"
263,4253,482,109,"Amalosia rhombifer"
263,2889,863,120,"Amalosia rhombifer"
260,4656,440,104,"Amalosia rhombifer"
260,4218,488,111,"Amalosia rhombifer"
269,3314,713,113,"Amalosia rhombifer"
268,2868,943,109,"Amalosia rhombifer"
232,5858,318,63,"Amalosia rhombifer"
259,2394,998,113,"Amalosia rhombifer"
270,2938,771,120,"Amalosia rhombifer"
238,3525,662,80,"Amalosia rhombifer"
233,5714,295,66,"Amalosia rhombifer"
252,4931,421,95,"Amalosia rhombifer"
264,2980,749,121,"Amalosia rhombifer"
264,2333,899,110,"Amalosia rhombifer"
231,3332,651,87,"Amalosia rhombifer"
258,4724,416,98,"Amalosia rhombifer"
254,1975,1168,99,"Amalosia rhombifer"
274,2780,952,113,"Amalosia rhombifer"
282,3496,561,126,"Amalosia rhombifer"
259,3109,815,113,"Amalosia rhombifer"
273,1809,1510,112,"Amalosia rhombifer"
258,2009,1000,115,"Amalosia rhombifer"
273,1776,1189,124,"Amalosia rhombifer"
270,1959,1285,124,"Amalosia rhombifer"
274,2787,565,121,"Amalosia rhombifer"
252,4157,578,105,"Amalosia rhombifer"
262,3315,707,113,"Amalosia rhombifer"
265,3838,554,110,"Amalosia rhombifer"
272,3188,689,120,"Amalosia rhombifer"
247,1256,1994,99,"Amalosia rhombifer"
262,3267,667,113,"Amalosia rhombifer"
256,3011,887,110,"Amalosia rhombifer"
266,2274,975,108,"Amalosia rhombifer"
278,2647,890,114,"Amalosia rhombifer"
266,2736,962,117,"Amalosia rhombifer"
261,4476,555,109,"Amalosia rhombifer"
219,3732,701,92,"Amalosia rhombifer"
250,3795,623,111,"Amalosia rhombifer"
259,3431,643,110,"Amalosia rhombifer"
262,3090,712,112,"Amalosia rhombifer"
246,2872,997,95,"Amalosia rhombifer"
262,3196,712,116,"Amalosia rhombifer"
263,1231,1535,115,"Amalosia rhombifer"
266,1944,1169,108,"Amalosia rhombifer"
267,2739,839,110,"Amalosia rhombifer"
273,1307,1642,99,"Amalosia rhombifer"
277,1725,1584,109,"Amalosia rhombifer"
258,4779,429,104,"Amalosia rhombifer"
269,2573,983,126,"Amalosia rhombifer"
287,3984,505,118,"Amalosia rhombifer"
255,4660,427,97,"Amalosia rhombifer"
268,2738,693,112,"Amalosia rhombifer"
235,2896,1157,91,"Amalosia rhombifer"
267,1768,1257,99,"Amalosia rhombifer"
263,3448,670,120,"Amalosia rhombifer"
258,4855,391,94,"Amalosia rhombifer"
245,4036,548,97,"Amalosia rhombifer"
252,1699,1372,115,"Amalosia rhombifer"
282,2698,864,113,"Amalosia rhombifer"
283,2766,752,110,"Amalosia rhombifer"
261,3667,575,114,"Amalosia rhombifer"
268,2523,937,119,"Amalosia rhombifer"
262,3551,619,112,"Amalosia rhombifer"
263,4312,536,110,"Amalosia rhombifer"
266,3102,648,110,"Amalosia rhombifer"
272,1731,1245,115,"Amalosia rhombifer"
262,2473,1015,115,"Amalosia rhombifer"
267,3778,537,109,"Amalosia rhombifer"
228,5875,296,61,"Amalosia rhombifer"
281,3090,681,124,"Amalosia rhombifer"
257,2460,1006,119,"Amalosia rhombifer"
229,3622,678,67,"Amalosia rhombifer"
262,4502,446,105,"Amalosia rhombifer"
274,1330,1516,98,"Amalosia rhombifer"
258,3669,746,114,"Amalosia rhombifer"
272,3307,664,120,"Amalosia rhombifer"
287,3436,579,119,"Amalosia rhombifer"
264,3940,553,113,"Amalosia rhombifer"
275,2617,896,112,"Amalosia rhombifer"
260,3639,590,112,"Amalosia rhombifer"
258,3291,716,113,"Amalosia rhombifer"
185,5730,398,59,"Amalosia rhombifer"
269,1711,1353,120,"Amalosia rhombifer"
271,3341,618,114,"Amalosia rhombifer"
266,1053,1614,113,"Amalosia rhombifer"
242,4510,515,75,"Amalosia rhombifer"
279,2840,758,124,"Amalosia rhombifer"
234,3518,538,74,"Amalosia rhombifer"
269,2313,1102,117,"Amalosia rhombifer"
267,3390,703,121,"Amalosia rhombifer"
270,2802,999,109,"Amalosia rhombifer"
217,3113,1143,88,"Amalosia rhombifer"
228,4014,634,62,"Amalosia rhombifer"
279,3304,703,109,"Amalosia rhombifer"
273,2442,874,111,"Amalosia rhombifer"
267,3080,873,117,"Amalosia rhombifer"
269,2863,912,111,"Amalosia rhombifer"
267,2632,886,119,"Amalosia rhombifer"
228,6132,248,59,"Amalosia rhombifer"
273,3776,446,103,"Amalosia rhombifer"
269,1198,1848,119,"Amalosia rhombifer"
227,5892,285,62,"Amalosia rhombifer"
265,3283,649,113,"Amalosia rhombifer"
262,2347,1012,117,"Amalosia rhombifer"
257,3176,817,119,"Amalosia rhombifer"
234,4239,502,82,"Amalosia rhombifer"
276,2498,845,112,"Amalosia rhombifer"
267,1619,1527,121,"Amalosia rhombifer"
267,1394,1571,116,"Amalosia rhombifer"
224,4050,612,58,"Amalosia rhombifer"
276,2603,676,117,"Amalosia rhombifer"
234,4460,599,69,"Amalosia rhombifer"
232,5763,294,67,"Amalosia rhombifer"
237,4222,581,81,"Amalosia rhombifer"
277,3842,487,110,"Amalosia rhombifer"
253,2637,846,116,"Amalosia rhombifer"
285,2439,805,116,"Amalosia rhombifer"
281,2973,844,124,"Amalosia rhombifer"
288,3944,533,118,"Amalosia rhombifer"
264,4151,539,111,"Amalosia rhombifer"
