"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
155,5559,590,19,"Amphibolurus muricatus"
154,5218,561,17,"Amphibolurus muricatus"
150,3081,982,11,"Amphibolurus muricatus"
123,4258,783,39,"Amphibolurus muricatus"
165,4929,775,26,"Amphibolurus muricatus"
100,5178,1255,24,"Amphibolurus muricatus"
148,4621,433,28,"Amphibolurus muricatus"
142,5241,730,22,"Amphibolurus muricatus"
117,4044,711,18,"Amphibolurus muricatus"
184,3687,1178,24,"Amphibolurus muricatus"
167,5056,310,19,"Amphibolurus muricatus"
110,4291,1014,27,"Amphibolurus muricatus"
157,4408,877,31,"Amphibolurus muricatus"
161,5312,423,16,"Amphibolurus muricatus"
171,3720,1104,39,"Amphibolurus muricatus"
90,4532,829,17,"Amphibolurus muricatus"
204,3924,900,48,"Amphibolurus muricatus"
184,4006,876,44,"Amphibolurus muricatus"
205,4368,684,41,"Amphibolurus muricatus"
155,4478,397,31,"Amphibolurus muricatus"
170,3944,1127,45,"Amphibolurus muricatus"
139,5156,683,17,"Amphibolurus muricatus"
161,4027,871,37,"Amphibolurus muricatus"
169,4949,280,26,"Amphibolurus muricatus"
228,4102,736,53,"Amphibolurus muricatus"
133,4124,915,12,"Amphibolurus muricatus"
120,4591,745,10,"Amphibolurus muricatus"
127,4535,613,13,"Amphibolurus muricatus"
150,4452,428,33,"Amphibolurus muricatus"
177,3778,884,30,"Amphibolurus muricatus"
151,3514,674,13,"Amphibolurus muricatus"
134,4234,802,21,"Amphibolurus muricatus"
201,3906,756,42,"Amphibolurus muricatus"
155,4886,443,19,"Amphibolurus muricatus"
141,3140,551,22,"Amphibolurus muricatus"
216,4715,594,44,"Amphibolurus muricatus"
124,4153,747,25,"Amphibolurus muricatus"
172,3700,1280,32,"Amphibolurus muricatus"
160,4911,336,24,"Amphibolurus muricatus"
95,4757,671,15,"Amphibolurus muricatus"
129,4452,807,20,"Amphibolurus muricatus"
135,3745,1635,47,"Amphibolurus muricatus"
199,3890,797,37,"Amphibolurus muricatus"
135,4252,886,43,"Amphibolurus muricatus"
130,2705,1302,36,"Amphibolurus muricatus"
206,3051,1689,40,"Amphibolurus muricatus"
131,3968,626,22,"Amphibolurus muricatus"
125,4474,910,18,"Amphibolurus muricatus"
188,3903,988,37,"Amphibolurus muricatus"
151,4456,834,31,"Amphibolurus muricatus"
215,4476,774,50,"Amphibolurus muricatus"
130,3839,668,14,"Amphibolurus muricatus"
179,3863,1091,28,"Amphibolurus muricatus"
194,4801,589,33,"Amphibolurus muricatus"
190,4584,733,40,"Amphibolurus muricatus"
180,3679,1117,43,"Amphibolurus muricatus"
210,4234,587,44,"Amphibolurus muricatus"
