"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
207,4074,625,40,"Anilios affinis"
282,2593,913,116,"Anilios affinis"
192,4374,660,41,"Anilios affinis"
223,3982,687,54,"Anilios affinis"
269,1793,1367,119,"Anilios affinis"
227,3208,989,58,"Anilios affinis"
171,5233,570,25,"Anilios affinis"
247,2024,1336,103,"Anilios affinis"
176,5539,727,27,"Anilios affinis"
182,5484,601,24,"Anilios affinis"
209,2026,2492,89,"Anilios affinis"
235,3389,636,80,"Anilios affinis"
204,2736,1302,76,"Anilios affinis"
261,1572,1352,117,"Anilios affinis"
203,5407,598,36,"Anilios affinis"
275,1660,1066,116,"Anilios affinis"
270,2595,1077,112,"Anilios affinis"
270,2046,1256,124,"Anilios affinis"
206,3935,772,50,"Anilios affinis"
202,4779,699,43,"Anilios affinis"
213,2448,3736,61,"Anilios affinis"
162,5288,578,17,"Anilios affinis"
159,4544,664,30,"Anilios affinis"
160,5500,651,13,"Anilios affinis"
225,3686,763,61,"Anilios affinis"
281,2762,882,115,"Anilios affinis"
260,1626,1361,113,"Anilios affinis"
273,2328,1114,122,"Anilios affinis"
194,5471,564,25,"Anilios affinis"
200,4045,796,43,"Anilios affinis"
228,3715,678,64,"Anilios affinis"
269,2795,860,113,"Anilios affinis"
269,2444,860,112,"Anilios affinis"
168,4611,612,21,"Anilios affinis"
265,2200,1072,115,"Anilios affinis"
257,1809,1478,98,"Anilios affinis"
220,3421,960,54,"Anilios affinis"
204,5148,581,38,"Anilios affinis"
206,3844,571,49,"Anilios affinis"
221,3185,748,91,"Anilios affinis"
227,3572,833,67,"Anilios affinis"
261,2293,1045,110,"Anilios affinis"
268,1924,1256,111,"Anilios affinis"
200,3991,769,51,"Anilios affinis"
239,2094,860,112,"Anilios affinis"
205,5240,581,39,"Anilios affinis"
259,1926,1511,110,"Anilios affinis"
278,2422,814,112,"Anilios affinis"
190,4422,621,39,"Anilios affinis"
261,2242,1031,114,"Anilios affinis"
221,3109,1347,90,"Anilios affinis"
220,3225,750,100,"Anilios affinis"
229,3644,721,67,"Anilios affinis"
207,4477,601,40,"Anilios affinis"
175,5478,657,25,"Anilios affinis"
228,3574,591,93,"Anilios affinis"
202,4748,616,40,"Anilios affinis"
166,4014,773,39,"Anilios affinis"
234,3934,578,64,"Anilios affinis"
229,4080,552,62,"Anilios affinis"
253,1531,1228,113,"Anilios affinis"
234,3608,646,82,"Anilios affinis"
211,3725,993,51,"Anilios affinis"
220,2442,1008,98,"Anilios affinis"
158,4371,856,45,"Anilios affinis"
263,2363,987,116,"Anilios affinis"
221,3574,931,73,"Anilios affinis"
270,1602,1577,123,"Anilios affinis"
270,2864,816,124,"Anilios affinis"
165,4879,564,23,"Anilios affinis"
179,5261,591,28,"Anilios affinis"
257,2177,1150,111,"Anilios affinis"
200,5498,575,35,"Anilios affinis"
246,3130,769,93,"Anilios affinis"
227,3579,714,66,"Anilios affinis"
158,4763,791,26,"Anilios affinis"
236,2442,700,113,"Anilios affinis"
216,3359,1443,75,"Anilios affinis"
257,1314,1403,104,"Anilios affinis"
202,4895,624,44,"Anilios affinis"
252,2527,847,113,"Anilios affinis"
208,2509,1137,109,"Anilios affinis"
282,2363,1056,115,"Anilios affinis"
127,4615,992,19,"Anilios affinis"
199,4424,707,43,"Anilios affinis"
263,1167,1644,94,"Anilios affinis"
129,5072,855,16,"Anilios affinis"
269,2186,1180,121,"Anilios affinis"
245,3008,731,117,"Anilios affinis"
199,5227,594,32,"Anilios affinis"
213,4861,634,42,"Anilios affinis"
282,2878,820,112,"Anilios affinis"
217,3413,1021,74,"Anilios affinis"
180,3524,854,50,"Anilios affinis"
230,3472,808,80,"Anilios affinis"
231,3944,532,61,"Anilios affinis"
235,3438,821,65,"Anilios affinis"
205,4219,670,43,"Anilios affinis"
197,3970,926,45,"Anilios affinis"
130,4802,659,21,"Anilios affinis"
203,5593,539,31,"Anilios affinis"
265,1730,1454,114,"Anilios affinis"
200,4876,633,40,"Anilios affinis"
262,1374,1472,115,"Anilios affinis"
224,3230,995,60,"Anilios affinis"
208,4182,744,47,"Anilios affinis"
233,3700,622,83,"Anilios affinis"
233,3486,799,80,"Anilios affinis"
204,2764,2058,91,"Anilios affinis"
241,3040,1414,88,"Anilios affinis"
201,5157,593,34,"Anilios affinis"
164,5611,530,15,"Anilios affinis"
227,3855,581,54,"Anilios affinis"
185,5149,708,36,"Anilios affinis"
228,2271,1181,95,"Anilios affinis"
194,3641,988,52,"Anilios affinis"
209,4730,602,38,"Anilios affinis"
253,1759,1122,114,"Anilios affinis"
238,3128,1560,86,"Anilios affinis"
223,3266,610,93,"Anilios affinis"
138,4624,832,28,"Anilios affinis"
142,5360,725,16,"Anilios affinis"
191,4613,603,31,"Anilios affinis"
264,2056,996,118,"Anilios affinis"
260,1387,1410,115,"Anilios affinis"
217,3465,1019,49,"Anilios affinis"
263,2861,766,108,"Anilios affinis"
256,2091,1073,111,"Anilios affinis"
176,5192,595,30,"Anilios affinis"
262,1132,1589,98,"Anilios affinis"
239,2721,1020,115,"Anilios affinis"
214,3819,595,46,"Anilios affinis"
235,3176,1667,83,"Anilios affinis"
272,2514,895,108,"Anilios affinis"
