"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
179,4537,279,21,"Anilios australis"
149,3519,492,50,"Anilios australis"
169,4839,379,57,"Anilios australis"
185,4940,262,26,"Anilios australis"
184,5312,340,53,"Anilios australis"
161,3997,376,32,"Anilios australis"
159,3430,894,81,"Anilios australis"
158,4194,398,59,"Anilios australis"
178,5122,349,56,"Anilios australis"
186,5612,313,39,"Anilios australis"
194,4968,407,75,"Anilios australis"
165,4181,329,35,"Anilios australis"
186,5343,266,33,"Anilios australis"
157,4119,415,59,"Anilios australis"
173,3084,455,35,"Anilios australis"
186,5527,316,51,"Anilios australis"
173,5016,370,59,"Anilios australis"
167,3643,372,18,"Anilios australis"
184,5055,433,74,"Anilios australis"
158,4435,414,52,"Anilios australis"
190,4977,452,76,"Anilios australis"
150,3440,618,65,"Anilios australis"
164,4669,438,73,"Anilios australis"
162,4574,386,63,"Anilios australis"
174,4417,300,11,"Anilios australis"
185,4887,502,77,"Anilios australis"
182,5074,446,66,"Anilios australis"
159,3276,443,25,"Anilios australis"
158,4136,377,46,"Anilios australis"
208,4063,371,86,"Anilios australis"
162,2711,1126,76,"Anilios australis"
186,5406,293,44,"Anilios australis"
189,5434,259,31,"Anilios australis"
167,3337,459,26,"Anilios australis"
147,3076,682,53,"Anilios australis"
189,3944,747,83,"Anilios australis"
184,5114,381,72,"Anilios australis"
176,4473,298,9,"Anilios australis"
205,5117,344,76,"Anilios australis"
158,3306,413,27,"Anilios australis"
183,5490,338,55,"Anilios australis"
162,2971,515,34,"Anilios australis"
154,3461,463,29,"Anilios australis"
204,4472,402,82,"Anilios australis"
169,4091,340,20,"Anilios australis"
166,3729,383,16,"Anilios australis"
163,4036,354,29,"Anilios australis"
184,5517,314,53,"Anilios australis"
194,3895,550,87,"Anilios australis"
175,4329,315,14,"Anilios australis"
203,4614,392,83,"Anilios australis"
196,5245,367,71,"Anilios australis"
184,5187,336,59,"Anilios australis"
164,3885,1244,81,"Anilios australis"
171,3091,530,39,"Anilios australis"
163,3883,940,75,"Anilios australis"
151,3940,477,64,"Anilios australis"
187,4456,593,78,"Anilios australis"
186,3544,817,83,"Anilios australis"
155,2620,1321,70,"Anilios australis"
166,3948,1051,76,"Anilios australis"
170,4760,342,36,"Anilios australis"
161,3985,350,25,"Anilios australis"
177,5159,392,57,"Anilios australis"
201,4180,425,97,"Anilios australis"
165,2356,1116,80,"Anilios australis"
177,5097,329,52,"Anilios australis"
186,5557,295,45,"Anilios australis"
169,3459,353,22,"Anilios australis"
181,5315,318,52,"Anilios australis"
181,5141,285,33,"Anilios australis"
163,4384,360,29,"Anilios australis"
149,3620,597,64,"Anilios australis"
169,3427,419,29,"Anilios australis"
186,5175,274,25,"Anilios australis"
160,4438,343,43,"Anilios australis"
188,5298,358,63,"Anilios australis"
182,3329,945,81,"Anilios australis"
175,4880,306,35,"Anilios australis"
215,4329,294,81,"Anilios australis"
169,4260,323,24,"Anilios australis"
186,4656,537,78,"Anilios australis"
179,5026,372,73,"Anilios australis"
162,3109,434,35,"Anilios australis"
159,2459,1062,61,"Anilios australis"
166,4529,339,37,"Anilios australis"
173,4522,318,14,"Anilios australis"
145,3716,535,53,"Anilios australis"
171,2640,854,82,"Anilios australis"
187,3797,833,81,"Anilios australis"
162,4120,367,27,"Anilios australis"
173,5017,351,52,"Anilios australis"
198,4181,500,89,"Anilios australis"
181,4786,280,17,"Anilios australis"
174,4768,304,20,"Anilios australis"
187,5436,325,64,"Anilios australis"
156,2460,1192,64,"Anilios australis"
196,5778,266,32,"Anilios australis"
173,4296,303,13,"Anilios australis"
159,4027,774,76,"Anilios australis"
159,4309,558,66,"Anilios australis"
175,5075,348,54,"Anilios australis"
162,4402,354,52,"Anilios australis"
175,4471,293,20,"Anilios australis"
188,5295,389,63,"Anilios australis"
176,4563,305,16,"Anilios australis"
187,5175,358,67,"Anilios australis"
166,3429,445,25,"Anilios australis"
223,2785,243,79,"Anilios australis"
169,3345,435,36,"Anilios australis"
188,4598,549,79,"Anilios australis"
172,4754,630,80,"Anilios australis"
215,3420,348,99,"Anilios australis"
188,4359,575,82,"Anilios australis"
150,3225,670,64,"Anilios australis"
183,4885,275,18,"Anilios australis"
167,3152,531,42,"Anilios australis"
160,3837,396,34,"Anilios australis"
200,5217,367,74,"Anilios australis"
158,3497,1187,80,"Anilios australis"
187,5431,288,41,"Anilios australis"
160,3768,1283,81,"Anilios australis"
154,3531,383,45,"Anilios australis"
184,5516,333,36,"Anilios australis"
166,3781,387,19,"Anilios australis"
185,4744,249,21,"Anilios australis"
182,5495,342,58,"Anilios australis"
187,5622,314,44,"Anilios australis"
189,5594,348,51,"Anilios australis"
171,4243,324,15,"Anilios australis"
168,4795,367,57,"Anilios australis"
186,5093,422,70,"Anilios australis"
205,3781,383,89,"Anilios australis"
166,3294,463,26,"Anilios australis"
158,4094,355,43,"Anilios australis"
179,5172,326,48,"Anilios australis"
183,4908,440,73,"Anilios australis"
181,4858,276,24,"Anilios australis"
189,4129,707,83,"Anilios australis"
155,3944,383,49,"Anilios australis"
171,4055,322,17,"Anilios australis"
175,5263,337,44,"Anilios australis"
205,4237,417,85,"Anilios australis"
191,3929,706,83,"Anilios australis"
168,4335,861,82,"Anilios australis"
206,3824,483,84,"Anilios australis"
166,4611,340,51,"Anilios australis"
174,4254,322,12,"Anilios australis"
169,4780,372,64,"Anilios australis"
158,3859,397,30,"Anilios australis"
173,5005,338,46,"Anilios australis"
148,3387,682,63,"Anilios australis"
172,4404,317,26,"Anilios australis"
192,4790,467,81,"Anilios australis"
166,2479,1105,76,"Anilios australis"
149,3105,913,66,"Anilios australis"
159,4194,391,58,"Anilios australis"
157,4390,559,68,"Anilios australis"
185,4912,250,26,"Anilios australis"
181,4763,267,21,"Anilios australis"
156,3044,477,40,"Anilios australis"
170,4038,348,25,"Anilios australis"
