"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
185,5566,327,40,"Anilios hamatus"
239,5275,230,74,"Anilios hamatus"
208,6189,283,41,"Anilios hamatus"
240,6436,236,59,"Anilios hamatus"
260,5979,246,77,"Anilios hamatus"
225,6423,234,43,"Anilios hamatus"
239,5553,383,90,"Anilios hamatus"
249,6223,229,66,"Anilios hamatus"
245,5895,235,68,"Anilios hamatus"
258,6083,246,74,"Anilios hamatus"
193,5648,294,54,"Anilios hamatus"
208,6164,274,42,"Anilios hamatus"
221,6187,273,65,"Anilios hamatus"
224,6398,211,37,"Anilios hamatus"
254,5051,410,94,"Anilios hamatus"
259,5584,228,82,"Anilios hamatus"
221,6246,243,56,"Anilios hamatus"
271,3870,277,95,"Anilios hamatus"
214,6016,224,49,"Anilios hamatus"
205,6003,310,53,"Anilios hamatus"
231,4818,223,67,"Anilios hamatus"
264,5958,242,78,"Anilios hamatus"
238,6418,254,59,"Anilios hamatus"
268,3968,281,90,"Anilios hamatus"
245,6441,217,62,"Anilios hamatus"
197,5268,385,72,"Anilios hamatus"
259,5198,310,87,"Anilios hamatus"
226,6223,223,55,"Anilios hamatus"
245,6391,223,63,"Anilios hamatus"
207,6125,230,41,"Anilios hamatus"
242,6318,259,68,"Anilios hamatus"
252,6426,223,66,"Anilios hamatus"
196,5336,206,29,"Anilios hamatus"
207,5838,241,32,"Anilios hamatus"
239,5421,210,66,"Anilios hamatus"
227,4362,243,74,"Anilios hamatus"
186,5383,268,27,"Anilios hamatus"
223,6256,219,51,"Anilios hamatus"
213,6248,231,46,"Anilios hamatus"
213,6250,263,41,"Anilios hamatus"
233,6394,257,59,"Anilios hamatus"
200,5210,383,71,"Anilios hamatus"
196,5632,236,32,"Anilios hamatus"
249,6379,230,70,"Anilios hamatus"
205,6177,234,37,"Anilios hamatus"
274,4335,316,98,"Anilios hamatus"
207,5771,247,34,"Anilios hamatus"
253,6361,287,70,"Anilios hamatus"
235,6230,220,57,"Anilios hamatus"
252,5806,259,84,"Anilios hamatus"
253,5378,309,96,"Anilios hamatus"
230,6221,236,54,"Anilios hamatus"
224,5668,235,60,"Anilios hamatus"
245,5803,237,59,"Anilios hamatus"
201,5727,261,36,"Anilios hamatus"
243,6064,238,70,"Anilios hamatus"
245,5811,228,61,"Anilios hamatus"
267,4917,336,89,"Anilios hamatus"
197,5919,237,31,"Anilios hamatus"
266,4444,306,87,"Anilios hamatus"
197,6047,258,36,"Anilios hamatus"
209,6181,213,38,"Anilios hamatus"
251,6391,246,70,"Anilios hamatus"
227,5918,224,56,"Anilios hamatus"
204,5693,231,37,"Anilios hamatus"
254,5091,452,99,"Anilios hamatus"
196,5905,275,31,"Anilios hamatus"
220,6314,240,53,"Anilios hamatus"
232,6441,247,46,"Anilios hamatus"
245,5001,236,77,"Anilios hamatus"
258,4171,279,81,"Anilios hamatus"
233,4748,210,68,"Anilios hamatus"
208,6179,242,36,"Anilios hamatus"
260,3911,311,88,"Anilios hamatus"
269,3553,272,88,"Anilios hamatus"
195,5863,301,50,"Anilios hamatus"
270,3831,272,94,"Anilios hamatus"
249,4295,256,81,"Anilios hamatus"
264,5794,233,79,"Anilios hamatus"
245,5782,248,59,"Anilios hamatus"
209,5830,239,37,"Anilios hamatus"
217,6135,217,42,"Anilios hamatus"
199,6030,240,39,"Anilios hamatus"
196,5613,236,26,"Anilios hamatus"
260,5939,285,79,"Anilios hamatus"
268,5490,307,90,"Anilios hamatus"
224,5568,250,55,"Anilios hamatus"
248,6305,283,72,"Anilios hamatus"
211,5772,303,57,"Anilios hamatus"
233,4277,217,71,"Anilios hamatus"
199,5716,256,31,"Anilios hamatus"
243,5842,250,67,"Anilios hamatus"
195,5899,294,53,"Anilios hamatus"
199,5734,323,58,"Anilios hamatus"
193,5905,290,37,"Anilios hamatus"
264,5148,306,85,"Anilios hamatus"
246,5826,257,76,"Anilios hamatus"
255,6300,268,74,"Anilios hamatus"
228,6429,225,46,"Anilios hamatus"
257,4488,391,95,"Anilios hamatus"
250,5277,255,81,"Anilios hamatus"
241,3647,221,83,"Anilios hamatus"
207,5807,324,55,"Anilios hamatus"
197,5416,341,74,"Anilios hamatus"
246,5956,268,71,"Anilios hamatus"
259,5071,396,88,"Anilios hamatus"
235,6446,257,53,"Anilios hamatus"
248,5939,262,74,"Anilios hamatus"
276,3575,355,109,"Anilios hamatus"
226,6323,218,46,"Anilios hamatus"
260,5592,297,84,"Anilios hamatus"
257,6376,232,68,"Anilios hamatus"
238,5435,361,80,"Anilios hamatus"
222,3634,256,86,"Anilios hamatus"
238,6388,199,57,"Anilios hamatus"
275,4093,318,98,"Anilios hamatus"
188,5587,274,29,"Anilios hamatus"
203,5653,230,37,"Anilios hamatus"
259,5606,277,82,"Anilios hamatus"
253,6395,271,68,"Anilios hamatus"
274,4222,329,100,"Anilios hamatus"
203,6146,249,44,"Anilios hamatus"
251,3921,292,76,"Anilios hamatus"
247,5068,247,78,"Anilios hamatus"
207,5933,249,34,"Anilios hamatus"
255,6240,338,74,"Anilios hamatus"
200,5767,322,53,"Anilios hamatus"
207,6232,249,29,"Anilios hamatus"
272,3777,308,99,"Anilios hamatus"
249,6395,268,69,"Anilios hamatus"
196,5343,204,29,"Anilios hamatus"
238,6096,257,71,"Anilios hamatus"
262,5769,326,85,"Anilios hamatus"
230,6369,227,51,"Anilios hamatus"
224,6402,266,43,"Anilios hamatus"
202,4575,419,85,"Anilios hamatus"
268,4761,295,93,"Anilios hamatus"
201,5608,224,30,"Anilios hamatus"
226,6265,276,65,"Anilios hamatus"
216,6196,261,51,"Anilios hamatus"
270,4252,326,101,"Anilios hamatus"
224,6294,226,54,"Anilios hamatus"
192,5359,243,25,"Anilios hamatus"
261,5418,224,79,"Anilios hamatus"
215,6341,237,47,"Anilios hamatus"
216,6097,215,50,"Anilios hamatus"
243,6405,242,66,"Anilios hamatus"
228,6029,219,49,"Anilios hamatus"
228,6424,223,35,"Anilios hamatus"
258,5354,318,88,"Anilios hamatus"
250,6241,238,67,"Anilios hamatus"
220,6383,225,45,"Anilios hamatus"
258,6010,252,69,"Anilios hamatus"
233,6439,268,49,"Anilios hamatus"
231,6396,280,56,"Anilios hamatus"
273,4413,313,100,"Anilios hamatus"
235,5894,196,70,"Anilios hamatus"
266,4444,311,87,"Anilios hamatus"
265,5950,275,79,"Anilios hamatus"
251,6400,254,70,"Anilios hamatus"
266,4060,304,88,"Anilios hamatus"
261,6301,280,74,"Anilios hamatus"
224,3534,249,84,"Anilios hamatus"
270,4003,321,103,"Anilios hamatus"
243,3385,270,79,"Anilios hamatus"
235,6412,241,58,"Anilios hamatus"
197,6043,268,26,"Anilios hamatus"
263,4094,312,87,"Anilios hamatus"
216,6355,220,49,"Anilios hamatus"
206,5995,250,32,"Anilios hamatus"
248,6338,229,67,"Anilios hamatus"
243,5738,227,71,"Anilios hamatus"
254,5841,213,79,"Anilios hamatus"
203,6095,247,29,"Anilios hamatus"
245,6048,241,75,"Anilios hamatus"
242,4624,239,72,"Anilios hamatus"
238,5021,215,65,"Anilios hamatus"
233,6078,200,57,"Anilios hamatus"
209,6067,262,50,"Anilios hamatus"
220,4733,276,73,"Anilios hamatus"
252,4827,413,96,"Anilios hamatus"
234,6116,202,60,"Anilios hamatus"
272,4741,294,91,"Anilios hamatus"
274,4639,323,95,"Anilios hamatus"
184,5518,331,43,"Anilios hamatus"
238,3655,229,80,"Anilios hamatus"
257,5260,414,92,"Anilios hamatus"
212,6263,245,37,"Anilios hamatus"
210,5906,255,36,"Anilios hamatus"
194,5891,255,31,"Anilios hamatus"
197,5583,265,35,"Anilios hamatus"
256,5977,221,75,"Anilios hamatus"
191,5750,295,33,"Anilios hamatus"
243,6377,268,69,"Anilios hamatus"
206,4072,416,88,"Anilios hamatus"
