"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
275,1644,1111,120,"Anilios howi"
276,1891,1020,112,"Anilios howi"
274,1705,1020,116,"Anilios howi"
277,1756,1136,116,"Anilios howi"
269,1765,1159,112,"Anilios howi"
271,1839,1129,109,"Anilios howi"
275,1892,1096,114,"Anilios howi"
271,1856,1113,111,"Anilios howi"
267,1718,1391,117,"Anilios howi"
270,1797,1262,114,"Anilios howi"
274,1797,1084,111,"Anilios howi"
272,1836,1247,115,"Anilios howi"
266,1697,1372,115,"Anilios howi"
269,1750,1176,111,"Anilios howi"
272,1823,1135,110,"Anilios howi"
270,1693,1106,112,"Anilios howi"
279,1654,1010,120,"Anilios howi"
274,1633,1257,123,"Anilios howi"
269,1701,1309,116,"Anilios howi"
275,1521,1089,126,"Anilios howi"
274,1626,1231,121,"Anilios howi"
278,1776,1143,117,"Anilios howi"
272,1776,1169,113,"Anilios howi"
275,1547,1103,123,"Anilios howi"
271,1812,1188,113,"Anilios howi"
279,1650,957,117,"Anilios howi"
274,1577,1167,122,"Anilios howi"
277,1607,1104,119,"Anilios howi"
276,1629,1044,117,"Anilios howi"
276,1854,1045,111,"Anilios howi"
279,1617,931,119,"Anilios howi"
271,1778,1060,112,"Anilios howi"
276,1619,973,116,"Anilios howi"
265,1699,1359,115,"Anilios howi"
269,1883,1348,113,"Anilios howi"
273,1809,1012,109,"Anilios howi"
275,1464,1016,131,"Anilios howi"
279,1754,930,113,"Anilios howi"
277,1795,1165,117,"Anilios howi"
270,1807,1252,114,"Anilios howi"
275,1480,1050,128,"Anilios howi"
270,1721,1223,117,"Anilios howi"
277,1745,1198,116,"Anilios howi"
269,1869,1204,110,"Anilios howi"
277,1585,1000,119,"Anilios howi"
279,1612,943,119,"Anilios howi"
276,1605,1182,122,"Anilios howi"
275,1498,1013,128,"Anilios howi"
277,1622,1145,123,"Anilios howi"
274,1752,962,111,"Anilios howi"
270,1757,1085,111,"Anilios howi"
277,1872,1116,116,"Anilios howi"
278,1607,1027,123,"Anilios howi"
277,1841,1007,114,"Anilios howi"
278,1579,1082,125,"Anilios howi"
277,1886,1016,111,"Anilios howi"
277,1610,1174,124,"Anilios howi"
270,1890,1175,109,"Anilios howi"
270,1830,1188,109,"Anilios howi"
275,1687,1229,122,"Anilios howi"
277,1673,1016,115,"Anilios howi"
275,1771,1103,112,"Anilios howi"
270,1642,1376,121,"Anilios howi"
274,1684,1243,121,"Anilios howi"
276,1793,1129,116,"Anilios howi"
270,1837,1307,113,"Anilios howi"
275,1661,1093,118,"Anilios howi"
275,1654,1181,120,"Anilios howi"
269,1754,1262,116,"Anilios howi"
275,1831,1027,110,"Anilios howi"
273,1810,1341,119,"Anilios howi"
267,1731,1169,111,"Anilios howi"
277,1700,1148,117,"Anilios howi"
272,1700,1272,121,"Anilios howi"
277,1664,1110,120,"Anilios howi"
268,1696,1219,116,"Anilios howi"
277,1771,942,113,"Anilios howi"
274,1629,1135,119,"Anilios howi"
276,1695,1084,117,"Anilios howi"
267,1702,1331,114,"Anilios howi"
274,1475,961,125,"Anilios howi"
267,1725,1257,113,"Anilios howi"
273,1856,1137,109,"Anilios howi"
271,1708,1161,115,"Anilios howi"
271,1792,1135,111,"Anilios howi"
277,1616,1017,117,"Anilios howi"
277,1683,957,116,"Anilios howi"
269,1651,1297,117,"Anilios howi"
279,1741,1105,117,"Anilios howi"
268,1657,1356,119,"Anilios howi"
277,1678,984,118,"Anilios howi"
