"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
273,4194,323,99,"Anilios pilbarensis"
268,4662,321,103,"Anilios pilbarensis"
273,4153,316,100,"Anilios pilbarensis"
271,5050,332,94,"Anilios pilbarensis"
273,3732,322,97,"Anilios pilbarensis"
272,3612,331,98,"Anilios pilbarensis"
272,3221,342,101,"Anilios pilbarensis"
273,3898,330,102,"Anilios pilbarensis"
263,4841,383,99,"Anilios pilbarensis"
273,4451,322,100,"Anilios pilbarensis"
275,4038,308,99,"Anilios pilbarensis"
269,4657,314,100,"Anilios pilbarensis"
275,3894,323,99,"Anilios pilbarensis"
271,3969,303,103,"Anilios pilbarensis"
263,4849,362,99,"Anilios pilbarensis"
273,3387,335,101,"Anilios pilbarensis"
272,4674,324,100,"Anilios pilbarensis"
274,4144,325,99,"Anilios pilbarensis"
271,4109,330,100,"Anilios pilbarensis"
273,4815,310,99,"Anilios pilbarensis"
259,4930,405,102,"Anilios pilbarensis"
275,4313,321,99,"Anilios pilbarensis"
270,4107,294,94,"Anilios pilbarensis"
274,4555,321,98,"Anilios pilbarensis"
254,4797,400,97,"Anilios pilbarensis"
275,4448,304,100,"Anilios pilbarensis"
273,3711,326,96,"Anilios pilbarensis"
270,4679,324,103,"Anilios pilbarensis"
273,3732,311,94,"Anilios pilbarensis"
271,4002,314,101,"Anilios pilbarensis"
271,4568,313,103,"Anilios pilbarensis"
274,4332,312,95,"Anilios pilbarensis"
267,4873,347,97,"Anilios pilbarensis"
274,4168,332,99,"Anilios pilbarensis"
275,4564,316,99,"Anilios pilbarensis"
274,4075,313,97,"Anilios pilbarensis"
268,4751,294,96,"Anilios pilbarensis"
273,3906,288,100,"Anilios pilbarensis"
274,3757,280,99,"Anilios pilbarensis"
271,4172,312,100,"Anilios pilbarensis"
271,4836,328,98,"Anilios pilbarensis"
271,4552,325,98,"Anilios pilbarensis"
272,3400,321,96,"Anilios pilbarensis"
262,4804,401,99,"Anilios pilbarensis"
275,4161,315,97,"Anilios pilbarensis"
263,4659,367,99,"Anilios pilbarensis"
273,3412,330,99,"Anilios pilbarensis"
272,4552,309,100,"Anilios pilbarensis"
270,4838,324,98,"Anilios pilbarensis"
272,3461,301,96,"Anilios pilbarensis"
274,4132,321,100,"Anilios pilbarensis"
270,4174,301,101,"Anilios pilbarensis"
273,3952,318,98,"Anilios pilbarensis"
272,4014,321,99,"Anilios pilbarensis"
275,4144,319,98,"Anilios pilbarensis"
271,4527,318,100,"Anilios pilbarensis"
270,4468,338,101,"Anilios pilbarensis"
271,3368,302,95,"Anilios pilbarensis"
274,4336,318,99,"Anilios pilbarensis"
271,4745,291,96,"Anilios pilbarensis"
273,3708,318,95,"Anilios pilbarensis"
268,5052,348,103,"Anilios pilbarensis"
268,4647,325,102,"Anilios pilbarensis"
274,3867,322,100,"Anilios pilbarensis"
274,4012,324,101,"Anilios pilbarensis"
274,3543,332,101,"Anilios pilbarensis"
272,3761,303,98,"Anilios pilbarensis"
275,3636,276,97,"Anilios pilbarensis"
