"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
259,1850,1655,97,"Anilios robertsi"
250,1942,1300,102,"Anilios robertsi"
236,1924,1803,94,"Anilios robertsi"
260,1756,1678,95,"Anilios robertsi"
258,1854,1598,98,"Anilios robertsi"
251,1902,1454,103,"Anilios robertsi"
234,1887,1771,98,"Anilios robertsi"
255,1867,2265,93,"Anilios robertsi"
250,1812,1911,98,"Anilios robertsi"
245,1874,1852,99,"Anilios robertsi"
222,1862,2554,92,"Anilios robertsi"
247,1982,1337,104,"Anilios robertsi"
248,1923,2382,89,"Anilios robertsi"
255,1914,1376,102,"Anilios robertsi"
233,1932,1748,98,"Anilios robertsi"
236,1907,1441,98,"Anilios robertsi"
246,1787,1838,99,"Anilios robertsi"
239,1871,1888,100,"Anilios robertsi"
258,1865,1590,98,"Anilios robertsi"
237,1872,1856,96,"Anilios robertsi"
225,1854,2292,93,"Anilios robertsi"
258,1886,1497,99,"Anilios robertsi"
258,1803,1489,97,"Anilios robertsi"
245,1905,3010,87,"Anilios robertsi"
246,1939,2225,90,"Anilios robertsi"
251,1913,1486,99,"Anilios robertsi"
252,1791,2048,97,"Anilios robertsi"
255,1893,1545,100,"Anilios robertsi"
257,1767,1539,97,"Anilios robertsi"
250,1904,1429,98,"Anilios robertsi"
251,1957,1332,103,"Anilios robertsi"
253,1836,1455,100,"Anilios robertsi"
252,1881,1345,103,"Anilios robertsi"
241,1971,1417,104,"Anilios robertsi"
248,1924,1481,100,"Anilios robertsi"
255,1840,2083,95,"Anilios robertsi"
252,1803,2091,97,"Anilios robertsi"
253,1898,1405,101,"Anilios robertsi"
250,1964,1198,103,"Anilios robertsi"
257,1887,1415,99,"Anilios robertsi"
247,1948,1379,102,"Anilios robertsi"
248,1974,1274,100,"Anilios robertsi"
240,1873,1726,95,"Anilios robertsi"
244,1836,1804,97,"Anilios robertsi"
242,1763,2018,98,"Anilios robertsi"
254,1883,1506,98,"Anilios robertsi"
249,1744,2120,96,"Anilios robertsi"
241,1965,1527,101,"Anilios robertsi"
248,1862,1657,99,"Anilios robertsi"
250,1935,1278,103,"Anilios robertsi"
246,1957,1310,99,"Anilios robertsi"
252,1854,1698,100,"Anilios robertsi"
257,1867,1509,99,"Anilios robertsi"
238,1808,2012,100,"Anilios robertsi"
258,1842,1585,98,"Anilios robertsi"
258,1792,1429,98,"Anilios robertsi"
247,1880,1584,96,"Anilios robertsi"
244,1898,1622,104,"Anilios robertsi"
251,1851,1963,98,"Anilios robertsi"
230,1839,2707,92,"Anilios robertsi"
237,1844,2305,93,"Anilios robertsi"
258,1859,1500,99,"Anilios robertsi"
257,1759,1861,95,"Anilios robertsi"
242,1908,2595,90,"Anilios robertsi"
258,1804,1581,97,"Anilios robertsi"
242,1821,2022,96,"Anilios robertsi"
233,1798,2663,92,"Anilios robertsi"
246,1934,2069,89,"Anilios robertsi"
258,1839,1571,98,"Anilios robertsi"
233,1816,2371,94,"Anilios robertsi"
250,1903,2488,90,"Anilios robertsi"
