"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
223,3277,1010,53,"Anomalopus verreauxi"
167,3461,1732,38,"Anomalopus verreauxi"
236,3200,1390,87,"Anomalopus verreauxi"
230,4108,685,53,"Anomalopus verreauxi"
181,4103,898,43,"Anomalopus verreauxi"
200,4929,615,39,"Anomalopus verreauxi"
190,3665,1533,47,"Anomalopus verreauxi"
173,3831,1178,40,"Anomalopus verreauxi"
218,3431,1069,48,"Anomalopus verreauxi"
209,3522,1497,44,"Anomalopus verreauxi"
225,4022,670,55,"Anomalopus verreauxi"
139,4186,904,42,"Anomalopus verreauxi"
230,3363,1019,65,"Anomalopus verreauxi"
214,3328,1075,61,"Anomalopus verreauxi"
231,3904,651,55,"Anomalopus verreauxi"
215,3838,597,53,"Anomalopus verreauxi"
229,3035,1232,57,"Anomalopus verreauxi"
229,4147,627,49,"Anomalopus verreauxi"
161,3773,1200,28,"Anomalopus verreauxi"
127,4273,766,43,"Anomalopus verreauxi"
230,3557,839,64,"Anomalopus verreauxi"
216,3378,1238,78,"Anomalopus verreauxi"
186,3823,1233,57,"Anomalopus verreauxi"
118,4274,1026,37,"Anomalopus verreauxi"
214,3361,1225,55,"Anomalopus verreauxi"
203,3620,850,39,"Anomalopus verreauxi"
199,4865,602,36,"Anomalopus verreauxi"
181,4129,823,37,"Anomalopus verreauxi"
201,4964,603,37,"Anomalopus verreauxi"
240,3091,1617,86,"Anomalopus verreauxi"
197,4082,629,42,"Anomalopus verreauxi"
234,3671,828,66,"Anomalopus verreauxi"
191,3696,1084,46,"Anomalopus verreauxi"
189,3741,1151,48,"Anomalopus verreauxi"
184,4662,608,29,"Anomalopus verreauxi"
120,4170,834,38,"Anomalopus verreauxi"
164,3853,1457,35,"Anomalopus verreauxi"
187,3969,993,49,"Anomalopus verreauxi"
200,5027,580,32,"Anomalopus verreauxi"
230,4017,639,56,"Anomalopus verreauxi"
214,3460,1050,50,"Anomalopus verreauxi"
122,3979,1290,26,"Anomalopus verreauxi"
231,3902,549,55,"Anomalopus verreauxi"
217,3194,1057,83,"Anomalopus verreauxi"
223,3290,960,52,"Anomalopus verreauxi"
206,3955,657,39,"Anomalopus verreauxi"
154,4070,818,34,"Anomalopus verreauxi"
227,3895,659,54,"Anomalopus verreauxi"
220,3296,1010,48,"Anomalopus verreauxi"
216,3450,1070,51,"Anomalopus verreauxi"
170,4130,922,41,"Anomalopus verreauxi"
147,4163,1143,49,"Anomalopus verreauxi"
231,3083,1096,92,"Anomalopus verreauxi"
178,4672,782,33,"Anomalopus verreauxi"
200,4919,622,39,"Anomalopus verreauxi"
199,4885,627,42,"Anomalopus verreauxi"
193,3116,1971,36,"Anomalopus verreauxi"
151,4057,986,50,"Anomalopus verreauxi"
198,3434,953,56,"Anomalopus verreauxi"
220,3106,1201,55,"Anomalopus verreauxi"
230,3639,687,63,"Anomalopus verreauxi"
230,3986,609,55,"Anomalopus verreauxi"
199,4864,633,41,"Anomalopus verreauxi"
195,4694,665,41,"Anomalopus verreauxi"
229,3625,675,68,"Anomalopus verreauxi"
158,4120,1087,53,"Anomalopus verreauxi"
193,3756,768,55,"Anomalopus verreauxi"
189,4110,710,46,"Anomalopus verreauxi"
230,3765,673,64,"Anomalopus verreauxi"
127,3761,1485,43,"Anomalopus verreauxi"
235,3201,994,69,"Anomalopus verreauxi"
195,4856,685,39,"Anomalopus verreauxi"
203,3060,1674,38,"Anomalopus verreauxi"
201,4572,773,44,"Anomalopus verreauxi"
202,4339,722,42,"Anomalopus verreauxi"
175,4452,632,28,"Anomalopus verreauxi"
201,4258,664,44,"Anomalopus verreauxi"
174,3675,1400,39,"Anomalopus verreauxi"
198,3797,784,41,"Anomalopus verreauxi"
228,3624,890,63,"Anomalopus verreauxi"
162,4383,683,28,"Anomalopus verreauxi"
196,3327,1323,40,"Anomalopus verreauxi"
231,3864,654,60,"Anomalopus verreauxi"
202,3928,746,46,"Anomalopus verreauxi"
232,3399,950,61,"Anomalopus verreauxi"
196,3577,1450,50,"Anomalopus verreauxi"
152,4291,831,34,"Anomalopus verreauxi"
125,4462,843,30,"Anomalopus verreauxi"
147,4358,743,41,"Anomalopus verreauxi"
157,4278,866,47,"Anomalopus verreauxi"
220,3319,896,50,"Anomalopus verreauxi"
218,3358,1050,49,"Anomalopus verreauxi"
234,3252,1599,84,"Anomalopus verreauxi"
127,4391,927,37,"Anomalopus verreauxi"
204,4877,630,44,"Anomalopus verreauxi"
232,3956,594,51,"Anomalopus verreauxi"
234,3147,1004,64,"Anomalopus verreauxi"
236,3511,972,70,"Anomalopus verreauxi"
198,4210,685,36,"Anomalopus verreauxi"
173,3570,1149,33,"Anomalopus verreauxi"
175,4161,716,34,"Anomalopus verreauxi"
206,4015,667,45,"Anomalopus verreauxi"
192,4136,886,47,"Anomalopus verreauxi"
197,3498,1054,38,"Anomalopus verreauxi"
168,4027,1274,49,"Anomalopus verreauxi"
228,3142,902,56,"Anomalopus verreauxi"
170,4395,636,30,"Anomalopus verreauxi"
195,3500,983,48,"Anomalopus verreauxi"
163,4286,695,33,"Anomalopus verreauxi"
199,3886,803,45,"Anomalopus verreauxi"
204,4430,685,43,"Anomalopus verreauxi"
226,3544,730,66,"Anomalopus verreauxi"
224,3980,673,56,"Anomalopus verreauxi"
203,4252,708,46,"Anomalopus verreauxi"
223,3374,943,78,"Anomalopus verreauxi"
208,3050,1614,36,"Anomalopus verreauxi"
219,3621,931,58,"Anomalopus verreauxi"
132,4249,862,33,"Anomalopus verreauxi"
204,4827,651,43,"Anomalopus verreauxi"
186,3806,1159,51,"Anomalopus verreauxi"
200,3959,761,42,"Anomalopus verreauxi"
199,4997,653,35,"Anomalopus verreauxi"
190,3386,1500,42,"Anomalopus verreauxi"
229,3275,636,85,"Anomalopus verreauxi"
170,4078,739,35,"Anomalopus verreauxi"
212,3705,873,49,"Anomalopus verreauxi"
188,4018,994,51,"Anomalopus verreauxi"
184,3945,1110,51,"Anomalopus verreauxi"
231,3798,656,56,"Anomalopus verreauxi"
160,4227,772,40,"Anomalopus verreauxi"
193,4848,629,34,"Anomalopus verreauxi"
230,3790,710,63,"Anomalopus verreauxi"
232,3970,615,53,"Anomalopus verreauxi"
194,4892,664,32,"Anomalopus verreauxi"
191,4782,659,32,"Anomalopus verreauxi"
194,3422,1216,39,"Anomalopus verreauxi"
227,3815,592,50,"Anomalopus verreauxi"
210,3901,731,52,"Anomalopus verreauxi"
208,4106,653,47,"Anomalopus verreauxi"
198,4477,641,41,"Anomalopus verreauxi"
197,3782,883,38,"Anomalopus verreauxi"
232,3238,1601,82,"Anomalopus verreauxi"
209,3071,1435,89,"Anomalopus verreauxi"
222,3292,1119,57,"Anomalopus verreauxi"
216,3532,967,51,"Anomalopus verreauxi"
206,4018,692,42,"Anomalopus verreauxi"
229,3767,644,62,"Anomalopus verreauxi"
239,3086,972,90,"Anomalopus verreauxi"
195,3643,1077,42,"Anomalopus verreauxi"
181,3549,1281,40,"Anomalopus verreauxi"
198,4572,624,42,"Anomalopus verreauxi"
202,4975,598,36,"Anomalopus verreauxi"
197,3992,678,46,"Anomalopus verreauxi"
238,3109,1431,87,"Anomalopus verreauxi"
230,4035,633,55,"Anomalopus verreauxi"
162,3927,824,40,"Anomalopus verreauxi"
229,3997,734,56,"Anomalopus verreauxi"
162,3947,1163,52,"Anomalopus verreauxi"
192,3183,1472,35,"Anomalopus verreauxi"
229,3707,705,65,"Anomalopus verreauxi"
178,4297,758,42,"Anomalopus verreauxi"
157,4061,1182,43,"Anomalopus verreauxi"
187,3902,896,39,"Anomalopus verreauxi"
236,2895,1603,83,"Anomalopus verreauxi"
192,3586,1460,44,"Anomalopus verreauxi"
177,3721,1183,45,"Anomalopus verreauxi"
194,4569,679,43,"Anomalopus verreauxi"
134,4373,800,33,"Anomalopus verreauxi"
228,3826,636,60,"Anomalopus verreauxi"
216,3424,1223,74,"Anomalopus verreauxi"
231,3982,624,58,"Anomalopus verreauxi"
226,3588,708,68,"Anomalopus verreauxi"
178,4457,760,39,"Anomalopus verreauxi"
204,4039,631,46,"Anomalopus verreauxi"
231,3889,638,63,"Anomalopus verreauxi"
207,3134,1413,30,"Anomalopus verreauxi"
189,4291,611,39,"Anomalopus verreauxi"
202,4366,724,47,"Anomalopus verreauxi"
224,3541,737,58,"Anomalopus verreauxi"
211,3601,923,53,"Anomalopus verreauxi"
223,3605,740,65,"Anomalopus verreauxi"
201,4789,634,42,"Anomalopus verreauxi"
231,3190,1059,61,"Anomalopus verreauxi"
239,3131,1317,87,"Anomalopus verreauxi"
199,3611,766,51,"Anomalopus verreauxi"
229,3555,849,62,"Anomalopus verreauxi"
201,3661,1206,45,"Anomalopus verreauxi"
216,3283,1208,51,"Anomalopus verreauxi"
235,3621,797,66,"Anomalopus verreauxi"
230,3133,885,92,"Anomalopus verreauxi"
203,3051,1937,43,"Anomalopus verreauxi"
213,3393,1400,40,"Anomalopus verreauxi"
231,3888,623,59,"Anomalopus verreauxi"
237,3171,1536,86,"Anomalopus verreauxi"
210,4202,621,42,"Anomalopus verreauxi"
