"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
231,2853,816,108,"Antaresia maculosa"
269,1164,1796,120,"Antaresia maculosa"
222,4603,618,56,"Antaresia maculosa"
200,4582,629,42,"Antaresia maculosa"
223,2237,1651,93,"Antaresia maculosa"
202,5149,572,31,"Antaresia maculosa"
197,4923,671,38,"Antaresia maculosa"
180,4384,678,36,"Antaresia maculosa"
255,1396,1410,109,"Antaresia maculosa"
227,4071,715,53,"Antaresia maculosa"
266,1922,1294,126,"Antaresia maculosa"
208,4031,708,45,"Antaresia maculosa"
224,3510,773,78,"Antaresia maculosa"
259,1484,1283,114,"Antaresia maculosa"
233,3425,850,61,"Antaresia maculosa"
236,2050,1226,115,"Antaresia maculosa"
240,4188,607,70,"Antaresia maculosa"
216,3511,1027,51,"Antaresia maculosa"
211,4807,587,54,"Antaresia maculosa"
214,4725,554,51,"Antaresia maculosa"
225,4614,624,58,"Antaresia maculosa"
236,3626,656,81,"Antaresia maculosa"
185,5106,582,27,"Antaresia maculosa"
238,4271,569,80,"Antaresia maculosa"
241,2021,1920,94,"Antaresia maculosa"
234,4363,567,68,"Antaresia maculosa"
238,4148,592,77,"Antaresia maculosa"
213,4207,619,43,"Antaresia maculosa"
189,3689,1199,46,"Antaresia maculosa"
195,4750,622,36,"Antaresia maculosa"
212,3523,798,51,"Antaresia maculosa"
260,2443,886,114,"Antaresia maculosa"
187,4494,643,39,"Antaresia maculosa"
168,4894,691,27,"Antaresia maculosa"
214,2514,880,111,"Antaresia maculosa"
245,2119,1112,115,"Antaresia maculosa"
261,1438,1427,116,"Antaresia maculosa"
197,3686,633,45,"Antaresia maculosa"
206,4186,700,44,"Antaresia maculosa"
229,3556,582,94,"Antaresia maculosa"
244,2998,1563,93,"Antaresia maculosa"
226,3766,684,88,"Antaresia maculosa"
218,4542,656,53,"Antaresia maculosa"
208,2940,1283,91,"Antaresia maculosa"
199,4368,725,43,"Antaresia maculosa"
237,4343,554,68,"Antaresia maculosa"
229,4151,632,54,"Antaresia maculosa"
229,3760,676,63,"Antaresia maculosa"
233,3697,836,65,"Antaresia maculosa"
200,3086,2040,42,"Antaresia maculosa"
211,4004,597,40,"Antaresia maculosa"
211,3460,1324,43,"Antaresia maculosa"
210,4882,635,43,"Antaresia maculosa"
206,3844,700,49,"Antaresia maculosa"
221,4109,588,58,"Antaresia maculosa"
231,4550,540,69,"Antaresia maculosa"
141,4365,888,33,"Antaresia maculosa"
155,4310,679,36,"Antaresia maculosa"
260,1574,1389,116,"Antaresia maculosa"
225,4487,670,58,"Antaresia maculosa"
242,2790,2482,73,"Antaresia maculosa"
198,4668,783,47,"Antaresia maculosa"
222,3749,602,53,"Antaresia maculosa"
227,3882,775,66,"Antaresia maculosa"
232,4374,553,68,"Antaresia maculosa"
247,2384,1956,77,"Antaresia maculosa"
195,3646,1220,45,"Antaresia maculosa"
233,3675,617,85,"Antaresia maculosa"
265,1950,1241,124,"Antaresia maculosa"
202,4685,640,43,"Antaresia maculosa"
226,3515,646,93,"Antaresia maculosa"
209,4706,595,44,"Antaresia maculosa"
259,1072,1910,95,"Antaresia maculosa"
211,2868,1079,84,"Antaresia maculosa"
205,4923,686,47,"Antaresia maculosa"
229,3734,667,69,"Antaresia maculosa"
192,4783,668,35,"Antaresia maculosa"
234,3793,599,83,"Antaresia maculosa"
208,3774,932,52,"Antaresia maculosa"
228,3860,537,59,"Antaresia maculosa"
235,3448,570,84,"Antaresia maculosa"
204,5226,595,34,"Antaresia maculosa"
237,4333,620,71,"Antaresia maculosa"
228,3478,692,70,"Antaresia maculosa"
248,2770,1110,99,"Antaresia maculosa"
261,1720,1230,111,"Antaresia maculosa"
206,3539,1580,47,"Antaresia maculosa"
225,3705,689,91,"Antaresia maculosa"
260,1693,1223,100,"Antaresia maculosa"
233,4219,692,82,"Antaresia maculosa"
235,4326,484,72,"Antaresia maculosa"
207,4514,711,51,"Antaresia maculosa"
260,1964,1091,113,"Antaresia maculosa"
238,3411,618,79,"Antaresia maculosa"
167,4445,782,46,"Antaresia maculosa"
263,1998,1073,117,"Antaresia maculosa"
241,3964,648,77,"Antaresia maculosa"
232,4153,568,85,"Antaresia maculosa"
227,2562,830,107,"Antaresia maculosa"
234,3651,610,75,"Antaresia maculosa"
246,1819,1756,100,"Antaresia maculosa"
255,2593,885,115,"Antaresia maculosa"
219,4006,704,60,"Antaresia maculosa"
207,3543,1362,43,"Antaresia maculosa"
259,1582,1220,116,"Antaresia maculosa"
262,1876,1125,113,"Antaresia maculosa"
143,4273,836,39,"Antaresia maculosa"
213,3713,932,50,"Antaresia maculosa"
149,4598,785,31,"Antaresia maculosa"
211,4480,800,46,"Antaresia maculosa"
225,3921,752,52,"Antaresia maculosa"
233,3662,616,85,"Antaresia maculosa"
239,4279,589,70,"Antaresia maculosa"
203,4839,732,46,"Antaresia maculosa"
230,3517,604,89,"Antaresia maculosa"
234,2929,1505,84,"Antaresia maculosa"
241,4485,488,79,"Antaresia maculosa"
209,2683,841,101,"Antaresia maculosa"
212,3762,734,86,"Antaresia maculosa"
177,3737,1234,47,"Antaresia maculosa"
265,1942,1238,123,"Antaresia maculosa"
259,1877,1231,120,"Antaresia maculosa"
225,4186,696,56,"Antaresia maculosa"
238,4092,546,67,"Antaresia maculosa"
201,3671,1209,48,"Antaresia maculosa"
187,5143,665,33,"Antaresia maculosa"
270,1599,1563,123,"Antaresia maculosa"
207,4515,853,58,"Antaresia maculosa"
233,3369,731,78,"Antaresia maculosa"
203,5143,601,38,"Antaresia maculosa"
185,4235,690,41,"Antaresia maculosa"
246,2909,943,93,"Antaresia maculosa"
264,1164,1628,117,"Antaresia maculosa"
191,3900,899,42,"Antaresia maculosa"
259,1171,1646,110,"Antaresia maculosa"
266,2057,1122,118,"Antaresia maculosa"
238,4388,481,75,"Antaresia maculosa"
198,3322,1265,41,"Antaresia maculosa"
264,2122,1075,116,"Antaresia maculosa"
268,2056,1184,122,"Antaresia maculosa"
213,3590,1077,51,"Antaresia maculosa"
226,4357,698,51,"Antaresia maculosa"
194,3859,833,43,"Antaresia maculosa"
235,2230,1031,99,"Antaresia maculosa"
260,1944,1041,114,"Antaresia maculosa"
172,4138,963,42,"Antaresia maculosa"
255,2369,868,111,"Antaresia maculosa"
214,3066,1347,90,"Antaresia maculosa"
231,3289,890,59,"Antaresia maculosa"
239,3966,615,69,"Antaresia maculosa"
223,3716,603,56,"Antaresia maculosa"
237,2967,1708,94,"Antaresia maculosa"
227,3759,760,65,"Antaresia maculosa"
244,3404,674,83,"Antaresia maculosa"
208,3585,1224,51,"Antaresia maculosa"
246,2947,950,94,"Antaresia maculosa"
202,5239,588,34,"Antaresia maculosa"
158,3983,1166,47,"Antaresia maculosa"
264,1958,1213,122,"Antaresia maculosa"
203,4517,734,43,"Antaresia maculosa"
197,4616,671,43,"Antaresia maculosa"
153,4210,826,34,"Antaresia maculosa"
202,5031,606,35,"Antaresia maculosa"
221,2827,697,104,"Antaresia maculosa"
141,4191,892,40,"Antaresia maculosa"
233,3707,750,64,"Antaresia maculosa"
220,4652,604,53,"Antaresia maculosa"
233,2171,1111,111,"Antaresia maculosa"
202,5102,590,36,"Antaresia maculosa"
231,3850,660,62,"Antaresia maculosa"
236,3445,690,82,"Antaresia maculosa"
211,4489,610,43,"Antaresia maculosa"
229,4257,594,51,"Antaresia maculosa"
237,4168,625,84,"Antaresia maculosa"
258,1186,1556,112,"Antaresia maculosa"
268,1165,1695,118,"Antaresia maculosa"
192,3294,1640,40,"Antaresia maculosa"
260,2195,991,113,"Antaresia maculosa"
204,3460,1034,38,"Antaresia maculosa"
201,4665,632,43,"Antaresia maculosa"
226,3223,639,85,"Antaresia maculosa"
228,3609,707,66,"Antaresia maculosa"
199,4037,763,42,"Antaresia maculosa"
229,4032,639,55,"Antaresia maculosa"
246,3215,848,95,"Antaresia maculosa"
211,2772,971,101,"Antaresia maculosa"
230,4084,648,54,"Antaresia maculosa"
259,1619,1366,113,"Antaresia maculosa"
131,4166,1051,38,"Antaresia maculosa"
149,3405,1859,45,"Antaresia maculosa"
220,4025,570,60,"Antaresia maculosa"
176,4162,839,40,"Antaresia maculosa"
233,4179,603,81,"Antaresia maculosa"
187,4289,678,36,"Antaresia maculosa"
186,4284,657,37,"Antaresia maculosa"
209,4133,708,49,"Antaresia maculosa"
260,1394,1506,115,"Antaresia maculosa"
203,3943,781,38,"Antaresia maculosa"
237,1509,1704,111,"Antaresia maculosa"
224,4635,596,51,"Antaresia maculosa"
225,4545,676,58,"Antaresia maculosa"
235,3469,618,84,"Antaresia maculosa"
261,1546,1484,118,"Antaresia maculosa"
242,3463,613,79,"Antaresia maculosa"
256,1738,1163,116,"Antaresia maculosa"
202,4321,615,43,"Antaresia maculosa"
235,4243,565,66,"Antaresia maculosa"
214,3623,841,62,"Antaresia maculosa"
250,1723,1403,112,"Antaresia maculosa"
254,1860,1117,117,"Antaresia maculosa"
232,3433,922,62,"Antaresia maculosa"
242,4544,503,76,"Antaresia maculosa"
167,4546,712,40,"Antaresia maculosa"
259,1978,1029,115,"Antaresia maculosa"
218,3185,761,90,"Antaresia maculosa"
230,3737,543,67,"Antaresia maculosa"
153,3998,971,33,"Antaresia maculosa"
221,3395,933,49,"Antaresia maculosa"
171,4461,693,33,"Antaresia maculosa"
265,1045,1704,106,"Antaresia maculosa"
219,2793,805,104,"Antaresia maculosa"
217,4412,760,61,"Antaresia maculosa"
243,3546,531,80,"Antaresia maculosa"
237,4277,628,67,"Antaresia maculosa"
205,4468,630,38,"Antaresia maculosa"
214,4800,666,46,"Antaresia maculosa"
132,4165,1131,47,"Antaresia maculosa"
214,4844,582,46,"Antaresia maculosa"
217,2930,796,104,"Antaresia maculosa"
263,1747,1233,121,"Antaresia maculosa"
260,1491,1317,116,"Antaresia maculosa"
208,3015,920,89,"Antaresia maculosa"
164,4017,814,32,"Antaresia maculosa"
230,3213,1906,86,"Antaresia maculosa"
210,4574,794,48,"Antaresia maculosa"
216,3386,826,70,"Antaresia maculosa"
218,3390,1067,48,"Antaresia maculosa"
236,4561,512,69,"Antaresia maculosa"
229,3987,591,49,"Antaresia maculosa"
220,2419,1150,94,"Antaresia maculosa"
254,1242,1900,93,"Antaresia maculosa"
208,4221,704,52,"Antaresia maculosa"
254,2198,923,114,"Antaresia maculosa"
201,3683,1188,46,"Antaresia maculosa"
259,2278,995,114,"Antaresia maculosa"
215,3864,743,47,"Antaresia maculosa"
254,1781,1115,123,"Antaresia maculosa"
220,3383,1005,48,"Antaresia maculosa"
267,1610,1531,121,"Antaresia maculosa"
222,3269,1193,83,"Antaresia maculosa"
240,3029,1294,88,"Antaresia maculosa"
218,3340,1107,47,"Antaresia maculosa"
183,3822,942,37,"Antaresia maculosa"
232,3065,1556,88,"Antaresia maculosa"
228,3368,1316,80,"Antaresia maculosa"
200,4032,797,47,"Antaresia maculosa"
227,4083,694,86,"Antaresia maculosa"
250,1896,1441,98,"Antaresia maculosa"
202,4837,632,41,"Antaresia maculosa"
203,4135,717,45,"Antaresia maculosa"
229,3540,727,62,"Antaresia maculosa"
259,2068,1178,117,"Antaresia maculosa"
229,3322,680,86,"Antaresia maculosa"
215,3027,946,90,"Antaresia maculosa"
161,4099,1025,55,"Antaresia maculosa"
244,3329,674,84,"Antaresia maculosa"
229,4565,543,58,"Antaresia maculosa"
250,2312,861,110,"Antaresia maculosa"
229,3423,556,95,"Antaresia maculosa"
223,4184,673,58,"Antaresia maculosa"
200,4539,638,41,"Antaresia maculosa"
264,1095,1688,115,"Antaresia maculosa"
208,2636,834,96,"Antaresia maculosa"
207,3494,1182,43,"Antaresia maculosa"
260,1801,1164,110,"Antaresia maculosa"
259,1960,1127,115,"Antaresia maculosa"
266,2075,1120,117,"Antaresia maculosa"
203,3912,756,45,"Antaresia maculosa"
213,3034,923,91,"Antaresia maculosa"
258,1617,1204,116,"Antaresia maculosa"
237,4038,662,83,"Antaresia maculosa"
214,3560,999,51,"Antaresia maculosa"
229,3588,716,62,"Antaresia maculosa"
165,4052,830,37,"Antaresia maculosa"
257,1245,1523,113,"Antaresia maculosa"
218,3999,730,55,"Antaresia maculosa"
220,2945,1626,92,"Antaresia maculosa"
234,3236,803,63,"Antaresia maculosa"
195,3343,1326,42,"Antaresia maculosa"
234,2255,1130,101,"Antaresia maculosa"
219,4574,579,52,"Antaresia maculosa"
217,3139,1101,96,"Antaresia maculosa"
235,4666,537,73,"Antaresia maculosa"
226,3605,749,58,"Antaresia maculosa"
188,3701,1057,43,"Antaresia maculosa"
183,3470,1168,36,"Antaresia maculosa"
203,4193,592,43,"Antaresia maculosa"
225,4107,715,59,"Antaresia maculosa"
258,1768,1230,118,"Antaresia maculosa"
215,4659,573,56,"Antaresia maculosa"
239,3805,619,78,"Antaresia maculosa"
215,4691,614,46,"Antaresia maculosa"
262,1162,1850,91,"Antaresia maculosa"
138,4379,945,42,"Antaresia maculosa"
209,4845,691,44,"Antaresia maculosa"
224,2510,971,108,"Antaresia maculosa"
210,4671,777,48,"Antaresia maculosa"
224,4434,688,52,"Antaresia maculosa"
229,3913,600,61,"Antaresia maculosa"
228,3704,765,64,"Antaresia maculosa"
200,3980,736,44,"Antaresia maculosa"
174,4998,699,27,"Antaresia maculosa"
214,4889,560,40,"Antaresia maculosa"
236,3244,1421,82,"Antaresia maculosa"
220,4565,757,56,"Antaresia maculosa"
178,4972,804,32,"Antaresia maculosa"
163,4722,830,37,"Antaresia maculosa"
164,4867,720,28,"Antaresia maculosa"
260,1159,1573,111,"Antaresia maculosa"
237,3116,1375,84,"Antaresia maculosa"
260,1819,1168,113,"Antaresia maculosa"
251,1769,1558,99,"Antaresia maculosa"
214,3537,1120,49,"Antaresia maculosa"
230,3244,1116,60,"Antaresia maculosa"
229,4674,594,72,"Antaresia maculosa"
228,3519,693,93,"Antaresia maculosa"
206,2679,792,97,"Antaresia maculosa"
257,1687,1207,116,"Antaresia maculosa"
240,3965,634,78,"Antaresia maculosa"
195,4010,765,50,"Antaresia maculosa"
184,4376,669,37,"Antaresia maculosa"
200,4425,677,46,"Antaresia maculosa"
236,3746,628,78,"Antaresia maculosa"
228,3300,1577,81,"Antaresia maculosa"
221,3876,593,49,"Antaresia maculosa"
225,3907,711,53,"Antaresia maculosa"
202,4899,632,40,"Antaresia maculosa"
250,2199,1806,92,"Antaresia maculosa"
266,2003,1223,122,"Antaresia maculosa"
232,3446,712,78,"Antaresia maculosa"
265,1043,1586,113,"Antaresia maculosa"
225,4457,601,63,"Antaresia maculosa"
263,1089,1594,109,"Antaresia maculosa"
229,4402,618,53,"Antaresia maculosa"
232,3835,560,65,"Antaresia maculosa"
137,4416,831,34,"Antaresia maculosa"
207,4273,601,45,"Antaresia maculosa"
206,4917,656,44,"Antaresia maculosa"
205,3760,690,50,"Antaresia maculosa"
231,4029,649,51,"Antaresia maculosa"
236,2426,986,114,"Antaresia maculosa"
206,3720,626,47,"Antaresia maculosa"
116,4385,958,26,"Antaresia maculosa"
202,3421,998,36,"Antaresia maculosa"
222,4749,512,55,"Antaresia maculosa"
192,3922,752,37,"Antaresia maculosa"
174,4795,776,38,"Antaresia maculosa"
218,4478,726,51,"Antaresia maculosa"
228,4674,462,57,"Antaresia maculosa"
196,4765,667,40,"Antaresia maculosa"
150,4396,883,31,"Antaresia maculosa"
267,1967,1278,125,"Antaresia maculosa"
200,4364,752,43,"Antaresia maculosa"
208,2523,1221,99,"Antaresia maculosa"
212,3065,699,92,"Antaresia maculosa"
183,3665,1536,49,"Antaresia maculosa"
237,3097,1539,83,"Antaresia maculosa"
195,4865,620,32,"Antaresia maculosa"
207,4714,609,41,"Antaresia maculosa"
258,1736,1335,112,"Antaresia maculosa"
198,4386,696,60,"Antaresia maculosa"
234,4678,526,72,"Antaresia maculosa"
213,2780,974,85,"Antaresia maculosa"
170,3911,1038,48,"Antaresia maculosa"
263,2043,1132,118,"Antaresia maculosa"
199,3466,1259,56,"Antaresia maculosa"
229,2345,750,109,"Antaresia maculosa"
266,1143,1496,115,"Antaresia maculosa"
186,4521,686,40,"Antaresia maculosa"
201,4306,708,40,"Antaresia maculosa"
202,5149,588,34,"Antaresia maculosa"
264,1298,1649,113,"Antaresia maculosa"
232,3282,1361,81,"Antaresia maculosa"
196,3383,1255,38,"Antaresia maculosa"
270,1460,1744,124,"Antaresia maculosa"
120,4242,934,42,"Antaresia maculosa"
197,3995,870,42,"Antaresia maculosa"
244,2788,2387,79,"Antaresia maculosa"
210,4687,701,45,"Antaresia maculosa"
213,3061,940,90,"Antaresia maculosa"
223,4188,691,52,"Antaresia maculosa"
171,3378,1523,41,"Antaresia maculosa"
227,3671,664,65,"Antaresia maculosa"
208,2712,918,93,"Antaresia maculosa"
222,3681,612,62,"Antaresia maculosa"
223,3966,539,87,"Antaresia maculosa"
258,1821,1742,97,"Antaresia maculosa"
258,1455,1543,106,"Antaresia maculosa"
198,5061,606,35,"Antaresia maculosa"
256,2067,1134,115,"Antaresia maculosa"
234,3367,615,86,"Antaresia maculosa"
234,3506,585,81,"Antaresia maculosa"
228,4028,630,62,"Antaresia maculosa"
218,3439,977,48,"Antaresia maculosa"
266,2094,1127,117,"Antaresia maculosa"
264,1142,1601,96,"Antaresia maculosa"
219,2318,998,109,"Antaresia maculosa"
215,3685,819,52,"Antaresia maculosa"
220,3335,1196,60,"Antaresia maculosa"
252,1776,1208,118,"Antaresia maculosa"
237,3750,725,73,"Antaresia maculosa"
258,1728,1379,117,"Antaresia maculosa"
217,3474,925,73,"Antaresia maculosa"
247,3072,1237,98,"Antaresia maculosa"
239,4049,617,77,"Antaresia maculosa"
237,3144,1578,86,"Antaresia maculosa"
262,1853,1079,114,"Antaresia maculosa"
226,3155,937,55,"Antaresia maculosa"
238,4055,633,82,"Antaresia maculosa"
232,4148,509,86,"Antaresia maculosa"
266,1282,1904,118,"Antaresia maculosa"
263,1578,1439,118,"Antaresia maculosa"
232,3676,692,62,"Antaresia maculosa"
212,4040,764,54,"Antaresia maculosa"
230,2036,1131,112,"Antaresia maculosa"
229,4087,589,62,"Antaresia maculosa"
214,4076,666,42,"Antaresia maculosa"
194,4096,749,45,"Antaresia maculosa"
217,2991,1435,89,"Antaresia maculosa"
232,4140,675,84,"Antaresia maculosa"
209,4121,669,37,"Antaresia maculosa"
234,4306,537,73,"Antaresia maculosa"
215,3681,814,48,"Antaresia maculosa"
222,3443,832,73,"Antaresia maculosa"
197,5128,598,34,"Antaresia maculosa"
230,4852,562,63,"Antaresia maculosa"
270,1657,1505,124,"Antaresia maculosa"
230,3530,839,63,"Antaresia maculosa"
261,1045,1808,106,"Antaresia maculosa"
115,4358,904,27,"Antaresia maculosa"
216,4718,652,53,"Antaresia maculosa"
261,1064,1570,102,"Antaresia maculosa"
221,3423,928,75,"Antaresia maculosa"
205,3943,634,39,"Antaresia maculosa"
254,1798,1027,119,"Antaresia maculosa"
202,4677,714,42,"Antaresia maculosa"
198,4625,649,44,"Antaresia maculosa"
234,3603,596,83,"Antaresia maculosa"
223,4660,582,53,"Antaresia maculosa"
218,4632,700,52,"Antaresia maculosa"
175,3917,1051,45,"Antaresia maculosa"
195,4885,629,37,"Antaresia maculosa"
233,4314,548,65,"Antaresia maculosa"
229,3580,842,61,"Antaresia maculosa"
182,5158,676,24,"Antaresia maculosa"
191,4159,630,40,"Antaresia maculosa"
207,2687,2537,92,"Antaresia maculosa"
225,4527,645,58,"Antaresia maculosa"
235,2045,2362,89,"Antaresia maculosa"
260,1769,1341,112,"Antaresia maculosa"
229,3156,764,89,"Antaresia maculosa"
223,4744,544,54,"Antaresia maculosa"
266,2069,1095,117,"Antaresia maculosa"
268,1415,1565,120,"Antaresia maculosa"
255,1586,1180,114,"Antaresia maculosa"
133,4437,971,36,"Antaresia maculosa"
199,3555,1819,51,"Antaresia maculosa"
231,4117,631,56,"Antaresia maculosa"
259,2144,987,116,"Antaresia maculosa"
230,3781,651,62,"Antaresia maculosa"
236,4307,571,65,"Antaresia maculosa"
238,4357,497,83,"Antaresia maculosa"
138,4317,775,31,"Antaresia maculosa"
190,3818,1121,48,"Antaresia maculosa"
225,3318,1237,83,"Antaresia maculosa"
221,4762,599,54,"Antaresia maculosa"
221,3253,949,48,"Antaresia maculosa"
221,3214,916,91,"Antaresia maculosa"
267,1117,1564,115,"Antaresia maculosa"
258,1336,1449,109,"Antaresia maculosa"
154,4220,868,34,"Antaresia maculosa"
234,3180,1321,89,"Antaresia maculosa"
252,1780,1327,101,"Antaresia maculosa"
172,3512,1207,38,"Antaresia maculosa"
224,4351,697,65,"Antaresia maculosa"
221,4569,559,52,"Antaresia maculosa"
245,1477,1595,115,"Antaresia maculosa"
258,2111,1066,112,"Antaresia maculosa"
180,4142,839,45,"Antaresia maculosa"
232,4029,601,57,"Antaresia maculosa"
242,4607,507,77,"Antaresia maculosa"
267,1577,1441,120,"Antaresia maculosa"
262,1176,1802,93,"Antaresia maculosa"
262,1153,1594,108,"Antaresia maculosa"
