"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
216,6246,243,53,"Antaresia perthensis"
246,6102,242,69,"Antaresia perthensis"
214,6325,238,44,"Antaresia perthensis"
252,6424,243,68,"Antaresia perthensis"
232,6443,232,51,"Antaresia perthensis"
262,4855,342,92,"Antaresia perthensis"
261,5746,223,83,"Antaresia perthensis"
245,6409,241,67,"Antaresia perthensis"
231,5339,435,90,"Antaresia perthensis"
246,6232,253,71,"Antaresia perthensis"
228,6396,262,47,"Antaresia perthensis"
247,6366,219,62,"Antaresia perthensis"
229,6441,215,46,"Antaresia perthensis"
225,6414,261,43,"Antaresia perthensis"
260,5730,265,79,"Antaresia perthensis"
262,4888,303,93,"Antaresia perthensis"
234,6414,253,57,"Antaresia perthensis"
257,4509,438,96,"Antaresia perthensis"
236,6263,214,55,"Antaresia perthensis"
224,6374,223,50,"Antaresia perthensis"
261,5377,339,89,"Antaresia perthensis"
259,4806,376,96,"Antaresia perthensis"
242,6376,276,67,"Antaresia perthensis"
261,5456,304,86,"Antaresia perthensis"
256,5822,277,75,"Antaresia perthensis"
242,5744,259,80,"Antaresia perthensis"
260,5284,298,85,"Antaresia perthensis"
275,3681,310,103,"Antaresia perthensis"
253,5817,221,82,"Antaresia perthensis"
214,6312,238,43,"Antaresia perthensis"
244,6322,237,65,"Antaresia perthensis"
260,6179,231,75,"Antaresia perthensis"
265,4877,355,89,"Antaresia perthensis"
246,6322,239,72,"Antaresia perthensis"
270,4091,334,97,"Antaresia perthensis"
258,6280,288,75,"Antaresia perthensis"
249,5977,267,74,"Antaresia perthensis"
244,4970,466,93,"Antaresia perthensis"
234,6298,211,58,"Antaresia perthensis"
242,5740,232,71,"Antaresia perthensis"
232,6450,207,50,"Antaresia perthensis"
267,5598,278,86,"Antaresia perthensis"
246,6302,250,66,"Antaresia perthensis"
269,4621,376,99,"Antaresia perthensis"
267,4486,311,87,"Antaresia perthensis"
249,6285,277,72,"Antaresia perthensis"
268,4625,334,91,"Antaresia perthensis"
237,6450,212,54,"Antaresia perthensis"
243,5789,229,70,"Antaresia perthensis"
260,5843,226,80,"Antaresia perthensis"
265,5605,230,84,"Antaresia perthensis"
273,4059,323,99,"Antaresia perthensis"
247,3620,252,76,"Antaresia perthensis"
242,5210,417,86,"Antaresia perthensis"
269,5997,298,80,"Antaresia perthensis"
240,5944,225,66,"Antaresia perthensis"
237,6405,255,60,"Antaresia perthensis"
231,6432,246,44,"Antaresia perthensis"
250,6229,291,73,"Antaresia perthensis"
255,5179,383,95,"Antaresia perthensis"
259,5720,223,82,"Antaresia perthensis"
217,6079,250,48,"Antaresia perthensis"
246,6067,239,69,"Antaresia perthensis"
262,6271,285,76,"Antaresia perthensis"
224,6380,210,48,"Antaresia perthensis"
270,6022,299,77,"Antaresia perthensis"
271,3528,329,98,"Antaresia perthensis"
273,4664,310,96,"Antaresia perthensis"
242,6439,227,63,"Antaresia perthensis"
237,6042,200,62,"Antaresia perthensis"
270,4075,355,103,"Antaresia perthensis"
217,6136,243,43,"Antaresia perthensis"
247,6401,245,69,"Antaresia perthensis"
257,5383,278,84,"Antaresia perthensis"
262,4571,325,100,"Antaresia perthensis"
236,6258,213,55,"Antaresia perthensis"
269,5049,351,102,"Antaresia perthensis"
252,6109,266,70,"Antaresia perthensis"
217,5763,251,59,"Antaresia perthensis"
241,6070,216,66,"Antaresia perthensis"
242,6371,247,68,"Antaresia perthensis"
235,5993,204,64,"Antaresia perthensis"
224,6411,188,50,"Antaresia perthensis"
234,5830,208,68,"Antaresia perthensis"
258,4051,287,81,"Antaresia perthensis"
274,3814,359,107,"Antaresia perthensis"
255,5978,262,72,"Antaresia perthensis"
260,5755,262,79,"Antaresia perthensis"
253,6303,237,70,"Antaresia perthensis"
262,4429,357,93,"Antaresia perthensis"
242,6361,287,68,"Antaresia perthensis"
266,5189,322,93,"Antaresia perthensis"
242,6328,223,61,"Antaresia perthensis"
226,6409,232,42,"Antaresia perthensis"
225,6377,279,46,"Antaresia perthensis"
233,6389,232,56,"Antaresia perthensis"
