"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
160,5053,346,21,"Aprasia aurita"
161,5087,352,20,"Aprasia aurita"
168,5243,310,15,"Aprasia aurita"
165,5221,335,16,"Aprasia aurita"
160,5103,348,21,"Aprasia aurita"
150,4818,427,24,"Aprasia aurita"
163,5220,323,19,"Aprasia aurita"
168,5333,320,15,"Aprasia aurita"
159,5057,363,19,"Aprasia aurita"
160,5002,335,19,"Aprasia aurita"
165,5267,328,18,"Aprasia aurita"
164,5101,341,19,"Aprasia aurita"
156,4960,376,24,"Aprasia aurita"
164,5088,329,20,"Aprasia aurita"
156,4955,401,20,"Aprasia aurita"
159,4944,336,20,"Aprasia aurita"
157,4999,373,21,"Aprasia aurita"
169,5358,312,15,"Aprasia aurita"
155,4913,373,23,"Aprasia aurita"
151,4711,388,29,"Aprasia aurita"
166,5193,336,15,"Aprasia aurita"
157,5003,368,21,"Aprasia aurita"
161,5038,346,21,"Aprasia aurita"
144,4580,449,31,"Aprasia aurita"
171,5436,295,17,"Aprasia aurita"
154,4857,388,25,"Aprasia aurita"
152,4741,386,26,"Aprasia aurita"
146,4667,434,24,"Aprasia aurita"
163,5076,331,20,"Aprasia aurita"
159,5083,357,23,"Aprasia aurita"
166,5196,319,19,"Aprasia aurita"
162,5182,338,20,"Aprasia aurita"
157,4993,365,22,"Aprasia aurita"
171,5409,305,15,"Aprasia aurita"
166,5292,319,16,"Aprasia aurita"
169,5414,310,16,"Aprasia aurita"
161,5048,351,20,"Aprasia aurita"
162,5064,346,20,"Aprasia aurita"
154,4838,445,21,"Aprasia aurita"
156,4948,369,24,"Aprasia aurita"
148,4633,432,28,"Aprasia aurita"
168,5343,322,14,"Aprasia aurita"
152,4844,419,26,"Aprasia aurita"
158,4979,357,21,"Aprasia aurita"
159,5063,369,18,"Aprasia aurita"
159,5064,359,21,"Aprasia aurita"
170,5397,303,14,"Aprasia aurita"
161,5034,348,20,"Aprasia aurita"
169,5372,315,16,"Aprasia aurita"
168,5299,315,13,"Aprasia aurita"
158,5005,359,22,"Aprasia aurita"
169,5311,309,14,"Aprasia aurita"
150,4682,401,28,"Aprasia aurita"
160,5118,360,19,"Aprasia aurita"
158,4943,349,21,"Aprasia aurita"
156,4894,374,23,"Aprasia aurita"
152,4741,392,27,"Aprasia aurita"
165,5192,321,16,"Aprasia aurita"
164,5133,322,18,"Aprasia aurita"
165,5123,324,17,"Aprasia aurita"
155,4884,371,24,"Aprasia aurita"
153,4784,395,26,"Aprasia aurita"
156,4905,370,23,"Aprasia aurita"
169,5396,304,17,"Aprasia aurita"
