"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
156,4105,373,51,"Aprasia pulchella"
168,4503,583,81,"Aprasia pulchella"
159,4237,450,64,"Aprasia pulchella"
150,3349,677,65,"Aprasia pulchella"
169,4222,811,82,"Aprasia pulchella"
159,4439,426,62,"Aprasia pulchella"
151,3531,427,54,"Aprasia pulchella"
171,4632,746,79,"Aprasia pulchella"
152,4069,496,61,"Aprasia pulchella"
154,4080,532,62,"Aprasia pulchella"
166,4634,438,73,"Aprasia pulchella"
159,4077,347,42,"Aprasia pulchella"
152,3695,384,45,"Aprasia pulchella"
163,4308,344,46,"Aprasia pulchella"
175,3301,992,81,"Aprasia pulchella"
165,3052,543,32,"Aprasia pulchella"
156,3244,739,69,"Aprasia pulchella"
165,3791,1280,83,"Aprasia pulchella"
164,4143,1007,79,"Aprasia pulchella"
148,3708,574,58,"Aprasia pulchella"
186,3437,800,83,"Aprasia pulchella"
169,3928,1144,83,"Aprasia pulchella"
159,4010,814,74,"Aprasia pulchella"
190,3899,689,82,"Aprasia pulchella"
153,3072,764,63,"Aprasia pulchella"
150,3574,651,74,"Aprasia pulchella"
157,2380,1066,60,"Aprasia pulchella"
156,2562,1114,63,"Aprasia pulchella"
181,4366,793,82,"Aprasia pulchella"
157,4506,480,61,"Aprasia pulchella"
176,4439,784,79,"Aprasia pulchella"
152,3744,380,42,"Aprasia pulchella"
158,4462,580,67,"Aprasia pulchella"
152,3628,416,42,"Aprasia pulchella"
169,4803,487,73,"Aprasia pulchella"
157,3688,925,75,"Aprasia pulchella"
158,2712,725,51,"Aprasia pulchella"
156,3923,591,65,"Aprasia pulchella"
154,2933,553,39,"Aprasia pulchella"
184,3537,928,82,"Aprasia pulchella"
154,3373,891,73,"Aprasia pulchella"
146,3355,645,53,"Aprasia pulchella"
154,2628,964,55,"Aprasia pulchella"
165,4121,1038,84,"Aprasia pulchella"
154,3858,385,52,"Aprasia pulchella"
156,3817,590,67,"Aprasia pulchella"
180,3214,946,81,"Aprasia pulchella"
157,4190,409,52,"Aprasia pulchella"
152,2681,899,59,"Aprasia pulchella"
154,3300,776,76,"Aprasia pulchella"
165,4692,495,75,"Aprasia pulchella"
151,3367,942,68,"Aprasia pulchella"
163,4285,329,44,"Aprasia pulchella"
189,3939,697,84,"Aprasia pulchella"
165,4452,508,75,"Aprasia pulchella"
157,3565,397,31,"Aprasia pulchella"
167,3119,439,29,"Aprasia pulchella"
155,4027,575,63,"Aprasia pulchella"
159,2407,1298,68,"Aprasia pulchella"
160,2924,945,74,"Aprasia pulchella"
155,3572,793,71,"Aprasia pulchella"
167,2391,981,73,"Aprasia pulchella"
153,3547,749,74,"Aprasia pulchella"
153,3944,444,58,"Aprasia pulchella"
153,2429,852,49,"Aprasia pulchella"
173,3416,947,84,"Aprasia pulchella"
158,4304,373,48,"Aprasia pulchella"
151,3224,852,67,"Aprasia pulchella"
153,3839,554,68,"Aprasia pulchella"
165,2910,555,35,"Aprasia pulchella"
161,4450,349,56,"Aprasia pulchella"
149,3295,791,70,"Aprasia pulchella"
159,4363,572,73,"Aprasia pulchella"
155,3687,407,36,"Aprasia pulchella"
160,4051,854,81,"Aprasia pulchella"
150,3807,575,64,"Aprasia pulchella"
146,3761,527,56,"Aprasia pulchella"
154,4027,435,52,"Aprasia pulchella"
157,4243,589,68,"Aprasia pulchella"
171,4246,877,86,"Aprasia pulchella"
188,4277,724,81,"Aprasia pulchella"
165,4238,744,72,"Aprasia pulchella"
163,3054,493,31,"Aprasia pulchella"
163,4514,362,55,"Aprasia pulchella"
158,4006,355,43,"Aprasia pulchella"
163,4506,548,69,"Aprasia pulchella"
151,3450,396,43,"Aprasia pulchella"
154,3922,358,45,"Aprasia pulchella"
164,4417,576,72,"Aprasia pulchella"
153,2916,824,65,"Aprasia pulchella"
151,3007,912,62,"Aprasia pulchella"
159,3280,434,29,"Aprasia pulchella"
168,2562,930,82,"Aprasia pulchella"
163,3080,503,29,"Aprasia pulchella"
158,3710,1183,74,"Aprasia pulchella"
168,4425,627,80,"Aprasia pulchella"
150,3634,632,68,"Aprasia pulchella"
173,4839,372,70,"Aprasia pulchella"
163,4624,397,62,"Aprasia pulchella"
160,4323,438,65,"Aprasia pulchella"
159,4228,400,54,"Aprasia pulchella"
154,3581,395,35,"Aprasia pulchella"
160,4205,399,56,"Aprasia pulchella"
156,4129,441,55,"Aprasia pulchella"
182,3335,948,82,"Aprasia pulchella"
154,4081,456,59,"Aprasia pulchella"
159,2329,1307,66,"Aprasia pulchella"
158,4294,619,67,"Aprasia pulchella"
155,2932,589,44,"Aprasia pulchella"
160,4418,369,46,"Aprasia pulchella"
154,3060,481,34,"Aprasia pulchella"
158,2402,1016,57,"Aprasia pulchella"
165,2872,564,36,"Aprasia pulchella"
147,3667,495,49,"Aprasia pulchella"
157,2713,621,36,"Aprasia pulchella"
