"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
202,4596,420,80,"Aprasia wicherina"
202,4358,452,82,"Aprasia wicherina"
201,4218,445,86,"Aprasia wicherina"
203,4648,404,81,"Aprasia wicherina"
204,4527,418,78,"Aprasia wicherina"
200,4192,492,84,"Aprasia wicherina"
205,4527,378,82,"Aprasia wicherina"
203,4346,390,90,"Aprasia wicherina"
200,4337,456,89,"Aprasia wicherina"
202,4495,413,83,"Aprasia wicherina"
204,4634,413,78,"Aprasia wicherina"
206,4521,372,80,"Aprasia wicherina"
