"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
256,5307,333,93,"Aspidites ramsayi"
225,6527,174,37,"Aspidites ramsayi"
206,5996,264,25,"Aspidites ramsayi"
215,5953,276,52,"Aspidites ramsayi"
257,6150,297,60,"Aspidites ramsayi"
223,6179,222,55,"Aspidites ramsayi"
225,6212,220,34,"Aspidites ramsayi"
212,6297,170,29,"Aspidites ramsayi"
209,6180,276,35,"Aspidites ramsayi"
207,6156,176,21,"Aspidites ramsayi"
265,5049,391,96,"Aspidites ramsayi"
239,6659,177,45,"Aspidites ramsayi"
189,5066,236,26,"Aspidites ramsayi"
261,6105,321,66,"Aspidites ramsayi"
234,6599,172,44,"Aspidites ramsayi"
244,6340,254,69,"Aspidites ramsayi"
238,6660,176,45,"Aspidites ramsayi"
223,6282,283,45,"Aspidites ramsayi"
242,6360,261,55,"Aspidites ramsayi"
255,5159,340,93,"Aspidites ramsayi"
206,6231,288,31,"Aspidites ramsayi"
228,6248,287,46,"Aspidites ramsayi"
244,6389,243,53,"Aspidites ramsayi"
224,6291,231,48,"Aspidites ramsayi"
250,5712,288,74,"Aspidites ramsayi"
226,6198,259,58,"Aspidites ramsayi"
247,6367,212,61,"Aspidites ramsayi"
218,6335,264,45,"Aspidites ramsayi"
209,6216,364,27,"Aspidites ramsayi"
238,6375,199,56,"Aspidites ramsayi"
212,6168,373,29,"Aspidites ramsayi"
238,5761,210,66,"Aspidites ramsayi"
263,5619,325,79,"Aspidites ramsayi"
234,6078,348,58,"Aspidites ramsayi"
233,6431,225,51,"Aspidites ramsayi"
243,5727,289,85,"Aspidites ramsayi"
207,6331,254,20,"Aspidites ramsayi"
233,6388,265,53,"Aspidites ramsayi"
227,6307,256,53,"Aspidites ramsayi"
213,6151,375,34,"Aspidites ramsayi"
209,5932,447,37,"Aspidites ramsayi"
255,5062,330,95,"Aspidites ramsayi"
215,6358,222,43,"Aspidites ramsayi"
216,6297,235,43,"Aspidites ramsayi"
204,6157,246,35,"Aspidites ramsayi"
225,6317,250,46,"Aspidites ramsayi"
179,4548,278,24,"Aspidites ramsayi"
180,4725,263,18,"Aspidites ramsayi"
230,6396,288,49,"Aspidites ramsayi"
267,5717,331,87,"Aspidites ramsayi"
266,5220,356,88,"Aspidites ramsayi"
219,6395,210,44,"Aspidites ramsayi"
209,6151,237,49,"Aspidites ramsayi"
230,6573,171,48,"Aspidites ramsayi"
267,6154,294,75,"Aspidites ramsayi"
205,5705,556,36,"Aspidites ramsayi"
249,6081,330,69,"Aspidites ramsayi"
234,6664,152,49,"Aspidites ramsayi"
272,4652,428,108,"Aspidites ramsayi"
201,5777,299,49,"Aspidites ramsayi"
269,4948,368,97,"Aspidites ramsayi"
244,6400,268,67,"Aspidites ramsayi"
202,6183,227,21,"Aspidites ramsayi"
208,5880,474,39,"Aspidites ramsayi"
228,6470,209,40,"Aspidites ramsayi"
226,6370,213,43,"Aspidites ramsayi"
241,5782,312,69,"Aspidites ramsayi"
199,6206,248,26,"Aspidites ramsayi"
234,5727,319,68,"Aspidites ramsayi"
248,6370,223,54,"Aspidites ramsayi"
242,5841,278,79,"Aspidites ramsayi"
223,6155,298,51,"Aspidites ramsayi"
254,6223,249,77,"Aspidites ramsayi"
235,6364,204,56,"Aspidites ramsayi"
224,6428,210,44,"Aspidites ramsayi"
258,5175,405,89,"Aspidites ramsayi"
223,6154,227,47,"Aspidites ramsayi"
239,6414,235,61,"Aspidites ramsayi"
209,6313,342,46,"Aspidites ramsayi"
236,6666,158,44,"Aspidites ramsayi"
266,5022,385,93,"Aspidites ramsayi"
263,6033,290,67,"Aspidites ramsayi"
249,5632,274,73,"Aspidites ramsayi"
264,5230,393,87,"Aspidites ramsayi"
218,6435,196,37,"Aspidites ramsayi"
213,5985,235,37,"Aspidites ramsayi"
220,6472,232,34,"Aspidites ramsayi"
241,6423,244,64,"Aspidites ramsayi"
241,5970,300,57,"Aspidites ramsayi"
265,4676,341,96,"Aspidites ramsayi"
226,6476,229,42,"Aspidites ramsayi"
214,6091,389,40,"Aspidites ramsayi"
200,6106,250,26,"Aspidites ramsayi"
207,5265,543,38,"Aspidites ramsayi"
242,6478,226,51,"Aspidites ramsayi"
244,6324,216,63,"Aspidites ramsayi"
230,6417,302,50,"Aspidites ramsayi"
211,6305,310,27,"Aspidites ramsayi"
229,6338,252,60,"Aspidites ramsayi"
232,6347,326,50,"Aspidites ramsayi"
221,6458,238,33,"Aspidites ramsayi"
208,5491,541,36,"Aspidites ramsayi"
241,6533,149,48,"Aspidites ramsayi"
217,6324,289,38,"Aspidites ramsayi"
216,6444,174,30,"Aspidites ramsayi"
238,6418,228,57,"Aspidites ramsayi"
207,5994,263,26,"Aspidites ramsayi"
219,6411,306,39,"Aspidites ramsayi"
235,6387,255,62,"Aspidites ramsayi"
253,5738,300,84,"Aspidites ramsayi"
261,4938,399,97,"Aspidites ramsayi"
241,4949,487,92,"Aspidites ramsayi"
210,6280,204,35,"Aspidites ramsayi"
214,6024,192,48,"Aspidites ramsayi"
211,6167,255,43,"Aspidites ramsayi"
212,6033,238,52,"Aspidites ramsayi"
235,6179,291,66,"Aspidites ramsayi"
207,5780,517,37,"Aspidites ramsayi"
251,5546,348,86,"Aspidites ramsayi"
252,5643,293,78,"Aspidites ramsayi"
254,5720,447,83,"Aspidites ramsayi"
206,6281,234,26,"Aspidites ramsayi"
224,6309,333,45,"Aspidites ramsayi"
217,6008,237,42,"Aspidites ramsayi"
229,6463,208,47,"Aspidites ramsayi"
226,6268,266,47,"Aspidites ramsayi"
270,4917,387,99,"Aspidites ramsayi"
226,6338,218,45,"Aspidites ramsayi"
263,4593,311,93,"Aspidites ramsayi"
217,5941,420,44,"Aspidites ramsayi"
225,6216,307,51,"Aspidites ramsayi"
243,6607,189,46,"Aspidites ramsayi"
222,6431,266,41,"Aspidites ramsayi"
224,6176,228,57,"Aspidites ramsayi"
252,6303,279,72,"Aspidites ramsayi"
248,6065,239,69,"Aspidites ramsayi"
246,6407,253,68,"Aspidites ramsayi"
249,5473,306,87,"Aspidites ramsayi"
254,5385,293,91,"Aspidites ramsayi"
246,6423,238,67,"Aspidites ramsayi"
256,5475,387,91,"Aspidites ramsayi"
219,6274,238,42,"Aspidites ramsayi"
238,6245,240,67,"Aspidites ramsayi"
226,5864,434,54,"Aspidites ramsayi"
263,5398,355,80,"Aspidites ramsayi"
198,5408,223,30,"Aspidites ramsayi"
244,6307,226,65,"Aspidites ramsayi"
232,6279,216,43,"Aspidites ramsayi"
210,6260,265,38,"Aspidites ramsayi"
222,6107,240,39,"Aspidites ramsayi"
233,6605,174,46,"Aspidites ramsayi"
248,6169,227,67,"Aspidites ramsayi"
268,3507,525,117,"Aspidites ramsayi"
209,5655,482,42,"Aspidites ramsayi"
218,6390,160,28,"Aspidites ramsayi"
254,5305,337,100,"Aspidites ramsayi"
198,5643,337,61,"Aspidites ramsayi"
206,6308,281,20,"Aspidites ramsayi"
265,4653,349,98,"Aspidites ramsayi"
223,5845,253,55,"Aspidites ramsayi"
267,6223,279,73,"Aspidites ramsayi"
234,6336,221,53,"Aspidites ramsayi"
231,6394,228,56,"Aspidites ramsayi"
215,6428,168,41,"Aspidites ramsayi"
209,6322,188,26,"Aspidites ramsayi"
250,6366,239,58,"Aspidites ramsayi"
250,5727,259,75,"Aspidites ramsayi"
180,4834,281,25,"Aspidites ramsayi"
222,6370,230,42,"Aspidites ramsayi"
212,5970,209,47,"Aspidites ramsayi"
174,4991,327,31,"Aspidites ramsayi"
246,6293,286,58,"Aspidites ramsayi"
261,5378,373,85,"Aspidites ramsayi"
228,6477,218,40,"Aspidites ramsayi"
234,6446,210,54,"Aspidites ramsayi"
233,6385,264,48,"Aspidites ramsayi"
209,5418,217,26,"Aspidites ramsayi"
243,6263,232,61,"Aspidites ramsayi"
199,6168,228,21,"Aspidites ramsayi"
267,4963,228,87,"Aspidites ramsayi"
242,6558,160,54,"Aspidites ramsayi"
218,6262,256,39,"Aspidites ramsayi"
241,6650,179,49,"Aspidites ramsayi"
201,6059,289,38,"Aspidites ramsayi"
216,6181,252,52,"Aspidites ramsayi"
262,4971,365,95,"Aspidites ramsayi"
241,5556,317,84,"Aspidites ramsayi"
240,6434,231,62,"Aspidites ramsayi"
228,6266,320,54,"Aspidites ramsayi"
249,5906,258,76,"Aspidites ramsayi"
223,6396,220,42,"Aspidites ramsayi"
271,3841,406,107,"Aspidites ramsayi"
246,6348,223,56,"Aspidites ramsayi"
192,5280,253,24,"Aspidites ramsayi"
224,6374,315,45,"Aspidites ramsayi"
252,6175,254,66,"Aspidites ramsayi"
222,6346,237,41,"Aspidites ramsayi"
222,6387,239,41,"Aspidites ramsayi"
206,6299,316,44,"Aspidites ramsayi"
210,6274,180,26,"Aspidites ramsayi"
227,6090,339,57,"Aspidites ramsayi"
220,6445,180,48,"Aspidites ramsayi"
257,5725,346,73,"Aspidites ramsayi"
202,6155,347,39,"Aspidites ramsayi"
227,6397,240,50,"Aspidites ramsayi"
