"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
104,4079,1002,14,"Austrelaps ramsayi"
130,4306,950,14,"Austrelaps ramsayi"
123,3978,832,21,"Austrelaps ramsayi"
121,3939,897,16,"Austrelaps ramsayi"
102,4849,632,12,"Austrelaps ramsayi"
111,4261,1137,29,"Austrelaps ramsayi"
161,4631,735,33,"Austrelaps ramsayi"
122,4535,785,16,"Austrelaps ramsayi"
116,3965,711,17,"Austrelaps ramsayi"
104,4619,551,24,"Austrelaps ramsayi"
127,4292,971,39,"Austrelaps ramsayi"
146,4139,710,16,"Austrelaps ramsayi"
129,4557,898,27,"Austrelaps ramsayi"
108,5091,932,16,"Austrelaps ramsayi"
119,4415,906,27,"Austrelaps ramsayi"
157,4644,689,18,"Austrelaps ramsayi"
112,4453,728,18,"Austrelaps ramsayi"
127,4635,725,9,"Austrelaps ramsayi"
109,4163,750,18,"Austrelaps ramsayi"
125,4577,871,21,"Austrelaps ramsayi"
156,3859,1112,19,"Austrelaps ramsayi"
176,4291,617,27,"Austrelaps ramsayi"
125,3916,658,13,"Austrelaps ramsayi"
82,4987,1220,22,"Austrelaps ramsayi"
124,4058,883,24,"Austrelaps ramsayi"
60,4837,1094,15,"Austrelaps ramsayi"
159,4786,701,24,"Austrelaps ramsayi"
163,4946,640,32,"Austrelaps ramsayi"
130,4599,646,10,"Austrelaps ramsayi"
91,4142,849,16,"Austrelaps ramsayi"
138,3399,826,10,"Austrelaps ramsayi"
74,4315,944,16,"Austrelaps ramsayi"
102,4828,835,9,"Austrelaps ramsayi"
138,4044,662,15,"Austrelaps ramsayi"
92,4476,858,17,"Austrelaps ramsayi"
121,3981,1019,13,"Austrelaps ramsayi"
116,4326,836,27,"Austrelaps ramsayi"
166,4237,724,14,"Austrelaps ramsayi"
171,3943,860,27,"Austrelaps ramsayi"
112,4569,914,22,"Austrelaps ramsayi"
100,4870,681,11,"Austrelaps ramsayi"
137,3263,967,10,"Austrelaps ramsayi"
172,4119,698,27,"Austrelaps ramsayi"
135,4416,699,34,"Austrelaps ramsayi"
104,4557,881,10,"Austrelaps ramsayi"
139,4359,832,29,"Austrelaps ramsayi"
119,4822,783,11,"Austrelaps ramsayi"
172,3722,890,18,"Austrelaps ramsayi"
138,5246,1008,33,"Austrelaps ramsayi"
166,4152,984,35,"Austrelaps ramsayi"
132,4916,578,11,"Austrelaps ramsayi"
84,5022,1167,22,"Austrelaps ramsayi"
119,4510,820,19,"Austrelaps ramsayi"
137,4178,815,15,"Austrelaps ramsayi"
154,3854,733,22,"Austrelaps ramsayi"
157,4056,813,21,"Austrelaps ramsayi"
131,4139,966,13,"Austrelaps ramsayi"
170,3862,994,20,"Austrelaps ramsayi"
130,4067,649,13,"Austrelaps ramsayi"
116,4333,896,26,"Austrelaps ramsayi"
132,4987,755,9,"Austrelaps ramsayi"
130,3328,1247,12,"Austrelaps ramsayi"
169,4813,666,33,"Austrelaps ramsayi"
108,4489,879,18,"Austrelaps ramsayi"
111,4116,586,19,"Austrelaps ramsayi"
98,4141,1083,20,"Austrelaps ramsayi"
112,4478,762,12,"Austrelaps ramsayi"
120,3982,759,17,"Austrelaps ramsayi"
128,4471,693,17,"Austrelaps ramsayi"
175,4246,612,23,"Austrelaps ramsayi"
125,4124,1085,18,"Austrelaps ramsayi"
114,3934,837,16,"Austrelaps ramsayi"
159,4821,726,31,"Austrelaps ramsayi"
95,4128,1015,21,"Austrelaps ramsayi"
135,4587,984,28,"Austrelaps ramsayi"
116,3865,726,14,"Austrelaps ramsayi"
111,3777,1039,19,"Austrelaps ramsayi"
129,4792,586,9,"Austrelaps ramsayi"
98,4899,921,22,"Austrelaps ramsayi"
143,4424,788,43,"Austrelaps ramsayi"
83,4969,1177,24,"Austrelaps ramsayi"
128,3831,691,15,"Austrelaps ramsayi"
172,4656,622,36,"Austrelaps ramsayi"
136,4559,809,16,"Austrelaps ramsayi"
102,4723,930,11,"Austrelaps ramsayi"
149,3923,892,20,"Austrelaps ramsayi"
125,4829,601,11,"Austrelaps ramsayi"
138,3940,765,23,"Austrelaps ramsayi"
151,3043,940,12,"Austrelaps ramsayi"
149,2983,969,9,"Austrelaps ramsayi"
96,4788,810,15,"Austrelaps ramsayi"
137,4959,567,10,"Austrelaps ramsayi"
118,4645,743,16,"Austrelaps ramsayi"
118,3934,632,18,"Austrelaps ramsayi"
117,4257,733,9,"Austrelaps ramsayi"
110,3651,1018,13,"Austrelaps ramsayi"
122,4733,687,13,"Austrelaps ramsayi"
113,4619,473,20,"Austrelaps ramsayi"
110,4529,653,12,"Austrelaps ramsayi"
123,4356,1113,36,"Austrelaps ramsayi"
104,4287,677,20,"Austrelaps ramsayi"
85,4397,934,14,"Austrelaps ramsayi"
100,4388,1083,29,"Austrelaps ramsayi"
137,4522,696,15,"Austrelaps ramsayi"
146,3507,645,14,"Austrelaps ramsayi"
134,4043,672,13,"Austrelaps ramsayi"
132,4333,807,45,"Austrelaps ramsayi"
165,3849,1162,21,"Austrelaps ramsayi"
77,4356,951,8,"Austrelaps ramsayi"
113,4487,525,23,"Austrelaps ramsayi"
116,3741,801,12,"Austrelaps ramsayi"
83,4890,1337,27,"Austrelaps ramsayi"
134,4038,849,12,"Austrelaps ramsayi"
113,4711,805,13,"Austrelaps ramsayi"
75,4713,1308,18,"Austrelaps ramsayi"
137,4084,1008,15,"Austrelaps ramsayi"
119,4056,810,22,"Austrelaps ramsayi"
98,4226,807,15,"Austrelaps ramsayi"
121,4050,780,15,"Austrelaps ramsayi"
167,4715,686,30,"Austrelaps ramsayi"
121,4382,801,25,"Austrelaps ramsayi"
150,3133,1022,15,"Austrelaps ramsayi"
118,5137,1045,26,"Austrelaps ramsayi"
83,4445,848,9,"Austrelaps ramsayi"
150,4680,746,25,"Austrelaps ramsayi"
128,3520,859,9,"Austrelaps ramsayi"
134,3337,1077,10,"Austrelaps ramsayi"
118,4113,790,19,"Austrelaps ramsayi"
150,3089,1012,13,"Austrelaps ramsayi"
183,3787,1084,27,"Austrelaps ramsayi"
175,3959,840,25,"Austrelaps ramsayi"
143,4478,838,32,"Austrelaps ramsayi"
124,4318,820,28,"Austrelaps ramsayi"
173,3952,823,27,"Austrelaps ramsayi"
121,4804,697,10,"Austrelaps ramsayi"
126,3646,839,13,"Austrelaps ramsayi"
116,4784,860,13,"Austrelaps ramsayi"
124,4718,602,12,"Austrelaps ramsayi"
172,4787,547,25,"Austrelaps ramsayi"
123,4682,668,18,"Austrelaps ramsayi"
135,3449,991,14,"Austrelaps ramsayi"
144,4318,597,13,"Austrelaps ramsayi"
151,4717,740,25,"Austrelaps ramsayi"
111,3772,936,14,"Austrelaps ramsayi"
176,3881,975,29,"Austrelaps ramsayi"
172,4491,782,31,"Austrelaps ramsayi"
122,4360,645,16,"Austrelaps ramsayi"
144,3608,763,19,"Austrelaps ramsayi"
137,4007,828,26,"Austrelaps ramsayi"
147,3478,642,12,"Austrelaps ramsayi"
124,4112,791,17,"Austrelaps ramsayi"
146,3921,678,13,"Austrelaps ramsayi"
135,4593,793,30,"Austrelaps ramsayi"
126,5122,1022,28,"Austrelaps ramsayi"
128,5216,740,15,"Austrelaps ramsayi"
124,4739,710,9,"Austrelaps ramsayi"
77,4885,966,11,"Austrelaps ramsayi"
100,4265,973,13,"Austrelaps ramsayi"
156,4863,687,28,"Austrelaps ramsayi"
151,5294,666,23,"Austrelaps ramsayi"
143,3793,887,15,"Austrelaps ramsayi"
129,4008,891,14,"Austrelaps ramsayi"
183,3946,852,23,"Austrelaps ramsayi"
176,4058,866,33,"Austrelaps ramsayi"
80,4496,756,11,"Austrelaps ramsayi"
