"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
145,2980,646,11,"Austrelaps superbus"
122,2292,1861,30,"Austrelaps superbus"
135,2855,948,32,"Austrelaps superbus"
138,3042,657,28,"Austrelaps superbus"
90,3065,1337,30,"Austrelaps superbus"
143,2867,638,13,"Austrelaps superbus"
144,3129,937,19,"Austrelaps superbus"
141,2994,708,43,"Austrelaps superbus"
129,3062,816,12,"Austrelaps superbus"
137,3146,723,26,"Austrelaps superbus"
118,4095,807,30,"Austrelaps superbus"
136,3218,714,26,"Austrelaps superbus"
139,3020,742,28,"Austrelaps superbus"
142,3606,888,15,"Austrelaps superbus"
141,2810,736,48,"Austrelaps superbus"
136,3493,599,20,"Austrelaps superbus"
138,2675,762,27,"Austrelaps superbus"
102,3159,934,26,"Austrelaps superbus"
115,3032,1140,35,"Austrelaps superbus"
144,3170,858,21,"Austrelaps superbus"
89,3263,668,18,"Austrelaps superbus"
149,3446,830,13,"Austrelaps superbus"
134,3440,732,39,"Austrelaps superbus"
115,3225,783,25,"Austrelaps superbus"
146,3340,904,17,"Austrelaps superbus"
138,3043,810,28,"Austrelaps superbus"
140,2900,769,11,"Austrelaps superbus"
117,2689,905,12,"Austrelaps superbus"
127,4274,710,26,"Austrelaps superbus"
137,2542,609,9,"Austrelaps superbus"
142,2732,914,20,"Austrelaps superbus"
132,2782,928,31,"Austrelaps superbus"
84,2870,2167,32,"Austrelaps superbus"
133,1957,979,37,"Austrelaps superbus"
146,3593,781,18,"Austrelaps superbus"
85,2833,2086,33,"Austrelaps superbus"
104,3186,760,17,"Austrelaps superbus"
61,3231,1122,25,"Austrelaps superbus"
128,2568,548,10,"Austrelaps superbus"
100,2975,612,11,"Austrelaps superbus"
78,3269,850,18,"Austrelaps superbus"
138,2806,1040,21,"Austrelaps superbus"
105,3279,549,17,"Austrelaps superbus"
142,3521,576,16,"Austrelaps superbus"
134,2742,1104,34,"Austrelaps superbus"
143,3043,837,19,"Austrelaps superbus"
126,3773,684,17,"Austrelaps superbus"
133,2808,891,30,"Austrelaps superbus"
140,2705,801,43,"Austrelaps superbus"
116,2634,1285,23,"Austrelaps superbus"
127,3979,688,26,"Austrelaps superbus"
150,3217,623,13,"Austrelaps superbus"
135,2575,850,17,"Austrelaps superbus"
121,4272,1039,24,"Austrelaps superbus"
145,2722,933,26,"Austrelaps superbus"
134,2852,865,37,"Austrelaps superbus"
130,2358,1044,32,"Austrelaps superbus"
141,2844,785,33,"Austrelaps superbus"
86,2898,2137,29,"Austrelaps superbus"
131,2173,1212,34,"Austrelaps superbus"
131,2871,953,32,"Austrelaps superbus"
148,2967,1118,14,"Austrelaps superbus"
140,3342,1169,21,"Austrelaps superbus"
110,2304,1131,14,"Austrelaps superbus"
132,2392,1021,33,"Austrelaps superbus"
130,3594,749,28,"Austrelaps superbus"
127,2445,1163,35,"Austrelaps superbus"
142,3692,578,15,"Austrelaps superbus"
140,2829,862,30,"Austrelaps superbus"
145,3088,570,9,"Austrelaps superbus"
131,3861,640,22,"Austrelaps superbus"
126,2867,1174,27,"Austrelaps superbus"
120,3091,925,33,"Austrelaps superbus"
153,3288,876,14,"Austrelaps superbus"
150,3082,1085,10,"Austrelaps superbus"
123,3657,784,22,"Austrelaps superbus"
118,2276,1059,15,"Austrelaps superbus"
123,3111,823,27,"Austrelaps superbus"
131,3748,621,18,"Austrelaps superbus"
110,2912,748,11,"Austrelaps superbus"
132,4323,659,31,"Austrelaps superbus"
149,3278,715,15,"Austrelaps superbus"
121,2953,1018,34,"Austrelaps superbus"
94,2958,1480,31,"Austrelaps superbus"
128,3569,1086,15,"Austrelaps superbus"
139,2504,684,18,"Austrelaps superbus"
119,3792,840,20,"Austrelaps superbus"
144,2666,767,49,"Austrelaps superbus"
117,3587,1351,25,"Austrelaps superbus"
147,3388,753,13,"Austrelaps superbus"
134,4077,649,11,"Austrelaps superbus"
137,3271,681,23,"Austrelaps superbus"
145,3034,631,12,"Austrelaps superbus"
130,3033,736,9,"Austrelaps superbus"
79,3320,714,14,"Austrelaps superbus"
128,3953,1096,31,"Austrelaps superbus"
129,2785,763,16,"Austrelaps superbus"
126,2336,1289,32,"Austrelaps superbus"
115,2817,998,25,"Austrelaps superbus"
103,3231,508,14,"Austrelaps superbus"
141,2863,739,43,"Austrelaps superbus"
130,3917,656,24,"Austrelaps superbus"
119,3016,890,10,"Austrelaps superbus"
134,2985,730,28,"Austrelaps superbus"
145,2698,914,26,"Austrelaps superbus"
139,4326,782,26,"Austrelaps superbus"
107,2540,2350,29,"Austrelaps superbus"
139,3259,588,20,"Austrelaps superbus"
76,3270,868,18,"Austrelaps superbus"
130,2651,848,12,"Austrelaps superbus"
131,1964,1021,40,"Austrelaps superbus"
145,3041,539,14,"Austrelaps superbus"
120,2319,1901,28,"Austrelaps superbus"
138,2370,704,17,"Austrelaps superbus"
134,3648,577,19,"Austrelaps superbus"
130,4317,706,32,"Austrelaps superbus"
130,3861,729,13,"Austrelaps superbus"
142,3335,1132,16,"Austrelaps superbus"
142,2322,686,19,"Austrelaps superbus"
129,3832,609,19,"Austrelaps superbus"
134,3348,798,37,"Austrelaps superbus"
133,3785,594,21,"Austrelaps superbus"
132,1948,1012,40,"Austrelaps superbus"
130,2765,933,33,"Austrelaps superbus"
145,2622,910,22,"Austrelaps superbus"
101,2864,2034,29,"Austrelaps superbus"
144,3588,518,13,"Austrelaps superbus"
122,3214,722,20,"Austrelaps superbus"
154,3239,890,14,"Austrelaps superbus"
137,3199,740,27,"Austrelaps superbus"
143,2346,748,22,"Austrelaps superbus"
149,3211,621,13,"Austrelaps superbus"
86,3321,872,17,"Austrelaps superbus"
146,3030,1209,12,"Austrelaps superbus"
139,2850,1054,19,"Austrelaps superbus"
126,3911,1187,16,"Austrelaps superbus"
125,3724,604,19,"Austrelaps superbus"
140,2974,753,26,"Austrelaps superbus"
130,3119,1024,21,"Austrelaps superbus"
104,3021,1236,32,"Austrelaps superbus"
123,2993,992,31,"Austrelaps superbus"
113,4035,839,13,"Austrelaps superbus"
119,2958,1056,31,"Austrelaps superbus"
145,4550,573,23,"Austrelaps superbus"
61,3260,1525,25,"Austrelaps superbus"
139,3013,939,25,"Austrelaps superbus"
123,2479,1261,32,"Austrelaps superbus"
