"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
225,3933,590,54,"Bellatorias frerei"
233,3719,636,59,"Bellatorias frerei"
266,1155,1592,114,"Bellatorias frerei"
265,1205,1573,114,"Bellatorias frerei"
230,3845,699,54,"Bellatorias frerei"
266,1146,1661,120,"Bellatorias frerei"
231,3159,1025,58,"Bellatorias frerei"
222,2459,863,106,"Bellatorias frerei"
259,1704,1286,114,"Bellatorias frerei"
218,3301,1332,57,"Bellatorias frerei"
209,3509,982,50,"Bellatorias frerei"
229,3783,686,61,"Bellatorias frerei"
211,1984,2224,93,"Bellatorias frerei"
231,3564,879,64,"Bellatorias frerei"
225,3234,648,84,"Bellatorias frerei"
253,1772,1117,115,"Bellatorias frerei"
217,3976,631,53,"Bellatorias frerei"
250,1734,1313,114,"Bellatorias frerei"
258,591,2490,45,"Bellatorias frerei"
234,3634,713,82,"Bellatorias frerei"
187,3685,1305,54,"Bellatorias frerei"
220,3230,1063,86,"Bellatorias frerei"
212,3793,744,47,"Bellatorias frerei"
252,1586,1132,121,"Bellatorias frerei"
189,2368,1697,87,"Bellatorias frerei"
245,2611,2959,76,"Bellatorias frerei"
227,3646,673,62,"Bellatorias frerei"
216,3513,970,58,"Bellatorias frerei"
236,3494,1002,71,"Bellatorias frerei"
210,3520,1284,47,"Bellatorias frerei"
258,790,2838,36,"Bellatorias frerei"
257,1094,1772,104,"Bellatorias frerei"
179,3837,1099,44,"Bellatorias frerei"
202,3080,1671,36,"Bellatorias frerei"
198,3600,954,50,"Bellatorias frerei"
236,3573,612,81,"Bellatorias frerei"
262,864,1707,61,"Bellatorias frerei"
187,2493,2115,66,"Bellatorias frerei"
228,3791,705,63,"Bellatorias frerei"
257,1160,1885,100,"Bellatorias frerei"
262,1094,1731,93,"Bellatorias frerei"
222,3299,1042,84,"Bellatorias frerei"
217,3149,1017,96,"Bellatorias frerei"
226,2657,1419,36,"Bellatorias frerei"
231,3980,693,56,"Bellatorias frerei"
257,791,1901,49,"Bellatorias frerei"
194,3798,961,41,"Bellatorias frerei"
209,2848,1475,86,"Bellatorias frerei"
262,1143,1728,114,"Bellatorias frerei"
258,1862,1613,97,"Bellatorias frerei"
242,3731,582,73,"Bellatorias frerei"
251,2387,874,113,"Bellatorias frerei"
227,3513,810,67,"Bellatorias frerei"
240,2367,725,113,"Bellatorias frerei"
224,2760,1901,84,"Bellatorias frerei"
223,3467,829,79,"Bellatorias frerei"
217,3426,1046,50,"Bellatorias frerei"
255,2117,1072,113,"Bellatorias frerei"
216,2913,905,99,"Bellatorias frerei"
219,2492,2796,62,"Bellatorias frerei"
263,1114,1565,111,"Bellatorias frerei"
227,3961,676,56,"Bellatorias frerei"
220,2261,971,107,"Bellatorias frerei"
196,3689,894,50,"Bellatorias frerei"
229,3745,682,68,"Bellatorias frerei"
230,3722,551,71,"Bellatorias frerei"
241,3637,593,79,"Bellatorias frerei"
265,1161,1667,119,"Bellatorias frerei"
244,3145,826,92,"Bellatorias frerei"
257,790,1939,50,"Bellatorias frerei"
196,3373,1542,48,"Bellatorias frerei"
235,3575,765,79,"Bellatorias frerei"
222,3978,689,54,"Bellatorias frerei"
244,2057,1127,106,"Bellatorias frerei"
264,1048,1661,103,"Bellatorias frerei"
233,2643,2997,85,"Bellatorias frerei"
264,896,1508,67,"Bellatorias frerei"
229,3782,668,64,"Bellatorias frerei"
218,3379,1010,51,"Bellatorias frerei"
236,2665,918,114,"Bellatorias frerei"
261,790,1704,62,"Bellatorias frerei"
257,1406,1487,113,"Bellatorias frerei"
224,3277,1505,82,"Bellatorias frerei"
232,2686,2857,70,"Bellatorias frerei"
233,3818,624,67,"Bellatorias frerei"
197,3929,663,41,"Bellatorias frerei"
261,1853,1063,112,"Bellatorias frerei"
235,3804,669,70,"Bellatorias frerei"
200,3673,718,46,"Bellatorias frerei"
257,719,2245,43,"Bellatorias frerei"
220,3233,1070,88,"Bellatorias frerei"
196,4048,635,37,"Bellatorias frerei"
217,2131,1435,104,"Bellatorias frerei"
194,3964,683,41,"Bellatorias frerei"
203,3680,1135,52,"Bellatorias frerei"
224,3912,652,52,"Bellatorias frerei"
234,3624,631,83,"Bellatorias frerei"
232,3613,701,82,"Bellatorias frerei"
261,838,2039,57,"Bellatorias frerei"
210,3419,1085,71,"Bellatorias frerei"
249,1744,1432,112,"Bellatorias frerei"
258,778,2802,39,"Bellatorias frerei"
205,3495,1058,63,"Bellatorias frerei"
229,3744,671,66,"Bellatorias frerei"
204,3642,751,49,"Bellatorias frerei"
178,3701,1361,53,"Bellatorias frerei"
228,2097,984,106,"Bellatorias frerei"
218,3383,1045,54,"Bellatorias frerei"
225,3796,634,58,"Bellatorias frerei"
229,2518,897,112,"Bellatorias frerei"
224,3187,1060,51,"Bellatorias frerei"
260,1895,1084,113,"Bellatorias frerei"
238,3504,620,77,"Bellatorias frerei"
225,2325,1255,96,"Bellatorias frerei"
259,1986,1051,115,"Bellatorias frerei"
231,3311,943,61,"Bellatorias frerei"
256,728,2293,38,"Bellatorias frerei"
231,2975,1208,60,"Bellatorias frerei"
228,3361,731,84,"Bellatorias frerei"
228,2394,772,110,"Bellatorias frerei"
258,2020,936,116,"Bellatorias frerei"
232,3588,754,81,"Bellatorias frerei"
217,3438,1108,49,"Bellatorias frerei"
200,3991,622,45,"Bellatorias frerei"
262,1835,1148,113,"Bellatorias frerei"
259,1981,1032,114,"Bellatorias frerei"
239,2059,1889,94,"Bellatorias frerei"
180,3744,993,48,"Bellatorias frerei"
218,3637,670,56,"Bellatorias frerei"
235,3114,1593,93,"Bellatorias frerei"
258,1315,1395,103,"Bellatorias frerei"
206,3204,1524,42,"Bellatorias frerei"
259,1938,1036,112,"Bellatorias frerei"
231,3859,665,63,"Bellatorias frerei"
238,3535,707,76,"Bellatorias frerei"
226,2322,1318,102,"Bellatorias frerei"
243,2995,965,90,"Bellatorias frerei"
226,3798,615,59,"Bellatorias frerei"
269,1123,1700,120,"Bellatorias frerei"
222,2803,2059,84,"Bellatorias frerei"
220,3185,794,90,"Bellatorias frerei"
202,3905,815,50,"Bellatorias frerei"
262,840,1628,58,"Bellatorias frerei"
258,738,1977,56,"Bellatorias frerei"
