"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,2824,834,121,"Boiga irregularis"
184,232,3110,48,"Boiga irregularis"
160,4829,774,28,"Boiga irregularis"
244,5091,454,76,"Boiga irregularis"
277,1954,1487,108,"Boiga irregularis"
209,4196,597,43,"Boiga irregularis"
238,2897,991,115,"Boiga irregularis"
218,504,2784,37,"Boiga irregularis"
238,203,2881,18,"Boiga irregularis"
249,188,3331,34,"Boiga irregularis"
239,770,4692,26,"Boiga irregularis"
263,2983,920,114,"Boiga irregularis"
215,4062,586,41,"Boiga irregularis"
192,3210,1446,79,"Boiga irregularis"
203,4768,556,51,"Boiga irregularis"
262,1399,1469,115,"Boiga irregularis"
263,728,1668,67,"Boiga irregularis"
262,2360,999,112,"Boiga irregularis"
204,4752,637,43,"Boiga irregularis"
260,1670,1529,92,"Boiga irregularis"
205,4336,614,42,"Boiga irregularis"
222,4691,604,56,"Boiga irregularis"
250,472,3857,24,"Boiga irregularis"
270,354,2842,26,"Boiga irregularis"
240,3742,696,76,"Boiga irregularis"
278,2835,902,124,"Boiga irregularis"
272,3050,726,120,"Boiga irregularis"
226,5113,492,52,"Boiga irregularis"
260,834,1321,41,"Boiga irregularis"
259,2160,1190,121,"Boiga irregularis"
257,212,2598,11,"Boiga irregularis"
247,212,3401,9,"Boiga irregularis"
178,521,2936,24,"Boiga irregularis"
257,613,3267,17,"Boiga irregularis"
262,2894,985,115,"Boiga irregularis"
229,3713,687,66,"Boiga irregularis"
244,4604,444,81,"Boiga irregularis"
265,3250,775,113,"Boiga irregularis"
272,400,3242,13,"Boiga irregularis"
231,4326,659,75,"Boiga irregularis"
274,1710,1576,104,"Boiga irregularis"
269,172,2415,24,"Boiga irregularis"
238,218,2865,15,"Boiga irregularis"
277,3426,573,117,"Boiga irregularis"
261,2872,844,120,"Boiga irregularis"
198,3239,1600,40,"Boiga irregularis"
259,465,4662,11,"Boiga irregularis"
281,2322,926,115,"Boiga irregularis"
272,2101,1543,104,"Boiga irregularis"
212,4100,630,42,"Boiga irregularis"
208,641,2196,30,"Boiga irregularis"
234,476,1945,56,"Boiga irregularis"
260,215,1598,23,"Boiga irregularis"
274,1446,1311,107,"Boiga irregularis"
248,233,3642,10,"Boiga irregularis"
239,4131,513,89,"Boiga irregularis"
247,358,1500,47,"Boiga irregularis"
189,4546,649,40,"Boiga irregularis"
240,4043,657,73,"Boiga irregularis"
131,4309,829,36,"Boiga irregularis"
272,2053,1246,111,"Boiga irregularis"
272,1825,1070,114,"Boiga irregularis"
216,4713,636,46,"Boiga irregularis"
259,2015,1060,115,"Boiga irregularis"
205,4700,781,51,"Boiga irregularis"
259,326,4067,14,"Boiga irregularis"
190,317,2693,29,"Boiga irregularis"
216,3738,719,90,"Boiga irregularis"
257,3426,635,112,"Boiga irregularis"
224,4016,746,54,"Boiga irregularis"
258,206,2910,11,"Boiga irregularis"
252,2445,998,116,"Boiga irregularis"
270,2479,999,119,"Boiga irregularis"
233,3415,561,83,"Boiga irregularis"
259,2503,888,115,"Boiga irregularis"
258,3532,581,110,"Boiga irregularis"
173,4567,888,59,"Boiga irregularis"
