"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
264,5593,277,90,"Brachyurophis approximans"
269,5044,351,102,"Brachyurophis approximans"
225,6394,247,37,"Brachyurophis approximans"
235,6379,220,55,"Brachyurophis approximans"
241,5834,267,72,"Brachyurophis approximans"
248,6233,218,66,"Brachyurophis approximans"
266,4950,350,87,"Brachyurophis approximans"
258,5524,243,80,"Brachyurophis approximans"
267,5133,360,95,"Brachyurophis approximans"
248,5385,225,79,"Brachyurophis approximans"
232,6094,217,56,"Brachyurophis approximans"
246,6382,225,63,"Brachyurophis approximans"
246,6346,219,68,"Brachyurophis approximans"
261,5736,248,81,"Brachyurophis approximans"
220,5931,245,59,"Brachyurophis approximans"
243,6326,254,67,"Brachyurophis approximans"
243,6421,251,67,"Brachyurophis approximans"
246,6281,200,63,"Brachyurophis approximans"
252,6298,274,71,"Brachyurophis approximans"
246,6383,247,64,"Brachyurophis approximans"
262,5033,289,87,"Brachyurophis approximans"
257,6061,279,77,"Brachyurophis approximans"
257,6238,261,76,"Brachyurophis approximans"
256,5419,302,84,"Brachyurophis approximans"
241,6398,237,62,"Brachyurophis approximans"
236,6392,216,58,"Brachyurophis approximans"
247,5670,249,72,"Brachyurophis approximans"
236,5617,397,83,"Brachyurophis approximans"
263,5116,256,89,"Brachyurophis approximans"
236,6397,233,60,"Brachyurophis approximans"
234,6358,208,56,"Brachyurophis approximans"
244,6148,229,72,"Brachyurophis approximans"
271,4866,319,103,"Brachyurophis approximans"
221,6389,216,42,"Brachyurophis approximans"
236,6034,204,63,"Brachyurophis approximans"
266,4621,317,103,"Brachyurophis approximans"
233,6419,229,52,"Brachyurophis approximans"
252,6383,236,70,"Brachyurophis approximans"
252,6024,265,75,"Brachyurophis approximans"
222,6393,215,42,"Brachyurophis approximans"
217,6361,244,44,"Brachyurophis approximans"
230,6339,220,55,"Brachyurophis approximans"
256,5406,410,97,"Brachyurophis approximans"
245,5742,345,81,"Brachyurophis approximans"
247,6056,235,74,"Brachyurophis approximans"
221,6327,243,51,"Brachyurophis approximans"
233,6034,226,65,"Brachyurophis approximans"
240,6221,286,65,"Brachyurophis approximans"
265,5440,221,81,"Brachyurophis approximans"
262,5361,328,85,"Brachyurophis approximans"
259,5976,244,76,"Brachyurophis approximans"
243,6050,226,68,"Brachyurophis approximans"
236,6184,213,59,"Brachyurophis approximans"
267,3856,281,90,"Brachyurophis approximans"
228,6427,223,39,"Brachyurophis approximans"
240,6380,253,63,"Brachyurophis approximans"
245,6410,249,67,"Brachyurophis approximans"
268,4328,296,89,"Brachyurophis approximans"
263,5597,277,92,"Brachyurophis approximans"
245,6345,234,68,"Brachyurophis approximans"
221,6402,231,44,"Brachyurophis approximans"
268,4492,309,89,"Brachyurophis approximans"
240,6423,230,59,"Brachyurophis approximans"
274,4420,333,100,"Brachyurophis approximans"
220,6379,218,46,"Brachyurophis approximans"
223,6410,211,39,"Brachyurophis approximans"
259,5704,307,84,"Brachyurophis approximans"
259,4434,399,98,"Brachyurophis approximans"
241,6382,235,61,"Brachyurophis approximans"
224,6387,215,48,"Brachyurophis approximans"
231,6407,233,54,"Brachyurophis approximans"
246,6388,229,65,"Brachyurophis approximans"
255,5181,407,92,"Brachyurophis approximans"
267,4271,346,94,"Brachyurophis approximans"
249,6339,281,69,"Brachyurophis approximans"
238,6399,247,61,"Brachyurophis approximans"
228,6129,220,52,"Brachyurophis approximans"
249,6265,280,72,"Brachyurophis approximans"
223,6266,254,49,"Brachyurophis approximans"
244,5954,219,61,"Brachyurophis approximans"
234,6428,214,48,"Brachyurophis approximans"
245,5729,254,80,"Brachyurophis approximans"
246,6290,254,72,"Brachyurophis approximans"
230,5989,212,55,"Brachyurophis approximans"
256,4824,357,97,"Brachyurophis approximans"
275,4513,315,99,"Brachyurophis approximans"
235,6432,240,52,"Brachyurophis approximans"
248,6196,222,69,"Brachyurophis approximans"
276,3435,287,98,"Brachyurophis approximans"
228,6455,200,52,"Brachyurophis approximans"
268,4406,299,89,"Brachyurophis approximans"
245,6298,231,64,"Brachyurophis approximans"
236,6436,221,53,"Brachyurophis approximans"
221,6350,217,45,"Brachyurophis approximans"
244,5542,218,72,"Brachyurophis approximans"
216,6027,251,57,"Brachyurophis approximans"
229,6450,217,46,"Brachyurophis approximans"
217,6344,221,46,"Brachyurophis approximans"
241,6118,279,73,"Brachyurophis approximans"
247,5950,308,78,"Brachyurophis approximans"
271,4066,325,100,"Brachyurophis approximans"
251,6163,256,69,"Brachyurophis approximans"
244,5780,220,70,"Brachyurophis approximans"
254,6170,217,72,"Brachyurophis approximans"
269,3633,274,90,"Brachyurophis approximans"
220,6109,229,56,"Brachyurophis approximans"
247,4910,401,94,"Brachyurophis approximans"
251,6332,212,69,"Brachyurophis approximans"
253,6075,253,73,"Brachyurophis approximans"
249,6401,248,69,"Brachyurophis approximans"
234,6209,238,57,"Brachyurophis approximans"
232,6088,203,57,"Brachyurophis approximans"
255,6264,230,73,"Brachyurophis approximans"
262,5789,261,82,"Brachyurophis approximans"
244,6028,229,70,"Brachyurophis approximans"
246,6156,236,74,"Brachyurophis approximans"
268,4660,342,100,"Brachyurophis approximans"
243,6239,241,67,"Brachyurophis approximans"
225,6410,192,50,"Brachyurophis approximans"
238,6411,231,60,"Brachyurophis approximans"
250,5563,318,82,"Brachyurophis approximans"
237,5636,409,78,"Brachyurophis approximans"
257,5322,309,98,"Brachyurophis approximans"
265,5238,323,89,"Brachyurophis approximans"
255,4861,383,93,"Brachyurophis approximans"
225,6447,220,46,"Brachyurophis approximans"
233,6442,200,54,"Brachyurophis approximans"
245,6278,244,71,"Brachyurophis approximans"
240,6391,263,64,"Brachyurophis approximans"
224,6217,225,49,"Brachyurophis approximans"
273,4129,312,99,"Brachyurophis approximans"
240,5901,257,77,"Brachyurophis approximans"
235,6448,232,51,"Brachyurophis approximans"
243,6372,287,68,"Brachyurophis approximans"
241,6384,253,67,"Brachyurophis approximans"
255,6184,270,73,"Brachyurophis approximans"
231,6454,203,53,"Brachyurophis approximans"
236,6403,237,60,"Brachyurophis approximans"
268,3872,280,90,"Brachyurophis approximans"
267,4958,291,89,"Brachyurophis approximans"
231,6450,200,54,"Brachyurophis approximans"
263,5281,310,85,"Brachyurophis approximans"
255,6066,268,74,"Brachyurophis approximans"
222,6406,225,45,"Brachyurophis approximans"
235,6008,199,65,"Brachyurophis approximans"
274,4148,321,99,"Brachyurophis approximans"
218,6388,210,45,"Brachyurophis approximans"
243,5747,337,88,"Brachyurophis approximans"
220,5918,245,55,"Brachyurophis approximans"
232,5997,227,63,"Brachyurophis approximans"
233,6386,286,61,"Brachyurophis approximans"
273,3920,322,99,"Brachyurophis approximans"
235,6444,275,56,"Brachyurophis approximans"
246,6262,251,74,"Brachyurophis approximans"
244,5495,212,74,"Brachyurophis approximans"
222,6357,227,52,"Brachyurophis approximans"
242,6134,237,72,"Brachyurophis approximans"
242,6374,280,67,"Brachyurophis approximans"
238,6428,217,57,"Brachyurophis approximans"
259,5541,270,82,"Brachyurophis approximans"
227,6406,240,42,"Brachyurophis approximans"
245,6269,250,74,"Brachyurophis approximans"
260,5965,243,77,"Brachyurophis approximans"
238,6416,251,61,"Brachyurophis approximans"
262,5926,227,75,"Brachyurophis approximans"
232,6394,216,53,"Brachyurophis approximans"
256,5478,286,83,"Brachyurophis approximans"
247,6320,216,65,"Brachyurophis approximans"
264,5396,300,86,"Brachyurophis approximans"
228,6316,227,50,"Brachyurophis approximans"
235,6122,204,60,"Brachyurophis approximans"
223,6412,209,40,"Brachyurophis approximans"
262,5738,280,83,"Brachyurophis approximans"
240,5220,341,87,"Brachyurophis approximans"
227,6462,217,52,"Brachyurophis approximans"
267,4491,327,92,"Brachyurophis approximans"
234,6052,281,69,"Brachyurophis approximans"
242,6071,235,71,"Brachyurophis approximans"
271,4618,315,101,"Brachyurophis approximans"
230,6061,218,53,"Brachyurophis approximans"
245,5683,217,72,"Brachyurophis approximans"
259,5983,237,68,"Brachyurophis approximans"
275,4211,319,98,"Brachyurophis approximans"
243,6396,258,68,"Brachyurophis approximans"
237,6413,221,54,"Brachyurophis approximans"
234,6400,267,59,"Brachyurophis approximans"
238,6399,222,58,"Brachyurophis approximans"
240,5769,348,78,"Brachyurophis approximans"
216,6276,248,42,"Brachyurophis approximans"
222,6427,224,47,"Brachyurophis approximans"
245,6353,286,68,"Brachyurophis approximans"
231,6034,221,52,"Brachyurophis approximans"
234,5498,392,88,"Brachyurophis approximans"
260,5665,269,86,"Brachyurophis approximans"
249,6333,258,69,"Brachyurophis approximans"
242,5709,337,86,"Brachyurophis approximans"
257,5223,290,83,"Brachyurophis approximans"
252,5702,288,74,"Brachyurophis approximans"
231,6330,210,52,"Brachyurophis approximans"
222,6400,197,48,"Brachyurophis approximans"
252,6202,223,70,"Brachyurophis approximans"
273,3924,346,99,"Brachyurophis approximans"
249,5844,274,76,"Brachyurophis approximans"
260,5547,238,81,"Brachyurophis approximans"
234,6433,247,51,"Brachyurophis approximans"
257,6009,232,74,"Brachyurophis approximans"
249,6057,276,72,"Brachyurophis approximans"
244,5830,253,79,"Brachyurophis approximans"
265,4952,317,87,"Brachyurophis approximans"
232,6122,238,61,"Brachyurophis approximans"
257,4490,343,97,"Brachyurophis approximans"
249,6230,250,66,"Brachyurophis approximans"
273,4590,318,102,"Brachyurophis approximans"
251,6190,212,67,"Brachyurophis approximans"
253,6122,258,68,"Brachyurophis approximans"
251,5285,365,96,"Brachyurophis approximans"
244,6252,276,73,"Brachyurophis approximans"
229,5888,206,54,"Brachyurophis approximans"
270,4809,286,98,"Brachyurophis approximans"
219,6309,253,50,"Brachyurophis approximans"
251,6014,270,76,"Brachyurophis approximans"
263,5300,304,86,"Brachyurophis approximans"
265,5536,283,89,"Brachyurophis approximans"
241,6011,213,65,"Brachyurophis approximans"
248,5878,316,72,"Brachyurophis approximans"
226,5269,409,87,"Brachyurophis approximans"
240,4859,418,101,"Brachyurophis approximans"
233,6410,244,56,"Brachyurophis approximans"
228,6437,244,38,"Brachyurophis approximans"
250,5457,334,81,"Brachyurophis approximans"
238,5161,452,96,"Brachyurophis approximans"
257,6081,272,77,"Brachyurophis approximans"
259,5924,258,78,"Brachyurophis approximans"
273,3809,288,100,"Brachyurophis approximans"
235,6404,228,57,"Brachyurophis approximans"
245,6307,239,70,"Brachyurophis approximans"
225,6420,245,39,"Brachyurophis approximans"
243,5474,302,81,"Brachyurophis approximans"
233,6415,226,48,"Brachyurophis approximans"
237,6293,203,59,"Brachyurophis approximans"
242,5437,345,86,"Brachyurophis approximans"
260,6014,241,78,"Brachyurophis approximans"
214,6294,218,46,"Brachyurophis approximans"
235,6404,233,58,"Brachyurophis approximans"
242,6041,229,69,"Brachyurophis approximans"
221,6376,223,44,"Brachyurophis approximans"
247,5979,284,75,"Brachyurophis approximans"
260,5718,269,83,"Brachyurophis approximans"
241,6194,234,65,"Brachyurophis approximans"
235,5937,217,67,"Brachyurophis approximans"
248,6340,220,67,"Brachyurophis approximans"
267,5161,377,99,"Brachyurophis approximans"
250,6070,265,70,"Brachyurophis approximans"
234,6426,240,53,"Brachyurophis approximans"
227,5986,214,57,"Brachyurophis approximans"
233,6399,255,60,"Brachyurophis approximans"
255,6209,215,69,"Brachyurophis approximans"
236,6390,240,59,"Brachyurophis approximans"
252,6128,272,72,"Brachyurophis approximans"
248,6336,207,66,"Brachyurophis approximans"
254,6041,239,77,"Brachyurophis approximans"
238,6394,238,59,"Brachyurophis approximans"
235,6394,269,59,"Brachyurophis approximans"
247,5689,266,77,"Brachyurophis approximans"
229,6436,235,48,"Brachyurophis approximans"
232,6444,218,49,"Brachyurophis approximans"
249,6182,281,75,"Brachyurophis approximans"
242,6407,231,63,"Brachyurophis approximans"
250,6233,269,73,"Brachyurophis approximans"
273,4546,357,104,"Brachyurophis approximans"
224,6435,213,46,"Brachyurophis approximans"
246,5596,266,74,"Brachyurophis approximans"
261,5314,327,93,"Brachyurophis approximans"
246,6196,231,67,"Brachyurophis approximans"
246,6347,242,64,"Brachyurophis approximans"
256,6054,255,74,"Brachyurophis approximans"
247,6024,240,76,"Brachyurophis approximans"
238,6418,208,56,"Brachyurophis approximans"
224,5824,214,55,"Brachyurophis approximans"
249,5482,242,80,"Brachyurophis approximans"
270,3484,247,91,"Brachyurophis approximans"
243,6385,269,70,"Brachyurophis approximans"
242,5879,263,72,"Brachyurophis approximans"
218,6383,252,48,"Brachyurophis approximans"
247,6277,285,68,"Brachyurophis approximans"
255,5345,293,81,"Brachyurophis approximans"
260,5645,298,85,"Brachyurophis approximans"
253,5224,262,81,"Brachyurophis approximans"
217,6305,218,45,"Brachyurophis approximans"
227,5744,238,60,"Brachyurophis approximans"
215,6176,250,42,"Brachyurophis approximans"
225,6435,255,43,"Brachyurophis approximans"
244,6336,237,66,"Brachyurophis approximans"
250,6370,266,70,"Brachyurophis approximans"
253,5212,332,99,"Brachyurophis approximans"
274,4475,301,102,"Brachyurophis approximans"
268,4309,291,90,"Brachyurophis approximans"
260,5736,273,79,"Brachyurophis approximans"
239,5226,357,90,"Brachyurophis approximans"
257,5507,270,84,"Brachyurophis approximans"
242,5205,358,90,"Brachyurophis approximans"
243,6269,282,66,"Brachyurophis approximans"
235,5882,203,70,"Brachyurophis approximans"
265,4875,355,89,"Brachyurophis approximans"
243,5935,239,70,"Brachyurophis approximans"
268,5232,222,83,"Brachyurophis approximans"
230,6318,219,51,"Brachyurophis approximans"
216,6282,248,49,"Brachyurophis approximans"
262,5819,275,82,"Brachyurophis approximans"
239,6349,269,65,"Brachyurophis approximans"
259,5854,226,77,"Brachyurophis approximans"
262,4572,373,106,"Brachyurophis approximans"
240,5595,349,87,"Brachyurophis approximans"
254,6253,237,73,"Brachyurophis approximans"
236,6121,213,60,"Brachyurophis approximans"
224,6423,224,40,"Brachyurophis approximans"
249,6298,263,72,"Brachyurophis approximans"
269,4847,336,100,"Brachyurophis approximans"
245,6250,249,73,"Brachyurophis approximans"
267,5070,330,89,"Brachyurophis approximans"
253,6070,252,75,"Brachyurophis approximans"
247,5409,247,79,"Brachyurophis approximans"
272,3761,311,98,"Brachyurophis approximans"
259,5289,281,82,"Brachyurophis approximans"
252,5286,269,81,"Brachyurophis approximans"
273,4504,318,100,"Brachyurophis approximans"
253,5029,444,96,"Brachyurophis approximans"
246,5940,241,78,"Brachyurophis approximans"
242,5900,244,74,"Brachyurophis approximans"
