"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
175,5582,305,13,"Brachyurophis australis"
203,4771,619,41,"Brachyurophis australis"
176,5593,290,14,"Brachyurophis australis"
150,4112,1246,44,"Brachyurophis australis"
234,3416,568,84,"Brachyurophis australis"
178,4316,711,37,"Brachyurophis australis"
183,5511,242,23,"Brachyurophis australis"
194,6065,432,21,"Brachyurophis australis"
173,5327,222,13,"Brachyurophis australis"
187,6037,429,22,"Brachyurophis australis"
204,5148,587,39,"Brachyurophis australis"
161,5287,676,21,"Brachyurophis australis"
182,5629,271,10,"Brachyurophis australis"
204,6274,228,23,"Brachyurophis australis"
202,4591,621,42,"Brachyurophis australis"
178,5456,274,14,"Brachyurophis australis"
180,5901,288,9,"Brachyurophis australis"
209,6294,326,25,"Brachyurophis australis"
202,5008,631,45,"Brachyurophis australis"
233,3633,611,87,"Brachyurophis australis"
212,6074,404,35,"Brachyurophis australis"
202,5916,483,32,"Brachyurophis australis"
170,5355,311,13,"Brachyurophis australis"
187,6136,321,13,"Brachyurophis australis"
213,6074,403,37,"Brachyurophis australis"
183,5881,281,10,"Brachyurophis australis"
182,5772,268,13,"Brachyurophis australis"
168,5446,216,14,"Brachyurophis australis"
168,5525,608,19,"Brachyurophis australis"
202,6179,335,20,"Brachyurophis australis"
206,6159,398,28,"Brachyurophis australis"
169,5309,726,30,"Brachyurophis australis"
184,5693,240,11,"Brachyurophis australis"
211,5927,488,33,"Brachyurophis australis"
205,6215,322,19,"Brachyurophis australis"
183,5368,596,26,"Brachyurophis australis"
189,3977,748,38,"Brachyurophis australis"
209,6225,352,29,"Brachyurophis australis"
205,5644,583,42,"Brachyurophis australis"
186,5599,622,28,"Brachyurophis australis"
186,5927,227,12,"Brachyurophis australis"
182,6002,357,9,"Brachyurophis australis"
207,6218,351,25,"Brachyurophis australis"
167,5194,329,17,"Brachyurophis australis"
183,5312,619,28,"Brachyurophis australis"
170,4912,631,31,"Brachyurophis australis"
179,5306,252,13,"Brachyurophis australis"
189,4617,616,34,"Brachyurophis australis"
