"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
187,3521,1139,34,"Calyptotis ruficauda"
186,3566,1135,35,"Calyptotis ruficauda"
186,3578,1479,49,"Calyptotis ruficauda"
184,3799,983,40,"Calyptotis ruficauda"
179,3813,1086,45,"Calyptotis ruficauda"
194,3140,1431,33,"Calyptotis ruficauda"
181,3462,1443,38,"Calyptotis ruficauda"
180,3311,1562,35,"Calyptotis ruficauda"
179,3580,1306,27,"Calyptotis ruficauda"
190,3636,1166,42,"Calyptotis ruficauda"
167,3461,1732,38,"Calyptotis ruficauda"
185,3866,977,45,"Calyptotis ruficauda"
182,3701,1137,48,"Calyptotis ruficauda"
172,3882,1133,50,"Calyptotis ruficauda"
151,3530,2031,46,"Calyptotis ruficauda"
178,3718,1177,47,"Calyptotis ruficauda"
192,3200,1434,32,"Calyptotis ruficauda"
177,3633,1644,47,"Calyptotis ruficauda"
168,3571,1623,36,"Calyptotis ruficauda"
188,3502,1182,38,"Calyptotis ruficauda"
175,3660,1252,44,"Calyptotis ruficauda"
173,3655,1595,45,"Calyptotis ruficauda"
191,3191,1459,35,"Calyptotis ruficauda"
185,3482,1336,31,"Calyptotis ruficauda"
196,3288,1454,39,"Calyptotis ruficauda"
189,3374,1487,44,"Calyptotis ruficauda"
184,3585,1240,49,"Calyptotis ruficauda"
184,3655,1153,39,"Calyptotis ruficauda"
183,3681,1118,39,"Calyptotis ruficauda"
188,3410,1353,38,"Calyptotis ruficauda"
173,3602,1502,39,"Calyptotis ruficauda"
192,3251,1350,35,"Calyptotis ruficauda"
175,3676,1049,35,"Calyptotis ruficauda"
140,3824,1547,42,"Calyptotis ruficauda"
184,3398,1698,37,"Calyptotis ruficauda"
151,3704,1349,34,"Calyptotis ruficauda"
191,3257,1408,37,"Calyptotis ruficauda"
186,3422,1417,43,"Calyptotis ruficauda"
176,3582,1570,47,"Calyptotis ruficauda"
191,3208,1438,34,"Calyptotis ruficauda"
167,3805,1270,49,"Calyptotis ruficauda"
181,3699,1154,37,"Calyptotis ruficauda"
186,3299,1410,24,"Calyptotis ruficauda"
174,3590,1361,33,"Calyptotis ruficauda"
179,3482,1465,40,"Calyptotis ruficauda"
177,3638,1445,37,"Calyptotis ruficauda"
189,3273,1476,36,"Calyptotis ruficauda"
180,3766,1049,43,"Calyptotis ruficauda"
155,3845,1064,38,"Calyptotis ruficauda"
191,3404,1439,44,"Calyptotis ruficauda"
182,3309,1566,39,"Calyptotis ruficauda"
187,3437,1307,42,"Calyptotis ruficauda"
142,3711,1638,40,"Calyptotis ruficauda"
193,3468,1102,33,"Calyptotis ruficauda"
179,3805,1134,37,"Calyptotis ruficauda"
184,3349,1492,40,"Calyptotis ruficauda"
179,3521,1250,42,"Calyptotis ruficauda"
182,3558,1257,51,"Calyptotis ruficauda"
185,3604,1175,41,"Calyptotis ruficauda"
185,3577,1201,39,"Calyptotis ruficauda"
192,3336,1223,37,"Calyptotis ruficauda"
191,3523,1254,39,"Calyptotis ruficauda"
191,3319,1309,40,"Calyptotis ruficauda"
188,3374,1286,31,"Calyptotis ruficauda"
182,3483,1280,31,"Calyptotis ruficauda"
191,3350,1276,37,"Calyptotis ruficauda"
185,3412,1342,34,"Calyptotis ruficauda"
168,3617,1272,50,"Calyptotis ruficauda"
186,3470,1309,34,"Calyptotis ruficauda"
188,3462,1330,39,"Calyptotis ruficauda"
193,3640,1052,39,"Calyptotis ruficauda"
169,3700,1632,42,"Calyptotis ruficauda"
187,3447,1521,45,"Calyptotis ruficauda"
185,3417,1285,27,"Calyptotis ruficauda"
186,3435,1314,38,"Calyptotis ruficauda"
178,3567,1317,34,"Calyptotis ruficauda"
187,3438,1118,27,"Calyptotis ruficauda"
190,3200,1536,32,"Calyptotis ruficauda"
190,3473,1189,35,"Calyptotis ruficauda"
192,3358,1461,41,"Calyptotis ruficauda"
186,3515,1243,40,"Calyptotis ruficauda"
189,3493,1121,44,"Calyptotis ruficauda"
118,3738,1636,42,"Calyptotis ruficauda"
188,3421,1206,28,"Calyptotis ruficauda"
187,3493,1568,38,"Calyptotis ruficauda"
173,3747,1148,46,"Calyptotis ruficauda"
160,3716,1469,44,"Calyptotis ruficauda"
190,3338,1299,34,"Calyptotis ruficauda"
193,3580,1146,41,"Calyptotis ruficauda"
159,3794,1232,41,"Calyptotis ruficauda"
163,3430,2091,42,"Calyptotis ruficauda"
183,3708,1235,45,"Calyptotis ruficauda"
179,3491,1506,42,"Calyptotis ruficauda"
173,3762,1341,47,"Calyptotis ruficauda"
149,3736,1217,49,"Calyptotis ruficauda"
184,3667,1200,49,"Calyptotis ruficauda"
177,3643,1268,38,"Calyptotis ruficauda"
149,3762,1398,50,"Calyptotis ruficauda"
181,3606,1125,33,"Calyptotis ruficauda"
149,3663,1731,41,"Calyptotis ruficauda"
160,3706,1251,44,"Calyptotis ruficauda"
184,3495,1225,46,"Calyptotis ruficauda"
195,3374,1292,40,"Calyptotis ruficauda"
161,3835,1386,43,"Calyptotis ruficauda"
193,3144,1485,32,"Calyptotis ruficauda"
153,3750,1235,37,"Calyptotis ruficauda"
143,3620,1806,33,"Calyptotis ruficauda"
185,3535,1179,40,"Calyptotis ruficauda"
191,3474,1177,33,"Calyptotis ruficauda"
153,3614,1638,48,"Calyptotis ruficauda"
187,3749,1169,48,"Calyptotis ruficauda"
187,3358,1264,34,"Calyptotis ruficauda"
169,3772,1169,50,"Calyptotis ruficauda"
192,3157,1542,34,"Calyptotis ruficauda"
189,3487,1527,43,"Calyptotis ruficauda"
185,3434,1515,36,"Calyptotis ruficauda"
191,3696,1060,41,"Calyptotis ruficauda"
173,3536,1497,41,"Calyptotis ruficauda"
173,3651,1489,39,"Calyptotis ruficauda"
187,3325,1411,40,"Calyptotis ruficauda"
176,3662,1351,51,"Calyptotis ruficauda"
154,3841,1329,47,"Calyptotis ruficauda"
171,3573,1738,40,"Calyptotis ruficauda"
185,3506,1474,45,"Calyptotis ruficauda"
190,3290,1339,33,"Calyptotis ruficauda"
191,3238,1316,34,"Calyptotis ruficauda"
163,3745,1560,40,"Calyptotis ruficauda"
119,3787,1730,43,"Calyptotis ruficauda"
187,3420,1542,41,"Calyptotis ruficauda"
187,3521,1608,50,"Calyptotis ruficauda"
191,3265,1311,38,"Calyptotis ruficauda"
177,3794,1037,44,"Calyptotis ruficauda"
187,3509,1260,40,"Calyptotis ruficauda"
176,3624,1274,51,"Calyptotis ruficauda"
150,3641,1466,39,"Calyptotis ruficauda"
190,3272,1297,32,"Calyptotis ruficauda"
160,3659,1191,30,"Calyptotis ruficauda"
163,3715,1648,47,"Calyptotis ruficauda"
147,3608,1614,37,"Calyptotis ruficauda"
166,3861,1261,47,"Calyptotis ruficauda"
145,3768,1721,41,"Calyptotis ruficauda"
154,3671,1668,42,"Calyptotis ruficauda"
186,3464,1298,45,"Calyptotis ruficauda"
172,3718,1216,51,"Calyptotis ruficauda"
179,3690,1331,37,"Calyptotis ruficauda"
155,3857,1197,45,"Calyptotis ruficauda"
152,3779,1700,41,"Calyptotis ruficauda"
158,3765,1356,46,"Calyptotis ruficauda"
188,3564,1287,49,"Calyptotis ruficauda"
178,3468,1530,40,"Calyptotis ruficauda"
143,3832,1431,46,"Calyptotis ruficauda"
190,3513,1292,34,"Calyptotis ruficauda"
190,3369,1259,42,"Calyptotis ruficauda"
189,3280,1406,36,"Calyptotis ruficauda"
185,3418,1246,38,"Calyptotis ruficauda"
186,3428,1466,37,"Calyptotis ruficauda"
196,3315,1392,39,"Calyptotis ruficauda"
191,3400,1450,44,"Calyptotis ruficauda"
150,3599,1549,37,"Calyptotis ruficauda"
144,3691,1748,44,"Calyptotis ruficauda"
191,3671,1156,38,"Calyptotis ruficauda"
192,3353,1188,36,"Calyptotis ruficauda"
189,3383,1246,36,"Calyptotis ruficauda"
152,3585,1633,48,"Calyptotis ruficauda"
189,3356,1354,34,"Calyptotis ruficauda"
183,3280,1484,25,"Calyptotis ruficauda"
183,3374,1395,25,"Calyptotis ruficauda"
156,3553,1679,42,"Calyptotis ruficauda"
172,3835,1155,48,"Calyptotis ruficauda"
192,3291,1284,36,"Calyptotis ruficauda"
187,3480,1126,32,"Calyptotis ruficauda"
182,3808,1007,44,"Calyptotis ruficauda"
173,3804,1335,52,"Calyptotis ruficauda"
173,3662,1185,50,"Calyptotis ruficauda"
176,3770,1054,34,"Calyptotis ruficauda"
179,3565,1447,45,"Calyptotis ruficauda"
193,3404,1480,44,"Calyptotis ruficauda"
181,3766,1166,43,"Calyptotis ruficauda"
186,3449,1269,41,"Calyptotis ruficauda"
166,3600,1493,36,"Calyptotis ruficauda"
176,3548,1314,51,"Calyptotis ruficauda"
189,3490,1330,44,"Calyptotis ruficauda"
181,3719,1078,46,"Calyptotis ruficauda"
188,3444,1188,31,"Calyptotis ruficauda"
187,3344,1297,24,"Calyptotis ruficauda"
185,3421,1444,42,"Calyptotis ruficauda"
182,3668,1083,39,"Calyptotis ruficauda"
187,3519,1242,30,"Calyptotis ruficauda"
155,3845,1270,50,"Calyptotis ruficauda"
192,3257,1382,38,"Calyptotis ruficauda"
190,3578,1166,37,"Calyptotis ruficauda"
126,3748,1810,46,"Calyptotis ruficauda"
194,3117,1420,33,"Calyptotis ruficauda"
180,3550,1150,42,"Calyptotis ruficauda"
182,3615,1385,45,"Calyptotis ruficauda"
186,3436,1328,44,"Calyptotis ruficauda"
153,3546,1736,39,"Calyptotis ruficauda"
189,3359,1665,44,"Calyptotis ruficauda"
180,3731,1177,50,"Calyptotis ruficauda"
196,3343,1289,38,"Calyptotis ruficauda"
186,3388,1362,40,"Calyptotis ruficauda"
150,3582,1620,35,"Calyptotis ruficauda"
146,3840,1368,50,"Calyptotis ruficauda"
180,3598,1557,48,"Calyptotis ruficauda"
188,3435,1254,43,"Calyptotis ruficauda"
182,3389,1944,44,"Calyptotis ruficauda"
176,3832,1214,44,"Calyptotis ruficauda"
192,3247,1326,33,"Calyptotis ruficauda"
190,3333,1382,41,"Calyptotis ruficauda"
192,3367,1444,45,"Calyptotis ruficauda"
172,3612,1306,28,"Calyptotis ruficauda"
155,3831,1290,43,"Calyptotis ruficauda"
187,3771,1108,44,"Calyptotis ruficauda"
183,3641,1163,39,"Calyptotis ruficauda"
192,3277,1296,35,"Calyptotis ruficauda"
190,3763,1077,40,"Calyptotis ruficauda"
195,3544,1103,37,"Calyptotis ruficauda"
187,3339,1399,25,"Calyptotis ruficauda"
189,3332,1356,36,"Calyptotis ruficauda"
162,3792,1140,56,"Calyptotis ruficauda"
182,3411,1317,32,"Calyptotis ruficauda"
189,3296,1377,35,"Calyptotis ruficauda"
162,3599,1443,36,"Calyptotis ruficauda"
192,3267,1361,36,"Calyptotis ruficauda"
174,3396,1837,39,"Calyptotis ruficauda"
182,3495,1373,37,"Calyptotis ruficauda"
189,3801,1126,48,"Calyptotis ruficauda"
180,3487,1575,47,"Calyptotis ruficauda"
194,3343,1525,43,"Calyptotis ruficauda"
158,3495,1889,48,"Calyptotis ruficauda"
181,3525,1391,43,"Calyptotis ruficauda"
164,3733,1322,44,"Calyptotis ruficauda"
186,3427,1234,28,"Calyptotis ruficauda"
192,3228,1330,34,"Calyptotis ruficauda"
174,3689,1397,50,"Calyptotis ruficauda"
170,3805,1233,51,"Calyptotis ruficauda"
188,3373,1211,38,"Calyptotis ruficauda"
191,3341,1219,37,"Calyptotis ruficauda"
186,3459,1217,43,"Calyptotis ruficauda"
186,3379,1479,37,"Calyptotis ruficauda"
174,3782,1202,48,"Calyptotis ruficauda"
183,3603,1332,44,"Calyptotis ruficauda"
179,3505,1403,38,"Calyptotis ruficauda"
183,3556,1314,46,"Calyptotis ruficauda"
178,3775,1170,32,"Calyptotis ruficauda"
182,3615,1256,38,"Calyptotis ruficauda"
171,3652,1715,47,"Calyptotis ruficauda"
181,3571,1272,34,"Calyptotis ruficauda"
165,3725,1493,47,"Calyptotis ruficauda"
189,3369,1263,38,"Calyptotis ruficauda"
189,3223,1562,37,"Calyptotis ruficauda"
192,3711,1118,45,"Calyptotis ruficauda"
176,3719,1145,38,"Calyptotis ruficauda"
150,3641,1781,49,"Calyptotis ruficauda"
186,3590,1286,42,"Calyptotis ruficauda"
157,3607,1598,43,"Calyptotis ruficauda"
179,3551,1421,46,"Calyptotis ruficauda"
183,3556,1278,38,"Calyptotis ruficauda"
167,3578,1575,47,"Calyptotis ruficauda"
181,3671,1078,40,"Calyptotis ruficauda"
191,3739,1078,45,"Calyptotis ruficauda"
179,3529,1305,34,"Calyptotis ruficauda"
181,3419,1386,38,"Calyptotis ruficauda"
167,3708,1496,45,"Calyptotis ruficauda"
192,3329,1627,45,"Calyptotis ruficauda"
193,3215,1342,33,"Calyptotis ruficauda"
189,3403,1308,37,"Calyptotis ruficauda"
