"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
188,3855,759,42,"Calyptotis scutirostrum"
210,4024,629,44,"Calyptotis scutirostrum"
175,3474,1001,54,"Calyptotis scutirostrum"
152,4308,770,40,"Calyptotis scutirostrum"
234,3205,895,64,"Calyptotis scutirostrum"
230,4006,595,49,"Calyptotis scutirostrum"
200,4325,620,40,"Calyptotis scutirostrum"
186,4299,700,42,"Calyptotis scutirostrum"
197,4437,631,42,"Calyptotis scutirostrum"
226,3554,746,67,"Calyptotis scutirostrum"
220,3402,953,50,"Calyptotis scutirostrum"
228,3867,640,55,"Calyptotis scutirostrum"
208,4255,624,44,"Calyptotis scutirostrum"
190,3517,987,59,"Calyptotis scutirostrum"
221,3559,640,67,"Calyptotis scutirostrum"
192,4524,633,40,"Calyptotis scutirostrum"
194,3626,1066,40,"Calyptotis scutirostrum"
239,3073,1794,85,"Calyptotis scutirostrum"
180,4061,1218,56,"Calyptotis scutirostrum"
158,4200,808,38,"Calyptotis scutirostrum"
169,4050,925,35,"Calyptotis scutirostrum"
218,3416,1018,48,"Calyptotis scutirostrum"
171,3986,1028,44,"Calyptotis scutirostrum"
212,3622,947,48,"Calyptotis scutirostrum"
231,3888,623,59,"Calyptotis scutirostrum"
203,3757,686,49,"Calyptotis scutirostrum"
187,4009,1055,46,"Calyptotis scutirostrum"
229,3859,572,56,"Calyptotis scutirostrum"
155,4127,1071,34,"Calyptotis scutirostrum"
140,4146,953,42,"Calyptotis scutirostrum"
206,4399,613,41,"Calyptotis scutirostrum"
184,4054,756,41,"Calyptotis scutirostrum"
195,4516,641,41,"Calyptotis scutirostrum"
183,4435,705,36,"Calyptotis scutirostrum"
223,3270,1001,53,"Calyptotis scutirostrum"
219,3452,940,52,"Calyptotis scutirostrum"
238,3065,1536,82,"Calyptotis scutirostrum"
193,3206,1424,78,"Calyptotis scutirostrum"
223,3845,642,53,"Calyptotis scutirostrum"
232,3358,992,62,"Calyptotis scutirostrum"
201,3980,858,48,"Calyptotis scutirostrum"
204,3788,708,45,"Calyptotis scutirostrum"
191,4362,649,40,"Calyptotis scutirostrum"
231,3181,1691,83,"Calyptotis scutirostrum"
176,4073,798,38,"Calyptotis scutirostrum"
180,4283,780,45,"Calyptotis scutirostrum"
201,3282,1351,76,"Calyptotis scutirostrum"
171,4037,886,35,"Calyptotis scutirostrum"
222,2731,1258,35,"Calyptotis scutirostrum"
215,3650,906,48,"Calyptotis scutirostrum"
230,3818,645,62,"Calyptotis scutirostrum"
200,4159,672,42,"Calyptotis scutirostrum"
200,3712,1150,53,"Calyptotis scutirostrum"
222,3340,1093,62,"Calyptotis scutirostrum"
213,3691,885,50,"Calyptotis scutirostrum"
235,3240,992,67,"Calyptotis scutirostrum"
166,4071,747,36,"Calyptotis scutirostrum"
218,3495,939,68,"Calyptotis scutirostrum"
209,3551,1058,70,"Calyptotis scutirostrum"
218,3561,810,60,"Calyptotis scutirostrum"
201,4544,646,41,"Calyptotis scutirostrum"
204,3434,1142,51,"Calyptotis scutirostrum"
179,4036,922,43,"Calyptotis scutirostrum"
224,3487,853,75,"Calyptotis scutirostrum"
194,3998,746,46,"Calyptotis scutirostrum"
226,3471,857,72,"Calyptotis scutirostrum"
228,3646,656,61,"Calyptotis scutirostrum"
228,3615,1065,73,"Calyptotis scutirostrum"
183,3878,1152,48,"Calyptotis scutirostrum"
199,4553,634,42,"Calyptotis scutirostrum"
179,3954,1091,46,"Calyptotis scutirostrum"
227,3577,919,62,"Calyptotis scutirostrum"
201,3639,925,41,"Calyptotis scutirostrum"
160,4215,850,41,"Calyptotis scutirostrum"
230,3877,712,67,"Calyptotis scutirostrum"
216,3465,1064,49,"Calyptotis scutirostrum"
198,4552,626,41,"Calyptotis scutirostrum"
219,3198,906,83,"Calyptotis scutirostrum"
225,3879,654,53,"Calyptotis scutirostrum"
222,3565,917,67,"Calyptotis scutirostrum"
185,4043,874,40,"Calyptotis scutirostrum"
203,3658,1262,48,"Calyptotis scutirostrum"
230,3867,624,60,"Calyptotis scutirostrum"
176,4148,852,44,"Calyptotis scutirostrum"
231,3836,657,63,"Calyptotis scutirostrum"
230,4044,636,50,"Calyptotis scutirostrum"
225,3707,994,65,"Calyptotis scutirostrum"
199,4091,708,46,"Calyptotis scutirostrum"
203,4165,620,45,"Calyptotis scutirostrum"
201,3139,1750,43,"Calyptotis scutirostrum"
222,3468,892,71,"Calyptotis scutirostrum"
210,3318,860,76,"Calyptotis scutirostrum"
203,3776,806,40,"Calyptotis scutirostrum"
211,3433,1569,43,"Calyptotis scutirostrum"
193,4480,645,40,"Calyptotis scutirostrum"
224,3873,605,50,"Calyptotis scutirostrum"
224,3106,1115,51,"Calyptotis scutirostrum"
198,4431,636,41,"Calyptotis scutirostrum"
142,4184,993,39,"Calyptotis scutirostrum"
196,3964,991,44,"Calyptotis scutirostrum"
231,3328,568,82,"Calyptotis scutirostrum"
200,3690,741,48,"Calyptotis scutirostrum"
215,3976,668,55,"Calyptotis scutirostrum"
207,4170,703,46,"Calyptotis scutirostrum"
196,4556,644,41,"Calyptotis scutirostrum"
204,3573,730,53,"Calyptotis scutirostrum"
197,3638,857,55,"Calyptotis scutirostrum"
170,4199,758,40,"Calyptotis scutirostrum"
163,4356,788,33,"Calyptotis scutirostrum"
224,3715,687,62,"Calyptotis scutirostrum"
178,4175,731,37,"Calyptotis scutirostrum"
187,3944,903,42,"Calyptotis scutirostrum"
218,3271,1506,82,"Calyptotis scutirostrum"
199,4199,747,47,"Calyptotis scutirostrum"
199,3654,770,51,"Calyptotis scutirostrum"
214,3346,972,78,"Calyptotis scutirostrum"
198,3912,968,43,"Calyptotis scutirostrum"
220,3356,1015,48,"Calyptotis scutirostrum"
184,3749,1092,38,"Calyptotis scutirostrum"
180,4118,862,42,"Calyptotis scutirostrum"
175,4059,1181,57,"Calyptotis scutirostrum"
186,4273,665,44,"Calyptotis scutirostrum"
201,4102,640,43,"Calyptotis scutirostrum"
231,3503,798,62,"Calyptotis scutirostrum"
153,4126,1098,43,"Calyptotis scutirostrum"
172,4130,807,34,"Calyptotis scutirostrum"
194,3588,959,51,"Calyptotis scutirostrum"
204,3579,1330,45,"Calyptotis scutirostrum"
234,3403,817,61,"Calyptotis scutirostrum"
