"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
228,3797,809,60,"Calyptotis temporalis"
219,3414,1059,59,"Calyptotis temporalis"
216,3371,1165,78,"Calyptotis temporalis"
202,3588,855,64,"Calyptotis temporalis"
230,3825,573,58,"Calyptotis temporalis"
231,3404,855,61,"Calyptotis temporalis"
223,3335,780,58,"Calyptotis temporalis"
231,3538,875,63,"Calyptotis temporalis"
227,3711,844,65,"Calyptotis temporalis"
231,3555,829,63,"Calyptotis temporalis"
205,3504,1030,63,"Calyptotis temporalis"
229,3808,788,57,"Calyptotis temporalis"
198,3528,983,57,"Calyptotis temporalis"
228,3141,913,56,"Calyptotis temporalis"
225,3818,811,56,"Calyptotis temporalis"
225,3804,629,53,"Calyptotis temporalis"
231,3418,843,61,"Calyptotis temporalis"
233,3413,907,62,"Calyptotis temporalis"
207,3562,731,56,"Calyptotis temporalis"
236,3520,816,67,"Calyptotis temporalis"
230,3131,1140,65,"Calyptotis temporalis"
223,3801,746,52,"Calyptotis temporalis"
208,3609,823,53,"Calyptotis temporalis"
220,3512,839,74,"Calyptotis temporalis"
232,3329,885,61,"Calyptotis temporalis"
218,3107,1556,60,"Calyptotis temporalis"
224,3316,1165,83,"Calyptotis temporalis"
232,3240,1034,60,"Calyptotis temporalis"
227,3139,1046,64,"Calyptotis temporalis"
197,3578,806,56,"Calyptotis temporalis"
230,3272,885,59,"Calyptotis temporalis"
237,3094,1662,85,"Calyptotis temporalis"
221,3293,1193,62,"Calyptotis temporalis"
226,3788,580,54,"Calyptotis temporalis"
217,3133,1084,53,"Calyptotis temporalis"
215,3626,830,62,"Calyptotis temporalis"
233,3452,875,62,"Calyptotis temporalis"
231,3622,816,62,"Calyptotis temporalis"
222,3696,870,65,"Calyptotis temporalis"
233,3154,965,64,"Calyptotis temporalis"
209,3299,1023,61,"Calyptotis temporalis"
230,3289,1627,84,"Calyptotis temporalis"
231,3680,841,63,"Calyptotis temporalis"
234,3446,866,65,"Calyptotis temporalis"
216,3646,607,57,"Calyptotis temporalis"
230,3805,646,60,"Calyptotis temporalis"
209,3629,846,61,"Calyptotis temporalis"
232,3540,811,63,"Calyptotis temporalis"
223,3450,787,74,"Calyptotis temporalis"
222,3247,1036,60,"Calyptotis temporalis"
217,3682,980,64,"Calyptotis temporalis"
231,3864,664,58,"Calyptotis temporalis"
219,3669,655,64,"Calyptotis temporalis"
226,3163,1012,56,"Calyptotis temporalis"
218,3652,690,67,"Calyptotis temporalis"
231,3897,590,56,"Calyptotis temporalis"
227,3694,651,66,"Calyptotis temporalis"
230,3840,575,57,"Calyptotis temporalis"
213,3656,832,56,"Calyptotis temporalis"
220,3530,985,63,"Calyptotis temporalis"
234,3668,865,67,"Calyptotis temporalis"
214,3489,932,53,"Calyptotis temporalis"
226,3082,1058,56,"Calyptotis temporalis"
236,3295,884,67,"Calyptotis temporalis"
232,3740,682,59,"Calyptotis temporalis"
236,3169,1567,83,"Calyptotis temporalis"
236,3471,1034,72,"Calyptotis temporalis"
