"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
218,2118,1185,105,"Calyptotis thorntonensis"
226,1923,2555,88,"Calyptotis thorntonensis"
235,2175,1043,99,"Calyptotis thorntonensis"
230,2113,933,105,"Calyptotis thorntonensis"
222,2108,920,105,"Calyptotis thorntonensis"
230,2320,792,110,"Calyptotis thorntonensis"
218,2097,1248,109,"Calyptotis thorntonensis"
229,2049,1371,105,"Calyptotis thorntonensis"
240,2112,2550,87,"Calyptotis thorntonensis"
231,2191,1011,102,"Calyptotis thorntonensis"
228,2233,1285,101,"Calyptotis thorntonensis"
226,2207,930,108,"Calyptotis thorntonensis"
245,2080,2014,87,"Calyptotis thorntonensis"
245,2030,1294,99,"Calyptotis thorntonensis"
235,2286,896,107,"Calyptotis thorntonensis"
241,2017,1778,96,"Calyptotis thorntonensis"
205,2074,1388,97,"Calyptotis thorntonensis"
239,2062,2081,89,"Calyptotis thorntonensis"
226,2074,976,105,"Calyptotis thorntonensis"
230,2068,1138,106,"Calyptotis thorntonensis"
234,2306,836,111,"Calyptotis thorntonensis"
235,2258,801,111,"Calyptotis thorntonensis"
239,1993,3132,84,"Calyptotis thorntonensis"
233,2137,922,108,"Calyptotis thorntonensis"
236,2210,928,102,"Calyptotis thorntonensis"
235,2360,731,113,"Calyptotis thorntonensis"
233,2214,1096,99,"Calyptotis thorntonensis"
242,1999,1707,94,"Calyptotis thorntonensis"
228,2148,881,108,"Calyptotis thorntonensis"
228,2192,972,110,"Calyptotis thorntonensis"
234,2223,1033,99,"Calyptotis thorntonensis"
212,2057,1718,98,"Calyptotis thorntonensis"
222,1998,1756,100,"Calyptotis thorntonensis"
213,2021,1807,95,"Calyptotis thorntonensis"
236,2037,2047,94,"Calyptotis thorntonensis"
234,2268,936,101,"Calyptotis thorntonensis"
211,2128,1198,108,"Calyptotis thorntonensis"
238,2303,845,110,"Calyptotis thorntonensis"
241,2381,795,114,"Calyptotis thorntonensis"
214,2100,1346,103,"Calyptotis thorntonensis"
229,2051,1108,104,"Calyptotis thorntonensis"
230,2205,1058,97,"Calyptotis thorntonensis"
245,2087,2761,85,"Calyptotis thorntonensis"
239,2038,1517,97,"Calyptotis thorntonensis"
230,2194,753,111,"Calyptotis thorntonensis"
198,1979,1110,104,"Calyptotis thorntonensis"
205,2008,1867,97,"Calyptotis thorntonensis"
240,2350,747,112,"Calyptotis thorntonensis"
220,1913,2648,86,"Calyptotis thorntonensis"
236,2241,982,103,"Calyptotis thorntonensis"
221,2147,1000,106,"Calyptotis thorntonensis"
230,2165,808,111,"Calyptotis thorntonensis"
247,2039,1911,87,"Calyptotis thorntonensis"
