"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
246,3083,1523,93,"Carlia decora"
213,2790,2025,89,"Carlia decora"
211,2402,1371,85,"Carlia decora"
190,1963,2293,91,"Carlia decora"
204,2946,1743,95,"Carlia decora"
236,3183,1345,85,"Carlia decora"
204,2325,2677,63,"Carlia decora"
235,3164,743,87,"Carlia decora"
227,2178,1479,94,"Carlia decora"
241,3354,656,91,"Carlia decora"
239,3126,1606,85,"Carlia decora"
245,3151,789,92,"Carlia decora"
221,2423,1061,92,"Carlia decora"
246,3005,910,94,"Carlia decora"
220,2750,2610,82,"Carlia decora"
216,3104,1250,95,"Carlia decora"
246,3257,830,89,"Carlia decora"
223,3241,810,90,"Carlia decora"
243,2447,4134,61,"Carlia decora"
219,3178,753,86,"Carlia decora"
217,2978,1963,96,"Carlia decora"
193,2004,1904,93,"Carlia decora"
231,2876,2135,82,"Carlia decora"
236,3079,1750,85,"Carlia decora"
238,3001,1667,81,"Carlia decora"
222,2391,3000,65,"Carlia decora"
232,2901,1942,93,"Carlia decora"
228,3116,1435,96,"Carlia decora"
240,3152,722,86,"Carlia decora"
245,3265,741,88,"Carlia decora"
248,3079,1081,98,"Carlia decora"
208,3130,1080,83,"Carlia decora"
215,3260,1604,80,"Carlia decora"
245,2924,972,91,"Carlia decora"
236,3107,790,89,"Carlia decora"
240,3091,813,92,"Carlia decora"
241,2581,3610,71,"Carlia decora"
237,3078,1614,93,"Carlia decora"
235,3131,1766,85,"Carlia decora"
226,2235,1366,96,"Carlia decora"
210,2350,2884,70,"Carlia decora"
225,3318,1237,83,"Carlia decora"
245,3240,920,99,"Carlia decora"
245,3309,920,88,"Carlia decora"
214,3256,1633,80,"Carlia decora"
237,3104,1465,83,"Carlia decora"
231,3322,1331,83,"Carlia decora"
225,3390,839,77,"Carlia decora"
211,2144,1265,98,"Carlia decora"
207,3078,1007,92,"Carlia decora"
210,2991,1645,93,"Carlia decora"
236,3238,1511,86,"Carlia decora"
240,3119,720,88,"Carlia decora"
223,2455,878,106,"Carlia decora"
220,2497,2837,62,"Carlia decora"
240,3113,1300,87,"Carlia decora"
239,3216,732,86,"Carlia decora"
225,3243,1059,84,"Carlia decora"
244,2986,861,91,"Carlia decora"
224,2357,2708,75,"Carlia decora"
227,3100,1396,97,"Carlia decora"
216,3113,951,90,"Carlia decora"
225,3269,798,85,"Carlia decora"
246,2940,878,93,"Carlia decora"
236,3056,1655,83,"Carlia decora"
243,2830,2302,91,"Carlia decora"
236,3047,916,89,"Carlia decora"
242,3078,1585,95,"Carlia decora"
244,3082,984,96,"Carlia decora"
219,3305,1489,82,"Carlia decora"
246,3099,862,97,"Carlia decora"
235,2920,1642,84,"Carlia decora"
244,2590,3229,76,"Carlia decora"
248,2902,1037,98,"Carlia decora"
228,3270,821,84,"Carlia decora"
220,3389,1182,77,"Carlia decora"
223,3217,801,85,"Carlia decora"
243,2957,1170,89,"Carlia decora"
230,3362,1172,79,"Carlia decora"
220,2274,1381,103,"Carlia decora"
208,2412,3378,63,"Carlia decora"
246,3287,906,92,"Carlia decora"
232,3384,1178,78,"Carlia decora"
197,2189,3575,68,"Carlia decora"
221,2359,839,108,"Carlia decora"
225,3235,819,92,"Carlia decora"
246,3066,998,96,"Carlia decora"
224,3268,1496,85,"Carlia decora"
224,3094,1073,89,"Carlia decora"
208,3104,1237,89,"Carlia decora"
230,2326,1176,101,"Carlia decora"
242,3051,814,90,"Carlia decora"
245,3259,950,96,"Carlia decora"
