"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
255,2226,1042,109,"Carlia johnstonei"
263,2323,1019,109,"Carlia johnstonei"
267,2212,1038,106,"Carlia johnstonei"
266,1823,1489,114,"Carlia johnstonei"
266,2387,921,111,"Carlia johnstonei"
272,1739,1184,114,"Carlia johnstonei"
259,2074,1187,116,"Carlia johnstonei"
257,1893,1345,123,"Carlia johnstonei"
272,1664,1556,119,"Carlia johnstonei"
266,2293,970,112,"Carlia johnstonei"
270,2259,1056,112,"Carlia johnstonei"
261,2216,1048,109,"Carlia johnstonei"
261,2205,1185,107,"Carlia johnstonei"
261,1954,1249,122,"Carlia johnstonei"
274,1896,1101,112,"Carlia johnstonei"
277,1768,1172,116,"Carlia johnstonei"
274,1930,1240,114,"Carlia johnstonei"
265,2030,1270,115,"Carlia johnstonei"
258,1881,1539,112,"Carlia johnstonei"
267,2273,848,110,"Carlia johnstonei"
270,1791,1088,110,"Carlia johnstonei"
272,1938,1031,109,"Carlia johnstonei"
277,1506,937,126,"Carlia johnstonei"
256,2125,1375,112,"Carlia johnstonei"
276,1598,1394,131,"Carlia johnstonei"
275,2107,1025,110,"Carlia johnstonei"
278,1694,1107,112,"Carlia johnstonei"
273,1637,1247,126,"Carlia johnstonei"
278,1479,1068,120,"Carlia johnstonei"
266,2136,1032,111,"Carlia johnstonei"
277,1643,1140,122,"Carlia johnstonei"
263,1948,1381,109,"Carlia johnstonei"
273,1643,1413,122,"Carlia johnstonei"
263,1847,1459,112,"Carlia johnstonei"
260,2139,1279,113,"Carlia johnstonei"
262,2257,1078,108,"Carlia johnstonei"
278,1603,1171,116,"Carlia johnstonei"
267,1927,1154,112,"Carlia johnstonei"
258,1803,1560,116,"Carlia johnstonei"
260,1873,1424,109,"Carlia johnstonei"
268,1676,1239,116,"Carlia johnstonei"
274,1619,1596,122,"Carlia johnstonei"
275,1847,992,110,"Carlia johnstonei"
275,1759,1157,110,"Carlia johnstonei"
275,1689,1236,121,"Carlia johnstonei"
262,1848,1496,110,"Carlia johnstonei"
277,1725,1165,125,"Carlia johnstonei"
266,1641,1712,119,"Carlia johnstonei"
269,2007,1088,114,"Carlia johnstonei"
259,1785,1611,111,"Carlia johnstonei"
264,1784,1562,114,"Carlia johnstonei"
261,2023,1283,108,"Carlia johnstonei"
278,1427,1477,125,"Carlia johnstonei"
274,1679,1334,125,"Carlia johnstonei"
263,2350,1049,110,"Carlia johnstonei"
256,2162,1266,112,"Carlia johnstonei"
270,1952,989,110,"Carlia johnstonei"
259,1843,1469,110,"Carlia johnstonei"
262,1696,1674,117,"Carlia johnstonei"
259,1836,1432,114,"Carlia johnstonei"
279,1688,1057,116,"Carlia johnstonei"
260,2173,1120,107,"Carlia johnstonei"
267,2015,1189,115,"Carlia johnstonei"
271,1922,983,112,"Carlia johnstonei"
258,2143,1335,114,"Carlia johnstonei"
276,1757,1373,117,"Carlia johnstonei"
277,1688,1526,119,"Carlia johnstonei"
261,1848,1346,123,"Carlia johnstonei"
275,2059,1150,114,"Carlia johnstonei"
256,1993,1417,116,"Carlia johnstonei"
267,1882,1404,114,"Carlia johnstonei"
274,1783,1289,117,"Carlia johnstonei"
260,2091,1278,108,"Carlia johnstonei"
275,1524,1460,122,"Carlia johnstonei"
267,2079,1207,118,"Carlia johnstonei"
262,1936,1074,122,"Carlia johnstonei"
263,2007,1229,107,"Carlia johnstonei"
267,2381,914,114,"Carlia johnstonei"
267,1732,1461,121,"Carlia johnstonei"
276,1474,1487,124,"Carlia johnstonei"
260,2282,1162,110,"Carlia johnstonei"
276,1725,1138,115,"Carlia johnstonei"
274,1791,1093,114,"Carlia johnstonei"
269,1819,1518,122,"Carlia johnstonei"
268,2335,936,112,"Carlia johnstonei"
269,1963,1070,113,"Carlia johnstonei"
263,1868,1522,112,"Carlia johnstonei"
271,1903,997,112,"Carlia johnstonei"
265,1683,1372,113,"Carlia johnstonei"
275,1667,1203,113,"Carlia johnstonei"
264,2149,1133,107,"Carlia johnstonei"
259,1890,1246,118,"Carlia johnstonei"
265,1808,1551,113,"Carlia johnstonei"
261,2080,1327,111,"Carlia johnstonei"
261,2002,1100,119,"Carlia johnstonei"
273,1815,1187,119,"Carlia johnstonei"
265,2189,1036,109,"Carlia johnstonei"
270,1936,952,108,"Carlia johnstonei"
277,1763,962,119,"Carlia johnstonei"
264,2222,1036,108,"Carlia johnstonei"
266,1726,1652,119,"Carlia johnstonei"
