"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,1646,1302,100,"Carlia longipes"
263,2080,1295,102,"Carlia longipes"
248,1344,1488,113,"Carlia longipes"
270,2235,1206,127,"Carlia longipes"
267,1628,1285,96,"Carlia longipes"
270,2277,1176,128,"Carlia longipes"
254,1800,1159,114,"Carlia longipes"
237,2122,954,111,"Carlia longipes"
249,1759,1238,106,"Carlia longipes"
271,1522,1419,107,"Carlia longipes"
262,1137,1558,98,"Carlia longipes"
262,2108,1118,115,"Carlia longipes"
264,1766,1373,124,"Carlia longipes"
261,1668,1487,92,"Carlia longipes"
269,2041,1224,123,"Carlia longipes"
270,2787,847,124,"Carlia longipes"
264,1929,1233,122,"Carlia longipes"
273,1523,1301,111,"Carlia longipes"
260,1084,1738,94,"Carlia longipes"
267,1039,1613,110,"Carlia longipes"
265,1342,1560,118,"Carlia longipes"
256,1695,1152,102,"Carlia longipes"
268,2168,1135,118,"Carlia longipes"
262,1829,1170,113,"Carlia longipes"
268,1695,1168,98,"Carlia longipes"
258,794,2057,52,"Carlia longipes"
210,2822,1487,85,"Carlia longipes"
260,1790,1112,110,"Carlia longipes"
271,3033,721,119,"Carlia longipes"
238,2498,3824,61,"Carlia longipes"
256,1860,1688,98,"Carlia longipes"
264,792,1560,69,"Carlia longipes"
260,682,1929,57,"Carlia longipes"
260,808,1732,51,"Carlia longipes"
269,2066,1176,122,"Carlia longipes"
266,2946,944,120,"Carlia longipes"
270,2810,839,124,"Carlia longipes"
268,1767,1458,127,"Carlia longipes"
248,1807,1646,99,"Carlia longipes"
255,2015,1156,113,"Carlia longipes"
264,2094,1112,117,"Carlia longipes"
261,1838,1061,112,"Carlia longipes"
269,1823,1402,127,"Carlia longipes"
269,2388,1119,129,"Carlia longipes"
272,3281,652,118,"Carlia longipes"
239,2165,950,112,"Carlia longipes"
265,1779,1404,125,"Carlia longipes"
242,3117,1214,93,"Carlia longipes"
260,839,1835,57,"Carlia longipes"
263,860,1613,62,"Carlia longipes"
258,675,2204,46,"Carlia longipes"
259,1837,1145,121,"Carlia longipes"
265,1827,1383,125,"Carlia longipes"
225,2028,2209,91,"Carlia longipes"
258,1871,1101,111,"Carlia longipes"
262,1746,1121,112,"Carlia longipes"
252,1761,1234,113,"Carlia longipes"
269,2244,1136,120,"Carlia longipes"
265,2000,1128,119,"Carlia longipes"
240,2059,1190,114,"Carlia longipes"
270,3113,712,118,"Carlia longipes"
254,1814,1168,119,"Carlia longipes"
221,2444,876,107,"Carlia longipes"
268,1539,1607,123,"Carlia longipes"
261,844,1847,57,"Carlia longipes"
261,1088,1571,107,"Carlia longipes"
270,2265,1174,125,"Carlia longipes"
269,2608,942,124,"Carlia longipes"
270,2774,854,124,"Carlia longipes"
257,1754,1241,116,"Carlia longipes"
257,756,2086,50,"Carlia longipes"
253,1791,1243,103,"Carlia longipes"
256,2057,1031,113,"Carlia longipes"
269,3068,799,119,"Carlia longipes"
257,801,2148,51,"Carlia longipes"
265,1929,1285,125,"Carlia longipes"
228,2537,4121,69,"Carlia longipes"
272,3100,706,121,"Carlia longipes"
272,1589,1298,110,"Carlia longipes"
261,1891,1105,114,"Carlia longipes"
269,2252,1120,118,"Carlia longipes"
