"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
268,3923,546,107,"Carlia munda"
264,3010,801,119,"Carlia munda"
266,2800,811,108,"Carlia munda"
248,3059,1004,97,"Carlia munda"
254,2418,881,110,"Carlia munda"
266,3983,541,111,"Carlia munda"
272,4242,318,100,"Carlia munda"
268,2287,1077,116,"Carlia munda"
233,6106,323,72,"Carlia munda"
280,3399,620,129,"Carlia munda"
272,1326,1610,98,"Carlia munda"
254,3789,592,110,"Carlia munda"
270,4237,473,109,"Carlia munda"
281,3547,565,116,"Carlia munda"
259,5071,401,87,"Carlia munda"
271,4723,445,100,"Carlia munda"
255,5185,431,92,"Carlia munda"
226,6407,249,42,"Carlia munda"
281,2706,839,112,"Carlia munda"
272,1315,1570,97,"Carlia munda"
265,5223,364,90,"Carlia munda"
281,3140,770,109,"Carlia munda"
236,5841,310,77,"Carlia munda"
263,5458,228,82,"Carlia munda"
274,1469,1326,108,"Carlia munda"
217,6039,290,57,"Carlia munda"
258,3508,640,114,"Carlia munda"
265,2286,910,110,"Carlia munda"
264,4889,449,100,"Carlia munda"
237,3161,693,86,"Carlia munda"
260,5440,386,93,"Carlia munda"
269,2723,856,123,"Carlia munda"
268,3171,867,119,"Carlia munda"
264,2058,1337,100,"Carlia munda"
267,3476,611,118,"Carlia munda"
265,4479,431,107,"Carlia munda"
264,2482,945,118,"Carlia munda"
258,4563,483,112,"Carlia munda"
276,3252,762,116,"Carlia munda"
268,3164,746,113,"Carlia munda"
259,2517,826,115,"Carlia munda"
260,2565,825,111,"Carlia munda"
228,5945,260,60,"Carlia munda"
260,5175,421,94,"Carlia munda"
258,4933,425,98,"Carlia munda"
247,3154,881,94,"Carlia munda"
285,2640,845,112,"Carlia munda"
264,4303,427,107,"Carlia munda"
276,3653,572,113,"Carlia munda"
234,5691,320,62,"Carlia munda"
274,3536,399,109,"Carlia munda"
283,2414,974,116,"Carlia munda"
228,3860,553,58,"Carlia munda"
262,2833,886,117,"Carlia munda"
262,4317,462,113,"Carlia munda"
270,3278,637,114,"Carlia munda"
236,5701,288,62,"Carlia munda"
266,1600,1417,105,"Carlia munda"
269,3428,614,130,"Carlia munda"
