"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,3104,1653,84,"Carlia rhomboidalis"
245,2697,2618,79,"Carlia rhomboidalis"
244,2765,2356,82,"Carlia rhomboidalis"
202,2642,2253,70,"Carlia rhomboidalis"
234,1877,1687,98,"Carlia rhomboidalis"
224,3250,707,90,"Carlia rhomboidalis"
240,1925,1383,108,"Carlia rhomboidalis"
235,2695,2031,77,"Carlia rhomboidalis"
230,3437,686,85,"Carlia rhomboidalis"
243,3368,668,83,"Carlia rhomboidalis"
260,1738,1593,95,"Carlia rhomboidalis"
241,2951,1274,85,"Carlia rhomboidalis"
230,2185,1384,94,"Carlia rhomboidalis"
237,3520,638,82,"Carlia rhomboidalis"
236,3493,585,75,"Carlia rhomboidalis"
237,3140,1664,86,"Carlia rhomboidalis"
238,3149,663,85,"Carlia rhomboidalis"
226,3415,665,75,"Carlia rhomboidalis"
247,1795,2120,97,"Carlia rhomboidalis"
235,3465,629,81,"Carlia rhomboidalis"
238,2677,2903,85,"Carlia rhomboidalis"
226,3555,842,73,"Carlia rhomboidalis"
243,3380,732,90,"Carlia rhomboidalis"
234,3176,758,90,"Carlia rhomboidalis"
242,2543,3209,63,"Carlia rhomboidalis"
233,3267,739,82,"Carlia rhomboidalis"
226,2617,704,106,"Carlia rhomboidalis"
242,3009,1482,86,"Carlia rhomboidalis"
209,3265,1330,82,"Carlia rhomboidalis"
209,3295,1506,77,"Carlia rhomboidalis"
247,3220,887,93,"Carlia rhomboidalis"
235,3375,775,87,"Carlia rhomboidalis"
237,1942,1607,105,"Carlia rhomboidalis"
222,3068,1097,89,"Carlia rhomboidalis"
237,3377,592,80,"Carlia rhomboidalis"
236,3534,616,81,"Carlia rhomboidalis"
232,3608,1089,72,"Carlia rhomboidalis"
226,3305,627,90,"Carlia rhomboidalis"
236,3445,844,80,"Carlia rhomboidalis"
239,2427,734,114,"Carlia rhomboidalis"
215,3077,830,90,"Carlia rhomboidalis"
235,3500,570,81,"Carlia rhomboidalis"
241,2896,1110,91,"Carlia rhomboidalis"
222,2677,747,107,"Carlia rhomboidalis"
