"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
275,3010,674,125,"Carlia rufilatus"
278,1507,1689,105,"Carlia rufilatus"
288,2468,665,114,"Carlia rufilatus"
266,2540,961,114,"Carlia rufilatus"
277,1896,1360,114,"Carlia rufilatus"
276,1869,1259,106,"Carlia rufilatus"
262,2786,872,114,"Carlia rufilatus"
277,1648,1673,112,"Carlia rufilatus"
280,2425,878,113,"Carlia rufilatus"
276,2554,941,121,"Carlia rufilatus"
284,3266,612,124,"Carlia rufilatus"
277,1954,1243,112,"Carlia rufilatus"
272,1769,1125,109,"Carlia rufilatus"
287,2868,672,115,"Carlia rufilatus"
276,1947,1352,108,"Carlia rufilatus"
275,2675,962,122,"Carlia rufilatus"
268,1939,1338,122,"Carlia rufilatus"
256,2224,1063,114,"Carlia rufilatus"
275,1810,1319,106,"Carlia rufilatus"
259,1883,1294,114,"Carlia rufilatus"
277,1727,1081,122,"Carlia rufilatus"
285,2657,830,115,"Carlia rufilatus"
260,2294,1054,108,"Carlia rufilatus"
269,2013,1064,112,"Carlia rufilatus"
290,2642,675,111,"Carlia rufilatus"
271,2402,1126,114,"Carlia rufilatus"
279,1758,1478,107,"Carlia rufilatus"
255,2484,897,109,"Carlia rufilatus"
276,2025,760,122,"Carlia rufilatus"
286,2648,801,109,"Carlia rufilatus"
273,1806,1124,116,"Carlia rufilatus"
262,1876,1454,123,"Carlia rufilatus"
273,2554,1038,122,"Carlia rufilatus"
285,2538,831,116,"Carlia rufilatus"
277,1814,1352,124,"Carlia rufilatus"
276,1945,1304,106,"Carlia rufilatus"
272,2814,800,123,"Carlia rufilatus"
275,2603,762,111,"Carlia rufilatus"
263,2105,1210,108,"Carlia rufilatus"
278,2950,726,124,"Carlia rufilatus"
274,1823,1336,106,"Carlia rufilatus"
277,2725,824,119,"Carlia rufilatus"
285,2794,711,116,"Carlia rufilatus"
264,2187,1316,107,"Carlia rufilatus"
276,1952,1197,107,"Carlia rufilatus"
279,1875,1326,109,"Carlia rufilatus"
277,1964,1202,109,"Carlia rufilatus"
267,2442,877,128,"Carlia rufilatus"
264,2499,866,111,"Carlia rufilatus"
269,2757,768,108,"Carlia rufilatus"
275,1772,1204,117,"Carlia rufilatus"
278,2813,866,123,"Carlia rufilatus"
277,3156,689,126,"Carlia rufilatus"
286,2603,775,115,"Carlia rufilatus"
278,2117,1192,110,"Carlia rufilatus"
264,2301,1145,122,"Carlia rufilatus"
269,1816,1364,117,"Carlia rufilatus"
264,2029,1227,110,"Carlia rufilatus"
277,2951,736,123,"Carlia rufilatus"
269,2281,839,110,"Carlia rufilatus"
281,2594,941,115,"Carlia rufilatus"
258,2116,1375,111,"Carlia rufilatus"
278,1630,1712,107,"Carlia rufilatus"
268,2283,1018,113,"Carlia rufilatus"
280,1853,1344,107,"Carlia rufilatus"
264,2589,827,112,"Carlia rufilatus"
279,2878,727,106,"Carlia rufilatus"
283,2855,736,110,"Carlia rufilatus"
276,1925,1407,107,"Carlia rufilatus"
261,2284,923,114,"Carlia rufilatus"
270,2562,743,113,"Carlia rufilatus"
273,2353,854,125,"Carlia rufilatus"
278,2774,860,122,"Carlia rufilatus"
283,2968,749,126,"Carlia rufilatus"
274,1890,1283,102,"Carlia rufilatus"
280,2917,731,124,"Carlia rufilatus"
283,2979,729,129,"Carlia rufilatus"
281,2887,735,124,"Carlia rufilatus"
260,2011,1452,108,"Carlia rufilatus"
256,2096,1270,113,"Carlia rufilatus"
275,1694,1556,104,"Carlia rufilatus"
269,2307,1223,115,"Carlia rufilatus"
284,2737,849,112,"Carlia rufilatus"
255,2418,1052,112,"Carlia rufilatus"
274,2345,764,112,"Carlia rufilatus"
271,1974,1164,114,"Carlia rufilatus"
257,2240,980,114,"Carlia rufilatus"
282,2404,748,113,"Carlia rufilatus"
278,2628,715,123,"Carlia rufilatus"
275,1814,1375,111,"Carlia rufilatus"
272,2412,1066,117,"Carlia rufilatus"
284,2718,685,114,"Carlia rufilatus"
278,2718,842,111,"Carlia rufilatus"
264,2605,736,110,"Carlia rufilatus"
275,2533,704,123,"Carlia rufilatus"
265,2024,1283,113,"Carlia rufilatus"
274,2690,679,121,"Carlia rufilatus"
263,2405,1016,113,"Carlia rufilatus"
268,2338,943,112,"Carlia rufilatus"
279,2260,1139,113,"Carlia rufilatus"
252,2434,1006,111,"Carlia rufilatus"
284,3086,680,124,"Carlia rufilatus"
269,2051,938,119,"Carlia rufilatus"
278,1568,1717,105,"Carlia rufilatus"
284,3101,702,127,"Carlia rufilatus"
284,3313,591,128,"Carlia rufilatus"
253,2422,1065,117,"Carlia rufilatus"
279,2777,771,122,"Carlia rufilatus"
284,2700,800,113,"Carlia rufilatus"
270,2461,976,113,"Carlia rufilatus"
264,1966,1442,109,"Carlia rufilatus"
267,2616,789,116,"Carlia rufilatus"
282,3151,631,123,"Carlia rufilatus"
278,2664,946,126,"Carlia rufilatus"
253,2165,1258,119,"Carlia rufilatus"
279,2017,1234,112,"Carlia rufilatus"
261,2304,1016,111,"Carlia rufilatus"
275,1472,1424,130,"Carlia rufilatus"
273,1876,1404,107,"Carlia rufilatus"
269,2181,967,110,"Carlia rufilatus"
274,1894,1216,107,"Carlia rufilatus"
268,2104,985,115,"Carlia rufilatus"
277,1525,1724,103,"Carlia rufilatus"
265,2325,880,116,"Carlia rufilatus"
278,1978,1191,109,"Carlia rufilatus"
274,1865,1066,123,"Carlia rufilatus"
281,2175,1098,115,"Carlia rufilatus"
267,2489,834,111,"Carlia rufilatus"
277,2371,1029,121,"Carlia rufilatus"
278,2584,752,115,"Carlia rufilatus"
274,2732,739,117,"Carlia rufilatus"
279,3041,674,123,"Carlia rufilatus"
257,2485,876,115,"Carlia rufilatus"
272,2651,953,122,"Carlia rufilatus"
286,2982,679,111,"Carlia rufilatus"
268,2142,1065,108,"Carlia rufilatus"
272,2865,771,119,"Carlia rufilatus"
260,2223,1121,111,"Carlia rufilatus"
273,2683,863,110,"Carlia rufilatus"
261,2400,1012,110,"Carlia rufilatus"
273,2493,1055,118,"Carlia rufilatus"
274,2092,1060,108,"Carlia rufilatus"
278,1571,1687,105,"Carlia rufilatus"
263,2662,763,112,"Carlia rufilatus"
262,1868,1431,123,"Carlia rufilatus"
262,2224,1122,108,"Carlia rufilatus"
280,2822,777,124,"Carlia rufilatus"
278,1869,1319,109,"Carlia rufilatus"
275,1786,1122,121,"Carlia rufilatus"
283,3088,668,122,"Carlia rufilatus"
263,1958,1281,122,"Carlia rufilatus"
252,2476,1076,115,"Carlia rufilatus"
278,1613,1055,118,"Carlia rufilatus"
269,2520,785,115,"Carlia rufilatus"
277,1947,1366,112,"Carlia rufilatus"
277,1490,1817,107,"Carlia rufilatus"
267,2047,1171,105,"Carlia rufilatus"
284,2242,837,116,"Carlia rufilatus"
276,1923,1220,105,"Carlia rufilatus"
270,2244,864,109,"Carlia rufilatus"
283,2462,705,115,"Carlia rufilatus"
278,1563,1743,105,"Carlia rufilatus"
275,2464,803,119,"Carlia rufilatus"
276,2503,884,119,"Carlia rufilatus"
280,2034,794,109,"Carlia rufilatus"
262,2580,1086,115,"Carlia rufilatus"
277,2918,691,123,"Carlia rufilatus"
283,2678,891,112,"Carlia rufilatus"
285,2770,801,111,"Carlia rufilatus"
276,2273,1016,109,"Carlia rufilatus"
274,2299,1007,107,"Carlia rufilatus"
