"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,4351,695,65,"Carlia schmeltzii"
237,3084,1606,83,"Carlia schmeltzii"
200,3729,1135,46,"Carlia schmeltzii"
270,2719,894,125,"Carlia schmeltzii"
239,4094,624,82,"Carlia schmeltzii"
233,4527,579,68,"Carlia schmeltzii"
200,3582,830,49,"Carlia schmeltzii"
225,4235,672,50,"Carlia schmeltzii"
168,3825,1228,43,"Carlia schmeltzii"
211,3729,948,53,"Carlia schmeltzii"
248,2850,1057,99,"Carlia schmeltzii"
221,4439,629,61,"Carlia schmeltzii"
270,2033,1274,124,"Carlia schmeltzii"
230,4004,618,63,"Carlia schmeltzii"
234,4426,507,70,"Carlia schmeltzii"
223,4001,536,88,"Carlia schmeltzii"
214,3765,860,52,"Carlia schmeltzii"
231,3641,739,60,"Carlia schmeltzii"
222,2483,1008,104,"Carlia schmeltzii"
231,3431,650,76,"Carlia schmeltzii"
216,4511,523,56,"Carlia schmeltzii"
224,3268,749,79,"Carlia schmeltzii"
227,3464,752,96,"Carlia schmeltzii"
233,3530,637,73,"Carlia schmeltzii"
213,3732,760,90,"Carlia schmeltzii"
229,3819,726,62,"Carlia schmeltzii"
257,2061,1088,116,"Carlia schmeltzii"
214,2708,1304,96,"Carlia schmeltzii"
227,3520,564,93,"Carlia schmeltzii"
197,3829,856,37,"Carlia schmeltzii"
238,3902,568,69,"Carlia schmeltzii"
262,1761,1234,120,"Carlia schmeltzii"
269,2595,973,127,"Carlia schmeltzii"
202,3760,959,47,"Carlia schmeltzii"
253,2071,1127,114,"Carlia schmeltzii"
269,2585,993,127,"Carlia schmeltzii"
228,4036,756,85,"Carlia schmeltzii"
255,1986,929,113,"Carlia schmeltzii"
231,4050,605,57,"Carlia schmeltzii"
230,4389,514,66,"Carlia schmeltzii"
196,3272,1508,38,"Carlia schmeltzii"
227,4029,563,60,"Carlia schmeltzii"
237,4316,532,66,"Carlia schmeltzii"
240,4444,500,81,"Carlia schmeltzii"
269,2465,994,119,"Carlia schmeltzii"
215,3311,1048,59,"Carlia schmeltzii"
228,3625,689,95,"Carlia schmeltzii"
262,2292,932,115,"Carlia schmeltzii"
224,4438,653,61,"Carlia schmeltzii"
200,3952,828,49,"Carlia schmeltzii"
201,4031,782,48,"Carlia schmeltzii"
215,3558,924,49,"Carlia schmeltzii"
269,2729,884,125,"Carlia schmeltzii"
229,4270,619,51,"Carlia schmeltzii"
221,4014,699,62,"Carlia schmeltzii"
235,3594,663,83,"Carlia schmeltzii"
233,3685,555,73,"Carlia schmeltzii"
219,4562,622,53,"Carlia schmeltzii"
203,3997,615,41,"Carlia schmeltzii"
240,2806,814,112,"Carlia schmeltzii"
262,1825,1091,114,"Carlia schmeltzii"
228,4150,719,51,"Carlia schmeltzii"
227,4226,645,56,"Carlia schmeltzii"
215,3533,1087,50,"Carlia schmeltzii"
207,4499,789,53,"Carlia schmeltzii"
248,3000,855,118,"Carlia schmeltzii"
226,3506,773,61,"Carlia schmeltzii"
221,3498,792,77,"Carlia schmeltzii"
193,3336,1356,41,"Carlia schmeltzii"
240,4123,615,82,"Carlia schmeltzii"
227,3634,616,73,"Carlia schmeltzii"
243,1998,1114,109,"Carlia schmeltzii"
221,3784,690,90,"Carlia schmeltzii"
270,2448,1068,127,"Carlia schmeltzii"
221,3302,1042,48,"Carlia schmeltzii"
224,4469,637,55,"Carlia schmeltzii"
192,3334,1403,40,"Carlia schmeltzii"
