"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,1365,1758,116,"Carlia sexdentata"
257,1422,1383,103,"Carlia sexdentata"
265,1638,1417,99,"Carlia sexdentata"
227,1507,1520,115,"Carlia sexdentata"
265,1676,1368,120,"Carlia sexdentata"
269,2197,1120,105,"Carlia sexdentata"
254,1575,1209,117,"Carlia sexdentata"
273,1598,1260,110,"Carlia sexdentata"
253,1394,1476,109,"Carlia sexdentata"
255,1750,1112,116,"Carlia sexdentata"
270,1657,1533,124,"Carlia sexdentata"
258,1387,1344,112,"Carlia sexdentata"
260,1679,1369,114,"Carlia sexdentata"
269,2142,999,105,"Carlia sexdentata"
269,1169,1612,118,"Carlia sexdentata"
267,1708,1227,99,"Carlia sexdentata"
252,1789,1082,116,"Carlia sexdentata"
268,1841,1283,107,"Carlia sexdentata"
259,1177,1565,114,"Carlia sexdentata"
271,1632,1307,110,"Carlia sexdentata"
273,1573,1290,111,"Carlia sexdentata"
266,1663,1309,99,"Carlia sexdentata"
269,1430,1709,123,"Carlia sexdentata"
263,1515,1393,115,"Carlia sexdentata"
264,1449,1596,120,"Carlia sexdentata"
255,1366,1786,98,"Carlia sexdentata"
265,1743,1328,108,"Carlia sexdentata"
260,1542,1398,117,"Carlia sexdentata"
258,1489,1257,115,"Carlia sexdentata"
270,1488,1290,94,"Carlia sexdentata"
266,1822,1227,107,"Carlia sexdentata"
266,1576,1389,118,"Carlia sexdentata"
267,1054,1627,112,"Carlia sexdentata"
270,1933,1167,99,"Carlia sexdentata"
260,1113,1594,108,"Carlia sexdentata"
245,1429,1632,111,"Carlia sexdentata"
266,1168,1543,115,"Carlia sexdentata"
269,2144,1007,106,"Carlia sexdentata"
273,1600,1275,112,"Carlia sexdentata"
263,1476,1563,116,"Carlia sexdentata"
257,1475,1286,116,"Carlia sexdentata"
267,1414,1589,119,"Carlia sexdentata"
260,1132,1623,108,"Carlia sexdentata"
267,1798,1161,100,"Carlia sexdentata"
251,1749,1282,113,"Carlia sexdentata"
266,1135,1533,113,"Carlia sexdentata"
265,1045,1646,108,"Carlia sexdentata"
268,1672,1476,123,"Carlia sexdentata"
268,1574,1410,107,"Carlia sexdentata"
253,1631,1130,116,"Carlia sexdentata"
269,1667,1476,123,"Carlia sexdentata"
264,2091,940,101,"Carlia sexdentata"
267,1150,1740,120,"Carlia sexdentata"
267,1577,1375,117,"Carlia sexdentata"
264,1595,1603,119,"Carlia sexdentata"
261,1126,1656,98,"Carlia sexdentata"
262,1782,1159,113,"Carlia sexdentata"
252,1751,1126,115,"Carlia sexdentata"
257,1632,1543,115,"Carlia sexdentata"
269,2147,1044,105,"Carlia sexdentata"
269,2195,1074,106,"Carlia sexdentata"
267,2292,873,105,"Carlia sexdentata"
265,2042,1139,101,"Carlia sexdentata"
270,1958,1074,108,"Carlia sexdentata"
269,1445,1430,94,"Carlia sexdentata"
250,1783,1222,112,"Carlia sexdentata"
272,1849,1116,110,"Carlia sexdentata"
263,1042,1694,104,"Carlia sexdentata"
269,1680,1485,124,"Carlia sexdentata"
253,1522,1370,116,"Carlia sexdentata"
260,1745,1287,116,"Carlia sexdentata"
262,1515,1669,118,"Carlia sexdentata"
265,1290,1552,117,"Carlia sexdentata"
269,1882,1172,98,"Carlia sexdentata"
266,1539,1371,100,"Carlia sexdentata"
263,1474,1734,122,"Carlia sexdentata"
272,1882,1052,109,"Carlia sexdentata"
266,1662,1357,119,"Carlia sexdentata"
269,1964,1111,102,"Carlia sexdentata"
248,1513,1632,111,"Carlia sexdentata"
264,1538,1479,117,"Carlia sexdentata"
260,1700,1304,120,"Carlia sexdentata"
272,1810,1125,110,"Carlia sexdentata"
270,1439,1647,108,"Carlia sexdentata"
262,1367,1580,116,"Carlia sexdentata"
265,1045,1608,102,"Carlia sexdentata"
271,1672,1235,113,"Carlia sexdentata"
268,1179,1664,120,"Carlia sexdentata"
262,1438,1474,116,"Carlia sexdentata"
271,1788,1150,113,"Carlia sexdentata"
253,1570,1212,118,"Carlia sexdentata"
263,1185,1497,98,"Carlia sexdentata"
269,1267,1727,118,"Carlia sexdentata"
260,1292,1429,111,"Carlia sexdentata"
247,1346,1582,103,"Carlia sexdentata"
260,1584,1317,116,"Carlia sexdentata"
257,1385,1464,100,"Carlia sexdentata"
270,2107,1072,100,"Carlia sexdentata"
268,2045,1005,106,"Carlia sexdentata"
