"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
255,1891,1085,115,"Carlia storri"
260,1691,1320,114,"Carlia storri"
203,2285,3121,71,"Carlia storri"
251,2620,812,114,"Carlia storri"
263,1149,1741,93,"Carlia storri"
264,1040,1670,114,"Carlia storri"
263,1117,1673,113,"Carlia storri"
253,1715,1242,116,"Carlia storri"
263,1794,1154,113,"Carlia storri"
256,2266,918,113,"Carlia storri"
218,2544,3485,63,"Carlia storri"
228,2723,756,109,"Carlia storri"
234,2456,712,115,"Carlia storri"
257,1808,1499,99,"Carlia storri"
258,1862,1697,98,"Carlia storri"
260,1187,1603,102,"Carlia storri"
264,874,1781,62,"Carlia storri"
225,2905,793,106,"Carlia storri"
221,2400,1088,113,"Carlia storri"
258,1464,1317,116,"Carlia storri"
192,2572,1783,69,"Carlia storri"
263,1162,1626,96,"Carlia storri"
224,3305,783,90,"Carlia storri"
242,2474,3847,65,"Carlia storri"
248,1909,1368,107,"Carlia storri"
253,1561,1589,111,"Carlia storri"
255,1347,1408,106,"Carlia storri"
227,2175,1582,94,"Carlia storri"
207,2409,3322,64,"Carlia storri"
247,2403,3044,62,"Carlia storri"
253,2073,1057,116,"Carlia storri"
236,2093,1078,114,"Carlia storri"
243,2033,1226,113,"Carlia storri"
247,2217,901,114,"Carlia storri"
263,1436,1477,116,"Carlia storri"
258,765,2122,48,"Carlia storri"
232,2152,943,110,"Carlia storri"
253,717,2768,35,"Carlia storri"
232,2198,1069,112,"Carlia storri"
263,1115,1632,96,"Carlia storri"
243,3233,850,95,"Carlia storri"
259,1538,1300,117,"Carlia storri"
263,1052,1726,102,"Carlia storri"
262,1241,1493,112,"Carlia storri"
240,1429,1749,111,"Carlia storri"
257,1998,1207,116,"Carlia storri"
257,2018,1130,117,"Carlia storri"
215,2123,2013,94,"Carlia storri"
231,2238,2509,79,"Carlia storri"
260,1679,1362,99,"Carlia storri"
261,1699,1150,110,"Carlia storri"
224,2961,759,106,"Carlia storri"
215,2995,955,101,"Carlia storri"
256,1752,1118,109,"Carlia storri"
250,1676,1520,112,"Carlia storri"
240,2330,801,111,"Carlia storri"
223,2918,1827,93,"Carlia storri"
242,1994,1186,109,"Carlia storri"
265,1180,1893,118,"Carlia storri"
226,2325,1329,102,"Carlia storri"
249,1781,1257,113,"Carlia storri"
259,1323,1401,111,"Carlia storri"
256,761,2505,42,"Carlia storri"
215,2333,890,107,"Carlia storri"
258,738,2063,46,"Carlia storri"
228,3458,634,92,"Carlia storri"
215,3153,819,97,"Carlia storri"
259,698,2106,51,"Carlia storri"
260,1843,1065,112,"Carlia storri"
200,2493,1075,84,"Carlia storri"
211,2981,1492,93,"Carlia storri"
250,2393,855,113,"Carlia storri"
260,1663,1431,115,"Carlia storri"
221,2034,1561,94,"Carlia storri"
256,2094,948,118,"Carlia storri"
263,1343,1673,116,"Carlia storri"
256,1643,1185,116,"Carlia storri"
240,2413,722,112,"Carlia storri"
227,3403,626,93,"Carlia storri"
208,2940,1214,90,"Carlia storri"
220,3243,751,96,"Carlia storri"
261,1439,1443,116,"Carlia storri"
218,2184,3881,72,"Carlia storri"
262,827,2043,52,"Carlia storri"
260,1914,1118,117,"Carlia storri"
207,3073,983,90,"Carlia storri"
257,1604,1443,115,"Carlia storri"
256,1458,1635,112,"Carlia storri"
253,1830,1090,116,"Carlia storri"
257,769,2632,41,"Carlia storri"
223,3313,799,92,"Carlia storri"
268,1134,1729,119,"Carlia storri"
253,1895,1508,102,"Carlia storri"
251,1669,1191,117,"Carlia storri"
257,562,3121,32,"Carlia storri"
216,3148,765,90,"Carlia storri"
257,582,2916,36,"Carlia storri"
257,742,2267,42,"Carlia storri"
221,2186,1125,99,"Carlia storri"
219,2435,899,114,"Carlia storri"
223,3411,772,94,"Carlia storri"
266,1272,1972,118,"Carlia storri"
259,1694,1688,93,"Carlia storri"
222,3280,752,92,"Carlia storri"
267,1038,1626,110,"Carlia storri"
235,2361,785,112,"Carlia storri"
242,2193,1277,113,"Carlia storri"
267,1035,1768,102,"Carlia storri"
254,2093,2399,84,"Carlia storri"
255,632,2647,44,"Carlia storri"
263,1049,1622,101,"Carlia storri"
265,1342,1762,121,"Carlia storri"
264,1005,2150,100,"Carlia storri"
259,1975,1070,118,"Carlia storri"
257,598,2966,35,"Carlia storri"
259,820,2012,53,"Carlia storri"
256,570,3666,27,"Carlia storri"
258,801,2172,50,"Carlia storri"
233,2779,797,109,"Carlia storri"
257,1401,1367,113,"Carlia storri"
254,1810,1159,119,"Carlia storri"
255,1593,1226,115,"Carlia storri"
247,2384,981,112,"Carlia storri"
257,1913,1030,117,"Carlia storri"
196,2518,1293,75,"Carlia storri"
256,599,2986,33,"Carlia storri"
211,2790,934,100,"Carlia storri"
226,3478,685,90,"Carlia storri"
261,1668,1213,104,"Carlia storri"
261,828,2084,53,"Carlia storri"
263,1764,1170,113,"Carlia storri"
205,2663,1261,82,"Carlia storri"
263,1047,1568,104,"Carlia storri"
264,1370,1663,117,"Carlia storri"
214,3014,820,107,"Carlia storri"
260,1063,1651,102,"Carlia storri"
258,2022,1037,114,"Carlia storri"
224,2679,819,107,"Carlia storri"
258,1859,1114,110,"Carlia storri"
245,2774,2175,86,"Carlia storri"
262,1867,1110,114,"Carlia storri"
228,2378,1132,101,"Carlia storri"
265,1228,1694,116,"Carlia storri"
246,2166,957,113,"Carlia storri"
259,1261,1418,111,"Carlia storri"
262,1513,1357,114,"Carlia storri"
212,2893,1014,103,"Carlia storri"
194,2587,1341,91,"Carlia storri"
238,2733,964,112,"Carlia storri"
234,2547,4089,67,"Carlia storri"
254,621,2971,38,"Carlia storri"
210,2993,1538,93,"Carlia storri"
266,1244,1709,117,"Carlia storri"
228,3459,617,93,"Carlia storri"
257,757,2195,42,"Carlia storri"
258,1462,1298,106,"Carlia storri"
208,2975,1510,89,"Carlia storri"
261,1643,1414,114,"Carlia storri"
257,1865,1524,99,"Carlia storri"
230,1521,1310,117,"Carlia storri"
258,2022,1112,114,"Carlia storri"
254,696,2512,39,"Carlia storri"
260,1989,1034,114,"Carlia storri"
237,2676,864,113,"Carlia storri"
261,1184,1543,115,"Carlia storri"
259,1765,1195,121,"Carlia storri"
190,1918,2597,90,"Carlia storri"
255,2085,1087,116,"Carlia storri"
253,1895,1143,110,"Carlia storri"
257,596,2669,44,"Carlia storri"
242,2884,1476,92,"Carlia storri"
217,2781,821,104,"Carlia storri"
262,832,2116,53,"Carlia storri"
262,1129,1523,110,"Carlia storri"
265,1163,1690,119,"Carlia storri"
244,2083,1004,117,"Carlia storri"
266,1100,1636,116,"Carlia storri"
246,3097,1520,94,"Carlia storri"
258,568,3031,33,"Carlia storri"
203,2484,3223,62,"Carlia storri"
225,3339,684,95,"Carlia storri"
261,1517,1327,115,"Carlia storri"
259,1731,1452,112,"Carlia storri"
254,1827,1124,115,"Carlia storri"
257,1888,1607,98,"Carlia storri"
259,1918,1153,118,"Carlia storri"
228,3356,670,98,"Carlia storri"
255,1881,1105,118,"Carlia storri"
262,1853,1163,113,"Carlia storri"
258,803,2309,49,"Carlia storri"
255,687,2488,40,"Carlia storri"
257,557,3612,29,"Carlia storri"
255,552,3333,37,"Carlia storri"
227,2369,1069,98,"Carlia storri"
243,2656,3004,74,"Carlia storri"
260,1124,1584,102,"Carlia storri"
257,769,2054,50,"Carlia storri"
212,2438,4040,61,"Carlia storri"
231,2553,751,112,"Carlia storri"
257,567,3605,32,"Carlia storri"
250,1764,1235,116,"Carlia storri"
236,2896,778,111,"Carlia storri"
258,1057,1826,102,"Carlia storri"
257,773,2094,46,"Carlia storri"
259,1984,1099,114,"Carlia storri"
257,758,2151,44,"Carlia storri"
261,1923,1066,114,"Carlia storri"
263,1120,1624,112,"Carlia storri"
264,1035,1959,105,"Carlia storri"
256,1781,1114,107,"Carlia storri"
209,2513,1166,109,"Carlia storri"
259,1988,1036,114,"Carlia storri"
258,1282,1429,103,"Carlia storri"
259,1982,1148,114,"Carlia storri"
252,2183,992,111,"Carlia storri"
255,719,2370,38,"Carlia storri"
243,2434,757,114,"Carlia storri"
249,1823,1645,99,"Carlia storri"
252,2032,1275,115,"Carlia storri"
264,1300,1530,116,"Carlia storri"
257,814,1968,52,"Carlia storri"
259,1449,1300,113,"Carlia storri"
242,2955,1545,93,"Carlia storri"
260,1784,1345,111,"Carlia storri"
259,603,2447,46,"Carlia storri"
261,1333,1413,117,"Carlia storri"
255,1865,1123,118,"Carlia storri"
249,1488,1252,118,"Carlia storri"
264,1048,1658,102,"Carlia storri"
255,665,2565,40,"Carlia storri"
200,2499,1074,88,"Carlia storri"
254,740,2456,39,"Carlia storri"
258,1798,1593,97,"Carlia storri"
261,844,1877,57,"Carlia storri"
252,1690,1266,115,"Carlia storri"
251,716,2993,33,"Carlia storri"
255,1496,1210,114,"Carlia storri"
256,612,2998,38,"Carlia storri"
257,1890,1145,114,"Carlia storri"
241,2664,903,114,"Carlia storri"
252,1569,1383,115,"Carlia storri"
226,2148,1140,108,"Carlia storri"
227,3195,862,89,"Carlia storri"
261,1577,1378,102,"Carlia storri"
256,2092,974,112,"Carlia storri"
254,1218,1677,106,"Carlia storri"
265,1177,1576,119,"Carlia storri"
259,1951,1023,112,"Carlia storri"
256,611,2839,41,"Carlia storri"
232,2876,960,113,"Carlia storri"
255,1656,1284,116,"Carlia storri"
263,1291,1539,117,"Carlia storri"
242,2512,3492,61,"Carlia storri"
261,1820,1091,113,"Carlia storri"
232,2699,990,112,"Carlia storri"
222,2448,1016,103,"Carlia storri"
263,1178,1709,116,"Carlia storri"
262,1091,1769,93,"Carlia storri"
238,2130,1115,112,"Carlia storri"
260,1518,1339,116,"Carlia storri"
259,811,2108,51,"Carlia storri"
257,1178,1704,109,"Carlia storri"
223,3244,760,89,"Carlia storri"
256,1703,1481,114,"Carlia storri"
240,1870,1879,101,"Carlia storri"
254,2134,1138,113,"Carlia storri"
258,1924,1082,110,"Carlia storri"
243,2022,1413,107,"Carlia storri"
257,1266,1669,93,"Carlia storri"
244,2236,1046,113,"Carlia storri"
251,2513,806,113,"Carlia storri"
205,2395,2445,65,"Carlia storri"
253,1656,1384,116,"Carlia storri"
210,2877,1017,84,"Carlia storri"
256,560,3544,31,"Carlia storri"
259,602,2444,47,"Carlia storri"
211,3079,996,91,"Carlia storri"
261,1354,1419,116,"Carlia storri"
217,3168,775,92,"Carlia storri"
256,2073,981,115,"Carlia storri"
257,612,2522,41,"Carlia storri"
256,596,2949,38,"Carlia storri"
255,746,2268,41,"Carlia storri"
245,2141,948,112,"Carlia storri"
253,719,2742,35,"Carlia storri"
214,3015,791,105,"Carlia storri"
259,752,1999,48,"Carlia storri"
259,1631,1210,118,"Carlia storri"
259,1941,1142,118,"Carlia storri"
254,1466,1292,109,"Carlia storri"
211,3118,898,98,"Carlia storri"
256,1923,1050,110,"Carlia storri"
255,1874,1286,111,"Carlia storri"
262,1666,1377,114,"Carlia storri"
224,3221,756,91,"Carlia storri"
255,1533,1243,115,"Carlia storri"
262,1812,1056,114,"Carlia storri"
263,1166,1628,94,"Carlia storri"
258,1318,1517,113,"Carlia storri"
270,1146,1763,120,"Carlia storri"
257,779,1934,48,"Carlia storri"
209,2745,1544,89,"Carlia storri"
225,2262,966,107,"Carlia storri"
255,670,2512,35,"Carlia storri"
245,2408,1789,76,"Carlia storri"
258,1242,1633,97,"Carlia storri"
232,2152,970,111,"Carlia storri"
264,1337,1571,116,"Carlia storri"
208,2939,1456,92,"Carlia storri"
262,842,1949,55,"Carlia storri"
227,3386,690,96,"Carlia storri"
260,1862,1165,112,"Carlia storri"
260,836,1833,57,"Carlia storri"
242,3138,1319,94,"Carlia storri"
261,1935,1088,114,"Carlia storri"
255,2385,1009,112,"Carlia storri"
254,2097,1149,113,"Carlia storri"
255,740,2355,39,"Carlia storri"
257,775,2110,47,"Carlia storri"
205,3059,1203,91,"Carlia storri"
187,2464,2457,67,"Carlia storri"
214,2668,900,103,"Carlia storri"
251,2321,824,111,"Carlia storri"
247,2455,824,114,"Carlia storri"
262,2027,1111,116,"Carlia storri"
266,1040,1630,109,"Carlia storri"
228,3441,632,92,"Carlia storri"
262,835,2053,54,"Carlia storri"
257,578,3129,39,"Carlia storri"
215,2944,993,91,"Carlia storri"
258,1211,1519,110,"Carlia storri"
256,676,2419,42,"Carlia storri"
261,1927,1091,113,"Carlia storri"
258,608,2510,50,"Carlia storri"
221,3363,694,94,"Carlia storri"
228,1495,1675,111,"Carlia storri"
256,2059,990,115,"Carlia storri"
254,2165,899,113,"Carlia storri"
229,2912,776,108,"Carlia storri"
263,1120,1594,115,"Carlia storri"
262,1792,1217,113,"Carlia storri"
224,2120,2234,92,"Carlia storri"
242,3044,1520,95,"Carlia storri"
262,1777,1214,113,"Carlia storri"
254,2358,899,110,"Carlia storri"
241,1508,1298,119,"Carlia storri"
219,1762,2477,95,"Carlia storri"
265,1101,1564,111,"Carlia storri"
253,625,3122,32,"Carlia storri"
256,1618,1221,118,"Carlia storri"
238,2314,960,110,"Carlia storri"
216,3122,747,93,"Carlia storri"
261,2004,1043,117,"Carlia storri"
235,2622,752,113,"Carlia storri"
258,686,2243,48,"Carlia storri"
268,1180,1836,121,"Carlia storri"
253,2076,1057,114,"Carlia storri"
210,3017,831,103,"Carlia storri"
236,2566,3824,63,"Carlia storri"
253,1969,992,110,"Carlia storri"
258,1759,1293,111,"Carlia storri"
261,1972,1080,115,"Carlia storri"
210,3001,827,92,"Carlia storri"
257,1747,1161,115,"Carlia storri"
260,1273,1428,98,"Carlia storri"
213,3143,1068,90,"Carlia storri"
259,793,2187,48,"Carlia storri"
254,683,2572,35,"Carlia storri"
245,2749,2414,81,"Carlia storri"
263,1121,1700,95,"Carlia storri"
255,749,2828,35,"Carlia storri"
260,1136,1647,106,"Carlia storri"
247,1948,1393,102,"Carlia storri"
252,1782,1153,117,"Carlia storri"
256,1785,1228,101,"Carlia storri"
258,1467,1401,115,"Carlia storri"
227,3287,709,85,"Carlia storri"
217,2952,835,105,"Carlia storri"
232,3323,589,88,"Carlia storri"
258,783,1910,49,"Carlia storri"
260,1903,1115,118,"Carlia storri"
263,1061,1811,94,"Carlia storri"
257,1643,1266,116,"Carlia storri"
257,799,2109,50,"Carlia storri"
260,1439,1411,115,"Carlia storri"
249,2391,950,114,"Carlia storri"
264,1115,1522,108,"Carlia storri"
256,619,2622,40,"Carlia storri"
218,2913,861,105,"Carlia storri"
242,2530,3412,64,"Carlia storri"
267,1280,2058,118,"Carlia storri"
259,1404,1441,115,"Carlia storri"
228,3364,658,86,"Carlia storri"
256,742,2205,45,"Carlia storri"
258,663,2285,43,"Carlia storri"
238,2025,2367,89,"Carlia storri"
255,1995,1218,113,"Carlia storri"
227,2744,2589,90,"Carlia storri"
268,1215,1629,116,"Carlia storri"
223,3344,808,93,"Carlia storri"
213,2610,779,99,"Carlia storri"
234,2165,1066,112,"Carlia storri"
258,1988,1129,115,"Carlia storri"
227,2603,757,110,"Carlia storri"
261,1302,1512,117,"Carlia storri"
245,2886,1951,90,"Carlia storri"
210,2751,1250,76,"Carlia storri"
267,1190,1570,119,"Carlia storri"
265,1158,1642,114,"Carlia storri"
225,2119,1134,108,"Carlia storri"
238,1946,1270,110,"Carlia storri"
229,2941,2018,93,"Carlia storri"
258,2010,1101,115,"Carlia storri"
260,1691,1065,107,"Carlia storri"
213,2222,2132,91,"Carlia storri"
257,790,1925,48,"Carlia storri"
229,1911,2116,87,"Carlia storri"
215,3052,1299,95,"Carlia storri"
246,1949,1911,90,"Carlia storri"
260,1971,961,118,"Carlia storri"
264,1296,1714,116,"Carlia storri"
258,1835,1624,97,"Carlia storri"
256,741,2266,45,"Carlia storri"
252,1769,1149,108,"Carlia storri"
255,734,2352,42,"Carlia storri"
255,572,3763,29,"Carlia storri"
258,1653,1217,118,"Carlia storri"
223,2759,744,107,"Carlia storri"
262,1821,1152,114,"Carlia storri"
265,1043,1674,105,"Carlia storri"
243,1995,1728,93,"Carlia storri"
267,1082,1649,114,"Carlia storri"
259,665,2251,48,"Carlia storri"
224,2569,854,105,"Carlia storri"
259,1690,1525,94,"Carlia storri"
255,1255,1734,99,"Carlia storri"
256,2252,980,112,"Carlia storri"
259,1158,1688,108,"Carlia storri"
258,747,2033,47,"Carlia storri"
258,1318,1368,104,"Carlia storri"
211,3012,981,90,"Carlia storri"
255,656,2597,43,"Carlia storri"
258,583,2524,40,"Carlia storri"
213,2696,739,103,"Carlia storri"
257,1922,1126,118,"Carlia storri"
264,1053,1734,96,"Carlia storri"
260,844,1870,57,"Carlia storri"
217,3054,1552,93,"Carlia storri"
192,2442,2278,73,"Carlia storri"
260,1870,1231,114,"Carlia storri"
232,2688,721,110,"Carlia storri"
258,1653,1194,110,"Carlia storri"
258,1902,1098,110,"Carlia storri"
232,2998,999,89,"Carlia storri"
245,1592,1244,119,"Carlia storri"
258,782,1988,46,"Carlia storri"
247,1914,2647,90,"Carlia storri"
258,1741,1807,95,"Carlia storri"
261,1859,1073,113,"Carlia storri"
265,1082,1608,112,"Carlia storri"
