"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
121,4927,837,12,"Carlia tetradactyla"
161,5404,693,11,"Carlia tetradactyla"
151,5088,775,22,"Carlia tetradactyla"
147,5421,585,7,"Carlia tetradactyla"
207,3418,1077,39,"Carlia tetradactyla"
146,5124,814,19,"Carlia tetradactyla"
126,4365,1076,35,"Carlia tetradactyla"
173,5479,539,18,"Carlia tetradactyla"
190,4726,716,36,"Carlia tetradactyla"
91,5031,1409,26,"Carlia tetradactyla"
145,4545,794,33,"Carlia tetradactyla"
138,5030,633,11,"Carlia tetradactyla"
163,5729,497,15,"Carlia tetradactyla"
144,4438,835,20,"Carlia tetradactyla"
204,5499,575,32,"Carlia tetradactyla"
170,5229,602,22,"Carlia tetradactyla"
156,5386,625,10,"Carlia tetradactyla"
154,3816,1342,53,"Carlia tetradactyla"
138,3917,1161,42,"Carlia tetradactyla"
148,5302,715,15,"Carlia tetradactyla"
151,3716,1383,39,"Carlia tetradactyla"
122,5069,789,14,"Carlia tetradactyla"
152,5077,812,29,"Carlia tetradactyla"
174,4789,672,35,"Carlia tetradactyla"
122,5093,1017,29,"Carlia tetradactyla"
160,5737,486,8,"Carlia tetradactyla"
137,5279,689,19,"Carlia tetradactyla"
156,5154,542,20,"Carlia tetradactyla"
140,5394,843,22,"Carlia tetradactyla"
179,3696,1156,48,"Carlia tetradactyla"
176,5887,434,7,"Carlia tetradactyla"
154,4742,670,21,"Carlia tetradactyla"
160,5259,588,19,"Carlia tetradactyla"
142,4636,712,25,"Carlia tetradactyla"
165,4319,828,19,"Carlia tetradactyla"
169,5536,628,18,"Carlia tetradactyla"
124,4686,711,9,"Carlia tetradactyla"
149,5557,654,12,"Carlia tetradactyla"
152,5598,596,9,"Carlia tetradactyla"
167,4859,617,33,"Carlia tetradactyla"
160,4097,1150,49,"Carlia tetradactyla"
136,4999,770,11,"Carlia tetradactyla"
201,5460,570,31,"Carlia tetradactyla"
196,5372,605,32,"Carlia tetradactyla"
194,3296,1482,39,"Carlia tetradactyla"
150,5376,687,11,"Carlia tetradactyla"
118,4805,791,14,"Carlia tetradactyla"
193,4083,736,42,"Carlia tetradactyla"
181,4347,622,38,"Carlia tetradactyla"
153,5127,609,25,"Carlia tetradactyla"
126,5079,855,15,"Carlia tetradactyla"
159,5675,515,9,"Carlia tetradactyla"
163,5573,566,9,"Carlia tetradactyla"
134,5037,741,13,"Carlia tetradactyla"
195,5532,559,24,"Carlia tetradactyla"
164,5652,484,12,"Carlia tetradactyla"
170,5532,575,18,"Carlia tetradactyla"
160,5641,555,11,"Carlia tetradactyla"
167,5067,759,31,"Carlia tetradactyla"
180,5892,473,15,"Carlia tetradactyla"
191,3761,1122,51,"Carlia tetradactyla"
121,5005,1052,24,"Carlia tetradactyla"
166,5705,495,8,"Carlia tetradactyla"
190,3699,1058,42,"Carlia tetradactyla"
167,5844,444,9,"Carlia tetradactyla"
176,5755,522,12,"Carlia tetradactyla"
173,5569,582,12,"Carlia tetradactyla"
149,5368,752,16,"Carlia tetradactyla"
189,4055,788,47,"Carlia tetradactyla"
164,5673,469,13,"Carlia tetradactyla"
170,5824,417,10,"Carlia tetradactyla"
146,5246,774,20,"Carlia tetradactyla"
197,5475,579,33,"Carlia tetradactyla"
135,4965,663,11,"Carlia tetradactyla"
162,5073,807,30,"Carlia tetradactyla"
204,5142,586,39,"Carlia tetradactyla"
114,4378,993,35,"Carlia tetradactyla"
191,5451,556,22,"Carlia tetradactyla"
142,5516,713,10,"Carlia tetradactyla"
135,4193,913,42,"Carlia tetradactyla"
172,5856,424,10,"Carlia tetradactyla"
147,5363,657,12,"Carlia tetradactyla"
147,5290,718,22,"Carlia tetradactyla"
179,5819,514,13,"Carlia tetradactyla"
123,4021,1224,31,"Carlia tetradactyla"
164,4855,775,30,"Carlia tetradactyla"
189,4026,848,49,"Carlia tetradactyla"
140,4718,746,27,"Carlia tetradactyla"
165,5703,517,9,"Carlia tetradactyla"
179,4799,669,31,"Carlia tetradactyla"
176,5842,525,11,"Carlia tetradactyla"
201,3172,1502,37,"Carlia tetradactyla"
131,4479,769,35,"Carlia tetradactyla"
199,3465,998,38,"Carlia tetradactyla"
163,3206,2085,41,"Carlia tetradactyla"
125,4479,805,25,"Carlia tetradactyla"
189,5697,556,25,"Carlia tetradactyla"
165,5723,487,9,"Carlia tetradactyla"
163,5643,537,10,"Carlia tetradactyla"
157,4775,841,37,"Carlia tetradactyla"
129,5239,877,20,"Carlia tetradactyla"
130,4562,804,27,"Carlia tetradactyla"
165,4996,556,26,"Carlia tetradactyla"
149,5547,699,21,"Carlia tetradactyla"
188,3565,1205,36,"Carlia tetradactyla"
168,5792,461,9,"Carlia tetradactyla"
167,5418,687,22,"Carlia tetradactyla"
136,5187,656,8,"Carlia tetradactyla"
130,5211,813,12,"Carlia tetradactyla"
128,5116,891,11,"Carlia tetradactyla"
142,4529,796,30,"Carlia tetradactyla"
131,4983,736,16,"Carlia tetradactyla"
166,4987,580,25,"Carlia tetradactyla"
167,4063,734,37,"Carlia tetradactyla"
155,4287,711,28,"Carlia tetradactyla"
162,5040,668,31,"Carlia tetradactyla"
118,4760,1248,33,"Carlia tetradactyla"
143,5198,754,19,"Carlia tetradactyla"
139,4591,886,13,"Carlia tetradactyla"
187,5323,588,28,"Carlia tetradactyla"
138,5270,764,13,"Carlia tetradactyla"
205,5397,582,33,"Carlia tetradactyla"
168,5767,456,11,"Carlia tetradactyla"
119,4306,823,39,"Carlia tetradactyla"
203,5448,589,32,"Carlia tetradactyla"
139,4249,936,46,"Carlia tetradactyla"
172,5082,637,38,"Carlia tetradactyla"
163,5712,474,11,"Carlia tetradactyla"
165,5371,569,21,"Carlia tetradactyla"
171,4178,763,34,"Carlia tetradactyla"
177,5264,599,28,"Carlia tetradactyla"
154,5565,703,13,"Carlia tetradactyla"
189,4754,605,32,"Carlia tetradactyla"
162,5265,668,25,"Carlia tetradactyla"
161,4364,711,33,"Carlia tetradactyla"
167,4437,699,44,"Carlia tetradactyla"
157,5165,490,18,"Carlia tetradactyla"
168,5763,478,9,"Carlia tetradactyla"
166,4856,656,31,"Carlia tetradactyla"
173,5420,715,29,"Carlia tetradactyla"
166,5335,560,23,"Carlia tetradactyla"
161,5257,591,20,"Carlia tetradactyla"
129,4469,724,19,"Carlia tetradactyla"
195,5370,603,28,"Carlia tetradactyla"
176,3706,1240,49,"Carlia tetradactyla"
172,5788,475,11,"Carlia tetradactyla"
144,5131,659,13,"Carlia tetradactyla"
156,4733,668,27,"Carlia tetradactyla"
132,5119,935,24,"Carlia tetradactyla"
189,3727,1168,49,"Carlia tetradactyla"
202,5190,602,33,"Carlia tetradactyla"
191,5347,606,27,"Carlia tetradactyla"
180,4272,715,38,"Carlia tetradactyla"
130,4341,970,33,"Carlia tetradactyla"
202,5054,580,35,"Carlia tetradactyla"
167,4226,746,36,"Carlia tetradactyla"
158,5076,714,24,"Carlia tetradactyla"
174,5322,670,27,"Carlia tetradactyla"
172,4486,653,28,"Carlia tetradactyla"
131,4682,941,27,"Carlia tetradactyla"
141,5234,966,27,"Carlia tetradactyla"
164,4331,649,26,"Carlia tetradactyla"
157,5164,869,34,"Carlia tetradactyla"
167,5713,431,12,"Carlia tetradactyla"
193,3257,1739,41,"Carlia tetradactyla"
165,4192,876,41,"Carlia tetradactyla"
195,4553,652,41,"Carlia tetradactyla"
125,4751,761,11,"Carlia tetradactyla"
150,5478,653,10,"Carlia tetradactyla"
117,4886,770,15,"Carlia tetradactyla"
180,3923,960,43,"Carlia tetradactyla"
136,5077,732,21,"Carlia tetradactyla"
186,5660,591,24,"Carlia tetradactyla"
179,5333,648,30,"Carlia tetradactyla"
146,5360,551,7,"Carlia tetradactyla"
165,5584,429,16,"Carlia tetradactyla"
152,5045,666,22,"Carlia tetradactyla"
147,4985,675,25,"Carlia tetradactyla"
186,3864,1092,50,"Carlia tetradactyla"
170,4015,1150,45,"Carlia tetradactyla"
166,5618,533,9,"Carlia tetradactyla"
136,4168,999,37,"Carlia tetradactyla"
203,5010,591,39,"Carlia tetradactyla"
195,5611,564,27,"Carlia tetradactyla"
152,5522,558,9,"Carlia tetradactyla"
168,5588,669,11,"Carlia tetradactyla"
155,3820,1316,41,"Carlia tetradactyla"
163,4183,1018,37,"Carlia tetradactyla"
204,5133,599,39,"Carlia tetradactyla"
134,5170,817,16,"Carlia tetradactyla"
120,4916,1122,29,"Carlia tetradactyla"
189,3456,1214,33,"Carlia tetradactyla"
118,4780,714,13,"Carlia tetradactyla"
191,4343,632,42,"Carlia tetradactyla"
164,4169,887,25,"Carlia tetradactyla"
184,3949,1243,52,"Carlia tetradactyla"
203,5093,599,35,"Carlia tetradactyla"
194,4712,685,40,"Carlia tetradactyla"
141,3906,1172,43,"Carlia tetradactyla"
203,5166,566,32,"Carlia tetradactyla"
191,3455,1494,44,"Carlia tetradactyla"
160,4518,730,18,"Carlia tetradactyla"
191,4746,575,36,"Carlia tetradactyla"
166,5737,474,14,"Carlia tetradactyla"
192,4470,645,40,"Carlia tetradactyla"
146,5189,722,20,"Carlia tetradactyla"
196,3671,1030,47,"Carlia tetradactyla"
169,5553,548,16,"Carlia tetradactyla"
165,5703,527,9,"Carlia tetradactyla"
180,5347,589,30,"Carlia tetradactyla"
150,4755,734,30,"Carlia tetradactyla"
130,5207,787,8,"Carlia tetradactyla"
163,4502,784,20,"Carlia tetradactyla"
174,4068,955,43,"Carlia tetradactyla"
124,4189,1108,45,"Carlia tetradactyla"
170,5786,468,8,"Carlia tetradactyla"
163,4704,719,36,"Carlia tetradactyla"
196,3519,1164,41,"Carlia tetradactyla"
173,5481,780,25,"Carlia tetradactyla"
158,4836,631,23,"Carlia tetradactyla"
133,4742,898,24,"Carlia tetradactyla"
138,4420,915,15,"Carlia tetradactyla"
158,5634,536,16,"Carlia tetradactyla"
167,5737,471,13,"Carlia tetradactyla"
146,5438,764,12,"Carlia tetradactyla"
147,5485,829,17,"Carlia tetradactyla"
180,5822,511,13,"Carlia tetradactyla"
160,5572,509,12,"Carlia tetradactyla"
159,4305,990,40,"Carlia tetradactyla"
154,4568,819,35,"Carlia tetradactyla"
192,5518,615,30,"Carlia tetradactyla"
151,5534,666,11,"Carlia tetradactyla"
143,5158,788,23,"Carlia tetradactyla"
148,4545,716,31,"Carlia tetradactyla"
143,4225,1130,35,"Carlia tetradactyla"
108,5069,965,20,"Carlia tetradactyla"
184,5747,502,18,"Carlia tetradactyla"
151,5519,586,12,"Carlia tetradactyla"
189,4590,649,34,"Carlia tetradactyla"
165,5713,494,12,"Carlia tetradactyla"
173,5148,726,22,"Carlia tetradactyla"
119,4751,844,15,"Carlia tetradactyla"
127,4606,906,21,"Carlia tetradactyla"
84,4884,1152,12,"Carlia tetradactyla"
187,4399,620,32,"Carlia tetradactyla"
123,4414,771,34,"Carlia tetradactyla"
194,5562,575,29,"Carlia tetradactyla"
164,4930,663,30,"Carlia tetradactyla"
182,3833,1244,56,"Carlia tetradactyla"
125,4508,810,33,"Carlia tetradactyla"
172,5801,463,8,"Carlia tetradactyla"
147,4709,840,32,"Carlia tetradactyla"
165,5592,571,8,"Carlia tetradactyla"
130,4156,1133,43,"Carlia tetradactyla"
196,4131,744,34,"Carlia tetradactyla"
169,4120,1122,40,"Carlia tetradactyla"
159,5504,547,14,"Carlia tetradactyla"
172,5886,445,13,"Carlia tetradactyla"
155,5559,609,14,"Carlia tetradactyla"
176,3869,1049,37,"Carlia tetradactyla"
172,3612,1306,28,"Carlia tetradactyla"
175,5041,724,25,"Carlia tetradactyla"
166,5804,517,9,"Carlia tetradactyla"
160,5724,506,13,"Carlia tetradactyla"
173,4237,790,41,"Carlia tetradactyla"
165,4794,650,28,"Carlia tetradactyla"
155,5481,653,18,"Carlia tetradactyla"
126,4407,946,36,"Carlia tetradactyla"
190,5534,600,31,"Carlia tetradactyla"
140,4407,928,10,"Carlia tetradactyla"
154,4283,696,35,"Carlia tetradactyla"
138,4776,815,27,"Carlia tetradactyla"
175,5401,655,31,"Carlia tetradactyla"
128,4408,840,34,"Carlia tetradactyla"
168,4813,695,34,"Carlia tetradactyla"
173,3408,2077,42,"Carlia tetradactyla"
156,5542,614,13,"Carlia tetradactyla"
156,5566,597,16,"Carlia tetradactyla"
173,5268,611,31,"Carlia tetradactyla"
129,4829,670,17,"Carlia tetradactyla"
168,5880,448,10,"Carlia tetradactyla"
107,5118,1104,26,"Carlia tetradactyla"
155,4151,800,31,"Carlia tetradactyla"
124,4883,780,16,"Carlia tetradactyla"
196,5335,616,30,"Carlia tetradactyla"
180,4300,771,41,"Carlia tetradactyla"
173,5772,526,11,"Carlia tetradactyla"
203,5174,591,34,"Carlia tetradactyla"
206,3113,1608,42,"Carlia tetradactyla"
176,5753,544,12,"Carlia tetradactyla"
176,5674,557,12,"Carlia tetradactyla"
140,5233,769,17,"Carlia tetradactyla"
143,5377,883,27,"Carlia tetradactyla"
171,5775,481,7,"Carlia tetradactyla"
172,5851,434,11,"Carlia tetradactyla"
162,5647,531,16,"Carlia tetradactyla"
194,5300,630,31,"Carlia tetradactyla"
152,3998,986,38,"Carlia tetradactyla"
192,4703,670,37,"Carlia tetradactyla"
161,5648,563,12,"Carlia tetradactyla"
162,5433,452,15,"Carlia tetradactyla"
150,5045,748,29,"Carlia tetradactyla"
122,4983,784,20,"Carlia tetradactyla"
197,4596,631,40,"Carlia tetradactyla"
153,5195,726,26,"Carlia tetradactyla"
126,4812,710,14,"Carlia tetradactyla"
141,5386,894,29,"Carlia tetradactyla"
167,5703,516,7,"Carlia tetradactyla"
157,5184,517,19,"Carlia tetradactyla"
129,5095,895,16,"Carlia tetradactyla"
130,4337,1009,13,"Carlia tetradactyla"
168,4933,716,24,"Carlia tetradactyla"
145,4107,1101,39,"Carlia tetradactyla"
184,3603,1339,45,"Carlia tetradactyla"
140,5362,713,12,"Carlia tetradactyla"
195,3751,903,47,"Carlia tetradactyla"
163,3815,1259,39,"Carlia tetradactyla"
196,3513,1124,36,"Carlia tetradactyla"
166,4812,562,28,"Carlia tetradactyla"
201,5505,563,34,"Carlia tetradactyla"
130,5331,964,23,"Carlia tetradactyla"
134,5028,731,17,"Carlia tetradactyla"
127,4645,635,10,"Carlia tetradactyla"
194,4953,668,41,"Carlia tetradactyla"
143,5239,617,6,"Carlia tetradactyla"
197,5513,561,29,"Carlia tetradactyla"
172,5817,448,8,"Carlia tetradactyla"
133,4726,998,34,"Carlia tetradactyla"
141,4935,925,31,"Carlia tetradactyla"
196,5308,630,31,"Carlia tetradactyla"
92,4915,1192,26,"Carlia tetradactyla"
143,5310,805,23,"Carlia tetradactyla"
111,4263,1015,40,"Carlia tetradactyla"
205,5382,588,34,"Carlia tetradactyla"
119,4155,960,40,"Carlia tetradactyla"
159,4430,744,25,"Carlia tetradactyla"
143,4622,878,33,"Carlia tetradactyla"
164,5566,445,14,"Carlia tetradactyla"
154,5193,645,21,"Carlia tetradactyla"
184,4280,715,47,"Carlia tetradactyla"
157,4057,1263,45,"Carlia tetradactyla"
154,4659,825,29,"Carlia tetradactyla"
196,3676,964,43,"Carlia tetradactyla"
152,4431,815,14,"Carlia tetradactyla"
178,4151,789,34,"Carlia tetradactyla"
170,4926,648,31,"Carlia tetradactyla"
181,5331,602,27,"Carlia tetradactyla"
146,5574,679,11,"Carlia tetradactyla"
190,5720,544,24,"Carlia tetradactyla"
144,4372,852,23,"Carlia tetradactyla"
197,5232,609,32,"Carlia tetradactyla"
157,5134,696,27,"Carlia tetradactyla"
83,4759,1564,33,"Carlia tetradactyla"
182,5733,508,16,"Carlia tetradactyla"
130,4921,784,15,"Carlia tetradactyla"
192,3785,850,40,"Carlia tetradactyla"
171,3991,1198,34,"Carlia tetradactyla"
196,3516,1206,38,"Carlia tetradactyla"
171,5835,433,11,"Carlia tetradactyla"
167,5737,474,13,"Carlia tetradactyla"
146,3960,1209,40,"Carlia tetradactyla"
176,5826,480,9,"Carlia tetradactyla"
187,4146,773,47,"Carlia tetradactyla"
142,4862,733,22,"Carlia tetradactyla"
154,5452,592,22,"Carlia tetradactyla"
166,5699,448,16,"Carlia tetradactyla"
132,4959,692,9,"Carlia tetradactyla"
166,4642,643,33,"Carlia tetradactyla"
165,5731,483,11,"Carlia tetradactyla"
202,5104,592,34,"Carlia tetradactyla"
168,3759,1245,33,"Carlia tetradactyla"
149,5402,676,12,"Carlia tetradactyla"
199,3387,1233,43,"Carlia tetradactyla"
126,4906,767,13,"Carlia tetradactyla"
167,5859,439,9,"Carlia tetradactyla"
138,5146,775,18,"Carlia tetradactyla"
132,4877,558,10,"Carlia tetradactyla"
150,4988,825,32,"Carlia tetradactyla"
141,5362,785,13,"Carlia tetradactyla"
158,5590,526,11,"Carlia tetradactyla"
128,4447,888,26,"Carlia tetradactyla"
182,5832,506,14,"Carlia tetradactyla"
204,5181,580,33,"Carlia tetradactyla"
160,5451,531,17,"Carlia tetradactyla"
180,5471,615,25,"Carlia tetradactyla"
198,4949,600,34,"Carlia tetradactyla"
195,4669,675,40,"Carlia tetradactyla"
191,5530,609,31,"Carlia tetradactyla"
124,4347,809,40,"Carlia tetradactyla"
174,4771,685,36,"Carlia tetradactyla"
164,5609,594,14,"Carlia tetradactyla"
176,4165,663,35,"Carlia tetradactyla"
149,4898,733,30,"Carlia tetradactyla"
117,4340,844,29,"Carlia tetradactyla"
168,4821,621,25,"Carlia tetradactyla"
170,5506,623,22,"Carlia tetradactyla"
197,5276,623,29,"Carlia tetradactyla"
170,5857,479,8,"Carlia tetradactyla"
117,4391,928,28,"Carlia tetradactyla"
164,5047,716,28,"Carlia tetradactyla"
161,5278,631,18,"Carlia tetradactyla"
116,4240,951,39,"Carlia tetradactyla"
203,5056,606,39,"Carlia tetradactyla"
205,3599,975,42,"Carlia tetradactyla"
188,3705,1129,50,"Carlia tetradactyla"
189,5040,575,32,"Carlia tetradactyla"
150,4823,688,32,"Carlia tetradactyla"
160,5312,475,15,"Carlia tetradactyla"
140,5233,616,13,"Carlia tetradactyla"
148,5495,587,8,"Carlia tetradactyla"
167,4898,627,24,"Carlia tetradactyla"
182,5212,596,29,"Carlia tetradactyla"
120,5098,882,14,"Carlia tetradactyla"
118,4647,816,12,"Carlia tetradactyla"
154,4817,808,38,"Carlia tetradactyla"
188,3537,1222,34,"Carlia tetradactyla"
154,4278,762,30,"Carlia tetradactyla"
128,5234,850,17,"Carlia tetradactyla"
201,5044,656,38,"Carlia tetradactyla"
129,5172,1030,26,"Carlia tetradactyla"
177,5737,569,13,"Carlia tetradactyla"
164,5711,519,13,"Carlia tetradactyla"
146,4212,922,48,"Carlia tetradactyla"
141,5341,630,7,"Carlia tetradactyla"
176,5201,778,32,"Carlia tetradactyla"
121,4779,1438,33,"Carlia tetradactyla"
128,4337,1115,40,"Carlia tetradactyla"
138,4439,887,31,"Carlia tetradactyla"
161,4415,737,36,"Carlia tetradactyla"
