"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
223,6457,257,40,"Carlia triacantha"
226,6403,300,44,"Carlia triacantha"
262,3522,603,111,"Carlia triacantha"
274,3872,352,103,"Carlia triacantha"
267,2548,820,107,"Carlia triacantha"
281,4062,541,115,"Carlia triacantha"
268,4402,342,99,"Carlia triacantha"
269,2338,1198,112,"Carlia triacantha"
242,6241,362,61,"Carlia triacantha"
274,1846,1666,112,"Carlia triacantha"
265,2729,871,108,"Carlia triacantha"
282,2252,956,115,"Carlia triacantha"
271,2953,825,109,"Carlia triacantha"
267,4300,521,105,"Carlia triacantha"
258,1858,1271,122,"Carlia triacantha"
275,3332,591,104,"Carlia triacantha"
267,5120,264,88,"Carlia triacantha"
244,6183,317,59,"Carlia triacantha"
270,2850,787,111,"Carlia triacantha"
282,3313,605,126,"Carlia triacantha"
253,5896,391,64,"Carlia triacantha"
260,2282,1111,107,"Carlia triacantha"
261,4729,507,109,"Carlia triacantha"
264,3052,783,111,"Carlia triacantha"
254,1981,1191,106,"Carlia triacantha"
259,5519,339,75,"Carlia triacantha"
281,3929,462,118,"Carlia triacantha"
265,2424,876,106,"Carlia triacantha"
250,5962,323,70,"Carlia triacantha"
259,4603,469,114,"Carlia triacantha"
272,5805,284,80,"Carlia triacantha"
268,3808,531,113,"Carlia triacantha"
283,3111,690,127,"Carlia triacantha"
278,4202,472,114,"Carlia triacantha"
258,6223,286,61,"Carlia triacantha"
265,5228,359,94,"Carlia triacantha"
268,2620,783,106,"Carlia triacantha"
272,3789,452,108,"Carlia triacantha"
271,1739,1231,114,"Carlia triacantha"
272,5896,302,82,"Carlia triacantha"
257,2037,1177,109,"Carlia triacantha"
283,3277,651,114,"Carlia triacantha"
225,6101,350,52,"Carlia triacantha"
223,6328,262,46,"Carlia triacantha"
281,3385,682,111,"Carlia triacantha"
251,6345,249,58,"Carlia triacantha"
278,3758,529,125,"Carlia triacantha"
279,2394,1023,115,"Carlia triacantha"
264,3146,671,113,"Carlia triacantha"
240,5980,331,64,"Carlia triacantha"
269,2644,792,108,"Carlia triacantha"
263,3807,551,110,"Carlia triacantha"
264,5582,228,84,"Carlia triacantha"
238,5727,320,73,"Carlia triacantha"
282,3567,509,127,"Carlia triacantha"
263,2227,977,107,"Carlia triacantha"
257,4448,338,94,"Carlia triacantha"
264,5134,382,92,"Carlia triacantha"
270,3689,606,114,"Carlia triacantha"
267,4556,397,107,"Carlia triacantha"
259,5691,258,82,"Carlia triacantha"
254,6288,274,59,"Carlia triacantha"
243,6070,326,65,"Carlia triacantha"
264,1940,1321,110,"Carlia triacantha"
209,6057,322,50,"Carlia triacantha"
276,4266,444,114,"Carlia triacantha"
267,1621,1491,115,"Carlia triacantha"
262,6009,313,66,"Carlia triacantha"
266,3687,591,116,"Carlia triacantha"
254,5949,324,74,"Carlia triacantha"
259,3401,624,111,"Carlia triacantha"
245,5648,348,80,"Carlia triacantha"
222,6313,258,44,"Carlia triacantha"
271,5881,327,77,"Carlia triacantha"
258,5477,366,80,"Carlia triacantha"
279,3100,782,122,"Carlia triacantha"
228,6481,216,38,"Carlia triacantha"
257,4817,507,113,"Carlia triacantha"
260,5690,409,83,"Carlia triacantha"
263,4281,490,113,"Carlia triacantha"
252,6042,349,68,"Carlia triacantha"
266,1659,1248,97,"Carlia triacantha"
271,3889,524,104,"Carlia triacantha"
279,1766,1508,107,"Carlia triacantha"
242,5615,370,76,"Carlia triacantha"
269,6093,283,73,"Carlia triacantha"
267,2369,988,118,"Carlia triacantha"
274,4065,336,98,"Carlia triacantha"
270,2620,723,111,"Carlia triacantha"
264,5805,349,73,"Carlia triacantha"
271,1447,1593,109,"Carlia triacantha"
254,5968,365,66,"Carlia triacantha"
276,2018,1180,107,"Carlia triacantha"
272,5600,312,88,"Carlia triacantha"
265,3084,698,112,"Carlia triacantha"
259,5048,384,93,"Carlia triacantha"
234,5750,300,64,"Carlia triacantha"
263,4963,371,94,"Carlia triacantha"
265,4826,353,91,"Carlia triacantha"
273,5825,311,83,"Carlia triacantha"
248,6012,318,67,"Carlia triacantha"
272,2726,732,119,"Carlia triacantha"
288,3853,559,119,"Carlia triacantha"
216,6187,323,47,"Carlia triacantha"
220,6187,306,50,"Carlia triacantha"
225,6479,216,42,"Carlia triacantha"
274,2292,1186,114,"Carlia triacantha"
261,1942,1354,103,"Carlia triacantha"
260,4995,424,92,"Carlia triacantha"
281,3381,657,126,"Carlia triacantha"
258,5601,241,83,"Carlia triacantha"
277,1797,1426,110,"Carlia triacantha"
254,5266,375,87,"Carlia triacantha"
277,4141,540,113,"Carlia triacantha"
259,2605,996,113,"Carlia triacantha"
255,5877,349,75,"Carlia triacantha"
262,5381,233,84,"Carlia triacantha"
276,1889,1380,103,"Carlia triacantha"
263,4321,527,113,"Carlia triacantha"
283,3323,639,111,"Carlia triacantha"
271,3805,315,99,"Carlia triacantha"
270,4434,444,114,"Carlia triacantha"
259,4932,371,94,"Carlia triacantha"
271,3570,631,112,"Carlia triacantha"
254,6035,338,72,"Carlia triacantha"
257,5752,388,77,"Carlia triacantha"
268,5491,360,86,"Carlia triacantha"
262,5436,410,79,"Carlia triacantha"
272,3885,467,113,"Carlia triacantha"
253,6174,282,59,"Carlia triacantha"
235,5691,367,73,"Carlia triacantha"
267,5291,320,88,"Carlia triacantha"
248,6334,263,54,"Carlia triacantha"
272,4322,472,106,"Carlia triacantha"
257,5414,396,95,"Carlia triacantha"
274,4447,315,100,"Carlia triacantha"
212,6386,228,40,"Carlia triacantha"
218,6189,294,49,"Carlia triacantha"
238,6094,328,61,"Carlia triacantha"
263,4876,466,103,"Carlia triacantha"
261,5437,421,91,"Carlia triacantha"
279,2950,691,124,"Carlia triacantha"
279,3855,613,117,"Carlia triacantha"
264,2525,924,105,"Carlia triacantha"
233,6072,334,58,"Carlia triacantha"
264,2523,887,110,"Carlia triacantha"
252,6327,254,60,"Carlia triacantha"
226,6342,269,52,"Carlia triacantha"
271,5800,328,79,"Carlia triacantha"
276,3433,280,96,"Carlia triacantha"
268,2499,771,115,"Carlia triacantha"
263,5851,319,69,"Carlia triacantha"
259,4026,555,111,"Carlia triacantha"
273,4108,324,99,"Carlia triacantha"
269,4712,342,98,"Carlia triacantha"
211,6393,308,49,"Carlia triacantha"
261,2650,880,107,"Carlia triacantha"
263,4789,468,105,"Carlia triacantha"
266,3205,866,111,"Carlia triacantha"
257,6178,295,60,"Carlia triacantha"
269,4778,435,100,"Carlia triacantha"
222,6472,235,40,"Carlia triacantha"
241,6327,296,57,"Carlia triacantha"
266,4073,522,111,"Carlia triacantha"
271,3421,330,98,"Carlia triacantha"
260,1914,1400,107,"Carlia triacantha"
263,1911,1281,112,"Carlia triacantha"
260,5247,385,84,"Carlia triacantha"
265,2256,1280,113,"Carlia triacantha"
277,2285,1025,113,"Carlia triacantha"
279,1923,1523,106,"Carlia triacantha"
268,1800,1300,113,"Carlia triacantha"
224,6271,264,48,"Carlia triacantha"
226,6442,280,42,"Carlia triacantha"
265,5612,324,76,"Carlia triacantha"
267,3217,818,113,"Carlia triacantha"
259,6216,263,59,"Carlia triacantha"
258,4623,488,113,"Carlia triacantha"
248,5386,405,83,"Carlia triacantha"
261,6092,299,66,"Carlia triacantha"
238,6542,180,47,"Carlia triacantha"
258,4400,368,90,"Carlia triacantha"
280,3008,687,125,"Carlia triacantha"
269,5761,340,82,"Carlia triacantha"
273,4761,462,91,"Carlia triacantha"
280,2371,926,117,"Carlia triacantha"
259,4322,397,95,"Carlia triacantha"
271,4784,469,92,"Carlia triacantha"
277,1528,1663,107,"Carlia triacantha"
260,5474,394,91,"Carlia triacantha"
269,4586,424,105,"Carlia triacantha"
267,5280,335,95,"Carlia triacantha"
271,4131,402,107,"Carlia triacantha"
253,5139,455,88,"Carlia triacantha"
270,2993,819,111,"Carlia triacantha"
258,6165,283,63,"Carlia triacantha"
267,4303,517,111,"Carlia triacantha"
274,4757,429,105,"Carlia triacantha"
273,4431,318,99,"Carlia triacantha"
262,3132,708,115,"Carlia triacantha"
270,3975,492,116,"Carlia triacantha"
263,4816,425,103,"Carlia triacantha"
270,2639,874,117,"Carlia triacantha"
228,6408,315,50,"Carlia triacantha"
257,5707,383,83,"Carlia triacantha"
254,5899,380,71,"Carlia triacantha"
280,4277,445,118,"Carlia triacantha"
264,4839,289,88,"Carlia triacantha"
228,6468,264,43,"Carlia triacantha"
240,5742,318,75,"Carlia triacantha"
215,6089,327,57,"Carlia triacantha"
262,2913,1016,111,"Carlia triacantha"
253,5767,362,72,"Carlia triacantha"
268,5180,392,86,"Carlia triacantha"
